Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
2017-01-24 18:53:53,2017-01-24 19:07:32,819,Desplaines St & Jackson Blvd,Wentworth Ave & Archer Ave,Subscriber,Male,1974.0
2017-06-11 13:36:57,2017-06-11 13:46:09,552,Orleans St & Merchandise Mart Plaza,LaSalle St & Illinois St,Customer,,
2017-04-10 17:31:54,2017-04-10 17:56:00,1446,Peoria St & Jackson Blvd,Aberdeen St & Jackson Blvd,Subscriber,Male,1991.0
2017-05-13 14:02:08,2017-05-13 14:14:05,717,Milwaukee Ave & Rockwell St,Greenview Ave & Fullerton Ave,Subscriber,Male,1990.0
2017-05-13 22:05:25,2017-05-13 22:09:57,272,Kingsbury St & Erie St,Larrabee St & Kingsbury St,Subscriber,Female,1980.0
2017-05-09 20:30:57,2017-05-09 20:38:53,476,Michigan Ave & Lake St,Rush St & Cedar St,Subscriber,Male,1993.0
2017-04-19 17:57:40,2017-04-19 18:11:34,834,Clark St & Wellington Ave,Sedgwick St & North Ave,Subscriber,Female,1991.0
2017-02-18 11:44:19,2017-02-18 11:59:31,912,Shedd Aquarium,Lake Shore Dr & Ohio St,Subscriber,Female,1983.0
2017-06-15 08:56:22,2017-06-15 09:12:13,951,Michigan Ave & 8th St,Burnham Harbor,Customer,,
2017-06-02 13:48:36,2017-06-02 14:02:48,852,Ashland Ave & 21st St,California Ave & 21st St,Subscriber,Male,1949.0
2017-06-02 19:24:09,2017-06-02 19:41:30,1041,Damen Ave & Charleston St,Leavitt St & North Ave,Subscriber,Female,1987.0
2017-03-18 11:06:21,2017-03-18 11:14:41,500,Wabash Ave & Grand Ave,Wells St & Walton St,Subscriber,Male,1967.0
2017-04-09 20:11:01,2017-04-09 20:24:25,804,Theater on the Lake,Halsted St & Wrightwood Ave,Subscriber,Male,1994.0
2017-04-20 09:23:17,2017-04-20 09:33:08,591,Cornell Ave & Hyde Park Blvd,Harper Ave & 59th St,Subscriber,Male,1989.0
2017-02-22 23:14:41,2017-02-22 23:29:20,879,Michigan Ave & 18th St,Emerald Ave & 31st St,Subscriber,Male,1997.0
2017-05-16 16:09:03,2017-05-16 16:13:07,244,Clinton St & Lake St,Wacker Dr & Washington St,Subscriber,Female,1975.0
2017-03-03 07:55:48,2017-03-03 07:57:41,113,Clark St & Chicago Ave,Wells St & Huron St,Subscriber,Male,1981.0
2017-04-18 18:12:28,2017-04-18 18:55:19,2571,Southport Ave & Belmont Ave,Racine Ave & Belmont Ave,Subscriber,Male,1992.0
2017-06-16 18:21:13,2017-06-16 18:42:23,1270,Ellis Ave & 55th St,Prairie Ave & Garfield Blvd,Subscriber,Female,1995.0
2017-04-07 20:23:51,2017-04-07 20:36:58,787,Lincoln Ave & Fullerton Ave,Broadway & Cornelia Ave,Subscriber,Female,1988.0
2017-03-16 21:08:28,2017-03-16 21:39:51,1883,Rush St & Cedar St,Wabash Ave & Cermak Rd,Subscriber,Female,1992.0
2017-05-17 20:45:37,2017-05-17 20:59:25,828,Orleans St & Merchandise Mart Plaza,Damen Ave & Augusta Blvd,Subscriber,Male,1990.0
2017-06-09 12:24:54,2017-06-09 12:36:55,721,Lake Shore Dr & North Blvd,Clark St & Armitage Ave,Customer,,
2017-06-05 14:51:19,2017-06-05 14:57:55,396,Wabash Ave & 8th St,LaSalle St & Jackson Blvd,Subscriber,Male,1992.0
2017-02-19 15:29:49,2017-02-19 15:43:22,813,Broadway & Waveland Ave,Lake Shore Dr & Diversey Pkwy,Subscriber,Male,1990.0
2017-03-17 12:14:50,2017-03-17 12:22:38,468,Dearborn Pkwy & Delaware Pl,State St & Randolph St,Subscriber,Female,1984.0
2017-05-25 17:46:10,2017-05-25 17:51:42,332,Sheridan Rd & Irving Park Rd,Clarendon Ave & Gordon Ter,Subscriber,Female,1969.0
2017-06-19 12:38:53,2017-06-19 12:55:25,992,Streeter Dr & Grand Ave,Dearborn St & Monroe St,Subscriber,Male,1950.0
2017-06-01 19:10:33,2017-06-01 19:27:25,1012,Lincoln Ave & Belmont Ave,Stave St & Armitage Ave,Subscriber,Male,1986.0
2017-02-23 18:04:03,2017-02-23 18:12:29,506,Michigan Ave & Lake St,Canal St & Adams St,Subscriber,Male,1978.0
2017-03-28 08:11:45,2017-03-28 08:15:26,221,Lincoln Ave & Diversey Pkwy,Sheffield Ave & Fullerton Ave,Subscriber,Male,1984.0
2017-06-30 21:08:42,2017-06-30 21:21:42,780,Cityfront Plaza Dr & Pioneer Ct,Canal St & Madison St,Subscriber,Male,1984.0
2017-03-10 13:40:54,2017-03-10 13:45:09,255,Clark St & Lake St,Rush St & Hubbard St,Subscriber,Female,1983.0
2017-04-09 16:43:05,2017-04-09 17:00:57,1072,Lake Shore Dr & North Blvd,Streeter Dr & Grand Ave,Customer,,
2017-06-09 18:05:51,2017-06-09 18:19:27,816,Wood St & Division St,Wells St & Walton St,Subscriber,Male,1989.0
2017-03-29 18:29:28,2017-03-29 18:38:15,527,Wells St & Huron St,Clinton St & Washington Blvd,Subscriber,Male,1956.0
2017-04-23 13:16:10,2017-04-23 13:40:33,1463,Field Blvd & South Water St,Clark St & North Ave,Subscriber,Male,1983.0
2017-05-12 17:57:18,2017-05-12 18:04:50,452,Morgan St & Polk St,Loomis St & Taylor St (*),Subscriber,Female,1997.0
2017-02-01 07:27:29,2017-02-01 07:31:51,262,Halsted St & Roscoe St,Wilton Ave & Belmont Ave,Subscriber,Female,1993.0
2017-06-27 07:39:37,2017-06-27 07:45:17,340,Wacker Dr & Washington St,Dearborn St & Adams St,Subscriber,Male,1982.0
2017-03-24 14:15:43,2017-03-24 14:27:04,681,Sheridan Rd & Lawrence Ave,Broadway & Thorndale Ave,Subscriber,Male,1984.0
2017-04-21 17:37:59,2017-04-21 17:54:08,969,Orleans St & Merchandise Mart Plaza,Desplaines St & Randolph St,Subscriber,Male,1990.0
2017-06-08 19:16:12,2017-06-08 19:27:12,660,Damen Ave & Grand Ave,Ashland Ave & Division St,Customer,,
2017-02-10 18:25:07,2017-02-10 18:36:41,694,Marshfield Ave & Cortland St,Larrabee St & Menomonee St,Subscriber,Male,1969.0
2017-06-29 07:25:31,2017-06-29 07:49:03,1412,Campbell Ave & Fullerton Ave,Larrabee St & Kingsbury St,Subscriber,Male,1990.0
2017-06-16 16:31:43,2017-06-16 16:42:43,660,Wilton Ave & Belmont Ave,Clark St & Armitage Ave,Subscriber,Female,1985.0
2017-04-19 11:56:14,2017-04-19 12:07:21,667,Clinton St & Madison St,State St & Kinzie St,Subscriber,Male,1979.0
2017-05-30 18:32:36,2017-05-30 18:41:11,515,Desplaines St & Kinzie St,Clinton St & Tilden St,Subscriber,Male,1986.0
2017-02-23 08:45:42,2017-02-23 08:54:44,542,Cottage Grove Ave & 71st St,Cottage Grove Ave & 78th St,Subscriber,Female,1961.0
2017-06-23 19:19:28,2017-06-23 19:30:03,635,Sheffield Ave & Wrightwood Ave,Southport Ave & Roscoe St,Subscriber,Male,1992.0
2017-05-31 14:40:55,2017-05-31 14:50:18,563,Wabash Ave & Grand Ave,Wacker Dr & Washington St,Subscriber,Female,1974.0
2017-05-27 18:16:26,2017-05-27 19:03:14,2808,McClurg Ct & Illinois St,Michigan Ave & Oak St,Customer,,
2017-06-15 16:32:27,2017-06-15 16:41:25,538,Stetson Ave & South Water St,Clinton St & Madison St,Subscriber,Male,1956.0
2017-05-28 17:40:34,2017-05-28 17:56:00,926,Burnham Harbor,Lake Shore Dr & Monroe St,Subscriber,Male,1989.0
2017-05-28 17:29:54,2017-05-28 18:02:25,1951,Lake Shore Dr & North Blvd,Lake Shore Dr & Monroe St,Customer,,
2017-06-11 18:32:22,2017-06-11 18:43:41,679,Ravenswood Ave & Berteau Ave,Campbell Ave & Montrose Ave,Subscriber,Male,1953.0
2017-04-15 11:42:44,2017-04-15 12:06:18,1414,Dusable Harbor,Streeter Dr & Grand Ave,Customer,,
2017-05-17 22:19:29,2017-05-17 22:31:30,721,Damen Ave & Augusta Blvd,Leavitt St & North Ave,Subscriber,Male,1986.0
2017-01-04 17:46:20,2017-01-04 17:51:12,292,California Ave & Milwaukee Ave,Kedzie Ave & Palmer Ct,Subscriber,Male,1990.0
2017-06-25 14:20:58,2017-06-25 14:51:50,1852,Lakefront Trail & Bryn Mawr Ave,Lake Shore Dr & Wellington Ave,Subscriber,Female,1989.0
2017-05-19 18:11:18,2017-05-19 18:15:47,269,Wabash Ave & Adams St,Daley Center Plaza,Subscriber,Female,1989.0
2017-03-20 18:05:10,2017-03-20 18:10:06,296,Franklin St & Monroe St,State St & Randolph St,Subscriber,Male,1984.0
2017-05-21 14:31:01,2017-05-21 14:44:48,827,Dearborn St & Erie St,Lakeview Ave & Fullerton Pkwy,Subscriber,Male,1984.0
2017-06-23 16:34:12,2017-06-23 17:53:25,4753,Dusable Harbor,Millennium Park,Customer,,
2017-04-26 06:59:06,2017-04-26 07:09:02,596,Morgan St & 18th St,Halsted St & Polk St,Subscriber,Female,1989.0
2017-02-22 18:17:41,2017-02-22 18:25:33,472,Franklin St & Lake St,Kingsbury St & Erie St,Subscriber,Male,1984.0
2017-01-27 09:53:14,2017-01-27 09:58:25,311,Sedgwick St & North Ave,Clark St & Lincoln Ave,Subscriber,Female,1983.0
2017-04-14 16:28:00,2017-04-14 16:40:01,721,Indiana Ave & Roosevelt Rd,Millennium Park,Customer,,
2017-02-02 10:13:23,2017-02-02 10:39:02,1539,Halsted St & Polk St,State St & Pearson St,Subscriber,Male,1954.0
2017-05-28 21:07:43,2017-05-28 21:14:34,411,California Ave & Milwaukee Ave,Spaulding Ave & Armitage Ave,Subscriber,Male,1971.0
2017-05-16 19:34:38,2017-05-16 19:36:42,124,Clinton St & Madison St,Clinton St & Lake St,Subscriber,Male,1986.0
2017-04-06 10:20:57,2017-04-06 10:24:44,227,Green St & Madison St,Clinton St & Washington Blvd,Subscriber,Male,1976.0
2017-03-02 17:39:06,2017-03-02 17:55:43,997,LaSalle St & Jackson Blvd,McClurg Ct & Illinois St,Subscriber,Male,1953.0
2017-02-18 15:54:07,2017-02-18 16:15:42,1295,Lake Shore Dr & Monroe St,Clark St & Randolph St,Customer,,
2017-06-30 15:30:30,2017-06-30 15:53:44,1394,Buckingham Fountain,Shedd Aquarium,Customer,,
2017-06-14 07:09:05,2017-06-14 07:25:45,1000,Eckhart Park,McClurg Ct & Erie St,Subscriber,Female,1988.0
2017-01-11 06:45:03,2017-01-11 06:51:16,373,Clinton St & Washington Blvd,Dearborn St & Monroe St,Subscriber,Male,1970.0
2017-02-27 14:29:32,2017-02-27 14:45:44,972,Halsted St & Wrightwood Ave,Marshfield Ave & Cortland St,Subscriber,Female,1997.0
2017-04-18 23:05:56,2017-04-18 23:32:07,1571,Larrabee St & Webster Ave,Clark St & Wellington Ave,Subscriber,Male,1995.0
2017-05-21 17:29:17,2017-05-21 17:48:19,1142,Broadway & Granville Ave,Broadway & Argyle St,Customer,,
2017-01-30 20:54:52,2017-01-30 20:58:57,245,Dearborn St & Erie St,Sedgwick St & Huron St,Subscriber,Female,1984.0
2017-05-25 19:30:16,2017-05-25 19:48:27,1091,Greenview Ave & Fullerton Ave,Lake Shore Dr & North Blvd,Subscriber,Male,1979.0
2017-05-06 17:09:10,2017-05-06 18:06:59,3469,Forest Ave & Chicago Ave,Forest Ave & Chicago Ave,Customer,,
2017-03-24 12:39:19,2017-03-24 12:52:11,772,Michigan Ave & Oak St,Cannon Dr & Fullerton Ave,Subscriber,Male,1993.0
2017-02-27 08:25:55,2017-02-27 08:44:25,1110,Clifton Ave & Armitage Ave,Daley Center Plaza,Subscriber,Male,1972.0
2017-05-26 17:03:25,2017-05-26 17:13:10,585,Clinton St & Jackson Blvd,Kingsbury St & Erie St,Subscriber,Male,1989.0
2017-05-30 14:44:22,2017-05-30 14:51:56,454,Sheffield Ave & Fullerton Ave,Damen Ave & Clybourn Ave,Subscriber,Male,1990.0
2017-05-17 09:10:40,2017-05-17 09:19:45,545,Michigan Ave & Congress Pkwy,Lake Shore Dr & Monroe St,Customer,,
2017-06-12 06:45:43,2017-06-12 06:54:08,505,Sheridan Rd & Loyola Ave,Clark St & Lunt Ave,Subscriber,Male,1977.0
2017-06-04 23:45:04,2017-06-05 02:03:21,8297,Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,Customer,,
2017-03-19 15:26:50,2017-03-19 15:32:38,348,Pine Grove Ave & Irving Park Rd,Sheridan Rd & Montrose Ave,Subscriber,Female,1994.0
2017-05-31 14:45:36,2017-05-31 14:47:41,125,St. Clair St & Erie St,McClurg Ct & Erie St,Subscriber,Male,1986.0
2017-04-14 13:04:17,2017-04-14 13:07:04,167,Sedgwick St & North Ave,Clybourn Ave & Division St,Subscriber,Male,1992.0
2017-06-22 10:49:59,2017-06-22 10:55:39,340,Wentworth Ave & 33rd St,State St & 29th St,Subscriber,Male,1986.0
2017-04-24 16:30:25,2017-04-24 16:34:40,255,Bissell St & Armitage Ave,Southport Ave & Clybourn Ave,Subscriber,Male,1981.0
2017-01-20 17:10:25,2017-01-20 17:18:54,509,Ogden Ave & Chicago Ave,Green St & Randolph St,Subscriber,Male,1964.0
2017-06-06 17:13:02,2017-06-06 17:30:18,1036,Wabash Ave & Adams St,Clybourn Ave & Division St,Subscriber,Male,1985.0
2017-06-28 09:23:38,2017-06-28 09:42:52,1154,Wabash Ave & 8th St,Franklin St & Jackson Blvd,Customer,,
2017-05-02 16:43:56,2017-05-02 16:55:09,673,Franklin St & Chicago Ave,Sheffield Ave & Willow St,Subscriber,Male,1983.0
2017-02-07 13:48:53,2017-02-07 13:51:38,165,Sheffield Ave & Wrightwood Ave,Racine Ave & Fullerton Ave,Subscriber,Male,1994.0
2017-06-11 12:46:29,2017-06-11 12:57:21,652,Streeter Dr & Grand Ave,Mies van der Rohe Way & Chestnut St,Customer,,
2017-05-25 15:04:56,2017-05-25 15:35:31,1835,McClurg Ct & Illinois St,Theater on the Lake,Customer,,
2017-03-14 15:23:49,2017-03-14 15:32:10,501,Clinton St & Lake St,Clinton St & Jackson Blvd,Subscriber,Male,1983.0
2017-04-06 19:46:56,2017-04-06 19:53:16,380,Southport Ave & Waveland Ave,Southport Ave & Belmont Ave,Subscriber,Male,1986.0
2017-04-04 16:59:33,2017-04-04 17:09:16,583,Wabash Ave & Grand Ave,Canal St & Madison St,Subscriber,Male,1988.0
2017-05-27 16:41:43,2017-05-27 17:07:13,1530,Clark St & Lincoln Ave,Lake Shore Dr & Ohio St,Customer,,
2017-05-16 16:05:05,2017-05-16 16:24:00,1135,St. Clair St & Erie St,Rush St & Hubbard St,Customer,,
2017-06-15 17:34:54,2017-06-15 17:47:43,769,State St & Randolph St,Larrabee St & Kingsbury St,Subscriber,Male,1990.0
2017-01-25 13:28:52,2017-01-25 13:32:15,203,Michigan Ave & Lake St,Fairbanks Ct & Grand Ave,Subscriber,Female,1991.0
2017-02-03 17:54:41,2017-02-03 18:20:13,1532,LaSalle St & Jackson Blvd,Clark St & North Ave,Subscriber,Male,1969.0
2017-06-17 19:32:21,2017-06-17 19:58:05,1544,Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,Subscriber,Male,1994.0
2017-05-20 18:44:26,2017-05-20 18:46:23,117,Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,Customer,,
2017-06-25 15:46:51,2017-06-25 16:07:26,1235,State St & Harrison St,State St & Kinzie St,Customer,,
2017-03-07 17:35:15,2017-03-07 17:43:15,480,Glenwood Ave & Morse Ave,Paulina St & Howard St,Subscriber,Female,1990.0
2017-04-25 11:50:13,2017-04-25 12:02:55,762,Streeter Dr & Grand Ave,Clark St & North Ave,Subscriber,Male,1985.0
2017-01-09 08:14:28,2017-01-09 08:18:50,262,Franklin St & Jackson Blvd,Clinton St & Tilden St,Subscriber,Male,1966.0
2017-05-27 09:09:30,2017-05-27 09:20:19,649,Franklin St & Jackson Blvd,Wells St & Elm St,Subscriber,Male,1985.0
2017-06-15 08:29:11,2017-06-15 08:52:35,1404,Lake Shore Dr & Belmont Ave,Paulina Ave & North Ave,Subscriber,Male,1986.0
2017-02-02 22:26:27,2017-02-02 22:32:04,337,Bissell St & Armitage Ave,Southport Ave & Clybourn Ave,Subscriber,Female,1990.0
2017-04-19 11:45:08,2017-04-19 11:50:47,339,Clark St & Elm St,Larrabee St & Oak St,Subscriber,Female,1993.0
2017-06-01 17:17:37,2017-06-01 17:23:29,352,Daley Center Plaza,Canal St & Madison St,Subscriber,Male,1973.0
2017-04-25 08:26:33,2017-04-25 08:35:19,526,Clinton St & Washington Blvd,Aberdeen St & Jackson Blvd,Subscriber,Male,1972.0
2017-05-15 17:48:19,2017-05-15 18:07:20,1141,LaSalle St & Adams St,Morgan St & Polk St,Subscriber,Male,1994.0
2017-06-30 12:53:10,2017-06-30 13:01:51,521,Ogden Ave & Chicago Ave,Ashland Ave & Grand Ave,Subscriber,Female,1987.0
2017-06-12 07:12:02,2017-06-12 07:20:21,499,Wells St & Evergreen Ave,LaSalle St & Illinois St,Subscriber,Male,1980.0
2017-06-18 09:23:35,2017-06-18 09:29:33,358,Sangamon St & Washington Blvd (*),Franklin St & Monroe St,Subscriber,Male,1984.0
2017-03-18 15:08:09,2017-03-18 15:17:40,571,Southport Ave & Roscoe St,Broadway & Waveland Ave,Subscriber,Male,1952.0
2017-06-13 13:01:01,2017-06-13 13:09:18,497,Streeter Dr & Grand Ave,Michigan Ave & Oak St,Customer,,
2017-05-25 07:53:45,2017-05-25 08:00:43,418,Michigan Ave & Washington St,Wacker Dr & Washington St,Subscriber,Female,1991.0
2017-04-23 14:46:36,2017-04-23 14:54:30,474,Loomis St & Lexington St,Racine Ave & Congress Pkwy,Customer,,
2017-05-18 19:21:06,2017-05-18 19:25:27,261,Daley Center Plaza,Canal St & Madison St,Subscriber,Male,1971.0
2017-06-23 18:26:41,2017-06-23 18:36:53,612,Wells St & Walton St,Sheffield Ave & Willow St,Subscriber,Male,1989.0
2017-06-27 07:43:45,2017-06-27 07:50:58,433,Orleans St & Merchandise Mart Plaza,Larrabee St & Division St,Subscriber,Male,1985.0
2017-06-23 22:12:26,2017-06-23 22:34:15,1309,Rush St & Superior St,Sangamon St & Washington Blvd (*),Subscriber,Male,1989.0
2017-05-27 15:04:44,2017-05-27 15:42:30,2266,Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,Customer,,
2017-05-14 14:13:56,2017-05-14 14:26:44,768,Desplaines St & Kinzie St,Ashland Ave & Division St,Customer,,
2017-05-29 19:18:35,2017-05-29 19:32:33,838,Ritchie Ct & Banks St,Lake Shore Dr & Ohio St,Subscriber,Female,1982.0
2017-05-12 10:52:39,2017-05-12 10:56:38,239,Chicago Ave & Sheridan Rd,Sheridan Rd & Noyes St (NU),Subscriber,Male,1998.0
2017-04-30 06:27:03,2017-04-30 06:30:48,225,Wilton Ave & Diversey Pkwy,Hampden Ct & Diversey Pkwy,Subscriber,Male,1959.0
2017-05-22 09:38:52,2017-05-22 09:43:37,285,Canal St & Taylor St,Clinton St & Jackson Blvd,Subscriber,Male,1969.0
2017-05-25 11:37:39,2017-05-25 11:46:01,502,MLK Jr Dr & 29th St,State St & 33rd St,Subscriber,Male,1995.0
2017-05-04 14:03:03,2017-05-04 14:12:05,542,Clark St & Chicago Ave,LaSalle St & Jackson Blvd,Subscriber,Male,1963.0
2017-06-06 11:33:13,2017-06-06 11:47:56,883,Sedgwick St & Huron St,Michigan Ave & Madison St,Subscriber,Male,1972.0
2017-02-10 19:08:16,2017-02-10 19:11:18,182,Ravenswood Ave & Berteau Ave,Ashland Ave & Belle Plaine Ave,Subscriber,Male,1984.0
2017-05-26 11:55:20,2017-05-26 11:58:14,174,Clark St & Wellington Ave,Wilton Ave & Belmont Ave,Subscriber,Female,1985.0
2017-01-07 13:56:58,2017-01-07 14:05:00,482,Federal St & Polk St,Michigan Ave & 18th St,Subscriber,Male,1983.0
2017-01-23 16:40:15,2017-01-23 16:56:49,994,St. Clair St & Erie St,Canal St & Adams St,Subscriber,Male,1961.0
2017-04-08 17:12:08,2017-04-08 17:56:15,2647,Dusable Harbor,Lake Shore Dr & Belmont Ave,Customer,,
2017-05-13 12:27:31,2017-05-13 12:57:07,1776,Hampden Ct & Diversey Pkwy,California Ave & Byron St,Subscriber,Female,1985.0
2017-06-11 15:24:29,2017-06-11 15:32:35,486,Calumet Ave & 33rd St,MLK Jr Dr & 29th St,Subscriber,Male,1991.0
2017-05-22 17:42:33,2017-05-22 17:56:44,851,Dearborn Pkwy & Delaware Pl,Canal St & Madison St,Subscriber,Male,1984.0
2017-02-13 17:08:39,2017-02-13 17:19:14,635,Logan Blvd & Elston Ave,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1988.0
2017-05-13 07:08:36,2017-05-13 07:26:41,1085,Western Ave & Congress Pkwy,LaSalle St & Washington St,Subscriber,Male,1989.0
2017-04-04 13:32:02,2017-04-04 13:36:48,286,State St & Randolph St,LaSalle St & Illinois St,Subscriber,Male,1975.0
2017-02-19 21:41:10,2017-02-19 21:54:37,807,St. Clair St & Erie St,Wabash Ave & Wacker Pl,Customer,,
2017-06-13 19:48:52,2017-06-13 20:00:50,718,University Ave & 57th St,Cottage Grove Ave & 47th St,Subscriber,Male,1965.0
2017-06-17 13:26:45,2017-06-17 13:45:40,1135,Dusable Harbor,Streeter Dr & Grand Ave,Customer,,
2017-06-07 12:56:32,2017-06-07 12:58:14,102,Clinton St & Lake St,Clinton St & Madison St,Subscriber,Male,1978.0
2017-05-03 14:54:09,2017-05-03 15:07:46,817,Franklin St & Jackson Blvd,Lake Shore Dr & Monroe St,Customer,,
2017-06-24 10:11:27,2017-06-24 10:18:15,408,Clark St & Elm St,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1994.0
