Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,FE Calc Appr,City MPG,Hwy MPG,Cmb MPG,Unadj Cmb MPG,Greenhouse Gas Score,SmartWay
BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BEXV06.7TTC,midsize car,6,Drv,10,15,11,14.3942,0,no
BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BEXV06.7TTC,large car,6,Drv,9,15,11,14.4488,0,no
BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BEXV06.7TTC,midsize car,6,Drv,10,15,11,14.3942,0,no
BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BEXV06.7TTC,small car,6,Drv,9,15,11,14.4488,0,no
BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BEXV06.7TTC,small car,6,Drv,9,15,11,14.4488,0,no
BENTLEY Continental Flying Spur,6,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BEXV06.0501,midsize car,6,Drv,10,17,12,15.7772,0,no
BENTLEY Continental Flying Spur,6,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,8BEXV06.0501,midsize car,6,Drv,10,17,12,15.7772,0,no
BENTLEY Continental GT,6,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BEXV06.0501,small car,6,Drv,10,17,13,16.1613,1,no
BENTLEY Continental GT,6,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,8BEXV06.0501,small car,6,Drv,10,17,13,16.1613,1,no
BENTLEY Continental GTC,6,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BEXV06.0501,small car,6,Drv,10,17,12,15.7772,0,no
BENTLEY Continental GTC,6,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,8BEXV06.0501,small car,6,Drv,10,17,12,15.7772,0,no
BMW 328ci,3,(6 cyl),Man-6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,30,24,27.7684,7,yes
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,23,31,25,28.6009,7,yes
BMW 328ci,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,30,24,27.7684,7,yes
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,23,31,25,28.6009,7,yes
BMW 328ci,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,30,24,27.7684,7,yes
BMW 328ci,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,30,24,27.7684,7,yes
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,23,31,25,28.6009,7,yes
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,23,31,25,28.6009,7,yes
BMW 328ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,19,29,22,26.3581,6,yes
BMW 328ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,30,24,27.6154,7,yes
BMW 328ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,19,29,22,26.3581,6,yes
BMW 328ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,30,24,27.6154,7,yes
BMW 328ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,19,29,22,26.3581,6,no
BMW 328ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,19,29,22,26.3581,6,no
BMW 328ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,30,24,27.6154,7,yes
BMW 328ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,30,24,27.6154,7,yes
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,27,23,26.2843,7,yes
BMW 328cxi,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,19,28,22,25.5598,6,yes
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,27,23,26.2843,7,yes
BMW 328cxi,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,19,28,22,25.5598,6,no
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,27,23,26.2843,7,yes
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,27,23,26.2843,7,yes
BMW 328i,3,(6 cyl),Man-6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,30,24,27.7684,7,yes
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,23,31,25,28.6009,7,yes
BMW 328i,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,30,24,27.7684,7,yes
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,23,31,25,28.6009,7,yes
BMW 328i,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,30,24,27.7684,7,yes
BMW 328i,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,30,24,27.7684,7,yes
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,23,31,25,28.6009,7,yes
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,23,31,25,28.6009,7,yes
BMW 328i Sport Wagon,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,station wagon,7,Drv,19,29,22,26.3581,6,yes
BMW 328i Sport Wagon,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,station wagon,6,Drv,19,29,22,26.3581,6,no
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,27,23,26.2843,7,yes
BMW 328xi,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,19,28,22,25.5598,6,yes
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,27,23,26.2843,7,yes
BMW 328xi,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,19,28,22,25.5598,6,no
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,27,23,26.2843,7,yes
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,27,23,26.2843,7,yes
BMW 328xi Sport Wagon,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,station wagon,7,Drv,19,28,22,25.5598,6,yes
BMW 328xi Sport Wagon,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,station wagon,7,Drv,20,27,23,26.2843,7,yes
BMW 328xi Sport Wagon,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8BMXB03.0N52,station wagon,6,Drv,19,28,22,25.5598,6,no
BMW 328xi Sport Wagon,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXB03.0N52,station wagon,6,Drv,20,27,23,26.2843,7,yes
BMW 335ci,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
BMW 335ci,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
BMW 335ci,3,(6 cyl),Man-6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
BMW 335ci,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
BMW 335ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
BMW 335ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
BMW 335ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
BMW 335ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
BMW 335cxi,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,18,27,21,25.0543,6,no
BMW 335cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,19,27,22,25.5449,6,no
BMW 335cxi,3,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,18,27,21,25.0543,6,no
BMW 335cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,19,27,22,25.5449,6,no
BMW 335i,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
BMW 335i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
BMW 335i,3,(6 cyl),Man-6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
BMW 335i,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
BMW 335xi,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,18,27,21,25.0543,6,no
BMW 335xi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,19,27,22,25.5449,6,no
BMW 335xi,3,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,18,27,21,25.0543,6,no
