Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXJ02.05P0,midsize car,3,23,31,26,5,No,348
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JCRXJ02.05P0,small SUV,3,22,28,24,5,No,364
AUDI A3,2,4,AMS-6,4WD,Gasoline,CA,S2,California LEV-II SULEV,JVGAV02.0APA,small car,7,24,31,27,6,No,330
AUDI A3,2,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JVGAV02.0APA,small car,7,24,31,27,6,No,330
AUDI A3,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JVGAJ02.0A3A,small car,7,26,35,29,6,No,303
AUDI A3,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JVGAJ02.0A3A,small car,7,26,35,29,6,No,303
AUDI A3 Cabriolet,2,4,AMS-6,4WD,Gasoline,CA,S2,California LEV-II SULEV,JVGAV02.0APA,small car,7,22,30,25,5,No,359
AUDI A3 Cabriolet,2,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JVGAV02.0APA,small car,7,22,30,25,5,No,359
AUDI A3 Cabriolet,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JVGAJ02.0A3A,small car,7,25,33,28,6,No,315
AUDI A3 Cabriolet,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JVGAJ02.0A3A,small car,7,25,33,28,6,No,315
AUDI A4,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAV02.0A7C,small car,5,24,34,27,6,No,327
AUDI A4,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAV02.0A7C,small car,5,24,34,27,6,No,327
AUDI A4,2,4,Man-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JVGAJ02.0AAC,small car,3,24,33,27,6,No,327
AUDI A4,2,4,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ02.0AAC,small car,3,24,33,27,6,No,327
AUDI A4 Ultra,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JVGAJ02.0AAC,small car,3,27,37,31,7,Yes,284
AUDI A4 Ultra,2,4,AMS-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ02.0AAC,small car,3,27,37,31,7,Yes,284
AUDI A5,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAV02.0A7C,small car,5,24,34,27,6,No,327
AUDI A5,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAV02.0A7C,small car,5,24,34,27,6,No,327
AUDI A5,2,4,Man-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JVGAJ02.0AAC,small car,3,24,33,27,6,No,327
AUDI A5,2,4,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ02.0AAC,small car,3,24,33,27,6,No,327
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAV02.0A7C,small car,5,24,34,27,6,No,327
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAV02.0A7C,small car,5,24,34,27,6,No,327
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAV02.0A7C,midsize car,5,24,34,27,6,No,327
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAV02.0A7C,midsize car,5,24,34,27,6,No,327
AUDI A6,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAV02.0A7C,midsize car,5,25,34,28,6,No,311
AUDI A6,2,4,AMS-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAV02.0A7C,midsize car,5,25,34,28,6,No,311
AUDI A6,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAV02.0A7C,midsize car,5,22,31,26,5,No,347
AUDI A6,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAV02.0A7C,midsize car,5,22,31,26,5,No,347
AUDI A6,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ03.0AUE,midsize car,3,20,29,23,5,No,378
AUDI A6,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,JVGAJ03.0AUE,midsize car,3,20,29,23,5,No,378
AUDI A7,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ03.0AUE,midsize car,3,20,29,23,5,No,378
AUDI A7,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,JVGAJ03.0AUE,midsize car,3,20,29,23,5,No,378
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ03.0AUE,large car,3,19,29,22,4,No,397
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,JVGAJ03.0AUE,large car,3,19,29,22,4,No,397
AUDI Q3,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAV02.0AUA,small car,3,20,28,23,5,No,380
AUDI Q3,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JVGAV02.0AUA,small car,3,20,28,23,5,No,380
AUDI Q3,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAV02.0AUA,small car,3,20,28,23,5,No,387
AUDI Q3,2,4,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,JVGAV02.0AUA,small car,3,20,28,23,5,No,387
AUDI Q5,2,4,SemiAuto-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JVGAJ02.0AAC,small SUV,3,23,27,25,5,No,363
AUDI Q5,2,4,SemiAuto-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ02.0AAC,small SUV,3,23,27,25,5,No,363
AUDI Q7,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JVGAJ02.0AAC,standard SUV,3,19,25,21,4,No,415
AUDI Q7,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ02.0AAC,standard SUV,3,19,25,21,4,No,415
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAJ03.0AUE,standard SUV,3,19,25,21,4,No,419
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,JVGAJ03.0AUE,standard SUV,3,19,25,21,4,No,419
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JVGAV02.5NAG,small car,3,19,28,22,4,No,399
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAV02.5NAG,small car,3,19,28,22,4,No,399
AUDI S3,2,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAV02.0AUA,small car,3,22,28,25,5,No,359
AUDI S3,2,4,AMS-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,JVGAV02.0AUA,small car,3,22,28,25,5,No,359
AUDI S4,3,6,AMS-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAJ03.0N7F,small car,5,21,30,24,5,No,374
AUDI S4,3,6,AMS-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAJ03.0N7F,small car,5,21,30,24,5,No,374
AUDI S5,3,6,AMS-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAJ03.0N7F,small car,5,21,30,24,5,No,374
AUDI S5,3,6,AMS-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAJ03.0N7F,small car,5,21,30,24,5,No,374
AUDI S5 Cabriolet,3,6,AMS-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAJ03.0N7F,small car,5,20,29,23,5,No,384
AUDI S5 Cabriolet,3,6,AMS-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAJ03.0N7F,small car,5,20,29,23,5,No,384
AUDI S5 Sportback,3,6,AMS-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAJ03.0N7F,midsize car,5,21,30,24,5,No,374
AUDI S5 Sportback,3,6,AMS-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAJ03.0N7F,midsize car,5,21,30,24,5,No,374
AUDI SQ5,3,6,AMS-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAJ03.0N7F,small SUV,5,19,24,21,4,No,434
AUDI SQ5,3,6,AMS-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAJ03.0N7F,small SUV,5,19,24,21,4,No,434
AUDI TT Coupe,2,4,AMS-6,4WD,Gasoline,CA,S2,California LEV-II SULEV,JVGAV02.0APA,small car,7,23,30,26,5,No,336
AUDI TT Coupe,2,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JVGAV02.0APA,small car,7,23,30,26,5,No,336
AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JVGAV02.5NAG,small car,3,19,29,22,4,No,395
AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAV02.5NAG,small car,3,19,29,22,4,No,395
AUDI TT Roadster,2,4,AMS-6,4WD,Gasoline,CA,S2,California LEV-II SULEV,JVGAV02.0APA,small car,7,23,30,26,5,No,336
AUDI TT Roadster,2,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JVGAV02.0APA,small car,7,23,30,26,5,No,336
AUDI TTS Coupe,2,4,AMS-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAV02.0AUA,small car,3,23,27,25,5,No,358
AUDI TTS Coupe,2,4,AMS-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,JVGAV02.0AUA,small car,3,23,27,25,5,No,358
AUDI allroad quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAV02.0A7C,station wagon,5,22,30,25,5,No,350
AUDI allroad quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAV02.0A7C,station wagon,5,22,30,25,5,No,350
BENTLEY Bentayga,6,12,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JVGAT06.0EAR,standard SUV,3,12,19,15,2,No,596
BENTLEY Bentayga,6,12,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAT06.0EAR,standard SUV,3,12,19,15,2,No,596
BENTLEY Chiron,8,16,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,JVGAV08.0GLB,small car,1,9,14,11,1,No,840
BENTLEY Chiron,8,16,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,JVGAV08.0GLB,small car,1,9,14,11,1,No,840
BMW 230i Convertible,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 230i Convertible,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 230i Coupe,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,21,32,25,5,No,360
BMW 230i Coupe,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,21,32,25,5,No,360
BMW 230i Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,24,35,28,6,No,318
BMW 230i Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,24,35,28,6,No,318
BMW 230i xDrive Convertible,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 230i xDrive Convertible,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 230i xDrive Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,24,33,27,6,No,325
BMW 230i xDrive Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,24,33,27,6,No,325
BMW 320i,2,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXJ02.0N20,small car,3,23,35,27,6,No,326
BMW 320i,2,4,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JBMXJ02.0N20,small car,3,23,35,27,6,No,326
BMW 320i,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXJ02.0N20,small car,3,24,35,28,6,No,323
BMW 320i,2,4,SemiAuto-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,JBMXJ02.0N20,small car,3,24,35,28,6,No,323
BMW 320i,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXJ02.0N20,small car,3,23,34,27,6,No,332
BMW 320i,2,4,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,JBMXJ02.0N20,small car,3,23,34,27,6,No,332
BMW 330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,JBMXV02.0H48,small car,3,28/66,34/78,30/71,10,Yes,189
BMW 330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JBMXV02.0H48,small car,3,28/66,34/78,30/71,10,Yes,189
BMW 330i,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,21,32,25,5,No,360
BMW 330i,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,21,32,25,5,No,360
BMW 330i,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 330i,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 330i,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 330i,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 330i Gran Turismo,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,large car,7,23,33,27,6,No,333
BMW 330i Gran Turismo,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,large car,7,23,33,27,6,No,333
BMW 330i Sports Wagon,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,station wagon,7,23,33,27,6,No,333
BMW 330i Sports Wagon,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,station wagon,7,23,33,27,6,No,333
BMW 340i,3,6,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,19,29,23,5,No,389
BMW 340i,3,6,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,19,29,23,5,No,389
BMW 340i,3,6,Man-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,19,29,23,5,No,390
BMW 340i,3,6,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,19,29,23,5,No,390
BMW 340i,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,21,32,25,5,No,352
BMW 340i,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,21,32,25,5,No,352
BMW 340i,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,21,31,25,5,No,357
BMW 340i,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,21,31,25,5,No,357
BMW 340i Gran Turismo,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,large car,3,20,29,23,5,No,382
BMW 340i Gran Turismo,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,large car,3,20,29,23,5,No,382
BMW 430i Convertible,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 430i Convertible,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 430i Convertible,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,22,32,26,5,No,343
BMW 430i Convertible,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,22,32,26,5,No,343
BMW 430i Coupe,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,21,33,25,5,No,351
BMW 430i Coupe,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,21,33,25,5,No,351
BMW 430i Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 430i Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 430i Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 430i Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 430i Gran Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 430i Gran Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 430i Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 430i Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 440i Convertible,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,21,29,24,5,No,372
BMW 440i Convertible,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,21,29,24,5,No,372
BMW 440i Convertible,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,20,29,23,5,No,382
BMW 440i Convertible,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,20,29,23,5,No,382
BMW 440i Coupe,3,6,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,19,29,23,5,No,389
BMW 440i Coupe,3,6,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,19,29,23,5,No,389
BMW 440i Coupe,3,6,Man-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,19,29,23,5,No,390
BMW 440i Coupe,3,6,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,19,29,23,5,No,390
BMW 440i Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,21,32,25,5,No,352
BMW 440i Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,21,32,25,5,No,352
BMW 440i Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,21,31,25,5,No,357
BMW 440i Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,21,31,25,5,No,357
BMW 440i Gran Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,21,32,25,5,No,352
BMW 440i Gran Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,21,32,25,5,No,352
BMW 440i Gran Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JBMXV03.0B58,small car,3,21,31,25,5,No,357
BMW 440i Gran Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JBMXV03.0B58,small car,3,21,31,25,5,No,357
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JBMXV02.0H30,small car,7,27/70,31/75,29/72,10,Elite,193
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JBMXV02.0H30,small car,7,27/70,31/75,29/72,10,Elite,193
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JBMXV02.0H30,small car,7,27/66,31/68,28/67,10,Elite,200
