model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,small car,7.0,24,34,27,6,No
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,small car,7.0,23,33,27,6,No
BMW 440i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3.0,21,29,24,5,No
BMW 440i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3.0,20,29,23,5,No
BMW 440i Coupe,3.0,6,Man-6,2WD,Gasoline,small car,3.0,19,29,23,5,No
BMW 440i Coupe,3.0,6,Man-6,4WD,Gasoline,small car,3.0,19,29,23,5,No
BMW 440i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3.0,21,32,25,5,No
BMW 440i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3.0,21,31,25,5,No
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3.0,21,32,25,5,No
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3.0,21,31,25,5,No
BMW 530i,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,7.0,24,34,27,6,No
BMW 530i,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,7.0,23,33,27,6,No
BMW 540i,3.0,6,SemiAuto-8,2WD,Gasoline,midsize car,5.0,21,30,24,5,No
BMW 540i,3.0,6,SemiAuto-8,4WD,Gasoline,midsize car,5.0,20,29,23,5,No
BMW 640i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3.0,20,29,23,5,No
BMW 640i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3.0,19,28,22,4,No
BMW 640i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3.0,20,29,23,5,No
BMW 640i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3.0,19,28,22,4,No
BMW 650i Convertible,4.4,8,SemiAuto-8,2WD,Gasoline,small car,3.0,17,25,20,4,No
BMW 650i Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,small car,3.0,16,25,19,3,No
BMW 650i Gran Coupe,4.4,8,SemiAuto-8,2WD,Gasoline,small car,3.0,17,25,20,4,No
BMW 650i Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,small car,3.0,16,25,19,3,No
BMW 740i,3.0,6,SemiAuto-8,2WD,Gasoline,large car,3.0,21,29,24,5,No
BMW 740i,3.0,6,SemiAuto-8,4WD,Gasoline,large car,3.0,20,29,23,5,No
BMW 750i,4.4,8,SemiAuto-8,2WD,Gasoline,large car,3.0,17,25,20,4,No
BMW 750i,4.4,8,SemiAuto-8,4WD,Gasoline,large car,3.0,16,25,19,3,No
BMW Alpina B6 Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,small car,3.0,16,25,19,3,No
BMW Alpina B7,4.4,8,SemiAuto-8,4WD,Gasoline,large car,3.0,16,25,19,3,No
BMW M2,3.0,6,AMS-7,2WD,Gasoline,small car,3.0,20,26,22,4,No
BMW M2,3.0,6,Man-6,2WD,Gasoline,small car,3.0,18,26,21,4,No
BMW M240i Convertible,3.0,6,Man-6,2WD,Gasoline,small car,3.0,18,27,22,4,No
BMW M240i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3.0,21,30,24,5,No
BMW M240i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3.0,21,30,24,5,No
BMW M240i Coupe,3.0,6,Man-6,2WD,Gasoline,small car,3.0,19,28,22,4,No
BMW M240i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,small car,3.0,21,30,24,5,No
BMW M240i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,small car,3.0,21,30,24,5,No
BMW M3,3.0,6,AMS-7,2WD,Gasoline,small car,3.0,17,24,20,4,No
BMW M3,3.0,6,Man-6,2WD,Gasoline,small car,3.0,17,25,20,4,No
BMW M4 Convertible,3.0,6,AMS-7,2WD,Gasoline,small car,3.0,16,22,19,3,No
BMW M4 Convertible,3.0,6,Man-6,2WD,Gasoline,small car,3.0,17,25,20,4,No
BMW M4 Coupe,3.0,6,AMS-7,2WD,Gasoline,small car,3.0,17,24,20,4,No
BMW M4 Coupe,3.0,6,Man-6,2WD,Gasoline,small car,3.0,17,25,20,4,No
BMW M4 DTM Champions Edition,3.0,6,AMS-7,2WD,Gasoline,small car,3.0,17,24,20,4,No
BMW M550i,4.4,8,SemiAuto-8,4WD,Gasoline,midsize car,3.0,16,25,19,3,No
BMW M6 Convertible,4.4,8,AMS-7,2WD,Gasoline,small car,1.0,14,20,16,2,No
BMW M6 Convertible,4.4,8,Man-6,2WD,Gasoline,small car,1.0,15,22,17,3,No
BMW M6 Gran Coupe,4.4,8,AMS-7,2WD,Gasoline,small car,1.0,14,20,16,2,No
BMW M6 Gran Coupe,4.4,8,Man-6,2WD,Gasoline,small car,1.0,15,22,17,3,No
BMW M760i xDrive,6.6,12,SemiAuto-8,4WD,Gasoline,large car,3.0,13,20,16,2,No
BMW X1 sDrive28i,2.0,4,SemiAuto-8,2WD,Gasoline,large car,7.0,23,32,26,5,No
BMW X1 xDrive28i,2.0,4,SemiAuto-8,4WD,Gasoline,large car,7.0,22,31,25,5,No
BMW X4 M40i,3.0,6,SemiAuto-8,4WD,Gasoline,small SUV,3.0,18,25,21,4,No
BMW X4 xDrive28i,2.0,4,SemiAuto-8,4WD,Gasoline,small SUV,3.0,20,28,23,5,No
BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,small SUV,3.0,27,33,30,7,Yes
BUICK Encore,1.4,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,26,31,28,6,No
BUICK Encore,1.4,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,24,30,27,6,No
BUICK Lacrosse,2.5,4,Auto-6,2WD,Gasoline,midsize car,5.0,25,35,29,6,No
BUICK Lacrosse,3.6,6,SemiAuto-9,2WD,Gasoline,midsize car,5.0,21,30,24,5,No
BUICK Lacrosse,3.6,6,SemiAuto-9,4WD,Gasoline,midsize car,5.0,20,29,23,5,No
CADILLAC ATS,2.0,4,Man-6,2WD,Gasoline,small car,5.0,20,29,23,5,No
CADILLAC ATS,2.0,4,SemiAuto-8,2WD,Gasoline,small car,5.0,22,31,25,5,No
CADILLAC ATS,2.0,4,SemiAuto-8,4WD,Gasoline,small car,5.0,22,30,25,5,No
CADILLAC ATS,3.6,6,SemiAuto-8,2WD,Gasoline,small car,5.0,20,30,24,5,No
CADILLAC ATS,3.6,6,SemiAuto-8,4WD,Gasoline,small car,5.0,19,27,22,4,No
CADILLAC ATS-V,3.6,6,Man-6,2WD,Gasoline,small car,3.0,16,23,19,3,No
CADILLAC ATS-V,3.6,6,SemiAuto-8,2WD,Gasoline,small car,3.0,17,25,20,4,No
CADILLAC CT6,2.0,4,SemiAuto-8,2WD,Gasoline,large car,5.0,22,30,25,5,No
CADILLAC CT6,3.0,6,SemiAuto-8,4WD,Gasoline,large car,3.0,18,26,21,4,No
CADILLAC CT6,3.6,6,SemiAuto-8,4WD,Gasoline,large car,5.0,18,27,21,4,No
CADILLAC CTS,2.0,4,SemiAuto-8,2WD,Gasoline,midsize car,5.0,22,30,25,5,No
CADILLAC CTS,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,5.0,21,29,24,5,No
CADILLAC CTS,3.6,6,SemiAuto-8,2WD,Gasoline,midsize car,3.0,16,24,19,3,No
CADILLAC CTS,3.6,6,SemiAuto-8,2WD,Gasoline,midsize car,5.0,20,30,24,5,No
CADILLAC CTS,3.6,6,SemiAuto-8,4WD,Gasoline,midsize car,5.0,19,27,22,4,No
CADILLAC CTS-V,6.2,8,SemiAuto-8,2WD,Gasoline,midsize car,1.0,14,21,17,3,No
CADILLAC Escalade,6.2,8,Auto-10,2WD,Gasoline,standard SUV,3.0,14,23,17,3,No
CADILLAC Escalade,6.2,8,Auto-10,4WD,Gasoline,standard SUV,3.0,14,21,17,3,No
CADILLAC XT5,3.6,6,SemiAuto-8,2WD,Gasoline,small SUV,5.0,19,26,22,4,No
CADILLAC XT5,3.6,6,SemiAuto-8,4WD,Gasoline,small SUV,5.0,18,25,21,4,No
CHEVROLET Camaro,2.0,4,Man-6,2WD,Gasoline,small car,5.0,20,30,23,5,No
CHEVROLET Camaro,2.0,4,SemiAuto-8,2WD,Gasoline,small car,5.0,22,31,25,5,No
CHEVROLET Camaro,3.6,6,Man-6,2WD,Gasoline,small car,5.0,16,28,20,4,No
CHEVROLET Camaro,3.6,6,SemiAuto-8,2WD,Gasoline,small car,5.0,19,29,23,5,No
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,small car,1.0,14,20,16,2,No
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,small car,1.0,16,25,19,3,No
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,small car,1.0,13,21,15,2,No
CHEVROLET Camaro,6.2,8,SemiAuto-8,2WD,Gasoline,small car,1.0,17,27,20,4,No
CHEVROLET Colorado,2.5,4,Auto-6,2WD,Gasoline,pickup,5.0,20,26,22,4,No
CHEVROLET Colorado,2.5,4,Auto-6,4WD,Gasoline,pickup,5.0,19,24,21,4,No
CHEVROLET Colorado,2.5,4,Man-6,2WD,Gasoline,pickup,5.0,20,26,22,4,No
CHEVROLET Colorado,2.8,4,Auto-6,2WD,Diesel,pickup,3.0,22,30,25,4,No
CHEVROLET Colorado,2.8,4,Auto-6,4WD,Diesel,pickup,3.0,20,28,23,4,No
CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,pickup,5.0,18,25,20,4,No
CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,special purpose,5.0,15,15,15,2,No
CHEVROLET Colorado,3.6,6,Auto-8,4WD,Gasoline,pickup,5.0,17,24,19,3,No
CHEVROLET Colorado ZR2,2.8,4,Auto-6,4WD,Diesel,pickup,3.0,19,22,20,3,No
CHEVROLET Colorado ZR2,3.6,6,Auto-8,4WD,Gasoline,pickup,5.0,16,18,17,3,No
CHEVROLET Corvette,6.2,8,Man-7,2WD,Gasoline,small car,1.0,15,22,18,3,No
CHEVROLET Corvette,6.2,8,Man-7,2WD,Gasoline,small car,1.0,16,25,19,3,No
CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,small car,1.0,13,23,16,2,No
CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,small car,1.0,15,25,18,3,No
CHEVROLET Cruze,1.4,4,Man-6,2WD,Gasoline,small car,6.0,27,40,32,7,Yes
CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,small car,6.0,29,40,33,8,Yes
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,small car,3.0,31,47,37,7,Yes
CHEVROLET Cruze,1.6,4,Man-6,2WD,Diesel,small car,3.0,30,52,37,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,midsize car,6.0,27,38,31,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,6.0,29,38,32,7,Yes
CHEVROLET Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,midsize car,3.0,30,45,35,7,Yes
CHEVROLET Cruze Hatchback,1.6,4,Man-6,2WD,Diesel,midsize car,3.0,29,48,35,7,Yes
CHEVROLET Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,small car,6.0,29,39,33,8,Yes
CHEVROLET Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,6.0,28,37,31,7,Yes
CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,small SUV,5.0,26,32,28,6,No
CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,small SUV,5.0,24,30,26,5,No
CHEVROLET Equinox,1.6,4,Auto-6,2WD,Diesel,small SUV,3.0,28,39,32,6,No
CHEVROLET Equinox,1.6,4,Auto-6,4WD,Diesel,small SUV,3.0,28,38,32,6,No
CHEVROLET Equinox,2.0,4,Auto-9,2WD,Gasoline,small SUV,5.0,22,29,25,5,No
CHEVROLET Equinox,2.0,4,Auto-9,4WD,Gasoline,small SUV,5.0,22,28,24,5,No
CHEVROLET Impala,2.5,4,SemiAuto-6,2WD,Gasoline,large car,3.0,22,30,25,5,No
CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Gasoline,large car,7.0,19,28,22,4,No
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,6.0,27,36,30,7,Yes
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,7.0,27,36,30,7,Yes
CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,midsize car,3.0,49,43,46,10,Yes
CHEVROLET Malibu,2.0,4,Auto-9,2WD,Gasoline,midsize car,5.0,22,32,26,5,No
CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,pickup,3.0,16,23,19,3,No
CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,special purpose,3.0,15,20,17,3,No
CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,pickup,3.0,16,22,18,3,No
CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,special purpose,3.0,15,19,17,3,No
CHEVROLET Silverado 15,5.3,8,Auto-8,2WD,Gasoline,pickup,3.0,18,24,20,4,No
CHEVROLET Silverado 15,5.3,8,Auto-8,2WD,Gasoline,pickup,3.0,16,22,18,3,No
CHEVROLET Silverado 15,5.3,8,Auto-8,4WD,Gasoline,pickup,3.0,16,21,18,3,No
CHEVROLET Silverado 15,5.3,8,Auto-8,4WD,Gasoline,pickup,3.0,15,20,17,3,No
CHEVROLET Silverado 15,6.2,8,Auto-8,2WD,Gasoline,pickup,3.0,15,21,17,3,No
CHEVROLET Silverado 15,6.2,8,Auto-8,4WD,Gasoline,pickup,3.0,15,20,17,3,No
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,small car,3.0,28,37,32,7,Yes
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,small car,3.0,27,35,30,7,Yes
CHEVROLET Sonic 5,1.4,4,Man-6,2WD,Gasoline,station wagon,3.0,28,37,32,7,Yes
CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,station wagon,3.0,27,35,30,7,Yes
CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Gasoline,standard SUV,3.0,16,23,19,3,No
CHEVROLET Suburban 1500,5.3,8,Auto-6,4WD,Gasoline,standard SUV,3.0,15,22,18,3,No
CHEVROLET Tahoe 1500,5.3,8,Auto-6,2WD,Gasoline,standard SUV,3.0,16,23,19,3,No
CHEVROLET Tahoe 1500,5.3,8,Auto-6,4WD,Gasoline,standard SUV,3.0,16,22,18,3,No
CHEVROLET Tahoe 1500,6.2,8,Auto-10,2WD,Gasoline,standard SUV,3.0,14,23,17,3,No
CHEVROLET Tahoe 1500,6.2,8,Auto-10,4WD,Gasoline,standard SUV,3.0,14,22,17,3,No
CHEVROLET Traverse,3.6,6,SemiAuto-9,2WD,Gasoline,standard SUV,5.0,18,27,21,4,No
CHEVROLET Traverse,3.6,6,SemiAuto-9,4WD,Gasoline,standard SUV,5.0,17,25,20,4,No
CHEVROLET Trax,1.4,4,SemiAuto-6,4WD,Gasoline,small SUV,3.0,24,30,27,6,No
CHRYSLER 300,3.6,6,Auto-8,2WD,Gasoline,large car,3.0,19,30,23,5,No
CHRYSLER 300,3.6,6,Auto-8,4WD,Gasoline,large car,3.0,18,27,21,4,No
CHRYSLER 300,5.7,8,Auto-8,2WD,Gasoline,large car,3.0,16,25,19,3,No
CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,minivan,3.0,18,28,22,4,No
CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,minivan,3.0,19,28,22,4,No
DODGE Challenger,3.6,6,Auto-8,2WD,Gasoline,midsize car,3.0,19,30,23,5,No
DODGE Challenger,5.7,8,Auto-8,2WD,Gasoline,midsize car,3.0,16,25,19,3,No
DODGE Challenger,5.7,8,Man-6,2WD,Gasoline,midsize car,1.0,15,23,18,3,No
DODGE Challenger,6.4,8,Auto-8,2WD,Gasoline,midsize car,1.0,15,25,18,3,No
DODGE Challenger,6.4,8,Man-6,2WD,Gasoline,midsize car,1.0,14,23,17,3,No
DODGE Challenger GT,3.6,6,Auto-8,4WD,Gasoline,midsize car,3.0,18,27,21,4,No
DODGE Challenger SRT,6.2,8,Auto-8,2WD,Gasoline,midsize car,1.0,13,22,16,2,No
DODGE Challenger SRT,6.2,8,Man-6,2WD,Gasoline,midsize car,1.0,13,21,16,2,No
DODGE Challenger SRT,6.4,8,Auto-8,2WD,Gasoline,midsize car,1.0,15,25,18,3,No
DODGE Challenger SRT,6.4,8,Man-6,2WD,Gasoline,midsize car,1.0,14,23,17,3,No
DODGE Charger,3.6,6,Auto-8,2WD,Gasoline,large car,3.0,19,30,23,5,No
DODGE Charger,3.6,6,Auto-8,4WD,Gasoline,large car,3.0,18,27,21,4,No
DODGE Charger,5.7,8,Auto-8,2WD,Gasoline,large car,3.0,16,25,19,3,No
DODGE Charger,6.4,8,Auto-8,2WD,Gasoline,large car,1.0,15,25,18,3,No
DODGE Charger SRT,6.2,8,Auto-8,2WD,Gasoline,large car,1.0,13,22,16,2,No
DODGE Charger SRT,6.4,8,Auto-8,2WD,Gasoline,large car,1.0,15,25,18,3,No
DODGE Durango,3.6,6,Auto-8,2WD,Gasoline,standard SUV,5.0,19,26,21,4,No
DODGE Durango,3.6,6,Auto-8,4WD,Gasoline,standard SUV,5.0,18,25,21,4,No
DODGE Durango,5.7,8,Auto-8,2WD,Gasoline,standard SUV,3.0,14,22,17,3,No
DODGE Durango,5.7,8,Auto-8,4WD,Gasoline,standard SUV,3.0,14,22,17,3,No
DODGE Durango  SRT,6.4,8,Auto-8,4WD,Gasoline,standard SUV,1.0,13,19,15,2,No
DODGE Journey,2.4,4,Auto-4,2WD,Gasoline,small SUV,3.0,19,25,21,4,No
DODGE Journey,3.6,6,Auto-6,4WD,Gasoline,small SUV,3.0,16,24,19,3,No
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,small car,3.0,15,22,18,3,No
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,small car,3.0,16,22,18,3,No
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,small car,3.0,15,22,18,3,No
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,small car,3.0,16,22,18,3,No
FERRARI 812 Superfast,6.5,12,AutoMan-7,2WD,Gasoline,small car,3.0,12,16,13,1,No
FERRARI California T,3.9,8,AutoMan-7,2WD,Gasoline,small car,3.0,16,23,18,3,No
FERRARI California T,3.9,8,AutoMan-7,2WD,Gasoline,small car,3.0,16,23,19,3,No
FERRARI GTC4Lusso,6.3,12,AutoMan-7,4WD,Gasoline,small car,3.0,12,17,13,1,No
FERRARI GTC4Lusso T,3.9,8,AutoMan-7,2WD,Gasoline,small car,3.0,15,21,17,3,No
FIAT 500L,1.4,4,Auto-6,2WD,Gasoline,station wagon,3.0,22,30,25,5,No
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,19,25,21,4,No
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,20,25,22,4,No
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,20,26,22,4,No
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,5.0,18,23,20,4,No
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,5.0,18,24,21,4,No
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,pickup,5.0,19,24,21,4,No
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,pickup,5.0,19,24,21,4,No
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,pickup,5.0,19,25,22,4,No
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,pickup,5.0,17,22,19,3,No
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,pickup,5.0,18,23,20,4,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,17,21,19,3,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,17,22,19,3,No
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,pickup,5.0,18,25,21,4,No
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,pickup,5.0,16,21,18,3,No
