week,storeA,storeB,storeC,storeD,storeE
2017-02-19,7557,5672,7042,5404,4500
2017-02-26,7880,7085,8293,6363,3706
2017-03-05,9200,7740,5567,5237,3630
2017-03-12,7329,5355,6201,6621,1357
2017-03-19,4054,5744,6189,4923,2631
2017-03-26,8967,2196,6924,3367,627
2017-04-02,10683,497,5804,5558,242
2017-04-09,6285,5921,3144,2964,3547
2017-04-16,6276,6510,4692,4718,1370
2017-04-23,5190,9032,5063,5593,2219
2017-04-30,7544,6767,4149,4712,3885
2017-05-07,929,5059,3083,6122,3167
2017-05-14,6895,3104,6688,7295,3055
2017-05-21,1931,7541,5258,6104,7116
2017-05-28,10926,10965,5606,4634,3591
2017-06-04,903,8402,2595,3712,3932
2017-06-11,2648,882,2460,6305,4069
2017-06-18,5118,1688,5180,3759,4774
2017-06-25,6269,2239,4334,4164,268
2017-07-02,7395,8589,4548,4725,2213
2017-07-09,5803,7892,3770,5519,3612
2017-07-16,1149,15223,3990,5225,3048
2017-07-23,2464,7045,4221,3663,3398
2017-07-30,6669,10434,6340,3923,2339
2017-08-06,7659,6899,4486,6129,400
2017-08-13,6835,6713,5749,4023,979
2017-08-20,8385,14755,6006,4991,2764
2017-08-27,3103,10565,3049,6339,6585
2017-09-03,7634,3934,5189,6329,274
2017-09-10,3813,11627,5563,5877,1756
2017-09-17,6393,6035,4486,5609,653
2017-09-24,6707,9776,6320,7084,3250
2017-10-01,9522,11753,2286,6991,188
2017-10-08,5473,10538,5177,5755,3986
2017-10-15,8556,11984,4792,5995,2508
2017-10-22,3751,697,3990,4236,360
2017-10-29,4997,9759,4290,4568,2393
2017-11-05,12785,1800,6163,5157,578
2017-11-12,137,12261,5455,7695,2599
2017-11-19,9960,8529,4501,7631,505
2017-11-26,6866,5011,5401,4736,3232
2017-12-03,5179,3850,6121,6778,113
2017-12-10,9348,5624,5446,5448,227
2017-12-17,5310,8647,5680,7049,3578
2017-12-24,8976,9503,6240,3882,2890
2017-12-31,11875,1527,6711,5265,1701
2018-01-07,8978,11312,4158,5019,3842
2018-01-14,6963,4014,4215,7153,3097
2018-01-21,5553,3971,3761,6255,3071
2018-01-28,282,6351,7759,5558,1028
2018-02-04,4853,6503,4187,5956,1458
2018-02-11,9202,3677,4540,6186,243
2018-02-18,3512,7511,4151,5596,3501
2018-02-25,7560,6904,3569,5045,2585
