"division","level of education","training level","work experience","salary","sales"
"office supplies","some college","0","10","94225","356212"
"computer hardware","associate's degree","0","7","91866","268628"
"printers","associate's degree","1","2","72637","243726"
"office supplies","high school","1","8","92925","378941"
"computer hardware","associate's degree","2","7","98910","419102"
"computer hardware","associate's degree","2","4","88155","332890"
"peripherals","associate's degree","0","8","88297","290146"
"computer hardware","some college","1","7","101477","375625"
"office supplies","associate's degree","0","10","101130","375731"
"computer software","associate's degree","1","5","102783","347838"
"computer hardware","associate's degree","2","4","90262","260503"
"computer hardware","some college","3","3","86840","342086"
"office supplies","associate's degree","1","8","100356","362616"
"peripherals","high school","2","12","110881","548810"
"office supplies","some college","2","6","90550","324364"
"office supplies","associate's degree","1","5","84555","268530"
"computer software","some college","2","10","120977","516508"
"printers","associate's degree","0","6","77227","254094"
"printers","bachelor's degree","1","5","95925","301433"
"office supplies","some college","3","11","117348","601955"
"office supplies","associate's degree","3","11","121176","611764"
"office supplies","associate's degree","1","12","120498","505017"
"printers","bachelor's degree","0","14","116390","463895"
"printers","associate's degree","3","9","111682","506972"
"printers","some college","0","0","47520","80805"
"printers","some college","0","6","73636","276363"
"office supplies","high school","0","0","46254","101072"
"office supplies","some college","2","5","88053","314953"
"peripherals","associate's degree","0","9","99844","353387"
"office supplies","high school","3","3","69146","305447"
"printers","some college","0","7","87583","299867"
"printers","associate's degree","0","10","107973","350057"
"office supplies","some college","1","13","116713","483733"
"computer hardware","associate's degree","2","7","109584","400572"
"peripherals","some college","1","5","81501","311779"
"computer hardware","high school","2","1","65109","223256"
"printers","associate's degree","0","3","74240","177666"
"printers","some college","2","8","105915","490904"
"peripherals","some college","0","7","82929","267850"
"printers","associate's degree","1","3","74037","229792"
"office supplies","some college","0","6","75540","282350"
"printers","bachelor's degree","1","11","116295","502676"
"peripherals","some college","2","5","88113","340699"
"printers","some college","1","12","108067","472749"
"computer software","associate's degree","2","4","97139","340789"
"printers","associate's degree","3","2","81477","311326"
"printers","associate's degree","0","5","78451","247742"
"peripherals","some college","0","4","61383","173828"
"printers","some college","0","3","58908","162368"
"office supplies","some college","1","8","92884","375619"
"printers","associate's degree","0","2","62462","161487"
"office supplies","some college","1","7","90781","387656"
"office supplies","associate's degree","0","9","92495","364951"
"computer hardware","high school","1","5","87308","332728"
"computer hardware","some college","0","4","68960","177818"
"printers","some college","1","9","106265","392645"
"peripherals","some college","0","15","128803","559068"
"printers","some college","2","7","85842","378422"
"peripherals","some college","3","7","99091","441632"
"peripherals","associate's degree","0","8","89731","299985"
"printers","associate's degree","1","10","106820","488197"
"computer hardware","some college","1","2","72751","211886"
"peripherals","associate's degree","2","4","87714","274220"
"computer software","associate's degree","0","5","86059","194659"
"office supplies","associate's degree","2","5","92369","404926"
"printers","associate's degree","1","0","59053","170258"
"printers","high school","2","5","80898","383597"
"printers","bachelor's degree","1","4","82999","237050"
"office supplies","high school","1","9","94377","345531"
"computer hardware","associate's degree","1","8","96014","368711"
"computer hardware","some college","3","8","117077","520968"
"peripherals","high school","2","3","67564","274065"
"peripherals","associate's degree","1","5","84365","277338"
"computer software","some college","1","8","103085","373488"
"computer software","high school","2","5","90586","323067"
"printers","high school","2","1","64427","266525"
"office supplies","high school","2","6","78179","361791"
"peripherals","high school","3","9","105047","537609"
"office supplies","bachelor's degree","1","6","91192","366521"
"office supplies","some college","2","8","99890","385147"
"office supplies","associate's degree","1","6","89074","314409"
"office supplies","some college","0","3","65868","158973"
"printers","some college","1","5","79385","310267"
"peripherals","high school","2","6","81970","371982"
"computer hardware","some college","0","3","68995","158122"
"computer software","some college","2","3","96180","297987"
"printers","some college","1","11","103675","440304"
"printers","associate's degree","3","11","133048","635944"
"printers","bachelor's degree","2","5","86651","346513"
"printers","some college","0","5","70500","191408"
"peripherals","associate's degree","1","6","94117","312731"
"office supplies","associate's degree","2","8","101756","429678"
"computer software","some college","2","2","85376","304025"
"computer software","associate's degree","1","8","111083","410532"
"peripherals","associate's degree","2","1","70371","260114"
"computer hardware","some college","0","8","103005","365567"
"peripherals","high school","2","7","84404","384044"
"office supplies","associate's degree","1","5","73634","245750"
"peripherals","some college","2","9","105300","407879"
"office supplies","high school","3","5","81955","371255"
"computer hardware","some college","1","6","84154","331543"
"peripherals","some college","2","4","78444","312307"
"printers","bachelor's degree","1","7","92352","363517"
"printers","associate's degree","1","5","83265","352651"
"printers","high school","0","8","76983","283208"
"peripherals","associate's degree","0","7","87495","295993"
"printers","some college","3","1","63494","274941"
"office supplies","associate's degree","3","9","121228","541973"
"office supplies","high school","1","4","77844","315912"
"printers","associate's degree","3","8","110413","491323"
"peripherals","associate's degree","2","8","98851","428507"
"printers","associate's degree","0","9","97745","350432"
"printers","associate's degree","1","7","91740","345870"
"printers","some college","1","6","86175","344225"
"peripherals","some college","1","6","79322","313215"
"computer hardware","some college","0","6","86840","308896"
"computer hardware","some college","1","11","114529","444138"
"office supplies","associate's degree","2","10","110302","523021"
"peripherals","some college","2","9","109416","494920"
"peripherals","some college","1","5","74882","279154"
"computer hardware","high school","1","4","80819","296565"
"office supplies","associate's degree","1","5","78723","248040"
"office supplies","high school","2","5","83605","377081"
"office supplies","high school","2","7","90202","377361"
"computer hardware","bachelor's degree","2","1","82926","241663"
"printers","some college","1","8","85390","353901"
"peripherals","some college","0","10","103148","418045"
"computer software","associate's degree","1","4","95317","232183"
"peripherals","some college","1","3","60033","179379"
"peripherals","associate's degree","1","5","86477","323461"
"printers","associate's degree","0","4","65244","192440"
"computer software","some college","1","6","110992","368446"
"computer hardware","associate's degree","1","5","82516","295155"
"computer software","associate's degree","0","3","86479","219666"
"printers","some college","2","4","67394","249658"
"computer hardware","some college","0","10","102506","350361"
"office supplies","some college","1","5","71958","279582"
"office supplies","some college","1","3","74419","251868"
"peripherals","associate's degree","1","5","76117","253840"
"office supplies","associate's degree","2","9","107357","444785"
"printers","some college","3","3","77596","314899"
"computer hardware","some college","1","3","75061","208125"
"office supplies","some college","2","6","86874","358616"
"printers","associate's degree","2","9","118127","486365"
"printers","associate's degree","2","4","82189","254275"
"office supplies","some college","0","11","96674","381370"
"peripherals","high school","0","11","100288","391573"
"computer hardware","associate's degree","1","4","85097","340969"
"office supplies","associate's degree","1","2","71439","199582"
"computer software","associate's degree","2","3","102912","301665"
"computer software","some college","0","7","101402","262246"
"office supplies","associate's degree","2","2","69041","245165"
"peripherals","some college","0","1","52736","95147"
"peripherals","associate's degree","0","3","66199","176848"
"computer hardware","associate's degree","2","2","82433","266404"
"printers","bachelor's degree","3","5","97926","428515"
"office supplies","some college","0","5","79567","243998"
"computer hardware","bachelor's degree","1","6","94202","305320"
"computer hardware","some college","1","4","69743","198929"
"computer software","associate's degree","1","5","101368","311205"
"peripherals","some college","3","6","105261","460393"
"office supplies","some college","2","6","96977","372840"
"printers","some college","1","0","53388","151086"
"peripherals","associate's degree","2","9","108499","450963"
"computer hardware","some college","1","4","75688","230891"
"office supplies","associate's degree","1","6","92851","335983"
"printers","associate's degree","2","4","82496","364964"
"peripherals","bachelor's degree","2","7","102089","426075"
"printers","some college","1","7","88698","353032"
"office supplies","high school","0","10","98391","394217"
"computer hardware","associate's degree","1","6","90078","305607"
"printers","high school","2","6","78893","368927"
"computer software","high school","0","6","88664","241349"
"computer hardware","associate's degree","1","2","70218","187039"
"peripherals","some college","1","6","86616","309648"
"computer software","bachelor's degree","2","5","110382","433815"
"office supplies","associate's degree","1","2","62299","188266"
"office supplies","associate's degree","1","5","70143","218183"
"office supplies","some college","1","13","109238","492384"
"office supplies","some college","1","9","97965","410984"
"computer software","bachelor's degree","3","8","127447","519146"
"peripherals","some college","0","6","79011","282359"
"peripherals","associate's degree","2","6","83799","317948"
"computer hardware","associate's degree","2","5","96469","345720"
"printers","bachelor's degree","2","7","92354","363543"
"computer hardware","some college","2","7","95336","423362"
"peripherals","associate's degree","1","8","106614","440211"
"office supplies","some college","1","6","90574","343708"
"peripherals","associate's degree","1","4","74307","254585"
"printers","bachelor's degree","0","7","81939","243178"
"printers","high school","2","1","53307","213069"
"peripherals","high school","3","8","107522","499845"
"peripherals","associate's degree","2","0","63899","238991"
"printers","some college","0","3","60178","148629"
"computer software","some college","1","3","79634","241531"
"computer hardware","associate's degree","2","4","86783","357831"
"office supplies","bachelor's degree","1","3","72665","246654"
"computer software","some college","3","7","111392","446608"
"peripherals","associate's degree","2","2","73051","269439"
"office supplies","associate's degree","2","7","101117","386844"
"computer software","some college","0","6","90104","250597"
"computer hardware","associate's degree","0","5","75876","228762"
"peripherals","associate's degree","2","6","96422","417377"
"peripherals","associate's degree","2","4","84336","338670"
"printers","associate's degree","1","13","132696","607671"
"computer hardware","high school","1","4","79917","338192"
"printers","some college","0","3","61272","207230"
"computer software","some college","1","6","104585","347409"
"peripherals","high school","2","5","80665","347841"
"office supplies","some college","0","7","75566","275658"
"computer software","some college","1","7","95146","296512"
"peripherals","some college","2","8","106138","454666"
"computer hardware","high school","1","9","111804","438044"
"office supplies","some college","2","7","90574","425738"
"computer hardware","some college","0","6","92809","374641"
"peripherals","associate's degree","3","1","81462","316802"
"peripherals","associate's degree","1","8","95349","368027"
"computer hardware","associate's degree","3","8","115183","496047"
"printers","associate's degree","3","2","80151","310682"
"peripherals","associate's degree","0","6","89033","229661"
"office supplies","some college","0","9","91361","365456"
"computer software","some college","2","9","124207","490686"
"peripherals","some college","0","8","93536","265357"
"office supplies","some college","0","12","104543","465434"
"peripherals","high school","3","6","90674","423653"
"peripherals","associate's degree","0","9","97371","359808"
"printers","some college","1","7","89397","350354"
"printers","associate's degree","1","4","71007","235255"
"office supplies","associate's degree","2","10","113331","462008"
"office supplies","associate's degree","3","9","114533","566240"
"peripherals","associate's degree","1","4","77058","262996"
"office supplies","associate's degree","2","5","83450","354504"
"computer hardware","some college","2","12","129679","592181"
"computer hardware","some college","0","6","78641","251003"
"office supplies","associate's degree","2","4","91673","345588"
"office supplies","some college","2","10","113309","505551"
"peripherals","some college","1","0","49029","99149"
"printers","some college","2","10","103368","493683"
"peripherals","some college","3","9","114338","563364"
"peripherals","bachelor's degree","1","0","55308","113079"
"office supplies","associate's degree","3","10","112318","543180"
"office supplies","some college","0","3","59535","188582"
"office supplies","some college","2","1","64541","253992"
"computer hardware","associate's degree","1","3","78216","235517"
"printers","some college","1","2","67049","214225"
"computer software","high school","0","5","86800","267544"
"office supplies","high school","3","9","107497","527287"
"peripherals","associate's degree","0","12","115633","427042"
"peripherals","associate's degree","3","6","104885","480090"
"computer hardware","some college","1","12","128015","560166"
"office supplies","associate's degree","0","3","72560","153217"
"office supplies","bachelor's degree","0","6","85242","245283"
"peripherals","associate's degree","2","7","90225","362251"
"peripherals","associate's degree","1","10","106490","433034"
"computer hardware","some college","2","4","86915","315708"
"printers","some college","1","13","117738","480246"
"office supplies","some college","1","4","76134","256435"
"office supplies","some college","1","3","60867","189762"
"peripherals","high school","0","3","56293","140608"
"computer hardware","associate's degree","0","6","97190","281889"
"peripherals","some college","3","5","94397","416641"
"printers","some college","2","5","92787","451517"
"office supplies","associate's degree","2","4","84152","381518"
"peripherals","some college","2","3","74941","266156"
"printers","master's degree","0","8","92538","305382"
"printers","some college","0","6","73705","256836"
"peripherals","associate's degree","1","7","84284","302835"
"office supplies","associate's degree","1","6","91802","323832"
"office supplies","some college","0","8","94479","305398"
"computer hardware","associate's degree","2","9","116346","507455"
"office supplies","bachelor's degree","2","3","90831","302111"
"printers","associate's degree","1","4","73192","271921"
"computer hardware","associate's degree","3","6","106907","422422"
"office supplies","associate's degree","0","11","97784","377842"
"computer software","associate's degree","1","7","113072","366601"
"peripherals","associate's degree","0","3","74226","178280"
"office supplies","some college","0","8","89782","305026"
"computer hardware","associate's degree","2","8","119694","472843"
"peripherals","high school","1","12","103884","464633"
"computer hardware","associate's degree","0","5","77313","243127"
"peripherals","some college","1","9","102813","488129"
"computer hardware","some college","1","4","70049","227550"
"computer hardware","some college","2","4","89789","320356"
"computer hardware","associate's degree","0","5","82351","199738"
"computer hardware","bachelor's degree","1","10","120955","413890"
"office supplies","associate's degree","2","9","110339","499277"
"printers","associate's degree","2","6","90644","406442"
"office supplies","bachelor's degree","2","0","69268","155184"
"peripherals","some college","3","8","110872","510978"
"printers","bachelor's degree","0","5","72418","204175"
"computer hardware","some college","2","7","97832","385915"
"printers","some college","1","7","88930","343879"
"office supplies","associate's degree","1","6","79032","287240"
"printers","some college","1","5","74628","274074"
"office supplies","some college","2","7","99365","416423"
"computer software","some college","0","10","107515","357994"
"computer hardware","master's degree","3","3","96587","366637"
"office supplies","associate's degree","0","7","89243","301309"
"printers","some college","0","3","60578","179008"
"peripherals","some college","1","4","79149","287004"
