0,1,2,3,4,5,6,7
20.0,4,114.0,91.0,2582.0,14.0,73,USA
19.0,4,121.0,112.0,2868.0,15.5,73,USA
15.0,8,318.0,150.0,3399.0,11.0,73,India
24.0,4,121.0,110.0,2660.0,14.0,73,USA
20.0,6,156.0,122.0,2807.0,13.5,73,Germany
11.0,8,350.0,180.0,3664.0,11.0,73,India
20.0,6,198.0,95.0,3102.0,16.5,74,India
21.0,6,200.0,,2875.0,17.0,74,India
19.0,6,232.0,100.0,2901.0,16.0,74,India
15.0,6,250.0,100.0,3336.0,17.0,74,India
31.0,4,79.0,67.0,1950.0,19.0,74,Germany
26.0,4,122.0,80.0,2451.0,16.5,74,India
32.0,4,71.0,65.0,1836.0,21.0,74,Germany
25.0,4,140.0,75.0,2542.0,17.0,74,India
16.0,6,250.0,100.0,3781.0,17.0,74,India
16.0,6,258.0,110.0,3632.0,18.0,74,India
18.0,6,225.0,105.0,3613.0,16.5,74,India
16.0,8,302.0,140.0,4141.0,14.0,74,India
13.0,8,350.0,150.0,4699.0,14.5,74,India
14.0,8,318.0,150.0,4457.0,13.5,74,India
14.0,8,302.0,140.0,4638.0,16.0,74,India
14.0,8,304.0,150.0,4257.0,15.5,74,India
29.0,4,98.0,83.0,2219.0,16.5,74,USA
26.0,4,79.0,67.0,1963.0,15.5,74,USA
26.0,4,97.0,78.0,2300.0,14.5,74,USA
31.0,4,76.0,52.0,1649.0,16.5,74,Germany
32.0,4,83.0,61.0,2003.0,19.0,74,Germany
28.0,4,90.0,75.0,2125.0,14.5,74,India
24.0,4,90.0,75.0,2108.0,15.5,74,USA
26.0,4,116.0,75.0,2246.0,14.0,74,USA
24.0,4,120.0,97.0,2489.0,15.0,74,Germany
26.0,4,108.0,93.0,2391.0,15.5,74,Germany
31.0,4,79.0,67.0,2000.0,16.0,74,USA
19.0,6,225.0,95.0,3264.0,16.0,75,India
18.0,6,250.0,105.0,3459.0,16.0,75,India
15.0,6,250.0,72.0,3432.0,21.0,75,India
15.0,6,250.0,72.0,3158.0,19.5,75,India
16.0,8,400.0,170.0,4668.0,11.5,75,India
15.0,8,350.0,145.0,4440.0,14.0,75,India
16.0,8,318.0,150.0,4498.0,14.5,75,India
14.0,8,351.0,148.0,4657.0,13.5,75,India
17.0,6,231.0,110.0,3907.0,21.0,75,India
16.0,6,250.0,105.0,3897.0,18.5,75,India
15.0,6,258.0,110.0,3730.0,19.0,75,India
18.0,6,225.0,95.0,3785.0,19.0,75,India
21.0,6,231.0,110.0,3039.0,15.0,75,India
20.0,8,262.0,110.0,3221.0,13.5,75,India
13.0,8,302.0,129.0,3169.0,12.0,75,India
29.0,4,97.0,75.0,2171.0,16.0,75,Germany
23.0,4,140.0,83.0,2639.0,17.0,75,India
20.0,6,232.0,100.0,2914.0,16.0,75,India
23.0,4,140.0,78.0,2592.0,18.5,75,India
24.0,4,134.0,96.0,2702.0,13.5,75,Germany
25.0,4,90.0,71.0,2223.0,16.5,75,USA
24.0,4,119.0,97.0,2545.0,17.0,75,Germany
18.0,6,171.0,97.0,2984.0,14.5,75,India
29.0,4,90.0,70.0,1937.0,14.0,75,USA
19.0,6,232.0,90.0,3211.0,17.0,75,India
23.0,4,115.0,95.0,2694.0,15.0,75,USA
23.0,4,120.0,88.0,2957.0,17.0,75,USA
22.0,4,121.0,98.0,2945.0,14.5,75,USA
25.0,4,121.0,115.0,2671.0,13.5,75,USA
33.0,4,91.0,53.0,1795.0,17.5,75,Germany
28.0,4,107.0,86.0,2464.0,15.5,76,USA
25.0,4,116.0,81.0,2220.0,16.9,76,USA
25.0,4,140.0,92.0,2572.0,14.9,76,India
26.0,4,98.0,79.0,2255.0,17.7,76,India
27.0,4,101.0,83.0,2202.0,15.3,76,USA
17.5,8,305.0,140.0,4215.0,13.0,76,India
16.0,8,318.0,150.0,4190.0,13.0,76,India
15.5,8,304.0,120.0,3962.0,13.9,76,India
14.5,8,351.0,152.0,4215.0,12.8,76,India
22.0,6,225.0,100.0,3233.0,15.4,76,India
22.0,6,250.0,105.0,3353.0,14.5,76,India
24.0,6,200.0,81.0,3012.0,17.6,76,India
22.5,6,232.0,90.0,3085.0,17.6,76,India
29.0,4,85.0,52.0,2035.0,22.2,76,India
24.5,4,98.0,60.0,2164.0,22.1,76,India
29.0,4,90.0,70.0,1937.0,14.2,76,USA
33.0,4,91.0,53.0,1795.0,17.4,76,Germany
20.0,6,225.0,100.0,3651.0,17.7,76,India
18.0,6,250.0,78.0,3574.0,21.0,76,India
18.5,6,250.0,110.0,3645.0,16.2,76,India
17.5,6,258.0,95.0,3193.0,17.8,76,India
29.5,4,97.0,71.0,1825.0,12.2,76,USA
32.0,4,85.0,70.0,1990.0,17.0,76,Germany
28.0,4,97.0,75.0,2155.0,16.4,76,Germany
26.5,4,140.0,72.0,2565.0,13.6,76,India
20.0,4,130.0,102.0,3150.0,15.7,76,USA
13.0,8,318.0,150.0,3940.0,13.2,76,India
19.0,4,120.0,88.0,3270.0,21.9,76,USA
19.0,6,156.0,108.0,2930.0,15.5,76,Germany
16.5,6,168.0,120.0,3820.0,16.7,76,USA
16.5,8,350.0,180.0,4380.0,12.1,76,India
13.0,8,350.0,145.0,4055.0,12.0,76,India
13.0,8,302.0,130.0,3870.0,15.0,76,India
13.0,8,318.0,150.0,3755.0,14.0,76,India
31.5,4,98.0,68.0,2045.0,18.5,77,Germany
30.0,4,111.0,80.0,2155.0,14.8,77,India
36.0,4,79.0,58.0,1825.0,18.6,77,USA
25.5,4,122.0,96.0,2300.0,15.5,77,India
33.5,4,85.0,70.0,1945.0,16.8,77,Germany
17.5,8,305.0,145.0,3880.0,12.5,77,India
17.0,8,260.0,110.0,4060.0,19.0,77,India
15.5,8,318.0,145.0,4140.0,13.7,77,India
15.0,8,302.0,130.0,4295.0,14.9,77,India
17.5,6,250.0,110.0,3520.0,16.4,77,India
20.5,6,231.0,105.0,3425.0,16.9,77,India
19.0,6,225.0,100.0,3630.0,17.7,77,India
18.5,6,250.0,98.0,3525.0,19.0,77,India
16.0,8,400.0,180.0,4220.0,11.1,77,India
15.5,8,350.0,170.0,4165.0,11.4,77,India
15.5,8,400.0,190.0,4325.0,12.2,77,India
16.0,8,351.0,149.0,4335.0,14.5,77,India
29.0,4,97.0,78.0,1940.0,14.5,77,USA
24.5,4,151.0,88.0,2740.0,16.0,77,India
26.0,4,97.0,75.0,2265.0,18.2,77,Germany
25.5,4,140.0,89.0,2755.0,15.8,77,India
30.5,4,98.0,63.0,2051.0,17.0,77,India
33.5,4,98.0,83.0,2075.0,15.9,77,India
30.0,4,97.0,67.0,1985.0,16.4,77,Germany
30.5,4,97.0,78.0,2190.0,14.1,77,USA
22.0,6,146.0,97.0,2815.0,14.5,77,Germany
21.5,4,121.0,110.0,2600.0,12.8,77,USA
21.5,3,80.0,110.0,2720.0,13.5,77,Germany
43.1,4,90.0,48.0,1985.0,21.5,78,USA
36.1,4,98.0,66.0,1800.0,14.4,78,India
32.8,4,78.0,52.0,1985.0,19.4,78,Germany
39.4,4,85.0,70.0,2070.0,18.6,78,Germany
36.1,4,91.0,60.0,1800.0,16.4,78,Germany
19.9,8,260.0,110.0,3365.0,15.5,78,India
19.4,8,318.0,140.0,3735.0,13.2,78,India
20.2,8,302.0,139.0,3570.0,12.8,78,India
19.2,6,231.0,105.0,3535.0,19.2,78,India
20.5,6,200.0,95.0,3155.0,18.2,78,India
20.2,6,200.0,85.0,2965.0,15.8,78,India
25.1,4,140.0,88.0,2720.0,15.4,78,India
20.5,6,225.0,100.0,3430.0,17.2,78,India
19.4,6,232.0,90.0,3210.0,17.2,78,India
20.6,6,231.0,105.0,3380.0,15.8,78,India
20.8,6,200.0,85.0,3070.0,16.7,78,India
18.6,6,225.0,110.0,3620.0,18.7,78,India
18.1,6,258.0,120.0,3410.0,15.1,78,India
19.2,8,305.0,145.0,3425.0,13.2,78,India
17.7,6,231.0,165.0,3445.0,13.4,78,India
18.1,8,302.0,139.0,3205.0,11.2,78,India
17.5,8,318.0,140.0,4080.0,13.7,78,India
30.0,4,98.0,68.0,2155.0,16.5,78,India
27.5,4,134.0,95.0,2560.0,14.2,78,Germany
27.2,4,119.0,97.0,2300.0,14.7,78,Germany
30.9,4,105.0,75.0,2230.0,14.5,78,India
21.1,4,134.0,95.0,2515.0,14.8,78,Germany
23.2,4,156.0,105.0,2745.0,16.7,78,India
23.8,4,151.0,85.0,2855.0,17.6,78,India
23.9,4,119.0,97.0,2405.0,14.9,78,Germany
20.3,5,131.0,103.0,2830.0,15.9,78,USA
17.0,6,163.0,125.0,3140.0,13.6,78,USA
21.6,4,121.0,115.0,2795.0,15.7,78,USA
16.2,6,163.0,133.0,3410.0,15.8,78,USA
31.5,4,89.0,71.0,1990.0,14.9,78,USA
29.5,4,98.0,68.0,2135.0,16.6,78,Germany
21.5,6,231.0,115.0,3245.0,15.4,79,India
19.8,6,200.0,85.0,2990.0,18.2,79,India
22.3,4,140.0,88.0,2890.0,17.3,79,India
20.2,6,232.0,90.0,3265.0,18.2,79,India
20.6,6,225.0,110.0,3360.0,16.6,79,India
17.0,8,305.0,130.0,3840.0,15.4,79,India
17.6,8,302.0,129.0,3725.0,13.4,79,India
16.5,8,351.0,138.0,3955.0,13.2,79,India
18.2,8,318.0,135.0,3830.0,15.2,79,India
16.9,8,350.0,155.0,4360.0,14.9,79,India
15.5,8,351.0,142.0,4054.0,14.3,79,India
19.2,8,267.0,125.0,3605.0,15.0,79,India
18.5,8,360.0,150.0,3940.0,13.0,79,India
31.9,4,89.0,71.0,1925.0,14.0,79,USA
34.1,4,86.0,65.0,1975.0,15.2,79,Germany
35.7,4,98.0,80.0,1915.0,14.4,79,India
27.4,4,121.0,80.0,2670.0,15.0,79,India
25.4,5,183.0,77.0,3530.0,20.1,79,USA
23.0,8,350.0,125.0,3900.0,17.4,79,India
27.2,4,141.0,71.0,3190.0,24.8,79,USA
23.9,8,260.0,90.0,3420.0,22.2,79,India
34.2,4,105.0,70.0,2200.0,13.2,79,India
34.5,4,105.0,70.0,2150.0,14.9,79,India
31.8,4,85.0,65.0,2020.0,19.2,79,Germany
37.3,4,91.0,69.0,2130.0,14.7,79,USA
28.4,4,151.0,90.0,2670.0,16.0,79,India
28.8,6,173.0,115.0,2595.0,11.3,79,India
26.8,6,173.0,115.0,2700.0,12.9,79,India
33.5,4,151.0,90.0,2556.0,13.2,79,India
41.5,4,98.0,76.0,2144.0,14.7,80,USA
38.1,4,89.0,60.0,1968.0,18.8,80,Germany
32.1,4,98.0,70.0,2120.0,15.5,80,India
37.2,4,86.0,65.0,2019.0,16.4,80,Germany
28.0,4,151.0,90.0,2678.0,16.5,80,India
26.4,4,140.0,88.0,2870.0,18.1,80,India
24.3,4,151.0,90.0,3003.0,20.1,80,India
19.1,6,225.0,90.0,3381.0,18.7,80,India
34.3,4,97.0,78.0,2188.0,15.8,80,USA
29.8,4,134.0,90.0,2711.0,15.5,80,Germany
31.3,4,120.0,75.0,2542.0,17.5,80,Germany
37.0,4,119.0,92.0,2434.0,15.0,80,Germany
32.2,4,108.0,75.0,2265.0,15.2,80,Germany
46.6,4,86.0,65.0,2110.0,17.9,80,Germany
27.9,4,156.0,105.0,2800.0,14.4,80,India
40.8,4,85.0,65.0,2110.0,19.2,80,Germany
44.3,4,90.0,48.0,2085.0,21.7,80,USA
43.4,4,90.0,48.0,2335.0,23.7,80,USA
36.4,5,121.0,67.0,2950.0,19.9,80,USA
30.0,4,146.0,67.0,3250.0,21.8,80,USA
44.6,4,91.0,67.0,1850.0,13.8,80,Germany
40.9,4,85.0,,1835.0,17.3,80,USA
33.8,4,97.0,67.0,2145.0,18.0,80,Germany
29.8,4,89.0,62.0,1845.0,15.3,80,USA
32.7,6,168.0,132.0,2910.0,11.4,80,Germany
23.7,3,70.0,100.0,2420.0,12.5,80,Germany
35.0,4,122.0,88.0,2500.0,15.1,80,USA
23.6,4,140.0,,2905.0,14.3,80,India
32.4,4,107.0,72.0,2290.0,17.0,80,Germany
27.2,4,135.0,84.0,2490.0,15.7,81,India
26.6,4,151.0,84.0,2635.0,16.4,81,India
25.8,4,156.0,92.0,2620.0,14.4,81,India
23.5,6,173.0,110.0,2725.0,12.6,81,India
30.0,4,135.0,84.0,2385.0,12.9,81,India
39.1,4,79.0,58.0,1755.0,16.9,81,Germany
39.0,4,86.0,64.0,1875.0,16.4,81,India
35.1,4,81.0,60.0,1760.0,16.1,81,Germany
32.3,4,97.0,67.0,2065.0,17.8,81,Germany
37.0,4,85.0,65.0,1975.0,19.4,81,Germany
37.7,4,89.0,62.0,2050.0,17.3,81,Germany
34.1,4,91.0,68.0,1985.0,16.0,81,Germany
34.7,4,105.0,63.0,2215.0,14.9,81,India
34.4,4,98.0,65.0,2045.0,16.2,81,India
29.9,4,98.0,65.0,2380.0,20.7,81,India
33.0,4,105.0,74.0,2190.0,14.2,81,USA
34.5,4,100.0,,2320.0,15.8,81,USA
33.7,4,107.0,75.0,2210.0,14.4,81,Germany
32.4,4,108.0,75.0,2350.0,16.8,81,Germany
32.9,4,119.0,100.0,2615.0,14.8,81,Germany
31.6,4,120.0,74.0,2635.0,18.3,81,Germany
28.1,4,141.0,80.0,3230.0,20.4,81,USA
30.7,6,145.0,76.0,3160.0,19.6,81,USA
25.4,6,168.0,116.0,2900.0,12.6,81,Germany
24.2,6,146.0,120.0,2930.0,13.8,81,Germany
22.4,6,231.0,110.0,3415.0,15.8,81,India
26.6,8,350.0,105.0,3725.0,19.0,81,India
20.2,6,200.0,88.0,3060.0,17.1,81,India
17.6,6,225.0,85.0,3465.0,16.6,81,India
28.0,4,112.0,88.0,2605.0,19.6,82,India
27.0,4,112.0,88.0,2640.0,18.6,82,India
34.0,4,112.0,88.0,2395.0,18.0,82,India
31.0,4,112.0,85.0,2575.0,16.2,82,India
29.0,4,135.0,84.0,2525.0,16.0,82,India
27.0,4,151.0,90.0,2735.0,18.0,82,India
24.0,4,140.0,92.0,2865.0,16.4,82,India
23.0,4,151.0,,3035.0,20.5,82,India
36.0,4,105.0,74.0,1980.0,15.3,82,USA
37.0,4,91.0,68.0,2025.0,18.2,82,Germany
31.0,4,91.0,68.0,1970.0,17.6,82,Germany
38.0,4,105.0,63.0,2125.0,14.7,82,India
36.0,4,98.0,70.0,2125.0,17.3,82,India
36.0,4,120.0,88.0,2160.0,14.5,82,Germany
36.0,4,107.0,75.0,2205.0,14.5,82,Germany
34.0,4,108.0,70.0,2245.0,16.9,82,Germany
38.0,4,91.0,67.0,1965.0,15.0,82,Germany
32.0,4,91.0,67.0,1965.0,15.7,82,Germany
38.0,4,91.0,67.0,1995.0,16.2,82,Germany
25.0,6,181.0,110.0,2945.0,16.4,82,India
38.0,6,262.0,85.0,3015.0,17.0,82,India
26.0,4,156.0,92.0,2585.0,14.5,82,India
22.0,6,232.0,112.0,2835.0,14.7,82,India
32.0,4,144.0,96.0,2665.0,13.9,82,Germany
36.0,4,135.0,84.0,2370.0,13.0,82,India
27.0,4,151.0,90.0,2950.0,17.3,82,India
27.0,4,140.0,86.0,2790.0,15.6,82,India
44.0,4,97.0,52.0,2130.0,24.6,82,USA
32.0,4,135.0,84.0,2295.0,11.6,82,India
28.0,4,120.0,79.0,2625.0,18.6,82,India
31.0,4,119.0,82.0,2720.0,19.4,82,India
