id,date,time,country_name,state/province,population,landslide_type,trigger,fatalities
497,4/11/08,,Peru,Ancash,5044,Landslide,Rain,
498,4/11/08,,United States,Wisconsin,2200,Landslide,Unknown,
499,4/13/08,,United States,Colorado,6447,Mudslide,Rain,
501,4/16/08,,Jamaica,Saint Ann,9450,Mudslide,Rain,
506,4/20/08,,Haiti,Ouest,1234742,Mudslide,Rain,3.0
509,4/25/08,,United States,Minnesota,27592,Mudslide,Rain,
514,4/29/08,,United States,New Hampshire,1813,Rockfall,Rain,
515,4/29/08,,United States,New Hampshire,1142,Mudslide,Rain,
530,5/9/08,,United States,Virginia,1698,Mudslide,Downpour,
532,5/12/08,,United States,West Virginia,1638,Rockfall,Rain,
546,5/20/08,,United States,Kentucky,5723,Mudslide,Rain,
555,5/28/08,,United States,Colorado,6658,Mudslide,Rain,
556,5/29/08,,Costa Rica,Guanacaste,4108,Landslide,Tropical cyclone,
562,5/31/08,,Colombia,Antioquia,1999979,Complex,Downpour,27.0
563,6/1/08,,Guatemala,Escuintla,31329,Mudslide,Tropical cyclone,1.0
564,6/2/08,,El Salvador,La Libertad,124694,Landslide,Tropical cyclone,
577,6/7/08,,United States,Indiana,11828,Mudslide,Downpour,
590,6/16/08,,United States,New York,1031,Mudslide,Rain,
591,6/18/08,,Guatemala,Guatemala,994938,Complex,Rain,8.0
597,6/20/08,,United States,Arkansas,466,Mudslide,Rain,
605,6/24/08,,Colombia,Norte de Santander,1502,Landslide,Downpour,10.0
617,6/29/08,,United States,New Jersey,34457,Mudslide,Rain,
629,7/5/08,,United States,New Mexico,13753,Debris flow,Downpour,
633,7/9/08,,United States,West Virginia,3191,Landslide,Downpour,
634,7/9/08,,United States,West Virginia,51400,Mudslide,Downpour,
635,7/9/08,,United States,Iowa,1919,Landslide,Downpour,
643,7/13/08,,United States,Colorado,16887,Mudslide,Downpour,
644,7/14/08,,Colombia,Cundinamarca,1374,Landslide,Downpour,4.0
649,7/16/08,,United States,Wisconsin,1887,Mudslide,Flooding,
650,7/17/08,,Colombia,Antioquia,2214,Landslide,Rain,8.0
656,7/21/08,,Guatemala,Zacapa,3682,Mudslide,Tropical cyclone,21.0
658,7/22/08,,United States,Colorado,2826,Mudslide,Downpour,
659,7/22/08,,United States,Idaho,2991,Mudslide,Downpour,
660,7/22/08,,United States,Idaho,3112,Mudslide,Downpour,
675,7/28/08,,United States,Colorado,3068,Mudslide,Downpour,
686,8/4/08,,United States,New Mexico,1788,Mudslide,Rain,
690,8/6/08,,United States,Colorado,3068,Mudslide,Rain,
691,8/6/08,,United States,New Hampshire,1126,Mudslide,Rain,
693,8/7/08,,United States,California,20292,Complex,Downpour,
694,8/7/08,,United States,Colorado,6427,Mudslide,Rain,
695,8/7/08,,United States,Utah,7979,Mudslide,Downpour,
698,8/8/08,,United States,Utah,1270,Landslide,Rain,
724,8/17/08,,Dominican Republic,Hato Mayor,13977,Complex,Tropical cyclone,
728,8/18/08,,Colombia,Antioquia,65565,Landslide,Rain,
729,8/18/08,,Colombia,Córdoba,55513,Landslide,Rain,
742,8/23/08,,United States,Colorado,5236,Mudslide,Rain,
743,8/24/08,,United States,Colorado,1646,Mudslide,Rain,
744,8/25/08,,Mexico,México,7182,Mudslide,Downpour,1.0
746,8/26/08,,Dominican Republic,Distrito Nacional,10457,Mudslide,Tropical cyclone,8.0
747,8/26/08,,Haiti,Sud-Est,137966,Landslide,Tropical cyclone,25.0
748,8/26/08,,Haiti,Ouest,1234742,Mudslide,Tropical cyclone,3.0
750,8/26/08,,Panama,Panamá,1287,Landslide,Downpour,
751,8/26/08,,United States,North Carolina,1192,Mudslide,Rain,
756,8/28/08,,Jamaica,Saint Andrew,1821,Landslide,Tropical cyclone,7.0
757,8/28/08,,United States,North Carolina,1192,Mudslide,Tropical cyclone,
771,9/3/08,,Haiti,Artibonite,84961,Mudslide,Tropical cyclone,26.0
774,9/4/08,,Jamaica,Saint Thomas,2382,Complex,Tropical cyclone,
776,9/6/08,,Costa Rica,San José,10028,Mudslide,Downpour,
779,9/6/08,,United States,Massachusetts,39880,Mudslide,Tropical cyclone,
780,9/7/08,,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,
800,9/20/08,,United States,Idaho,1406,Mudslide,Downpour,
826,10/3/08,,Nicaragua,Masaya,5182,Landslide,Downpour,9.0
837,10/12/08,,Colombia,Córdoba,5385,Landslide,Downpour,
838,10/12/08,,Costa Rica,San José,34877,Landslide,Downpour,
839,10/12/08,,Costa Rica,San José,8292,Landslide,Downpour,
841,10/12/08,,Saint Lucia,Vieux-Fort,4574,Landslide,Downpour,
845,10/15/08,,Costa Rica,Puntarenas,6777,Landslide,Downpour,
848,10/16/08,,Costa Rica,Puntarenas,6540,Complex,Downpour,
852,10/18/08,,Guatemala,Chimaltenango,5987,Landslide,Tropical cyclone,
854,10/19/08,,Honduras,Copán,4752,Landslide,Tropical cyclone,23.0
855,10/20/08,,Honduras,Francisco Morazán ,850848,Mudslide,Tropical cyclone,29.0
857,10/22/08,,Barbados,Saint Joseph,1765,Mudslide,Downpour,
867,10/28/08,,Guatemala,Huehuetenango,1311,Mudslide,Downpour,
889,11/16/08,,Colombia,Antioquia,1999979,Mudslide,Downpour,8.0
891,11/16/08,,Trinidad and Tobago,City of Port of Spain,49031,Complex,Downpour,1.0
896,11/20/08,,Venezuela,Distrito Federal,3000000,Mudslide,Downpour,8.0
904,11/24/08,,Colombia,Cauca,13223,Mudslide,Downpour,10.0
905,11/25/08,,Panama,Chiriquí,6123,Complex,Downpour,8.0
908,11/26/08,,United States,California,9277,Debris flow,Rain,
928,12/14/08,Night,Guatemala,Izabal,18994,Mudslide,Rain,2.0
937,12/17/08,,United States,California,3148,Mudslide,Rain,
938,12/18/08,,Trinidad and Tobago,Diego Martin,8140,Mudslide,Downpour,
939,12/19/08,,Trinidad and Tobago,Diego Martin,8140,Complex,Downpour,
941,12/20/08,,Trinidad and Tobago,Penal/Debe,12281,Mudslide,Downpour,
946,12/22/08,,United States,California,3841,Complex,Downpour,
947,12/22/08,Early morning,United States,Tennessee,5934,Lahar,Dam embankment collapse,
958,1/7/09,1:41:00,United States,North Carolina,1150,Landslide,Rain,0.0
975,1/22/09,,Mexico,The Federal District,12294193,Landslide,Downpour,2.0
984,2/12/09,,Dominican Republic,Santiago,1457,Mudslide,Downpour,0.0
995,3/10/09,Afternoon,United States,Pennsylvania,5951,Mudslide,Rain,0.0
996,3/19/09,,Colombia,Huila,4444,Mudslide,Continuous rain,5.0
1000,4/8/09,Early morning,United States,Tennessee,2845,Rockfall,Rain,0.0
1001,4/11/09,11:30:00,United States,Utah,112488,Rockfall,Downpour,0.0
1003,4/13/09,Early morning,United States,Virginia,1463,Mudslide,Downpour,0.0
1004,4/14/09,,Peru,La Libertad,0,Mudslide,Downpour,12.0
1005,4/14/09,,Peru,La Libertad,0,Mudslide,Downpour,0.0
1006,4/14/09,Night,United States,Utah,33433,Rockfall,Rain,0.0
1007,4/15/09,Morning,United States,Utah,20816,Rockfall,Rain,0.0
1008,4/15/09,Morning,United States,Utah,10062,Rockfall,Rain,0.0
1010,4/20/09,Morning,United States,Virginia,1463,Mudslide,Downpour,0.0
1011,4/20/09,23:25:00,United States,Colorado,97385,Mudslide,Rain,0.0
1014,4/24/09,,Colombia,Córdoba,59188,Mudslide,Downpour,1.0
1017,5/4/09,,United States,Missouri,17916,Landslide,Continuous rain,0.0
1019,5/6/09,,Brazil,Pará,70888,Mudslide,Rain,19.0
1020,5/6/09,,Brazil,Maranhão,48901,Mudslide,Rain,3.0
1022,5/8/09,,United States,Kentucky,777,Landslide,Downpour,0.0
1023,5/8/09,,United States,Kentucky,2231,Landslide,Downpour,0.0
1024,5/11/09,,United States,Kentucky,6903,Landslide,Downpour,
1026,5/17/09,,United States,North Carolina,18228,Mudslide,Downpour,1.0
1033,5/30/09,,United States,West Virginia,1142,Mudslide,Unknown,0.0
1038,6/18/09,Night,United States,Utah,42274,Landslide,Downpour,0.0
1039,6/19/09,,United States,North Carolina,3776,Rockfall,Downpour,0.0
1040,6/21/09,18:00:00,United States,Idaho,2689,Mudslide,Downpour,0.0
1069,7/31/09,Night,United States,Kentucky,5338,Mudslide,Rain,0.0
1105,8/19/09,,United States,Kentucky,31577,Landslide,Unknown,0.0
1116,8/20/09,,United States,Wisconsin,5911,Landslide,Rain,0.0
1117,8/21/09,,Trinidad and Tobago,City of San Fernando,26700,Landslide,Downpour,0.0
1131,9/1/09,,Mexico,Baja California Sur,48518,Mudslide,Tropical cyclone,
1140,9/7/09,Early morning,Haiti,Artibonite,66226,Mudslide,Downpour,1.0
1155,9/11/09,,United States,Texas,4529,Mudslide,Downpour,
1167,9/15/09,,Mexico,The Federal District,228927,Mudslide,Downpour,3.0
1177,9/20/09,,Dominican Republic,Puerto Plata,4563,Landslide,Downpour,2.0
1178,9/20/09,,Dominican Republic,Santiago,23304,Landslide,Downpour,
1180,9/20/09,,United States,Georgia,3410,Mudslide,Downpour,
1182,9/21/09,,United States,Alabama,3485,Mudslide,Downpour,
1183,9/21/09,,United States,Georgia,5802,Mudslide,Downpour,
1184,9/21/09,Early morning,United States,Georgia,1602,Mudslide,Rain,
1185,9/21/09,,United States,North Carolina,7609,Landslide,Downpour,
1186,12/28/09,Night,Ecuador,Santo Domingo de los Tsáchilas,200421,Mudslide,Downpour,3.0
1194,9/26/09,,United States,Georgia,2301,Mudslide,Downpour,
1195,9/26/09,,United States,Tennessee,3944,Mudslide,Downpour,
1256,10/12/09,,United States,Texas,45028,Landslide,Rain,0.0
1265,10/17/09,,United States,Kentucky,365,Rockfall,Downpour,
1266,10/20/09,,Haiti,Ouest,442156,Landslide,Downpour,4.0
1285,11/8/09,,El Salvador,San Vicente,41504,Complex,Tropical cyclone,23.0
1286,11/8/09,,El Salvador,La Libertad,33767,Mudslide,Tropical cyclone,4.0
1287,11/8/09,,El Salvador,San Vicente,41504,Rockfall,Tropical cyclone,
1288,11/8/09,,El Salvador,San Vicente,41504,Mudslide,Tropical cyclone,
1294,11/11/09,,United States,Tennessee,20979,Mudslide,Rain,0.0
1296,11/13/09,,Costa Rica,Puntarenas,3981,Landslide,Earthquake,1.0
1307,11/17/09,,United States,Illinois,27865,Mudslide,Downpour,0.0
1353,12/9/09,,United States,Tennessee,167674,Mudslide,Downpour,0.0
1354,12/9/09,,United States,Tennessee,7554,Mudslide,Downpour,0.0
1355,12/9/09,,United States,Tennessee,7554,Mudslide,Downpour,0.0
1357,12/12/09,,United States,Missouri,3364,Landslide,Rain,0.0
1358,12/13/09,,United States,California,4862,Complex,Downpour,0.0
1367,12/18/09,,United States,Mississippi,2175,Mudslide,Downpour,0.0
1391,1/10/10,,Jamaica,Portland,1119,Landslide,Downpour,0.0
1393,1/10/10,Night,Ecuador,Pichincha,25742,Mudslide,Rain,3.0
1431,1/21/10,Morning,United States,California,9277,Mudslide,Downpour,0.0
1434,1/21/10,22:00:00,United States,Arizona,1424,Complex,Downpour,0.0
1435,1/21/10,,United States,California,3552,Debris flow,Downpour,0.0
1439,1/21/10,17:36:00,United States,California,1128,Mudslide,Downpour,0.0
1441,1/22/10,,United States,Arizona,2633,Mudslide,Downpour,0.0
1448,1/24/10,Overnight,United States,North Carolina,2937,Mudslide,Downpour,0.0
1449,1/24/10,16:30:00,United States,Tennessee,4577,Mudslide,Downpour,0.0
1450,1/24/10,,United States,Tennessee,7554,Mudslide,Downpour,0.0
1452,1/25/10,Overnight,United States,Tennessee,12714,Complex,Downpour,0.0
1453,1/25/10,Morning,United States,Pennsylvania,305704,Mudslide,Downpour,0.0
1454,1/25/10,13:40:00,United States,Connecticut,1212,Mudslide,Downpour,0.0
1455,1/25/10,Early morning,United States,North Carolina,2441,Mudslide,Downpour,0.0
1456,1/26/10,,United States,Kentucky,1255,Complex,Downpour,0.0
1459,1/28/10,15:00:00,Peru,Ancash,0,Complex,Downpour,0.0
1465,2/3/10,,Ecuador,Tungurahua,9501,Mudslide,Downpour,4.0
1467,2/4/10,7:00:00,United States,South Carolina,13905,Rockfall,Rain,0.0
1469,2/5/10,,Mexico,México,505881,Landslide,Downpour,11.0
1470,2/5/10,,Mexico,Michoacán,78950,Mudslide,Downpour,2.0
1471,2/5/10,,Mexico,Michoacán,2817,Mudslide,Downpour,1.0
1472,2/5/10,,Mexico,Michoacán,4943,Mudslide,Downpour,3.0
1474,2/5/10,19:00:00,United States,North Carolina,1150,Mudslide,Downpour,0.0
1477,2/4/10,22:00,Mexico,México,2968,Mudslide,Downpour,11.0
1484,2/6/10,,United States,Kentucky,5245,Mudslide,Downpour,0.0
1485,2/6/10,,United States,Kentucky,2203,Landslide,Downpour,0.0
1490,2/8/10,0:00:00,United States,Tennessee,4058,Mudslide,Rain,0.0
1506,2/15/10,12:00,Haiti,Nord,134815,Mudslide,Downpour,4.0
1525,2/25/10,6:45:00,United States,California,29603,Complex,Rain,0.0
1531,2/27/10,,United States,California,209924,Mudslide,Downpour,0.0
1552,3/11/10,,Dominica,Saint Paul,702,Landslide,Rain,0.0
1555,3/11/10,,United States,Pennsylvania,305704,Landslide,Downpour,0.0
1556,3/11/10,Afternoon,United States,Pennsylvania,5951,Landslide,Downpour,0.0
1557,3/11/10,18:15:00,United States,Wisconsin,2133,Mudslide,Downpour,0.0
1562,3/12/10,,United States,West Virginia,1260,Mudslide,Downpour,0.0
1564,3/13/10,,United States,West Virginia,6432,Mudslide,Downpour,0.0
1565,3/13/10,Night,United States,New Jersey,9916,Mudslide,Downpour,0.0
1566,3/13/10,,United States,West Virginia,3572,Landslide,Downpour,0.0
1567,3/14/10,16:30:00,United States,Ohio,6397,Mudslide,Downpour,0.0
1568,3/14/10,,United States,Massachusetts,2717,Mudslide,Downpour,0.0
1569,3/14/10,,United States,New Jersey,2410,Mudslide,Downpour,0.0
1570,3/14/10,,United States,North Carolina,620,Landslide,Downpour,0.0
1575,3/15/10,2:00:00,United States,Massachusetts,7389,Mudslide,Rain,0.0
1576,3/15/10,19:00:00,United States,Massachusetts,5918,Landslide,Downpour,0.0
1578,3/16/10,Late morning,United States,Pennsylvania,2528,Mudslide,Downpour,0.0
1579,3/18/10,,United States,Tennessee,3944,Landslide,Downpour,0.0
1584,3/21/10,Overnight,United States,Ohio,1311,Landslide,Downpour,0.0
1591,3/25/10,Early morning,United States,Alabama,2264,Landslide,Downpour,0.0
1595,3/26/10,23:30:00,United States,New York,1113,Landslide,Downpour,0.0
1599,3/29/10,11:00:00,United States,Tennessee,3944,Mudslide,Downpour,0.0
1601,3/30/10,15:00:00,United States,Connecticut,47648,Landslide,Rain,0.0
1602,3/30/10,,United States,New York,7612,Mudslide,Downpour,0.0
1603,3/30/10,7:19:00,United States,New York,195976,Mudslide,Downpour,0.0
1604,3/30/10,Early morning,United States,Iowa,11051,Mudslide,Rain,0.0
1605,3/30/10,,United States,Iowa,11051,Landslide,Rain,0.0
1606,3/30/10,,United States,Maine,7794,Landslide,Downpour,0.0
1608,3/31/10,Evening,United States,New Hampshire,1108,Landslide,Rain,0.0
1612,4/1/10,Early morning,Peru,Huanuco,0,Lahar,Downpour,12.0
1614,4/2/10,,Peru,Huanuco,6865,Landslide,Downpour,28.0
1739,4/7/10,21:00:00,United States,Iowa,25663,Mudslide,Rain,0.0
1743,4/12/10,,Dominica,Saint Patrick,2608,Landslide,Downpour,0.0
1744,4/12/10,,Dominica,Saint Paul,702,Landslide,Downpour,0.0
1745,4/12/10,,Dominica,Saint Patrick,2608,Landslide,Downpour,0.0
1746,4/12/10,,Dominica,Saint Patrick,2608,Landslide,Downpour,0.0
1747,4/12/10,,Dominica,Saint Patrick,1332,Landslide,Downpour,0.0
1749,4/14/10,,Costa Rica,Alajuela,14448,Landslide,Downpour,0.0
1751,4/14/10,,Colombia,Cundinamarca,130289,Landslide,Downpour,2.0
1754,4/16/10,,Dominica,Saint Paul,702,Landslide,Downpour,0.0
1760,4/18/10,,Jamaica,Saint Thomas,2634,Landslide,Downpour,0.0
1761,4/18/10,,Jamaica,Clarendon,4514,Landslide,Downpour,0.0
1762,4/18/10,,Jamaica,Clarendon,44755,Landslide,Downpour,0.0
1763,4/18/10,,Jamaica,Portland,2757,Landslide,Downpour,0.0
1764,4/18/10,,Jamaica,Portland,14400,Landslide,Downpour,0.0
1784,4/25/10,Early morning,United States,Tennessee,2694,Landslide,Downpour,0.0
1786,4/27/10,Early morning,Costa Rica,Heredia,1355,Landslide,Downpour,0.0
1804,5/2/10,,United States,Kentucky,6845,Mudslide,Downpour,0.0
1805,5/2/10,,United States,Kentucky,1883,Landslide,Downpour,0.0
1806,5/2/10,,United States,Tennessee,2912,Landslide,Downpour,0.0
1807,5/2/10,,United States,Tennessee,4812,Landslide,Downpour,0.0
1808,5/2/10,,United States,Tennessee,7720,Landslide,Downpour,0.0
1809,5/2/10,,United States,Tennessee,31279,Landslide,Downpour,0.0
1810,5/2/10,,United States,Tennessee,34681,Landslide,Downpour,0.0
1814,5/3/10,,United States,Kentucky,777,Mudslide,Downpour,0.0
1815,5/3/10,,United States,Kentucky,365,Mudslide,Downpour,0.0
1816,5/3/10,,United States,Kentucky,2237,Mudslide,Downpour,0.0
1817,5/3/10,Overnight,United States,Kentucky,1732,Mudslide,Downpour,0.0
1818,5/3/10,,United States,Kentucky,3459,Mudslide,Downpour,0.0
1819,5/3/10,,United States,Kentucky,717,Mudslide,Downpour,0.0
1820,5/3/10,,United States,West Virginia,3191,Mudslide,Downpour,0.0
1821,5/3/10,,United States,Kentucky,717,Mudslide,Downpour,0.0
1822,5/3/10,,United States,Kentucky,4456,Mudslide,Downpour,0.0
1823,5/3/10,,United States,Kentucky,777,Mudslide,Downpour,0.0
1824,5/3/10,,United States,Kentucky,777,Rockfall,Downpour,0.0
1825,5/3/10,,United States,Kentucky,2237,Mudslide,Downpour,0.0
1826,5/3/10,,United States,Kentucky,2237,Mudslide,Downpour,0.0
1827,5/3/10,,United States,West Virginia,1090,Mudslide,Downpour,0.0
1828,5/3/10,,United States,Virginia,1414,Mudslide,Downpour,0.0
1829,5/3/10,,United States,Kentucky,2203,Mudslide,Downpour,0.0
1830,5/3/10,,United States,Kentucky,6903,Complex,Downpour,0.0
1831,5/3/10,,United States,Ohio,11129,Landslide,Downpour,0.0
1832,5/3/10,,United States,Ohio,11129,Landslide,Downpour,0.0
1833,5/3/10,,United States,Ohio,2165,Landslide,Downpour,0.0
1834,5/3/10,Morning,Ecuador,Esmeraldas,165216,Mudslide,Downpour,3.0
1836,5/4/10,Early morning,Colombia,Valle del Cauca,2392877,Landslide,Downpour,0.0
1838,5/5/10,,Mexico,Baja California,1376457,Mudslide,Rain,0.0
1850,5/9/10,,United States,Tennessee,2912,Mudslide,Downpour,0.0
1855,5/10/10,,United States,Ohio,11129,Landslide,Downpour,0.0
1859,5/14/10,5:00:00,United States,Missouri,4208,Mudslide,Downpour,0.0
1869,5/16/10,Early morning,United States,Kentucky,1883,Landslide,Downpour,0.0
1872,5/17/10,Night,United States,West Virginia,51400,Mudslide,Downpour,0.0
1886,5/22/10,18:00:00,Costa Rica,Alajuela,14448,Landslide,Downpour,0.0
1891,5/23/10,10:00:00,United States,North Carolina,872,Mudslide,Downpour,0.0
1892,5/23/10,,Colombia,Meta,16678,Landslide,Downpour,0.0
1900,5/24/10,,United States,Utah,10062,Landslide,Rain,0.0
1904,5/26/10,,Guatemala,Quetzaltenango,11913,Mudslide,Tropical cyclone,4.0
1909,5/27/10,,Colombia,Cundinamarca,313945,Landslide,Downpour,0.0
1914,5/29/10,,Guatemala,Escuintla,31329,Mudslide,Tropical cyclone,0.0
1915,5/29/10,,Guatemala,Guatemala,71836,Mudslide,Tropical cyclone,0.0
1916,5/29/10,,Guatemala,Guatemala,97172,Landslide,Tropical cyclone,11.0
1917,5/29/10,,Guatemala,Sacatepéquez,15529,Mudslide,Tropical cyclone,0.0
1919,5/30/10,,Guatemala,Guatemala,994938,Landslide,Tropical cyclone,17.0
1920,5/30/10,,Guatemala,Sololá,1422,Mudslide,Tropical cyclone,14.0
1921,5/30/10,,Guatemala,Chimaltenango,2396,Landslide,Tropical cyclone,11.0
1922,5/29/10,Night,Guatemala,Sololá,9681,Mudslide,Tropical cyclone,1.0
1923,5/30/10,,Guatemala,Guatemala,47247,Mudslide,Tropical cyclone,4.0
1924,5/30/10,,Guatemala,Quiché,11046,Landslide,Tropical cyclone,3.0
1925,5/30/10,,Guatemala,Totonicapán,69734,Landslide,Tropical cyclone,3.0
1947,6/5/10,17:00:00,United States,Pennsylvania,305704,Mudslide,Downpour,0.0
1948,6/5/10,,United States,Pennsylvania,4432,Landslide,Downpour,0.0
1955,6/7/10,1:30:00,United States,North Carolina,7609,Mudslide,Downpour,0.0
1956,6/7/10,,United States,Nevada,12361,Landslide,Downpour,0.0
1965,6/13/10,,United States,West Virginia,1654,Mudslide,Downpour,0.0
2007,6/21/10,,United States,Indiana,67140,Landslide,Downpour,0.0
2010,6/23/10,Morning,United States,Minnesota,2868,Mudslide,Downpour,0.0
2011,6/23/10,,United States,Wisconsin,5184,Landslide,Downpour,0.0
2021,6/27/10,,Guatemala,Sololá,6186,Landslide,Tropical cyclone,2.0
2027,6/28/10,19:00:00,United States,Colorado,2617,Landslide,Downpour,0.0
2028,6/28/10,12:00:00,United States,New York,10545,Mudslide,Downpour,0.0
2033,7/2/10,,Mexico,Nuevo León,254472,Mudslide,Tropical cyclone,1.0
