ID,BrandName,ModelNumber,UPC,Configuration,Features,Market,Volume,IMEF,MinimumIMEF,EnergyUse,IWF,MaximumIWF,WaterUse,DateAvailable,DateCertified,Countries,MostEfficient
2320406,LG,WM3095C*,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,5/18/18,5/16/18,"United States, Canada",No
2310476,LG,WM3180C*,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,4/17/17,2/8/18,"United States, Canada",No
2310498,LG,WM3270C*,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,7/29/16,2/9/18,"United States, Canada",Yes
2310499,LG,WM3275C*,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,7/29/16,2/9/18,"United States, Canada",No
2350799,LG,WM3400C*,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,12/4/19,12/3/19,"United States, Canada",Yes
2339489,LG,WM3460C*,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,6/6/19,6/6/19,"United States, Canada",Yes
2319458,LG,WM3500C*,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,5/9/18,5/4/18,"United States, Canada",Yes
2320405,LG,WM3505C*,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,5/18/18,5/16/18,"United States, Canada",No
2310484,LG,WM3575C*,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4239,7/28/16,2/8/18,"United States, Canada",No
2358067,LG,WM3600H*A,1,Front Load,None,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,4/14/20,4/14/20,"United States, Canada",Yes
2310497,LG,WM3670H*A,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,100,3.2,4.7,4220,9/1/16,2/9/18,"United States, Canada",No
2318268,LG,WM3700H*A,1,Front Load,None,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,4/21/18,4/9/18,"United States, Canada",Yes
2310488,LG,WM3770H*A,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,7/22/16,2/8/18,"United States, Canada",No
2337192,LG,WM3800H*A,1,Front Load,None,Residential,4.5,2.92,1.84,105,2.9,4.7,3850,4/29/19,4/24/19,"United States, Canada",Yes
2337191,LG,WM3900H*A,1,Front Load,None,Residential,4.5,2.92,1.84,105,2.9,4.7,3850,4/29/19,4/24/19,"United States, Canada",Yes
2358068,LG,WM4000H*A,1,Front Load,None,Residential,4.5,2.92,1.84,105,2.9,4.7,3841,4/14/20,4/14/20,"United States, Canada",Yes
2310485,LG,WM4370H*A,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,3.2,4.7,4239,7/22/16,2/8/18,"United States, Canada",No
2355243,LG,WM4500H*A,1,Front Load,None,Residential,5,3.1,1.84,105,2.9,4.7,4278,2/24/20,2/24/20,"United States, Canada",Yes
2310475,LG,WM5000H*A,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,2.8,4.7,3676,5/24/17,2/8/18,"United States, Canada",No
2309302,Amana,NFW5800D**,8.83049E+11,Front Load,Other,Residential,4.2,2.76,1.84,109,3.2,4.7,3936,4/15/15,1/17/18,"United States, Canada",No
2331773,Amana,NFW5800H**,8.83049E+11,Front Load,"Anti-Wrinkle,Other,Sanitize Option",Residential,4.3,2.76,1.84,123,3.2,4.7,4097,12/3/18,8/24/18,"United States, Canada",No
2309900,Asko,W2084.W.U,578206,Front Load,"Anti-Wrinkle,Gentle Cycle,Other,Delayed Start,Hand Wash Cycle",Residential,2,2.31,1.84,75,2.9,4.7,1728,1/1/18,2/2/18,"United States, Canada",No
2309902,Asko,W4114C.T.U,578207,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Hand Wash Cycle",Residential,2.7,2.41,1.84,75,3.1,4.7,2478,10/1/17,2/2/18,"United States, Canada",No
2309901,Asko,W4114C.W.U,578205,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Hand Wash Cycle",Residential,2.7,2.41,1.84,75,3.1,4.7,2478,10/1/17,2/2/18,"United States, Canada",No
2309903,Asko,W6124X.W.U,578203,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Hand Wash Cycle",Residential,2.7,2.41,1.84,75,3.1,4.7,2478,10/1/18,2/2/18,"United States, Canada",No
2332833,Beko,BWM7200X,8.69084E+12,Front Load,"Gentle Cycle,Other,Hand Wash Cycle",Residential,1.9,2.07,1.84,84,3.6,4.7,2060,2/1/19,1/31/19,United States,No
2318078,Beko,WMY 10148 C2,8.69084E+12,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,4/1/15,4/13/15,"United States, Canada",No
2318135,Beko,WTE 7604XLW0,8.69084E+12,Front Load,None,Residential,2,2.09,1.84,67,3.5,4.7,2013,4/1/15,4/10/15,"United States, Canada",No
2332834,Blomberg,WM72200W,8.69084E+12,Front Load,"Gentle Cycle,Other,Hand Wash Cycle",Residential,1.9,2.07,1.84,84,3.6,4.7,2060,2/1/19,1/31/19,United States,No
2318129,Blomberg,WM 98200 SX2,8.69084E+12,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,4/1/15,4/13/15,"United States, Canada",No
2318079,Blomberg,WM 98400 SX2,8.69084E+12,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,4/1/15,4/13/15,"United States, Canada",No
2311151,Bosch,WAT28400UC,8.25226E+11,Front Load,Delayed Start,Residential,2.2,2.22,1.84,84,3.6,4.7,2294,5/1/15,3/20/15,"United States, Canada",No
2311152,Bosch,WAT28401UC,8.25226E+11,Front Load,Delayed Start,Residential,2.2,2.22,1.84,84,3.6,4.7,2294,9/16/15,3/20/15,"United States, Canada",No
2311153,Bosch,WAT28402UC,8.25226E+11,Front Load,Delayed Start,Residential,2.2,2.22,1.84,84,3.6,4.7,2294,9/16/15,3/20/15,"United States, Canada",No
2310610,Bosch,WAW285H2UC,8.25226E+11,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,2.2,2.22,1.84,84,3.7,4.7,2358,9/1/17,5/1/17,"United States, Canada",No
2309934,Crosley,CFWH4084G**,8.83049E+11,Front Load,Other,Residential,4.2,2.92,1.84,85,3.2,4.7,3936,2/1/17,2/2/18,"United States, Canada",No
2325258,Crosley,YFW450S*M***,84691841524,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.5,2.76,1.84,116,3.2,4.7,4220,9/3/18,8/22/18,United States,No
2350855,Crosley,YTW4514*N***,1,Top Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.5,2.06,1.29,150,4.3,8.4,5683,12/4/19,12/2/19,United States,No
2310166,Electrolux,EFLS210****,12505387180,Front Load,None,Residential,2.4,2.13,1.84,90,3.8,4.7,2690,1/19/18,2/24/14,"United States, Canada",No
2309144,Electrolux,EFLS527****,12505387265,Front Load,None,Residential,4.3,2.92,1.84,75,3.2,4.7,4059,1/19/18,1/2/18,"United States, Canada",Yes
2310162,Electrolux,EFLS627****,12505387289,Front Load,None,Residential,4.4,2.92,1.84,85,3.2,4.7,4154,1/19/18,2/8/16,"United States, Canada",Yes
2358142,Electrolux,EFLS628****,12505387654,Front Load,Sanitize Option,Residential,4.4,2.92,1.84,85,3.2,4.7,4154,5/1/20,4/10/20,United States,Yes
2310004,Electrolux,EFLW317****,12505386947,Front Load,None,Residential,4.3,2.76,1.84,60,3.2,4.7,4059,1/29/18,1/26/18,"United States, Canada",No
2310163,Electrolux,EFLW427****,12505387258,Front Load,None,Residential,4.3,2.92,1.84,60,3.2,4.7,4059,1/19/18,3/1/16,"United States, Canada",Yes
2358143,Electrolux,ELFW4222***,12505387623,Front Load,Sanitize Option,Residential,2.4,2.13,1.84,90,3.8,4.7,2690,5/1/20,4/10/20,"United States, Canada",No
2300873,Fisher & Paykel,WH2424F1,8.22844E+11,Front Load,Steam Cycle,Residential,2.4,2.09,1.84,80,2.8,4.7,1982,7/30/17,7/4/17,"United States, Canada",No
2300874,Fisher & Paykel,WH2424P1,8.22844E+11,Front Load,Hand Wash Cycle,Residential,2.4,2.09,1.84,80,2.8,4.7,1982,7/30/17,7/4/17,"United States, Canada",No
2310611,Gaggenau,WM262700,8.25226E+11,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,2.2,2.22,1.84,84,3.7,4.7,2358,6/1/18,5/1/17,"United States, Canada",No
2310521,GE,GFW148S*L***,84691824183,Front Load,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option",Residential,2.4,2.07,1.84,80,4.2,4.7,2912,2/9/17,2/12/18,United States,No
2324849,GE,GFW148S*M***,84691826651,Front Load,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,2.4,2.07,1.84,97,4.2,4.7,2961,8/27/18,8/27/18,"United States, Canada",No
2306811,GE,GFW400S*M***,84691826552,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.1,2.76,1.84,113,3.2,4.7,3852,12/4/17,11/27/17,"United States, Canada",No
2310043,GE,GFW430S*M***,84691826569,Front Load,"Gentle Cycle,Other,Delayed Start,Hand Wash Cycle",Residential,4.5,2.76,1.84,123,3.2,4.7,4220,1/8/18,2/6/18,"United States, Canada",No
2306813,GE,GFW450S*M***,84691826576,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.5,2.76,1.84,116,3.2,4.7,4220,12/4/17,11/27/17,"United States, Canada",No
2310529,GE,GFW480S*K***,84691820222,Front Load,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.9,2.76,1.84,153,2.8,4.7,4047,10/3/16,2/12/18,United States,No
2310530,GE,GFW490R*K***,84691820253,Front Load,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.9,2.76,1.84,153,2.8,4.7,4047,10/3/16,2/12/18,United States,No
2351443,GE,GFW510S*N***,84691849377,Front Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.5,2.76,1.84,150,3,4.7,3983,1/13/20,12/18/19,"United States, Canada",No
2350140,GE,GFW550S*N***,1,Front Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.8,2.76,1.84,158,3,4.7,4239,11/25/19,11/21/19,"United States, Canada",No
2346259,GE,GFW650S*N***,84691849315,Front Load,"Steam Cycle,Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.8,2.76,1.84,158,3,4.7,4239,9/16/19,9/12/19,"United States, Canada",No
2346625,GE,GFW850S*N***,84691849292,Front Load,"Steam Cycle,Delayed Start,Sanitize Option,Gentle Cycle",Residential,5,2.76,1.84,158,3,4.7,4460,9/19/19,9/17/19,"United States, Canada",No
2306360,GE,GTW470BMM***,7.57639E+11,Top Load,"Gentle Cycle,Other",Residential,4.2,2.15,1.29,160,4,8.4,4956,1/15/18,11/13/17,Canada,No
2310717,GE,GTW485ASJ2WS,84691815235,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5340,7/11/16,2/12/18,United States,No
2310718,GE,GTW485ASJ3WS,84691815235,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5340,12/12/16,2/12/18,United States,No
2300602,GE,GTW485ASJ4WS,84691815235,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5328,8/10/17,7/17/17,United States,No
2319465,GE,GTW485ASJ5WS,84691815235,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5340,5/15/18,5/7/18,United States,No
2306361,GE,GTW485BMM***,7.57639E+11,Top Load,"Gentle Cycle,Other",Residential,4.2,2.15,1.29,160,4,8.4,4956,1/15/18,11/13/17,Canada,No
2310625,GE,GTW490ACJ2WS,84691815884,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,7/11/16,2/12/18,United States,No
2310626,GE,GTW490ACJ3WS,84691815884,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,12/12/16,2/12/18,United States,No
2300603,GE,GTW490ACJ4WS,84691815884,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5322,8/10/17,7/17/17,United States,No
2319462,GE,GTW490ACJ5WS,84691815884,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,5/15/18,5/7/18,United States,No
2319463,GE,GTW490ACJ5WW,84691812012,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,5/15/18,5/7/18,United States,No
2331678,GE,GTW500A*N***,84691845638,Top Load,"Gentle Cycle,Delayed Start",Residential,4.6,2.06,1.29,175,4.3,8.4,5860,12/17/18,12/5/18,"United States, Canada",No
2333287,GE,GTW560BM***,7.57638E+11,Top Load,Other,Residential,4.3,2.2,1.29,137,3.7,8.4,4726,1/2/19,2/11/19,Canada,No
2333288,GE,GTW575BM***,7.57638E+11,Top Load,Other,Residential,4.3,2.2,1.29,137,3.7,8.4,4726,1/2/19,2/11/19,Canada,No
2306362,GE,GTW680BMM**,7.57639E+11,Top Load,"Gentle Cycle,Other",Residential,4.6,2.16,1.29,165,3.4,8.4,4624,1/15/18,11/13/17,Canada,No
2306363,GE,GTW680BMM**,7.57639E+11,Top Load,"Gentle Cycle,Other",Residential,4.6,2.16,1.29,165,3.4,8.4,4624,1/15/18,11/13/17,Canada,No
2300604,GE,GTW680BPL0DG,84691825722,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,6/19/17,7/26/17,United States,No
2319459,GE,GTW680BPL1DG,84691825722,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,5/15/18,5/7/18,United States,No
2341016,GE,GTW680BPL2DG,84691825722,Top Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,7/15/19,7/10/19,United States,No
2310662,GE,GTW680BSJ3WS,84691810780,Top Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,7/11/16,2/12/18,United States,No
2310660,GE,GTW680BSJ4WS,84691810780,Top Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,12/12/16,2/12/18,United States,No
2310661,GE,GTW680BSJ5WS,84691810780,Top Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,5/1/17,2/12/18,United States,No
2319460,GE,GTW680BSJ6WS,84691810780,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,5/15/18,5/7/18,United States,No
2341017,GE,GTW680BSJ7WS,84691810780,Top Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,7/15/19,7/10/19,United States,No
2310720,GE,GTW685B*L***,84691825609,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.5,2.06,1.29,150,4.3,8.4,5683,5/3/17,2/12/18,United States,No
2340782,GE,GTW720B*N***,"084691842910, 084691842965",Top Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.8,2.06,1.29,165,4.3,8.4,6076,7/8/19,7/3/19,"United States, Canada",No
2340281,GE,GTW725B*N***,84691842958,Top Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.6,2.06,1.29,158,4.3,8.4,5886,7/8/19,6/25/19,"United States, Canada",No
2310722,GE,GTW750C*L***,84691825623,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,5,2.06,1.29,176,4.3,8.4,6381,5/30/17,2/12/18,"United States, Canada",No
2316641,GE,GTW755C*M***,84691832263,Top Load,"Gentle Cycle,Other,Delayed Start",Residential,4.9,2.06,1.29,181,4.3,8.4,6203,4/9/18,3/30/18,"United States, Canada",No
2316642,GE,GTW755C*M***,84691832256,Top Load,"Gentle Cycle,Other,Delayed Start",Residential,4.9,2.06,1.29,181,4.3,8.4,6203,4/9/18,3/30/18,"United States, Canada",No
2341109,GE,GTW840C*N***,84691842934,Top Load,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,5.2,2.06,1.29,175,4.3,8.4,6558,7/22/19,7/12/19,"United States, Canada",No
2341069,Samsung,WF50R85**A*,8.87276E+11,Front Load,"Gentle Cycle,Other",Residential,5,2.92,1.84,100,2.9,4.7,4235,8/16/19,7/4/19,"United States, Canada",Yes
2356083,Samsung,WF50T85**A*,8.87276E+11,Front Load,Steam Cycle,Residential,5,2.92,1.84,110,2.9,4.7,4235,3/20/20,3/6/20,"United States, Canada",Yes
2310447,Samsung,WF56H91**A*,8.87277E+11,Front Load,Other,Residential,5.6,3.1,1.84,135,2.7,4.7,4429,4/1/15,2/16/15,"United States, Canada",Yes
2310439,Samsung,WF56H91**C*,8.87276E+11,Front Load,Other,Residential,5.6,2.8,1.84,130,2.8,4.7,4593,10/15/14,9/25/14,"United States, Canada",No
2300867,Samsung,WV55M96**A***,8.87276E+11,Front Load,"Anti-Wrinkle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle,Supplementary Wash System",Residential,4.5,2.92,1.84,105,2.9,4.7,3850,1/23/17,5/26/17,"United States, Canada",Yes
2300868,Samsung,WV60M99**A***,8.87276E+11,Front Load,"Anti-Wrinkle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle,Supplementary Wash System",Residential,5,2.92,1.84,105,2.9,4.7,4278,1/23/17,5/26/17,"United States, Canada",Yes
2310452,Samsung,WW22K680*A*,8.87276E+11,Front Load,Other,Residential,2.2,2.25,1.84,90,4,4.7,2596,12/20/15,11/30/15,"United States, Canada",No
2309556,Samsung,WW22N685*Q*,8.87276E+11,Front Load,Steam Cycle,Residential,2.2,2.25,1.84,85,3.7,4.7,2401,3/5/18,1/23/18,"United States, Canada",Yes
2310204,Whirlpool,WFW3090G**,8.83049E+11,Front Load,"Other,Delayed Start",Residential,2,2.38,1.84,115,3.7,4.7,2150,7/18/16,2/5/18,"United States, Canada",No
2332088,Whirlpool,WFW3090J**,8.8305E+11,Front Load,Delayed Start,Residential,2,2.07,1.84,118,4.2,4.7,2441,1/21/19,12/23/18,"United States, Canada",No
2332089,Whirlpool,WFW5090J**,8.8305E+11,Front Load,"Delayed Start,Hand Wash Cycle",Residential,2.3,2.07,1.84,128,4.2,4.7,2899,1/21/19,12/23/18,"United States, Canada",No
2331764,Whirlpool,WFW560CH**,8.83049E+11,Front Load,"Anti-Wrinkle,Other,Sanitize Option",Residential,4.3,2.76,1.84,123,3.2,4.7,4097,12/3/18,8/24/18,"United States, Canada",No
2331766,Whirlpool,WFW5620H**,8.83049E+11,Front Load,"Anti-Wrinkle,Other,Sanitize Option",Residential,4.5,2.76,1.84,139,3.2,4.7,4267,12/3/18,8/24/18,"United States, Canada",No
2331767,Whirlpool,WFW6620H**,8.83049E+11,Front Load,"Anti-Wrinkle,Other,Sanitize Option",Residential,4.5,2.76,1.84,139,3.2,4.7,4267,12/3/18,8/24/18,"United States, Canada",No
2310326,Whirlpool,WFW7540F**,8.83049E+11,Front Load,Delayed Start,Residential,4.5,2.92,1.84,88,3.2,4.7,4210,6/1/16,2/5/18,"United States, Canada",No
