Med_1_mL,Med_2_mL,Virus Present
7.783699384593913,9.818658412868473,0
2.2513798262197273,3.3926058146417932,1
7.117386250551017,8.780033250718056,0
2.7255536145342303,4.994594568630575,1
6.683072091209158,5.1942773151506,0
2.975047246064637,4.606363466507792,1
4.372750182528837,3.8612805345112235,1
5.428039961245291,7.601849093170824,0
3.244089341272672,3.524640348452727,1
2.7511356193791183,1.316813775960859,1
2.67177124487998,5.3745478679024234,1
8.419767292397912,8.340636898397722,0
8.387822911586193,7.12146056367001,0
9.203375774959941,8.109006581552102,0
4.303106647050546,2.3388725225805755,1
6.821457066470374,9.400797648279607,0
8.164246966234845,6.772843106340705,0
7.426172327078678,7.910146064759029,0
3.354085227182657,3.162537668934808,1
8.231898760382776,6.470945181860346,0
7.145757706351534,8.103762583418868,0
8.011457989184347,5.5373256142492515,0
6.941277295902753,8.563700941392483,0
8.180712938774864,7.316080173906447,0
2.6594195771540816,2.2474351582048984,1
2.622512442070229,4.234925168946928,1
7.507116567758312,6.73440286370094,0
8.438044173297722,5.599255906351975,0
2.8901363321305213,4.796464804497255,1
8.117172723899586,6.092824523480916,0
3.1958144074354893,3.6730298487307222,1
5.270603211720232,6.696839401655985,0
2.796283722906386,6.362731263927245,1
6.495448751501256,6.081833899445656,0
5.885856978514621,8.334846245234624,0
2.290218514781251,2.8893659422194373,1
4.8359530982831265,2.980588034229041,1
5.032302221888932,3.901754840528368,1
3.0175783385351913,2.3467997455079077,1
7.87375788826479,9.240211956694749,0
3.250720038045862,4.362994599738203,1
4.858340127788768,2.78316856667678,1
9.155428652133295,6.385714395378452,0
2.575709244220106,2.427057742430139,1
6.989689494241466,6.9484760653123585,0
2.7243703063119877,3.3251403910857813,1
8.170535928553358,7.972945684787217,0
6.3575176734335255,7.163058167318951,0
4.165090676374117,3.4161864370280575,1
3.0964843945080043,3.3380765869531026,1
3.6191547854942447,4.545563139660217,1
2.0946192002473225,2.9888176700883857,1
7.811591143219963,8.219526091659917,0
6.753522122927712,6.9278927269549175,0
6.392426633279196,8.828879050375454,0
7.740446195529947,7.176964594106289,0
7.650023346635827,7.241897785196862,0
8.450259825425142,7.263560371180569,0
4.5783790689190855,2.088022064988248,1
7.370175442958113,9.616956373522942,0
4.661585193203448,2.621605936212868,1
4.361340770999673,3.110419376137154,1
7.499013711410957,8.00293524856467,0
8.493313659663022,7.483484283536246,0
6.5561504936536625,6.874119354140225,0
8.3760068803674,5.885933989744823,0
3.2144252637479562,3.766877929730133,1
2.8717615141458985,1.9536866141005511,1
2.6217794285201617,3.613946562697783,1
4.155610870863614,3.4635605756047805,1
6.806439977569536,8.092393012918563,0
2.4468772096348204,4.054031682519374,1
7.643282704926371,7.423091783429033,0
4.5438614981967,4.822940398428035,1
1.5779215979508905,3.3221981829311753,1
2.544062191412647,2.3302782961188635,1
5.270149113337146,9.077708819583053,0
2.220755454648992,3.965262263663596,1
8.185244172674636,7.121151557995287,0
4.859998419880084,5.292482618890574,1
3.7531883879713086,4.256723231381575,1
7.498181329840044,6.9574411789714,0
2.031632082108745,4.145001703773078,1
7.142660337553031,8.526555475468745,0
8.35422039014368,6.610026862502883,0
6.287146348430018,8.045398038368308,0
6.763735078788941,7.819006101487879,0
8.294718624477746,8.923095991973995,0
4.132545158660463,3.5853140312026235,1
3.5923934647844042,4.194630479243921,1
2.8276583447703585,3.3809766747039207,1
4.441203010139374,2.2314597119755506,1
6.879854639364321,7.277558132787351,0
8.329174058480863,7.498832642431973,0
8.007959483041313,8.18805734171697,0
7.398749660232369,7.083283424878087,0
8.90767882100963,7.798008492111086,0
6.153169848240137,6.531672438966192,0
7.5706533865317,7.215245138008225,0
3.1981453338290455,2.2685826044693504,1
5.856396353494096,7.473944331705952,0
3.153484656044496,4.870312976986677,1
8.080608438489815,8.295135586291943,0
3.438580647359813,1.9452666056405397,1
4.967823742191104,2.7987022371938988,1
6.819120396038443,9.26131489679099,0
4.856905108019868,4.784368363171483,1
7.945163732025175,9.610765581408867,0
3.549064482184403,3.9486668985785998,1
7.493509970871315,7.713363712210649,0
6.958456624108302,8.545785168200744,0
4.130492928808753,1.0253752433172787,1
4.731452631906993,3.1750971509092074,1
8.301571732354539,6.048971903542393,0
1.6934100173314057,5.6529069193734145,1
3.479631082220813,2.754805145068966,1
7.438240418501281,10.0,0
4.775439427028328,4.28626682814879,1
7.712654792819306,7.2823125163787825,0
4.362507704966598,3.304443383682371,1
10.0,9.078837057670185,0
7.288934847116241,6.050374765540795,0
7.358887041632789,7.659828571341203,0
2.1094568557606266,3.6347203123850136,1
2.6272609216874176,2.722725137730972,1
7.684339506016099,7.237971265414759,0
7.746128575662027,7.7913198791062195,0
4.779521826388608,2.718466412285035,1
4.021470346518701,3.6352565749192234,1
8.474531314601766,8.611880498071475,0
7.575386988865353,7.643953843517339,0
6.64334439647842,8.211759772072483,0
9.044095667108918,9.03743982391987,0
8.26045072435446,6.899171944395145,0
2.531144612951344,3.463413748221929,1
3.23895645831617,2.199760167871033,1
3.5099906199763264,3.907631577415717,1
2.028101120503824,4.351259539009798,1
7.600827875887227,6.2715213316825,0
3.6105489346761463,4.7775960578439225,1
7.158425476480583,9.64276936780059,0
2.5473445152570076,3.256816272749998,1
6.9538325345211245,7.737050362421707,0
8.47733049350039,7.945263628391192,0
2.7614524595942225,2.670234882337577,1
4.5314907509901925,1.8444451199280731,1
3.780138903349296,2.0054455806108145,1
3.4942843532386334,2.446015873555302,1
6.8793339231207735,7.421190754386137,0
4.194090389805996,4.287722752631012,1
6.81946082355453,8.436226833990524,0
7.190591397141832,7.700300827116912,0
2.737522904471457,4.75160653645135,1
6.926838857149172,7.3915032759343395,0
4.29732151801624,4.152951636422465,1
5.359512799077531,4.5916720020344055,1
2.80317985386662,4.0007758592563265,1
7.1887185142724075,6.916233878874299,0
2.369078864809665,3.184356952287971,1
2.3940762008438616,3.183242114618501,1
2.715918388928279,2.053183721681755,1
6.591196016358487,7.494275944920622,0
2.8512248217774783,3.257576697126769,1
7.77793511807602,9.510828710494344,0
5.45911678083628,2.6324227667821463,1
7.587462006052884,8.249117396382902,0
2.8108392083988045,4.0025830611237305,1
7.95069573374108,7.842448349188384,0
2.4292517637026183,3.8933602378827934,1
3.4419206556242257,3.795704924182595,1
6.64092257077268,7.632509075611643,0
4.2388450049293365,2.9642896797375204,1
3.7129643245801915,3.26983718355782,1
6.881996214265231,9.09615439241359,0
8.687714904272426,6.636841432354026,0
3.9166045071124564,2.964817774845441,1
3.2734863245071795,1.5777203074196926,1
6.688483417369357,7.631824126919165,0
3.3033761826486705,2.85417036622027,1
3.885697601005197,3.2943680025202737,1
4.545002895358097,1.5295456538074612,1
6.888094014670423,8.207475468796293,0
3.6491221923289388,3.6727117047147235,1
2.296221661045518,3.3078470320651574,1
1.3737529405255158,3.199997589583608,1
7.50152731756399,6.3646011734245,0
8.13602529916257,7.9041437092851705,0
6.000942096427995,6.384491060476095,0
3.714149298913653,3.413567773491661,1
8.26183898203514,9.301353346959301,0
4.087698696606848,3.263050870596489,1
9.846641951538535,8.281096688139291,0
3.4464206170747964,2.0714204728097947,1
7.8979126338117585,6.622883509910914,0
8.402983188146075,8.913056417624388,0
1.838627767742751,2.2386286356091247,1
6.674286384288187,5.8206634495352265,0
2.7959343826667755,3.456176617596869,1
3.546463412772813,4.411752085933424,1
7.818477700361934,9.527818506614418,0
6.9147931855860865,7.748262220840429,0
7.773382289010604,6.688422396918442,0
4.201392936940833,3.3265248080051433,1
7.660474506024569,5.62403494710363,0
8.972832323573762,8.514794906440578,0
8.464695857704175,8.764095707684948,0
7.95152825287346,7.0335468645701305,0
4.235658239588601,3.9665517576781864,1
7.972043445648477,8.841025819632796,0
6.2933806155401095,6.8525850232128755,0
6.815150354386107,8.538908856480136,0
8.19799811894703,8.614927383937554,0
3.05652475464374,3.8739154168288734,1
4.093756669095187,3.22315022748588,1
7.626090993845305,5.584753205215305,0
6.422610854843336,7.772187425522361,0
7.375097629234963,8.641117400166511,0
3.127986467592562,5.5115648122216765,1
1.679680418192392,5.02400943424261,1
7.716564142498601,8.264202462204338,0
2.030101719834285,1.353767038032351,1
9.469293880214689,6.4290206563183565,0
3.090932041230367,3.380351391906234,1
7.2129996563278205,8.448752634796463,0
8.306348299358216,7.701430353347115,0
2.566273959568119,3.8706829193898757,1
3.653240389461431,3.7804513013678167,1
7.7747917648967375,6.936384849389585,0
2.759706713282694,4.442357927952915,1
2.9148908502356434,5.112601723434153,1
8.461440461992847,8.120003111904689,0
7.817508665538528,7.822785699891034,0
7.812894910440499,7.779711961672828,0
6.517001172856915,8.844312795853698,0
3.0908954609422326,3.4363524556631675,1
2.6807759310543915,2.2890236808081825,1
2.143732336767319,2.6771930847406926,1
6.967540067555651,7.303265213261033,0
2.405622703409958,4.237741930010131,1
8.088004780067351,7.451286443774685,0
4.712941343111846,2.9766410385984776,1
2.9011715249538454,4.202674130062496,1
3.3265775641410382,4.06387448739321,1
7.842529359385385,8.023872114156772,0
6.882284133190838,9.15390285713924,0
4.87337062727176,3.1757499326289733,1
6.92528993067476,7.872884176506675,0
2.952775079669478,4.461312447140045,1
2.3421100412991525,2.4626876417531127,1
7.877509929924234,8.135283234932617,0
4.214244438425704,4.830825035983338,1
7.7980124470018835,7.403816689140884,0
6.78246854072554,6.1868310885757145,0
3.2428848096429217,4.685623426071821,1
5.9248839060346015,6.8091249837536685,0
7.35029077176107,6.832688148037063,0
1.2133075959824193,5.561560074041834,1
3.7375604988525954,3.1294488241989886,1
7.694707676313366,8.810210809901482,0
7.51448927488575,9.437721133050538,0
6.407529975063676,8.459015824024089,0
7.475292513234877,8.093396633321257,0
8.238953387814496,6.812726853243798,0
2.472825888782671,3.0272064351373453,1
4.044038986260052,3.3910684827803643,1
4.084776638547177,4.679699059511915,1
7.465423555514545,8.37283972513314,0
3.905485160522977,3.6082928337846156,1
3.031729019595029,3.951704390320718,1
3.608256866928531,3.59710448386119,1
8.354263145560783,6.942180561930518,0
7.776137216868596,6.911674437025236,0
7.2920054163189745,7.85084657558387,0
6.397402349533329,7.93755049375212,0
9.842592898624751,7.050593350501383,0
8.585579804419439,8.133631061249439,0
3.1026770245730386,4.149997247829667,1
7.279525290646976,9.28744931454226,0
2.277346993101353,1.7171981004265513,1
6.772718107992257,9.750839574303033,0
5.07921791787976,3.6328348711802083,1
2.88412198724198,3.271748121543823,1
7.290855231066855,9.488671731415522,0
7.895325110856262,8.27252942742263,0
2.6905919586023694,2.6749786748485977,1
7.587820609686711,9.473967548974752,0
