DATE,MRTSSM4453USN
2006-04-01,2791
2006-05-01,3017
2006-06-01,3055
2006-07-01,3117
2006-08-01,3024
2006-09-01,2997
2006-10-01,2913
2006-11-01,3137
2006-12-01,4269
2007-01-01,2569
2007-02-01,2603
2007-03-01,3005
2007-04-01,2867
2007-05-01,3262
2007-06-01,3364
2007-07-01,3322
2007-08-01,3292
2007-09-01,3057
2007-10-01,3087
2007-11-01,3297
2007-12-01,4403
2008-01-01,2675
2008-02-01,2806
2008-03-01,2989
2008-04-01,2997
2008-05-01,3420
2008-06-01,3279
2008-07-01,3517
2008-08-01,3472
2008-09-01,3151
2008-10-01,3351
2008-11-01,3386
2008-12-01,4461
2009-01-01,2913
2009-02-01,2781
2009-03-01,3024
2009-04-01,3130
2009-05-01,3467
2009-06-01,3307
2009-07-01,3555
2009-08-01,3399
2009-09-01,3263
2009-10-01,3425
2009-11-01,3356
2009-12-01,4625
2010-01-01,2878
2010-02-01,2916
2010-03-01,3214
2010-04-01,3310
2010-05-01,3467
2010-06-01,3438
2010-07-01,3657
2010-08-01,3454
2010-09-01,3365
2010-10-01,3497
2010-11-01,3524
2010-12-01,4681
2011-01-01,2888
2011-02-01,2984
2011-03-01,3249
2011-04-01,3363
2011-05-01,3471
2011-06-01,3551
2011-07-01,3740
2011-08-01,3576
2011-09-01,3517
2011-10-01,3515
2011-11-01,3646
2011-12-01,4892
2012-01-01,2995
2012-02-01,3202
2012-03-01,3550
2012-04-01,3409
2012-05-01,3786
2012-06-01,3816
2012-07-01,3733
2012-08-01,3752
2012-09-01,3503
2012-10-01,3626
2012-11-01,3869
2012-12-01,5124
2013-01-01,3155
2013-02-01,3227
2013-03-01,3624
2013-04-01,3488
2013-05-01,3947
2013-06-01,3809
2013-07-01,4034
2013-08-01,4100
2013-09-01,3631
2013-10-01,3787
2013-11-01,4059
2013-12-01,5215
2014-01-01,3381
2014-02-01,3310
2014-03-01,3652
2014-04-01,3702
2014-05-01,4165
2014-06-01,4036
2014-07-01,4242
2014-08-01,4219
2014-09-01,3814
2014-10-01,4090
2014-11-01,4103
2014-12-01,5572
2015-01-01,3572
2015-02-01,3482
2015-03-01,3857
2015-04-01,3867
2015-05-01,4335
2015-06-01,4217
2015-07-01,4532
2015-08-01,4260
2015-09-01,4073
2015-10-01,4273
2015-11-01,4266
2015-12-01,5816
2016-01-01,3607
2016-02-01,3769
2016-03-01,4045
2016-04-01,4108
2016-05-01,4396
2016-06-01,4468
2016-07-01,4745
2016-08-01,4475
2016-09-01,4431
2016-10-01,4436
2016-11-01,4676
2016-12-01,6057
2017-01-01,3740
2017-02-01,3774
2017-03-01,4266
2017-04-01,4273
2017-05-01,4673
2017-06-01,4703
2017-07-01,4828
2017-08-01,4677
2017-09-01,4568
2017-10-01,4567
2017-11-01,4879
2017-12-01,6284
2018-01-01,3991
2018-02-01,3992
2018-03-01,4670
2018-04-01,4362
2018-05-01,4950
2018-06-01,4990
2018-07-01,5011
2018-08-01,4945
2018-09-01,4650
2018-10-01,4789
2018-11-01,5176
2018-12-01,6442
2019-01-01,4134
2019-02-01,4116
2019-03-01,4673
2019-04-01,4580
2019-05-01,5109
2019-06-01,5011
2019-07-01,5245
2019-08-01,5270
2019-09-01,4680
2019-10-01,4913
2019-11-01,5312
2019-12-01,6630
2020-01-01,4388
2020-02-01,4533
2020-03-01,5562
2020-04-01,5207
