"id","nationality","sex","height","weight","sport","gold","silver","bronze"
"835610998","TOG","female","1.58","53","aquatics","0","0","0"
"26797739","NED","female","1.6","49","rowing","0","0","0"
"577601340","MDV","female","","","athletics","0","0","0"
"16830155","EGY","female","1.63","75","shooting","0","0","0"
"508610852","TUN","female","1.73","60","canoe","0","0","0"
"477738986","ESP","female","1.7","58","aquatics","0","0","0"
"998446972","NED","female","1.61","58","sailing","0","0","0"
"42409524","POL","female","1.68","54","athletics","0","0","0"
"28097741","BRA","female","1.82","70","volleyball","0","1","0"
"23462736","ISR","male","1.75","56","athletics","0","0","0"
"971796358","ITA","female","1.75","60","aquatics","0","0","0"
"810258362","NGR","female","1.62","65","athletics","0","0","0"
"107504792","FRA","female","1.67","58","athletics","0","0","0"
"320335499","LAT","female","1.79","68","athletics","0","0","0"
"220410298","DEN","female","1.72","62","equestrian","0","0","0"
"726686017","POL","female","1.6","47","athletics","0","0","0"
"517578131","POL","female","1.75","69","wrestling","0","0","0"
"120505360","POL","female","1.7","59","triathlon","0","0","0"
"665715516","POL","female","1.77","68","rowing","0","0","1"
"935702937","POL","female","1.69","61","shooting","0","0","0"
"220520929","POL","female","1.73","59","tennis","0","0","0"
"527420548","POL","female","1.66","53","sailing","0","0","0"
"983479171","POL","female","1.65","51","athletics","0","0","0"
"638298176","ARG","male","1.73","77","hockey","1","0","0"
"833236523","ARG","male","1.94","100","handball","0","0","0"
"794585269","ARG","female","1.65","55","hockey","0","0","0"
"441542780","ARG","female","1.65","55","hockey","0","0","0"
"213448220","JOR","male","1.78","68","taekwondo","1","0","0"
"443237540","IOA","male","","","shooting","0","0","0"
"942902378","MAS","male","1.62","62","aquatics","0","0","0"
"684631479","LIB","male","1.88","80","athletics","0","0","0"
"67793782","EGY","male","1.88","89","volleyball","0","0","0"
"935849614","EGY","male","1.97","87","volleyball","0","0","0"
"786273274","EGY","male","1.65","60","judo","0","0","0"
"672789779","EGY","male","1.94","92","volleyball","0","0","0"
"873200853","EGY","male","1.88","80","aquatics","0","0","0"
"862822782","SUD","male","1.73","75","athletics","0","0","0"
"9418987","LBA","male","","","aquatics","0","0","0"
"180751684","QAT","male","1.9","90","athletics","0","0","0"
"364294388","EGY","male","1.72","80","shooting","0","0","0"
"23970897","EGY","male","1.97","80","volleyball","0","0","0"
"837684987","EGY","male","1.83","84","archery","0","0","0"
"635571670","EGY","male","1.81","79","handball","0","0","0"
"64299896","PLE","male","","","aquatics","0","0","0"
"215275770","NIG","male","1.8","73","judo","0","0","0"
"663592491","IRQ","male","1.84","80","football","0","0","0"
"916701520","EGY","male","1.75","60","shooting","0","0","0"
"114527133","TUN","male","1.9","90","aquatics","0","0","0"
"205324342","EGY","male","1.7","73","shooting","0","0","0"
"162169475","EGY","male","1.85","144","weightlifting","0","0","0"
"739968078","EGY","male","1.65","85","wrestling","0","0","0"
"575397765","EGY","male","1.74","81","sailing","0","0","0"
"101574216","EGY","male","1.6","62","weightlifting","0","0","0"
"105465611","EGY","male","1.9","95","shooting","0","0","0"
"585852107","TUR","male","1.73","67","table tennis","0","0","0"
"696999235","TUR","male","1.77","69","cycling","0","0","0"
"47988332","KOR","female","1.63","55","cycling","0","0","0"
"138385356","VEN","female","1.8","99","athletics","0","0","0"
"730862558","JPN","female","1.56","48","table tennis","0","0","1"
"488478701","JPN","female","1.61","58","sailing","0","0","0"
"975475720","JPN","female","1.55","44","triathlon","0","0","0"
"544308054","TPE","female","1.57","52","shooting","0","0","0"
"696719880","KGZ","male","1.95","125","wrestling","0","0","0"
"634178292","CHN","male","1.85","75","sailing","0","0","0"
"537808926","SEN","female","1.93","95","basketball","0","0","0"
"155951731","HUN","female","1.62","58","fencing","0","0","0"
"531077009","MEX","female","1.69","64","archery","0","0","0"
"750356217","RUS","female","1.73","63","fencing","0","0","0"
"248085477","AUS","male","1.87","88","aquatics","0","0","0"
"743883365","JPN","female","1.76","62","aquatics","0","0","1"
"110469224","GRE","female","1.8","70","rowing","0","0","0"
"823094336","GRE","female","1.68","58","fencing","0","0","0"
"574808106","JPN","female","1.66","56","aquatics","0","0","1"
"676958658","JPN","female","1.46","35","gymnastics","0","0","0"
"420613340","IRL","female","1.69","53","triathlon","0","0","0"
"172676108","ARG","female","1.67","58","gymnastics","0","0","0"
"971329341","NED","female","1.71","69","handball","0","0","0"
"356290857","CHN","male","1.92","85","basketball","0","0","0"
"273034565","NZL","female","1.83","99","canoe","0","0","0"
"266091485","GBR","female","1.71","66","aquatics","0","0","0"
"912490592","ESP","female","1.7","60","rowing","0","0","0"
"674464910","ESP","female","1.8","88","handball","0","0","0"
"14183642","ESP","female","1.6","48","triathlon","0","0","0"
"871394696","KAZ","female","1.64","49","taekwondo","0","0","0"
"635098552","JPN","female","1.71","46","gymnastics","0","0","0"
"965051843","LTU","female","1.87","63","athletics","0","0","0"
"840071617","CHN","male","1.68","60","aquatics","2","0","0"
"704825548","JAM","female","1.62","50","athletics","0","0","0"
"704391947","AUS","female","1.57","51","shooting","0","0","0"
"273177958","KGZ","female","1.7","58","wrestling","0","0","0"
"191963338","ESP","male","1.83","78","aquatics","0","0","0"
"678408880","AUS","female","1.63","58","football","0","0","0"
"234338084","USA","female","1.73","61","athletics","0","0","0"
"374861025","SUI","female","1.68","56","athletics","0","0","0"
"504635619","HUN","female","1.65","54","aquatics","0","0","0"
"680600926","USA","female","1.68","74","rugby sevens","0","0","0"
"213555250","JPN","female","1.65","50","equestrian","0","0","0"
"58865414","JPN","female","1.53","50","hockey","0","0","0"
"677730191","JPN","female","1.56","55","badminton","0","0","0"
"265984930","RSA","male","1.76","74","athletics","0","0","0"
"285797294","IND","male","1.78","70","hockey","0","0","0"
"769580282","CAN","male","1.68","71","athletics","0","0","1"
"194243947","BAR","female","1.86","77","athletics","0","0","0"
"58705332","JPN","female","1.66","59","hockey","0","0","0"
"921789441","JPN","female","1.56","50","canoe","0","0","0"
"327133724","JPN","male","1.8","73","athletics","0","0","0"
"346354435","JPN","female","1.62","58","shooting","0","0","0"
"850163240","NZL","male","1.94","113","rugby sevens","0","0","0"
"816408353","JPN","male","1.91","95","aquatics","0","0","0"
"959689266","TOG","female","","","rowing","0","0","0"
"152032519","GHA","female","","","athletics","0","0","0"
"593452734","IRQ","male","1.78","68","football","0","0","0"
"747058984","EGY","male","1.88","87","fencing","0","0","0"
"249203070","NGR","male","2.1","102","basketball","0","0","0"
"158571661","GBR","male","1.81","84","sailing","0","0","0"
"471888446","GBR","male","1.91","96","rowing","0","0","0"
"275659106","RSA","male","1.78","62","cycling","0","0","0"
"488926827","GBR","male","1.92","96","rowing","0","0","0"
"386179468","IRL","male","1.78","76","hockey","0","0","0"
"68100583","NZL","female","1.63","52","athletics","0","0","0"
"662496867","AUS","female","1.71","59","athletics","0","0","0"
"812220330","AUS","female","1.76","63","football","0","0","0"
"923852920","GBR","male","1.83","76","hockey","0","0","0"
"533114803","ESP","female","1.91","68","basketball","0","1","0"
"551413911","NIG","male","1.78","76","aquatics","0","0","0"
"92096398","SUI","female","1.74","58","golf","0","0","0"
"930879907","ESP","male","1.89","86","aquatics","0","0","0"
"596935178","RUS","male","1.85","80","taekwondo","0","0","0"
"70764024","ESP","male","1.68","65","equestrian","0","0","0"
"172435291","BRN","male","1.77","63","athletics","0","0","0"
"389597142","ESP","male","1.84","78","aquatics","0","0","0"
"184326688","VEN","male","1.82","","boxing","0","0","0"
"100190722","ESP","male","1.88","80","tennis","0","0","0"
"366742302","ROU","male","1.88","100","wrestling","0","0","1"
"670559048","AZE","male","1.71","","boxing","0","0","0"
"124573287","VEN","male","1.9","85","aquatics","0","0","0"
"635016740","VEN","male","1.99","88","athletics","0","0","0"
"502881474","HON","male","1.84","77","football","0","0","0"
"583503806","ANG","female","1.92","105","handball","0","0","0"
"804217525","MEX","male","1.91","78","athletics","0","0","0"
"331799449","ARG","male","1.7","","boxing","0","0","0"
"532248667","ESP","male","1.8","115","shooting","0","0","0"
"566773050","ARG","male","1.75","","boxing","0","0","0"
"220269839","ESP","male","1.98","105","aquatics","0","0","0"
"861268031","ITA","male","1.86","88","canoe","0","0","0"
"663206046","SWE","male","1.86","94","handball","0","0","0"
"966601149","RUS","female","1.65","50","shooting","0","0","0"
"74286490","BRA","male","1.93","80","athletics","0","0","0"
"46123715","ITA","male","1.84","82","fencing","0","0","0"
"343089125","AUS","male","1.85","77","archery","0","0","1"
"210525666","GER","male","1.82","82","athletics","0","0","0"
"969294495","COL","female","1.6","82","rugby sevens","0","0","0"
"388913856","MEX","female","1.65","75","weightlifting","0","0","0"
"883610308","VEN","female","1.69","62","fencing","0","0","0"
"694204413","MEX","female","1.58","48","golf","0","0","0"
"400375379","MEX","female","1.57","56","aquatics","0","0","0"
"151538357","MEX","female","1.65","57","athletics","0","0","0"
"281414786","ESP","female","1.75","54","gymnastics","0","1","0"
"471263119","MEX","female","1.76","73","fencing","0","0","0"
"929131268","MEX","female","1.75","74","archery","0","0","0"
"419155357","MEX","female","1.65","85","shooting","0","0","0"
"440339638","CUB","male","1.65","65","wrestling","0","0","0"
"691394107","URU","male","1.9","96","sailing","0","0","0"
"813391088","ESP","male","1.77","63","cycling","0","0","0"
"288835407","AZE","male","1.89","93","rowing","0","0","0"
"299839075","MNE","male","1.97","107","aquatics","0","0","0"
"371740701","SRB","male","1.78","85","table tennis","0","0","0"
"150583899","SRB","male","1.94","94","judo","0","0","0"
"156829148","BUL","male","1.85","75","aquatics","0","0","0"
"39610779","MNE","male","1.91","98","aquatics","0","0","0"
"150706476","RUS","male","1.88","80","aquatics","0","0","0"
"461398245","RUS","male","1.84","77","canoe","0","0","0"
"825626228","RUS","male","1.79","70","equestrian","0","0","0"
"26501082","RUS","male","1.85","80","aquatics","0","0","0"
"442737224","RUS","male","1.93","85","aquatics","0","0","0"
"928101165","ITA","female","1.67","65","aquatics","0","1","0"
"15347644","SRB","female","1.87","76","basketball","0","0","1"
"398269007","POL","female","1.6","67","shooting","0","0","0"
"344407164","SRB","female","1.63","55","tennis","0","0","0"
"598990857","RUS","female","1.69","49","aquatics","1","0","0"
"832551080","KAZ","female","1.68","58","athletics","0","0","0"
"778823226","POL","female","1.74","66","fencing","0","0","0"
"146965989","POL","female","1.72","64","aquatics","0","0","0"
"265023366","LAT","male","1.96","98","volleyball","0","0","0"
"282139882","RUS","male","1.92","82","aquatics","0","0","0"
"646633611","RUS","male","","","cycling","0","0","0"
"200955001","LAT","male","1.85","90","canoe","0","0","0"
"285964258","LAT","male","1.85","75","cycling","0","0","0"
"169040459","UZB","male","1.86","90","canoe","0","0","0"
"191984367","FIN","male","1.8","62","athletics","0","0","0"
"462274321","BRN","male","1.62","59","athletics","0","0","0"
"571628094","UKR","male","1.85","125","wrestling","0","0","0"
"871020123","BLR","female","1.82","95","athletics","0","0","0"
"603507285","BLR","female","1.69","52","cycling","0","0","0"
"390806588","BLR","female","1.79","65","rowing","0","0","0"
"84230211","CAN","female","1.68","69","golf","0","0","0"
"30712954","BLR","female","1.78","87","athletics","0","0","0"
"906750380","USA","female","1.73","65","hockey","0","0","0"
"779596907","ESP","female","1.65","50","athletics","0","0","0"
"236415837","ITA","female","1.8","70","rowing","0","0","0"
"820764186","SMR","female","1.69","73","shooting","0","0","0"
"630246233","ITA","male","1.81","66","cycling","0","0","0"
"24174970","ITA","male","1.86","77","triathlon","0","0","0"
"213338722","ITA","male","1.91","85","aquatics","0","0","1"
"346410285","ITA","male","1.86","85","aquatics","0","0","1"
"5076328","ITA","female","1.84","68","volleyball","0","0","0"
"559742871","ITA","female","1.68","48","gymnastics","0","0","0"
"488353513","ITA","female","1.8","74","volleyball","0","0","0"
"767623428","ITA","female","1.63","55","aquatics","0","0","0"
"389711690","ITA","female","1.88","70","athletics","0","0","0"
"636505415","NED","female","1.86","76","rowing","0","0","0"
"746309995","USA","female","1.68","74","rugby sevens","0","0","0"
"178787882","ESP","male","1.98","93","basketball","0","0","1"
"527236860","GHA","male","","","athletics","0","0","0"
"24122998","COK","male","1.81","74","athletics","0","0","0"
"334218519","USA","male","1.96","102","aquatics","0","0","0"
"962040149","ESP","male","1.83","78","hockey","0","0","0"
"794799982","GER","male","1.68","65","golf","0","0","0"
"566695148","BRA","male","1.92","102","basketball","0","0","0"
"204746498","CUB","male","1.86","110","judo","0","0","0"
"544745828","GBR","male","1.98","97","rowing","1","0","0"
"851889356","CHN","male","1.9","70","equestrian","0","0","0"
"212901658","NZL","male","1.96","96","rowing","0","0","0"
"967635529","NZL","female","1.58","56","sailing","0","1","0"
"723568012","USA","female","1.7","59","football","0","0","0"
"531765497","USA","male","1.96","105","aquatics","0","0","0"
"557501936","ITA","male","2.0","94","volleyball","0","0","0"
"240862321","USA","male","2.04","115","aquatics","0","0","0"
"107240268","SAM","male","","","athletics","0","0","0"
"58596600","BAR","male","1.88","66","aquatics","0","0","0"
"703205900","BRA","male","1.74","73","judo","0","0","0"
"636907352","IRL","male","1.75","62","athletics","0","0","0"
"893073673","ITA","male","1.85","75","aquatics","0","0","0"
"644656107","MEX","female","1.47","45","gymnastics","0","0","0"
"898510239","AUS","male","1.87","90","rowing","0","1","0"
"583622968","NED","male","1.98","90","volleyball","0","0","1"
"771200886","RUS","male","1.84","79","triathlon","0","0","0"
"525300567","BLR","male","1.84","94","tennis","0","0","0"
"750329482","CZE","male","1.96","89","fencing","0","0","0"
"737791847","AUS","male","1.84","76","cycling","0","1","0"
"3104691","SWE","male","1.8","75","football","0","0","0"
"100528515","AUT","male","1.85","70","cycling","0","0","0"
"515896035","AUS","male","1.98","91","athletics","0","0","0"
"986385043","BEL","male","1.85","82","hockey","0","0","0"
"711926626","AUS","male","1.93","91","rowing","0","1","0"
"45190859","AUT","male","1.86","88","volleyball","0","0","0"
"724710281","AUT","male","1.79","64","volleyball","0","0","0"
"604407494","GER","male","1.85","84","athletics","0","0","0"
"300967214","USA","male","1.94","90","rowing","0","0","0"
"41863727","GER","male","1.78","74","athletics","0","0","0"
"5256036","SWE","male","1.76","78","football","0","0","0"
"37893138","KEN","male","","67","athletics","0","0","0"
"911821683","RUS","male","1.85","74","modern pentathlon","1","0","0"
"703140166","AUS","male","1.89","89","rowing","0","0","0"
"994257957","USA","male","1.88","81","fencing","0","1","1"
"517168133","SWE","male","1.92","77","football","0","0","0"
"589365060","CUB","male","1.69","75","shooting","0","0","0"
"536913332","USA","male","1.71","70","gymnastics","0","0","1"
"110525640","AUT","male","1.82","80","tennis","0","0","0"
"658069337","BRA","male","1.73","61","athletics","0","0","0"
"648973939","AUT","male","1.76","95","shooting","0","0","0"
"961318209","ISR","male","1.83","77","gymnastics","0","0","0"
"909129710","RUS","male","1.92","80","table tennis","0","0","0"
"452039868","ESP","male","1.8","80","rowing","0","0","0"
"484197906","RUS","male","1.96","93","aquatics","0","0","0"
"120799596","RUS","male","2.1","90","volleyball","0","0","0"
"745034260","MDA","male","1.64","77","weightlifting","0","0","0"
"188141447","KAZ","male","1.84","97","canoe","0","0","0"
"928138606","KAZ","male","1.8","105","weightlifting","0","0","1"
"878621949","GER","female","1.81","70","athletics","0","0","0"
"566681185","GBR","female","1.67","56","hockey","1","0","0"
"612116227","AUS","female","1.82","75","rowing","0","0","0"
"383231190","ARG","female","1.83","72","canoe","0","0","0"
"191014767","FRA","female","1.77","73","handball","0","1","0"
"486083635","SVK","female","1.73","51","archery","0","0","0"
"30769207","BRA","female","1.77","68","handball","0","0","0"
"921114489","MDA","female","1.68","70","archery","0","0","0"
"338753895","KAZ","female","1.68","46","aquatics","0","0","0"
"599952871","PUR","female","1.89","75","volleyball","0","0","0"
"125810149","GER","female","1.74","65","football","1","0","0"
"891965491","BLR","female","1.78","66","table tennis","0","0","0"
"71010173","USA","female","1.58","52","gymnastics","1","2","0"
"256577556","RUS","female","1.68","56","triathlon","0","0","0"
"692519892","FRA","female","1.7","82","athletics","0","0","0"
"443690040","SUI","female","1.7","58","aquatics","0","0","0"
"475551107","GER","female","1.8","63","aquatics","0","0","0"
"872947130","GER","female","1.8","64","athletics","0","0","0"
"753747706","FRA","male","1.8","80","equestrian","0","0","0"
"356907302","SEN","male","1.68","75","fencing","0","0","0"
"538814395","FRA","male","1.93","100","aquatics","0","0","0"
"333303277","BRA","male","1.77","75","fencing","0","0","0"
"718560734","SUI","male","1.86","81","aquatics","0","0","0"
"203028845","FRA","male","1.84","90","judo","0","0","0"
"391830541","BEL","male","1.78","75","hockey","0","0","0"
"350839117","GRE","male","1.79","73","aquatics","0","0","0"
"72024697","ESP","female","1.75","62","handball","0","0","0"
"17092453","BRA","male","1.92","107","handball","0","0","0"
"809372786","GRE","male","1.78","63","athletics","0","0","0"
"992947913","RUS","male","1.82","88","shooting","0","0","0"
"621322055","MDA","male","1.88","85","aquatics","0","0","0"
"434694198","GER","male","1.91","138","weightlifting","0","0","0"
"271488726","RUS","male","1.74","80","shooting","0","0","0"
"251192385","RUS","male","1.83","75","fencing","1","0","0"
"318060996","RUS","male","1.85","68","taekwondo","0","1","0"
"221070420","KAZ","male","1.87","95","canoe","0","0","0"
"333787984","RUS","male","1.83","79","volleyball","0","0","0"
"527521403","RUS","male","1.84","80","fencing","0","0","0"
"448880966","GRE","female","","","athletics","0","0","0"
"524151751","ARG","male","1.84","85","volleyball","0","0","0"
"491625914","FRA","male","1.72","78","shooting","0","0","1"
"166278707","POR","male","1.85","74","aquatics","0","0","0"
"697622072","ARG","male","1.64","66","football","0","0","0"
"194257222","FRA","male","1.73","60","cycling","0","0","0"
"860974311","SEY","female","1.72","61","aquatics","0","0","0"
"108252301","MEX","male","1.81","85","wrestling","0","0","0"
"231869553","ESP","male","1.82","86","canoe","0","0","0"
"475919800","KEN","male","1.67","60","athletics","0","0","0"
"450635887","ECU","male","1.92","90","cycling","0","0","0"
"736830151","MEX","male","1.88","84","football","0","0","0"
"233231940","LBA","male","1.75","68","rowing","0","0","0"
"604740736","IRQ","male","1.8","76","football","0","0","0"
"461686848","LBA","male","","","archery","0","0","0"
"668278260","TUR","male","1.89","","boxing","0","0","0"
"737778764","IRQ","male","1.84","75","football","0","0","0"
"800154411","IRI","male","1.78","93","weightlifting","0","0","0"
"931441337","IRQ","male","1.77","70","football","0","0","0"
"670890480","TUR","male","1.75","54","athletics","0","0","0"
"732766543","EGY","male","1.82","78","aquatics","0","0","0"
"702507964","BRN","male","1.82","70","athletics","0","0","0"
"969053827","USA","female","1.68","63","football","0","0","0"
"716391442","ALG","male","1.78","63","athletics","0","0","0"
"768503351","TUN","male","1.84","75","cycling","0","0","0"
"853472045","IRI","male","1.93","94","fencing","0","0","0"
"89809268","NZL","female","1.63","57","football","0","0","0"
"472145214","SWE","male","1.89","80","football","0","0","0"
"429169523","QAT","male","1.77","86","equestrian","0","0","0"
"220820586","EGY","male","1.9","83","handball","0","0","0"
"76451177","JAM","female","1.73","71","aquatics","0","0","0"
"432850961","UAE","female","1.58","54","athletics","0","0","0"
"502227727","BLR","male","1.76","94","weightlifting","0","0","0"
"23998076","BLR","male","1.91","80","fencing","0","0","0"
"564017885","BLR","male","1.72","65","athletics","0","0","0"
"68967384","BLR","female","1.74","58","aquatics","0","0","1"
"775336377","BLR","female","1.7","64","basketball","0","0","0"
"185532375","BLR","male","1.9","136","weightlifting","0","0","0"
"481292461","TUR","male","1.91","98","sailing","0","0","0"
"198660870","KEN","female","1.52","54","athletics","0","0","0"
"824189087","AUS","female","1.72","80","archery","0","0","0"
"200278263","ITA","female","1.8","65","aquatics","0","0","0"
"273156241","NED","female","1.68","62","equestrian","0","0","0"
"713167631","GBR","female","1.72","69","rugby sevens","0","0","0"
"965421454","GBR","female","1.65","65","judo","0","0","0"
"693106463","ITA","female","1.75","69","sailing","0","0","0"
"350838880","ITA","female","1.66","53","modern pentathlon","0","0","0"
"598475958","GBR","female","1.65","65","aquatics","0","0","0"
"537043954","CAN","female","1.65","57","athletics","0","0","0"
"247476216","ESP","female","1.68","68","sailing","0","0","0"
"556923374","AUS","female","1.76","69","aquatics","0","0","0"
"906544891","ESP","female","1.61","60","hockey","0","0","0"
"404345231","AUS","female","1.73","64","rugby sevens","1","0","0"
"284199636","POL","female","1.76","68","aquatics","0","0","0"
