Pclass,Sex,Age_clean,SibSp,Parch,Fare_clean,Cabin,Embarked_clean
3,1,29.69911764705882,2,0,21.6792,147,0
1,0,48.0,0,0,25.9292,94,3
3,1,31.0,0,0,7.75,147,2
1,1,47.0,0,0,34.0208,106,3
3,0,26.0,1,0,16.1,147,3
3,1,9.0,5,2,46.9,147,3
3,1,19.0,0,0,8.05,147,3
3,1,29.69911764705882,0,0,8.05,147,3
3,1,22.0,0,0,9.35,147,3
3,1,29.69911764705882,0,0,7.225,147,0
2,1,28.0,0,1,33.0,147,3
2,0,24.0,2,3,18.75,147,3
3,1,17.0,0,0,8.6625,147,3
3,1,29.69911764705882,1,0,15.5,147,2
3,0,29.69911764705882,3,1,25.4667,147,3
3,1,21.0,0,0,8.05,147,3
1,1,51.0,0,0,26.55,119,3
3,0,3.0,3,1,21.075,147,3
3,0,0.75,2,1,19.2583,147,0
3,1,29.69911764705882,0,0,7.2292,147,0
3,1,34.0,0,0,8.05,147,3
2,0,18.0,0,1,23.0,147,3
1,0,44.0,0,0,27.7208,28,0
3,1,29.69911764705882,0,0,14.5,147,3
3,1,29.69911764705882,0,0,9.5,147,3
3,0,37.0,0,0,9.5875,147,3
2,1,21.0,1,0,11.5,147,3
1,1,36.0,1,0,78.85,67,3
3,1,32.0,0,0,7.925,147,3
3,0,29.69911764705882,1,2,23.45,147,3
3,1,26.0,0,0,7.775,147,3
1,1,65.0,0,0,30.0,5,3
3,1,55.5,0,0,8.05,147,3
2,1,60.0,1,1,39.0,147,3
3,1,29.69911764705882,0,0,7.7333,147,2
3,1,18.0,0,0,7.775,147,3
3,0,14.5,1,0,14.4542,147,0
2,1,19.0,0,0,10.5,147,3
2,0,4.0,2,1,39.0,144,3
3,1,33.0,0,0,8.6542,147,3
3,1,21.0,0,0,7.7333,147,2
3,0,10.0,0,2,24.15,147,3
2,1,47.0,0,0,15.0,147,3
3,0,2.0,4,2,31.275,147,3
2,0,29.0,1,0,26.0,147,3
1,0,22.0,1,0,66.6,61,3
3,1,28.0,1,0,15.85,147,3
1,1,29.69911764705882,0,0,29.7,68,0
3,1,26.0,0,0,18.7875,147,0
3,1,33.0,0,0,9.5,147,3
2,0,27.0,0,0,10.5,116,3
3,0,27.0,0,2,11.1333,147,3
2,1,34.0,0,0,13.0,147,3
3,1,29.69911764705882,0,0,7.2292,147,0
1,1,30.0,0,0,27.75,53,0
3,1,30.0,1,0,16.1,147,3
2,0,29.69911764705882,0,0,12.35,116,2
3,1,29.69911764705882,0,0,7.775,147,3
1,0,53.0,2,0,51.4792,48,3
3,1,32.0,0,0,7.925,147,3
2,1,52.0,0,0,13.0,147,3
1,1,52.0,1,1,79.65,134,3
3,0,39.0,1,5,31.275,147,3
1,0,2.0,1,2,151.55,62,3
3,1,44.0,0,0,7.925,147,3
2,1,51.0,0,0,12.525,147,3
2,1,39.0,0,0,26.0,147,3
1,1,46.0,0,0,79.2,44,0
1,1,17.0,0,2,110.8833,77,0
3,1,30.0,0,0,8.05,147,3
3,0,9.0,2,2,34.375,147,3
3,1,27.0,0,0,7.7958,147,3
3,1,21.0,0,0,8.6625,147,3
3,1,29.69911764705882,0,0,56.4958,147,3
3,1,26.0,0,0,7.8958,147,3
3,1,3.0,1,1,15.9,147,3
2,1,48.0,0,0,13.0,147,3
1,0,36.0,0,0,135.6333,65,0
3,0,29.69911764705882,1,0,15.5,147,2
2,0,32.5,0,0,13.0,116,3
1,0,33.0,0,0,86.5,40,3
2,0,22.0,1,2,41.5792,147,0
3,1,19.0,0,0,6.75,147,2
3,1,65.0,0,0,7.775,147,3
3,1,42.0,0,1,8.4042,147,3
1,0,40.0,0,0,153.4625,57,3
3,0,35.0,1,1,20.25,147,3
3,0,24.0,0,0,8.85,147,3
3,1,39.0,0,0,7.925,147,3
2,1,32.5,1,0,30.0708,147,0
2,1,1.0,2,1,39.0,144,3
3,1,34.0,0,0,6.4958,147,3
1,1,64.0,1,4,249.0062200000004,63,3
3,0,25.0,0,0,7.775,147,3
3,0,29.69911764705882,0,0,8.05,147,3
3,1,1.0,1,2,20.575,147,3
3,1,45.0,0,0,6.975,147,3
2,1,31.0,1,1,26.25,147,3
3,0,21.0,1,0,9.825,147,3
3,1,25.0,0,0,7.8958,147,3
1,0,15.0,0,1,211.3375,32,3
3,1,26.0,0,0,7.8875,147,3
2,1,30.0,0,0,10.5,147,3
1,0,24.0,0,0,69.3,24,0
2,1,35.0,0,0,10.5,147,3
2,1,65.0,0,0,10.5,147,3
1,1,29.69911764705882,0,0,0.0,16,3
3,1,21.0,0,0,16.1,147,3
3,0,18.0,0,1,9.35,147,3
3,0,29.69911764705882,0,0,8.1375,147,2
3,1,1.0,5,2,46.9,147,3
3,0,29.69911764705882,8,2,69.55,147,3
3,1,26.0,0,0,56.4958,147,3
3,1,25.0,1,0,7.775,147,3
2,1,29.69911764705882,0,0,0.0,147,3
3,1,20.0,0,0,9.5,147,3
1,0,54.0,1,0,78.2667,96,0
3,1,22.0,0,0,8.05,147,3
2,1,59.0,0,0,13.5,147,3
2,0,54.0,1,3,23.0,147,3
1,1,27.0,0,0,30.5,147,3
1,1,31.0,1,0,52.0,38,3
1,1,22.0,0,0,135.6333,147,0
1,1,33.0,0,0,5.0,34,3
3,1,6.0,0,1,12.475,118,3
3,0,5.0,4,2,31.3875,147,3
1,1,39.0,0,0,0.0,11,3
3,1,24.5,0,0,8.05,147,3
2,1,54.0,0,0,14.0,147,3
3,1,29.69911764705882,0,0,7.55,147,3
3,1,29.69911764705882,0,0,7.8958,147,3
3,1,30.0,0,0,7.2292,147,0
3,0,29.69911764705882,0,0,7.8792,147,2
1,0,35.0,0,0,249.0062200000004,147,0
1,0,21.0,0,0,77.9583,114,3
1,1,32.0,0,0,30.5,33,0
3,1,16.0,0,0,9.5,147,3
3,0,22.0,0,0,7.25,147,3
3,1,29.69911764705882,0,0,7.8958,147,3
1,1,38.0,1,0,90.0,87,3
3,1,29.69911764705882,8,2,69.55,147,3
2,1,25.0,1,0,26.0,147,3
2,0,33.0,1,2,27.75,147,3
3,0,29.69911764705882,1,0,16.1,147,3
1,1,18.0,1,0,108.9,74,0
3,1,29.69911764705882,1,0,16.1,147,3
3,1,29.69911764705882,0,0,7.8958,147,3
3,1,2.0,4,1,39.6875,147,3
3,1,0.42,0,1,8.5167,147,0
2,1,26.0,0,0,10.5,147,3
3,1,41.0,0,0,7.125,147,3
1,1,48.0,1,0,76.7292,101,0
2,0,48.0,1,2,65.0,147,3
1,0,48.0,1,0,39.6,2,0
3,1,4.0,4,2,31.275,147,3
1,0,39.0,1,0,55.9,128,3
3,0,33.0,3,0,15.85,147,3
2,1,29.0,0,0,10.5,147,3
1,1,49.0,1,1,110.8833,75,0
3,1,29.69911764705882,8,2,69.55,147,3
3,1,29.69911764705882,0,0,7.2292,147,0
1,1,42.0,1,0,52.0,147,3
1,0,36.0,0,2,71.0,20,3
1,1,61.0,0,0,33.5,18,3
3,0,18.0,0,0,6.75,147,2
3,0,18.0,0,0,7.4958,147,3
2,1,0.67,1,1,14.5,147,3
3,1,32.0,0,0,56.4958,147,3
3,1,29.69911764705882,0,0,8.05,147,3
3,1,29.69911764705882,0,0,8.05,147,3
3,0,29.69911764705882,1,0,14.4542,147,0
3,1,16.0,0,0,8.05,147,3
1,1,31.0,1,0,57.0,19,3
1,1,48.0,0,0,26.55,117,3
3,1,22.0,0,0,7.225,147,0
3,0,13.0,0,0,7.2292,147,0
3,1,32.0,1,0,15.85,147,3
3,1,28.0,2,0,7.925,147,3
2,1,46.0,0,0,26.0,147,3
3,1,28.0,0,0,7.7958,147,3
2,1,42.0,1,0,27.0,147,3
3,1,35.0,0,0,8.05,147,3
3,0,2.0,3,2,27.9,147,3
3,0,31.0,0,0,8.6833,147,3
3,0,29.69911764705882,1,0,15.5,147,2
3,1,29.69911764705882,0,0,7.8958,147,3
2,0,19.0,1,0,26.0,147,3
3,1,20.0,0,0,8.6625,147,3
3,1,14.0,5,2,46.9,147,3
2,0,34.0,0,1,23.0,147,3
3,0,29.69911764705882,0,0,7.7375,147,2
3,0,29.69911764705882,0,0,7.75,147,2
3,1,51.0,0,0,7.75,147,3
3,0,29.69911764705882,0,0,7.6292,147,2
3,0,29.69911764705882,0,0,7.75,147,2
3,0,29.69911764705882,0,0,7.75,147,2
3,1,28.0,0,0,9.5,147,3
2,1,25.0,0,0,13.0,147,3
1,1,19.0,3,2,249.0062200000004,63,3
3,1,35.0,0,0,7.8958,147,0
1,0,35.0,1,0,83.475,80,3
3,1,9.0,1,1,15.9,147,3
3,1,20.0,0,0,4.0125,147,0
2,1,42.0,0,0,13.0,147,3
2,1,30.0,0,0,13.0,147,3
2,1,29.69911764705882,0,0,0.0,147,3
3,1,21.0,0,0,7.7958,147,3
3,1,47.0,0,0,7.25,147,3
1,0,25.0,1,2,151.55,62,3
3,1,16.0,0,0,9.2167,147,3
1,1,45.0,1,0,83.475,80,3
3,1,38.0,0,0,8.6625,147,3
1,1,56.0,0,0,35.5,7,0
3,0,29.69911764705882,1,1,22.3583,138,0
1,1,31.0,0,0,50.4958,6,3
1,0,30.0,0,0,93.5,39,3
1,1,29.69911764705882,0,0,27.7208,147,0
3,0,14.0,0,0,7.8542,147,3
3,0,16.0,0,0,7.7333,147,2
3,0,40.0,1,0,9.475,147,3
1,1,55.0,0,0,30.5,64,3
3,1,19.0,0,0,7.775,147,3
1,1,45.0,0,0,26.55,147,3
1,0,36.0,1,2,120.0,47,3
3,0,27.0,0,0,7.925,147,3
1,0,49.0,1,0,76.7292,101,0
1,0,41.0,0,0,134.5,127,0
1,1,19.0,1,0,53.1,100,3
3,1,33.0,0,0,7.775,147,3
1,1,27.0,1,0,53.1,137,3
1,1,29.69911764705882,0,0,27.7208,147,0
1,1,35.0,0,0,26.2875,120,3
3,0,29.0,1,1,10.4625,145,3
2,0,30.0,3,0,21.0,147,3
3,1,34.0,0,0,8.05,147,3
3,1,29.0,0,0,7.8958,147,0
1,0,19.0,0,0,30.0,30,3
1,0,35.0,0,0,135.6333,89,3
3,1,29.69911764705882,8,2,69.55,147,3
2,0,40.0,0,0,15.75,147,3
1,1,62.0,0,0,26.55,147,3
3,0,25.0,1,0,7.925,147,3
3,1,26.0,0,0,8.05,147,3
3,0,18.0,0,1,14.4542,147,0
2,1,34.0,1,0,21.0,147,3
3,1,48.0,0,0,7.8542,147,3
3,1,28.0,0,0,7.8958,147,3
3,1,24.0,2,0,24.15,147,3
2,0,17.0,0,0,12.0,147,0
1,0,38.0,1,0,71.2833,81,0
3,1,29.69911764705882,0,0,7.2292,147,0
3,1,40.0,0,0,7.8958,147,3
3,1,22.0,0,0,9.0,147,3
3,0,2.0,0,1,10.4625,145,3
1,1,28.0,1,0,82.1708,147,0
3,1,18.0,0,0,7.75,147,3
3,1,28.0,0,0,22.525,147,3
2,0,19.0,0,0,26.0,147,3
3,1,29.69911764705882,0,0,8.05,147,3
1,0,60.0,1,0,75.25,104,0
3,1,20.0,0,0,7.8542,147,3
1,1,45.0,0,0,35.5,146,3
3,0,29.69911764705882,0,0,8.05,147,3
2,0,24.0,0,0,13.0,142,3
3,1,29.69911764705882,0,0,7.75,143,2
3,0,29.69911764705882,1,0,15.5,147,2
3,1,39.0,1,5,31.275,147,3
3,0,26.0,0,0,7.8542,147,3
2,0,24.0,2,1,27.0,147,3
2,0,36.0,0,0,13.0,147,3
1,1,37.0,0,1,29.7,54,0
1,0,29.69911764705882,0,1,55.0,123,3
2,1,28.0,0,0,10.5,147,3
3,1,19.0,0,0,7.8958,147,3
3,1,43.0,0,0,6.45,147,3
1,1,25.0,1,0,91.0792,31,0
3,1,47.0,0,0,9.0,147,3
1,0,16.0,0,0,86.5,42,3
2,1,0.83,1,1,18.75,147,3
3,1,22.0,0,0,7.125,147,3
3,1,19.0,0,0,7.8958,147,3
2,1,28.0,0,0,13.5,147,3
3,1,14.0,4,1,39.6875,147,3
3,1,36.0,0,0,7.8958,147,3
1,1,29.0,0,0,30.0,112,3
3,1,42.0,0,0,7.65,139,3
1,1,29.69911764705882,0,0,52.0,1,3
1,1,27.0,0,0,76.7292,109,0
3,1,29.0,0,0,7.75,147,2
2,0,5.0,1,2,27.75,147,3
3,0,22.0,0,0,9.8375,147,3
3,1,29.69911764705882,0,0,7.75,147,2
2,0,30.0,0,0,13.0,147,3
1,1,62.0,0,0,26.55,83,3
2,1,34.0,0,0,13.0,111,3
3,1,28.0,0,0,7.8958,147,3
3,1,29.69911764705882,0,0,7.75,147,2
3,1,44.0,0,1,16.1,147,3
3,0,45.0,0,0,7.75,147,3
2,1,19.0,0,0,13.0,147,3
2,1,18.0,0,0,73.5,147,3
3,1,31.0,0,0,7.775,147,3
2,1,29.69911764705882,0,0,0.0,147,3
3,1,21.0,0,0,7.25,147,3
2,1,25.0,0,0,13.0,147,3
3,1,32.0,0,0,8.3625,147,3
2,1,30.0,1,0,24.0,147,0
3,1,40.0,0,0,7.225,147,0
3,1,33.0,0,0,7.8958,147,0
3,1,36.0,0,0,7.4958,147,3
1,0,47.0,1,1,52.5542,102,3
2,1,34.0,1,0,26.0,147,3
3,1,19.0,0,0,8.05,147,3
3,1,29.69911764705882,0,0,8.05,147,3
2,0,50.0,0,0,10.5,147,3
3,0,29.69911764705882,2,0,23.25,147,2
3,1,29.69911764705882,1,0,7.75,147,2
2,1,29.69911764705882,0,0,0.0,147,3
3,1,29.69911764705882,0,0,8.05,147,3
3,1,35.0,0,0,8.05,147,3
2,1,35.0,0,0,26.0,147,3
1,0,18.0,1,0,227.525,73,0
3,0,16.0,5,2,46.9,147,3
3,0,21.0,0,0,7.65,147,3
1,1,29.69911764705882,0,0,31.0,147,3
3,1,41.0,2,0,14.1083,147,3
1,0,14.0,1,2,120.0,47,3
1,1,21.0,0,1,77.2875,98,3
