Pclass,Sex,Age_clean,SibSp,Parch,Fare_clean,Fare_clean_tr,Cabin,Cabin_ind,Embarked_clean,Title,Family_cnt
2,0,28.0,0,0,13.0,1.6702776523348104,147,0,3,13,0
3,1,29.69911764705882,1,0,19.9667,1.8199575509815569,147,0,3,11,1
3,1,19.0,0,0,10.1708,1.59027057377503,147,0,3,11,0
3,0,30.0,1,1,24.15,1.8905293628517983,147,0,3,12,2
3,1,20.0,0,0,7.8542,1.5101510578167705,147,0,3,11,0
3,1,28.0,0,0,56.4958,2.2408007055327177,147,0,3,11,0
3,1,36.0,0,0,0.0,0.0,147,0,3,11,0
3,1,29.69911764705882,0,0,8.05,1.5176064932892266,147,0,3,11,0
1,0,24.0,3,2,249.0062200000004,3.014685687666117,63,1,3,8,5
3,1,28.5,0,0,7.2292,1.4853132250847014,147,0,0,11,0
3,0,24.0,0,3,19.2583,1.8068561969239882,147,0,0,12,3
2,1,42.0,0,0,13.0,1.6702776523348104,147,0,3,14,0
1,1,54.0,0,1,77.2875,2.3857330771281977,98,1,3,11,1
3,1,25.0,0,0,7.7417,1.5057999125305377,147,0,2,11,0
3,1,7.0,4,1,39.6875,2.0880012221280344,147,0,3,7,5
3,1,25.0,1,0,17.8,1.7786233949266408,147,0,3,11,1
3,0,27.0,0,1,12.475,1.656563586916615,118,1,3,12,1
3,0,24.0,1,0,15.85,1.7378242505455312,147,0,3,12,1
3,1,29.69911764705882,0,0,7.25,1.4861669577303998,147,0,3,11,0
2,0,28.0,0,0,12.65,1.6611853985484897,147,0,3,12,0
3,1,19.0,0,0,14.5,1.7071575395958585,147,0,3,11,0
3,1,22.0,0,0,7.25,1.4861669577303998,147,0,3,11,0
3,0,29.69911764705882,0,0,7.225,1.4851405983548165,147,0,0,12,0
3,0,29.69911764705882,8,2,69.55,2.3359278624155344,147,0,3,8,10
1,1,42.0,0,0,26.2875,1.9228697050094496,120,1,3,11,0
2,1,50.0,0,0,13.0,1.6702776523348104,147,0,3,11,0
2,1,3.0,1,1,18.75,1.7972159093690117,147,0,3,7,2
1,1,29.69911764705882,0,0,227.525,2.9607778604132067,147,0,0,11,0
3,0,18.0,2,0,18.0,1.7826024579660034,147,0,3,8,2
3,1,18.0,1,1,7.8542,1.5101510578167705,147,0,3,11,2
1,1,44.0,2,0,90.0,2.4595094858493645,78,1,2,3,2
1,1,29.69911764705882,0,0,30.0,1.97435048583482,105,1,3,11,0
1,1,29.69911764705882,0,0,42.4,2.115792977411307,147,0,3,11,0
3,1,29.69911764705882,1,0,24.15,1.8905293628517983,147,0,2,11,1
3,1,16.0,0,0,7.775,1.5070930932320792,147,0,3,11,0
3,1,29.69911764705882,0,0,7.3125,1.4887205242688593,147,0,3,11,0
3,1,22.0,0,0,7.8958,1.5117473912278288,147,0,3,11,0
2,0,4.0,1,1,23.0,1.8721712305548568,147,0,3,8,2
2,1,29.69911764705882,0,0,13.0,1.6702776523348104,147,0,3,11,0
3,1,24.0,0,0,7.1417,1.481700135453066,147,0,3,11,0
2,0,30.0,0,0,12.35,1.6532304339717367,147,0,2,8,0
3,0,29.0,0,2,15.2458,1.7243683526637668,147,0,0,12,2
3,1,24.0,0,0,9.5,1.5687174265360495,147,0,3,11,0
1,0,45.0,1,1,164.8667,2.7760455575207867,147,0,3,12,2
2,0,32.0,0,0,13.0,1.6702776523348104,147,0,3,12,0
3,1,21.0,0,0,7.925,1.5128638802220769,147,0,3,11,0
1,1,35.0,0,0,249.0062200000004,3.014685687666117,15,1,0,11,0
3,0,29.69911764705882,8,2,69.55,2.3359278624155344,147,0,3,8,10
3,1,29.69911764705882,2,0,23.25,1.8762235871661008,147,0,2,11,2
1,1,36.0,0,1,249.0062200000004,3.014685687666117,34,1,0,11,1
3,0,41.0,0,5,39.6875,2.0880012221280344,147,0,3,12,5
3,0,23.0,0,0,7.55,1.4982676079809925,147,0,3,8,0
3,1,34.0,1,1,14.4,1.7047963168076516,147,0,3,11,2
2,0,29.69911764705882,0,0,33.0,2.0123466170855586,147,0,3,8,0
3,1,29.69911764705882,0,0,24.15,1.8905293628517983,147,0,2,11,0
3,0,15.0,0,0,7.225,1.4851405983548165,147,0,0,8,0
3,1,29.69911764705882,0,0,8.05,1.5176064932892266,147,0,3,11,0
3,0,18.0,0,0,7.775,1.5070930932320792,147,0,3,8,0
3,1,30.0,0,0,8.05,1.5176064932892266,147,0,3,11,0
2,1,32.0,2,0,73.5,2.3618780376616875,147,0,3,11,2
3,1,4.0,4,1,29.125,1.96269667532106,147,0,2,7,5
3,1,2.0,4,1,29.125,1.96269667532106,147,0,2,7,5
3,1,29.69911764705882,0,0,8.05,1.5176064932892266,147,0,3,11,0
3,1,29.69911764705882,2,0,21.6792,1.8501572863118958,147,0,0,11,2
1,0,48.0,0,0,25.9292,1.91759912791016,94,1,3,12,0
3,1,31.0,0,0,7.75,1.5061226525730975,147,0,2,11,0
1,1,47.0,0,0,34.0208,2.0246450888938408,106,1,3,11,0
3,0,26.0,1,0,16.1,1.7432720823741534,147,0,3,12,1
3,1,9.0,5,2,46.9,2.1589101519708302,147,0,3,7,7
3,1,19.0,0,0,8.05,1.5176064932892266,147,0,3,11,0
3,1,29.69911764705882,0,0,8.05,1.5176064932892266,147,0,3,11,0
3,1,22.0,0,0,9.35,1.5637319948690074,147,0,3,11,0
3,1,29.69911764705882,0,0,7.225,1.4851405983548165,147,0,0,11,0
2,1,28.0,0,1,33.0,2.0123466170855586,147,0,3,14,1
2,0,24.0,2,3,18.75,1.7972159093690117,147,0,3,12,5
3,1,17.0,0,0,8.6625,1.5400281152322484,147,0,3,11,0
3,1,29.69911764705882,1,0,15.5,1.7300806134344884,147,0,2,11,1
3,0,29.69911764705882,3,1,25.4667,1.9107089348696944,147,0,3,8,4
3,1,21.0,0,0,8.05,1.5176064932892266,147,0,3,11,0
1,1,51.0,0,0,26.55,1.926694710508685,119,1,3,11,0
3,0,3.0,3,1,21.075,1.8397275698182904,147,0,3,8,4
3,0,0.75,2,1,19.2583,1.8068561969239882,147,0,0,8,3
3,1,29.69911764705882,0,0,7.2292,1.4853132250847014,147,0,0,11,0
3,1,34.0,0,0,8.05,1.5176064932892266,147,0,3,11,0
2,0,18.0,0,1,23.0,1.8721712305548568,147,0,3,8,1
1,0,44.0,0,0,27.7208,1.9433953171183056,28,1,0,12,0
3,1,29.69911764705882,0,0,14.5,1.7071575395958585,147,0,3,11,0
3,1,29.69911764705882,0,0,9.5,1.5687174265360495,147,0,3,11,0
3,0,37.0,0,0,9.5875,1.5715965812024535,147,0,3,8,0
2,1,21.0,1,0,11.5,1.629819719346329,147,0,3,11,1
1,1,36.0,1,0,78.85,2.3953023442886727,67,1,3,11,1
3,1,32.0,0,0,7.925,1.5128638802220769,147,0,3,11,0
3,0,29.69911764705882,1,2,23.45,1.8794404489039271,147,0,3,8,3
3,1,26.0,0,0,7.775,1.5070930932320792,147,0,3,11,0
1,1,65.0,0,0,30.0,1.97435048583482,5,1,3,11,0
3,1,55.5,0,0,8.05,1.5176064932892266,147,0,3,11,0
2,1,60.0,1,1,39.0,2.080716549261844,147,0,3,11,2
3,1,29.69911764705882,0,0,7.7333,1.5054730020960585,147,0,2,11,0
3,1,18.0,0,0,7.775,1.5070930932320792,147,0,3,11,0
3,0,14.5,1,0,14.4542,1.7060777218137082,147,0,0,8,1
2,1,19.0,0,0,10.5,1.6004343344404717,147,0,3,11,0
2,0,4.0,2,1,39.0,2.080716549261844,144,1,3,8,3
3,1,33.0,0,0,8.6542,1.5397328855616323,147,0,3,11,0
3,1,21.0,0,0,7.7333,1.5054730020960585,147,0,2,11,0
3,0,10.0,0,2,24.15,1.8905293628517983,147,0,3,8,2
2,1,47.0,0,0,15.0,1.7187719275874789,147,0,3,11,0
3,0,2.0,4,2,31.275,1.9908542366373856,147,0,3,8,6
2,0,29.0,1,0,26.0,1.9186451916253064,147,0,3,12,1
1,0,22.0,1,0,66.6,2.3157669197586563,61,1,3,12,1
3,1,28.0,1,0,15.85,1.7378242505455312,147,0,3,11,1
1,1,29.69911764705882,0,0,29.7,1.970385894621976,68,1,0,11,0
3,1,26.0,0,0,18.7875,1.7979342213128344,147,0,0,11,0
3,1,33.0,0,0,9.5,1.5687174265360495,147,0,3,11,0
2,0,27.0,0,0,10.5,1.6004343344404717,116,1,3,8,0
3,0,27.0,0,2,11.1333,1.6192905536180733,147,0,3,12,2
2,1,34.0,0,0,13.0,1.6702776523348104,147,0,3,11,0
3,1,29.69911764705882,0,0,7.2292,1.4853132250847014,147,0,0,11,0
1,1,30.0,0,0,27.75,1.9438045639530088,53,1,0,11,0
3,1,30.0,1,0,16.1,1.7432720823741534,147,0,3,11,1
2,0,29.69911764705882,0,0,12.35,1.6532304339717367,116,1,2,8,0
3,1,29.69911764705882,0,0,7.775,1.5070930932320792,147,0,3,11,0
1,0,53.0,2,0,51.4792,2.1995121120457117,48,1,3,12,2
3,1,32.0,0,0,7.925,1.5128638802220769,147,0,3,11,0
2,1,52.0,0,0,13.0,1.6702776523348104,147,0,3,11,0
1,1,52.0,1,1,79.65,2.400143212074232,134,1,3,11,2
3,0,39.0,1,5,31.275,1.9908542366373856,147,0,3,12,6
1,0,2.0,1,2,151.55,2.7296765455688243,62,1,3,8,3
3,1,44.0,0,0,7.925,1.5128638802220769,147,0,3,11,0
2,1,51.0,0,0,12.525,1.6578893697963042,147,0,3,14,0
2,1,39.0,0,0,26.0,1.9186451916253064,147,0,3,11,0
1,1,46.0,0,0,79.2,2.397425036114708,44,1,0,11,0
1,1,17.0,0,2,110.8833,2.5643259572237604,77,1,0,11,2
3,1,30.0,0,0,8.05,1.5176064932892266,147,0,3,11,0
3,0,9.0,2,2,34.375,2.028843469405813,147,0,3,8,4
3,1,27.0,0,0,7.7958,1.5078985992178089,147,0,3,11,0
3,1,21.0,0,0,8.6625,1.5400281152322484,147,0,3,11,0
3,1,29.69911764705882,0,0,56.4958,2.2408007055327177,147,0,3,11,0
3,1,26.0,0,0,7.8958,1.5117473912278288,147,0,3,11,0
3,1,3.0,1,1,15.9,1.7389192887497669,147,0,3,7,2
2,1,48.0,0,0,13.0,1.6702776523348104,147,0,3,11,0
1,0,36.0,0,0,135.6333,2.6697664164667194,65,1,0,8,0
3,0,29.69911764705882,1,0,15.5,1.7300806134344884,147,0,2,12,1
2,0,32.5,0,0,13.0,1.6702776523348104,116,1,3,8,0
1,0,33.0,0,0,86.5,2.4400752592578163,40,1,3,16,0
2,0,22.0,1,2,41.5792,2.1075370871655457,147,0,0,12,3
3,1,19.0,0,0,6.75,1.4650780257917608,147,0,2,11,0
3,1,65.0,0,0,7.775,1.5070930932320792,147,0,3,11,0
3,1,42.0,0,1,8.4042,1.5307324038271908,147,0,3,11,1
1,0,40.0,0,0,153.4625,2.7365315134405868,57,1,3,8,0
3,0,35.0,1,1,20.25,1.8250930256796167,147,0,3,12,2
3,0,24.0,0,0,8.85,1.5466379209489176,147,0,3,8,0
3,1,39.0,0,0,7.925,1.5128638802220769,147,0,3,11,0
2,1,32.5,1,0,30.0708,1.9752815008003481,147,0,0,11,1
2,1,1.0,2,1,39.0,2.080716549261844,144,1,3,7,3
3,1,34.0,0,0,6.4958,1.4538731930737308,147,0,3,11,0
1,1,64.0,1,4,249.0062200000004,3.014685687666117,63,1,3,11,5
3,0,25.0,0,0,7.775,1.5070930932320792,147,0,3,8,0
3,0,29.69911764705882,0,0,8.05,1.5176064932892266,147,0,3,12,0
3,1,1.0,1,2,20.575,1.8309140981238017,147,0,3,7,3
3,1,45.0,0,0,6.975,1.4747175287817191,147,0,3,11,0
2,1,31.0,1,1,26.25,1.92232078407926,147,0,3,11,2
3,0,21.0,1,0,9.825,1.5793068236286465,147,0,3,8,1
3,1,25.0,0,0,7.8958,1.5117473912278288,147,0,3,11,0
1,0,15.0,0,1,211.3375,2.9173955295624148,32,1,3,8,1
3,1,26.0,0,0,7.8875,1.5114294302204534,147,0,3,11,0
2,1,30.0,0,0,10.5,1.6004343344404717,147,0,3,11,0
1,0,24.0,0,0,69.3,2.334246127149304,24,1,0,9,0
2,1,35.0,0,0,10.5,1.6004343344404717,147,0,3,11,0
2,1,65.0,0,0,10.5,1.6004343344404717,147,0,3,11,0
1,1,29.69911764705882,0,0,0.0,0.0,16,1,3,11,0
3,1,21.0,0,0,16.1,1.7432720823741534,147,0,3,11,0
3,0,18.0,0,1,9.35,1.5637319948690074,147,0,3,12,1
3,0,29.69911764705882,0,0,8.1375,1.5208913865756826,147,0,2,8,0
3,1,1.0,5,2,46.9,2.1589101519708302,147,0,3,7,7
3,0,29.69911764705882,8,2,69.55,2.3359278624155344,147,0,3,8,10
3,1,26.0,0,0,56.4958,2.2408007055327177,147,0,3,11,0
3,1,25.0,1,0,7.775,1.5070930932320792,147,0,3,11,1
2,1,29.69911764705882,0,0,0.0,0.0,147,0,3,11,0
3,1,20.0,0,0,9.5,1.5687174265360495,147,0,3,11,0
1,0,54.0,1,0,78.2667,2.3917479178865846,96,1,0,8,1
3,1,22.0,0,0,8.05,1.5176064932892266,147,0,3,11,0
2,1,59.0,0,0,13.5,1.6829327181692992,147,0,3,11,0
2,0,54.0,1,3,23.0,1.8721712305548568,147,0,3,12,4
1,1,27.0,0,0,30.5,1.9808882133555448,147,0,3,11,0
1,1,31.0,1,0,52.0,2.2039445754429603,38,1,3,11,1
1,1,22.0,0,0,135.6333,2.6697664164667194,147,0,0,11,0
1,1,33.0,0,0,5.0,1.3797296614612151,34,1,3,11,0
3,1,6.0,0,1,12.475,1.656563586916615,118,1,3,7,1
3,0,5.0,4,2,31.3875,1.9922844494899752,147,0,3,8,6
1,1,39.0,0,0,0.0,0.0,11,1,3,11,0
3,1,24.5,0,0,8.05,1.5176064932892266,147,0,3,11,0
2,1,54.0,0,0,14.0,1.6952182030724354,147,0,3,3,0
3,1,29.69911764705882,0,0,7.55,1.4982676079809925,147,0,3,11,0
3,1,29.69911764705882,0,0,7.8958,1.5117473912278288,147,0,3,11,0
3,1,30.0,0,0,7.2292,1.4853132250847014,147,0,0,11,0
3,0,29.69911764705882,0,0,7.8792,1.5111112014285388,147,0,2,8,0
1,0,35.0,0,0,249.0062200000004,3.014685687666117,147,0,0,8,0
1,0,21.0,0,0,77.9583,2.389860064162019,114,1,3,8,0
1,1,32.0,0,0,30.5,1.9808882133555448,33,1,0,3,0
3,1,16.0,0,0,9.5,1.5687174265360495,147,0,3,11,0
3,0,22.0,0,0,7.25,1.4861669577303998,147,0,3,8,0
3,1,29.69911764705882,0,0,7.8958,1.5117473912278288,147,0,3,11,0
1,1,38.0,1,0,90.0,2.4595094858493645,87,1,3,11,1
3,1,29.69911764705882,8,2,69.55,2.3359278624155344,147,0,3,11,10
2,1,25.0,1,0,26.0,1.9186451916253064,147,0,3,11,1
2,0,33.0,1,2,27.75,1.9438045639530088,147,0,3,12,3
3,0,29.69911764705882,1,0,16.1,1.7432720823741534,147,0,3,12,1
1,1,18.0,1,0,108.9,2.5550863153165126,74,1,0,11,1
3,1,29.69911764705882,1,0,16.1,1.7432720823741534,147,0,3,11,1
3,1,29.69911764705882,0,0,7.8958,1.5117473912278288,147,0,3,11,0
3,1,2.0,4,1,39.6875,2.0880012221280344,147,0,3,7,5
3,1,0.42,0,1,8.5167,1.53480876217211,147,0,0,7,1
2,1,26.0,0,0,10.5,1.6004343344404717,147,0,3,11,0
3,1,41.0,0,0,7.125,1.4810065311433624,147,0,3,11,0
1,1,48.0,1,0,76.7292,2.3822763210228204,101,1,0,11,1
2,0,48.0,1,2,65.0,2.3045316198021406,147,0,3,12,3
1,0,48.0,1,0,39.6,2.0870797156498897,2,1,0,5,1
3,1,4.0,4,2,31.275,1.9908542366373856,147,0,3,7,6
1,0,39.0,1,0,55.9,2.236054381834505,128,1,3,12,1
3,0,33.0,3,0,15.85,1.7378242505455312,147,0,3,12,3
2,1,29.0,0,0,10.5,1.6004343344404717,147,0,3,11,0
1,1,49.0,1,1,110.8833,2.5643259572237604,75,1,0,11,2
3,1,29.69911764705882,8,2,69.55,2.3359278624155344,147,0,3,7,10
3,1,29.69911764705882,0,0,7.2292,1.4853132250847014,147,0,0,11,0
1,1,42.0,1,0,52.0,2.2039445754429603,147,0,3,11,1
1,0,36.0,0,2,71.0,2.345587668505003,20,1,3,8,2
1,1,61.0,0,0,33.5,2.018408011896243,18,1,3,11,0
3,0,18.0,0,0,6.75,1.4650780257917608,147,0,2,8,0
3,0,18.0,0,0,7.4958,1.4961102490661968,147,0,3,8,0
2,1,0.67,1,1,14.5,1.7071575395958585,147,0,3,7,2
3,1,32.0,0,0,56.4958,2.2408007055327177,147,0,3,11,0
3,1,29.69911764705882,0,0,8.05,1.5176064932892266,147,0,3,11,0
3,1,29.69911764705882,0,0,8.05,1.5176064932892266,147,0,3,11,0
3,0,29.69911764705882,1,0,14.4542,1.7060777218137082,147,0,0,8,1
3,1,16.0,0,0,8.05,1.5176064932892266,147,0,3,11,0
1,1,31.0,1,0,57.0,2.244786134364092,19,1,3,11,1
1,1,48.0,0,0,26.55,1.926694710508685,117,1,3,11,0
3,1,22.0,0,0,7.225,1.4851405983548165,147,0,0,11,0
3,0,13.0,0,0,7.2292,1.4853132250847014,147,0,0,8,0
3,1,32.0,1,0,15.85,1.7378242505455312,147,0,3,11,1
3,1,28.0,2,0,7.925,1.5128638802220769,147,0,3,11,2
2,1,46.0,0,0,26.0,1.9186451916253064,147,0,3,11,0
