Name,Symbol,LastSale,MarketCapLabel,MarketCapAmount,IPOyear,Sector,industry,Summary Quote
"6D Global Technologies, Inc.",SIXD,8.52,$660.94M,660940000,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd
8x8 Inc,EGHT,7.62,$684.79M,684790000,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
"A V Homes, Inc.",AVHI,15.13,$334.32M,334320000,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
"A. Schulman, Inc.",SHLM,40.3,$1.17B,1170000000,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
"AAON, Inc.",AAON,23.74,$1.29B,1290000000,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
"ABAXIS, Inc.",ABAX,60.17,$1.36B,1360000000,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
Abengoa Yield plc,ABY,34.73,$2.78B,2780000000,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby
"Abengoa, S.A.",ABGB,17.53,$2.94B,2940000000,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb
"ABIOMED, Inc.",ABMD,60.35,$2.48B,2480000000,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
Abraxas Petroleum Corporation,AXAS,3.16,$332.99M,332990000,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
Acacia Research Corporation,ACTG,12.83,$643.05M,643050000,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
"Acadia Healthcare Company, Inc.",ACHC,63.795,$4.21B,4210000000,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACADIA Pharmaceuticals Inc.,ACAD,37.45,$3.74B,3740000000,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
"Acasti Pharma, Inc.",ACST,0.5592,$59.52M,59520000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
"Accelerate Diagnostics, Inc.",AXDX,18.05,$805.21M,805210000,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
Acceleron Pharma Inc.,XLRN,39.98,$1.29B,1290000000,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
Access National Corporation,ANCX,17.98,$187.93M,187930000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
Accuray Incorporated,ARAY,8.04,$631.05M,631050000,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
"AcelRx Pharmaceuticals, Inc.",ACRX,8.13,$355.34M,355340000,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
Aceto Corporation,ACET,20.95,$609.83M,609830000,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
"Achaogen, Inc.",AKAO,11.47,$203.68M,203680000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
"Achillion Pharmaceuticals, Inc.",ACHN,12.16,$1.39B,1390000000,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
"ACI Worldwide, Inc.",ACIW,20.46,$2.35B,2350000000,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACNB Corporation,ACNB,20.25,$121.73M,121730000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
"Acorda Therapeutics, Inc.",ACOR,37.41,$1.57B,1570000000,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
"Acorn Energy, Inc.",ACFN,0.6124,$16.21M,16210000,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn
"Actions Semiconductor Co., Ltd.",ACTS,1.59,$136.74M,136740000,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
"Active Power, Inc.",ACPW,1.83,$42.26M,42260000,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
"Activision Blizzard, Inc",ATVI,23.31,$16.76B,16760000000,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
Actua Corporation,ACTA,15.37,$623.74M,623740000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
"Acura Pharmaceuticals, Inc.",ACUR,0.63,$29.51M,29510000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur
Acxiom Corporation,ACXM,19.66,$1.52B,1520000000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
"Adamas Pharmaceuticals, Inc.",ADMS,17.28,$295.93M,295930000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
Adamis Pharmaceuticals Corporation,ADMP,6.51,$84.32M,84320000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
Addus HomeCare Corporation,ADUS,21.4,$235.18M,235180000,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
"ADDvantage Technologies Group, Inc.",AEY,2.4568,$24.67M,24670000,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
"Adept Technology, Inc.",ADEP,6.5,$85.17M,85170000,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep
ADMA Biologics Inc,ADMA,10.48,$97.38M,97380000,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
Adobe Systems Incorporated,ADBE,78.55,$39.14B,39140000000,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
"ADTRAN, Inc.",ADTN,23,$1.25B,1250000000,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
Advanced Accelerator Applications S.A.,AAAP,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaap
"Advanced Energy Industries, Inc.",AEIS,26.53,$1.06B,1060000000,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
"Advanced Micro Devices, Inc.",AMD,3.06,$2.37B,2370000000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
"Advaxis, Inc.",ADXS,8.22,$194.36M,194360000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
"Advaxis, Inc.",ADXSW,5.2,n/a,0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
"Advent Software, Inc.",ADVS,44.17,$2.31B,2310000000,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs
Advisorshares Trust-Advisorshares Sunrise Global Multi-Strateg,MULT,23.25,$2.33M,2330000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mult
AdvisorShares YieldPro ETF,YPRO,23.94,$68.23M,68230000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro
"Aegerion Pharmaceuticals, Inc.",AEGR,26.49,$753.27M,753270000,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr
Aegion Corp,AEGN,16.66,$622.78M,622780000,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
Aehr Test Systems,AEHR,2.39,$30.67M,30670000,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
"Aemetis, Inc",AMTX,4.42,$91.11M,91110000,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AEP Industries Inc.,AEPI,51.32,$260.74M,260740000,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
"Aerie Pharmaceuticals, Inc.",AERI,27.71,$664.61M,664610000,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
"AeroVironment, Inc.",AVAV,27.88,$650.21M,650210000,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEterna Zentaris Inc.,AEZS,0.601,$39.37M,39370000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
Affimed N.V.,AFMD,5.43,$130.23M,130230000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
"Affymetrix, Inc.",AFFX,11.84,$871.23M,871230000,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx
Agenus Inc.,AGEN,5.2,$325.96M,325960000,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
"Agile Therapeutics, Inc.",AGRX,9.47,$189.51M,189510000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
"Agilysys, Inc.",AGYS,9.87,$225.26M,225260000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
"Agios Pharmaceuticals, Inc.",AGIO,106.3,$3.93B,3930000000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
Air Methods Corporation,AIRM,45.6,$1.79B,1790000000,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
"Air T, Inc.",AIRT,19.81,$46.95M,46950000,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
"Air Transport Services Group, Inc",ATSG,8.95,$581.21M,581210000,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AirMedia Group Inc,AMCN,2.19,$130.45M,130450000,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
Aixtron SE,AIXG,8.13,$906.84M,906840000,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
"Akamai Technologies, Inc.",AKAM,71.62,$12.75B,12750000000,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
"Akebia Therapeutics, Inc.",AKBA,10.14,$206.26M,206260000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
Akers Biosciences Inc,AKER,3.7365,$18.51M,18510000,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
"Akorn, Inc.",AKRX,48.02,$5.18B,5180000000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
"Alaska Communications Systems Group, Inc.",ALSK,1.71,$84.71M,84710000,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
"Albany Molecular Research, Inc.",AMRI,16.27,$530.51M,530510000,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
Alcentra Capital Corp.,ABDC,13.59,$183.69M,183690000,2014,n/a,n/a,http://www.nasdaq.com/symbol/abdc
Alcobra Ltd.,ADHD,7.43,$157.35M,157350000,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
"Alder BioPharmaceuticals, Inc.",ALDR,27.41,$1.03B,1030000000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
"Aldeyra Therapeutics, Inc.",ALDX,10.5,$58.44M,58440000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
"Alexion Pharmaceuticals, Inc.",ALXN,186.02,$37.6B,37600000000,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
"Alexza Pharmaceuticals, Inc.",ALXA,2.18,$42.3M,42300000,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa
"Alico, Inc.",ALCO,48.01,$353.87M,353870000,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
"Align Technology, Inc.",ALGN,56.81,$4.56B,4560000000,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
"Alimera Sciences, Inc.",ALIM,5.32,$235.66M,235660000,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
Alkermes plc,ALKS,73.24,$10.71B,10710000000,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
Allegiant Travel Company,ALGT,184.79,$3.23B,3230000000,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
"Alliance Bancorp, Inc. of Pennsylvania",ALLB,16.93,$68.18M,68180000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb
"Alliance Fiber Optic Products, Inc.",AFOP,16.98,$316.72M,316720000,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
"Alliance HealthCare Services, Inc.",AIQ,25.08,$269.22M,269220000,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
"Alliance Holdings GP, L.P.",AHGP,52.57,$3.15B,3150000000,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
"Alliance Resource Partners, L.P.",ARLP,40.41,$2.99B,2990000000,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
"Allied Healthcare Products, Inc.",AHPI,1.71,$13.73M,13730000,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
"Allied Motion Technologies, Inc.",AMOT,26.89,$248.06M,248060000,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
"Alliqua BioMedical, Inc.",ALQA,6,$97.04M,97040000,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
Allot Communications Ltd.,ALLT,9.3,$309.2M,309200000,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
"Allscripts Healthcare Solutions, Inc.",MDRX,12.83,$2.31B,2310000000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
Almost Family Inc,AFAM,29.46,$279.16M,279160000,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
"Alnylam Pharmaceuticals, Inc.",ALNY,102.39,$8.58B,8580000000,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
Alpha and Omega Semiconductor Limited,AOSL,8.79,$234.31M,234310000,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
"Alphatec Holdings, Inc.",ATEC,1.35,$134.45M,134450000,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
Altera Corporation,ALTR,36.14,$10.87B,10870000000,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr
"AltheaDx, Inc.",IDGX,n/a,n/a,0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/idgx
Altisource Portfolio Solutions S.A.,ASPS,23.2,$470.31M,470310000,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
Altra Industrial Motion Corp.,AIMC,26.26,$699.44M,699440000,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
"AMAG Pharmaceuticals, Inc.",AMAG,43.04,$1.1B,1100000000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
Amarin Corporation PLC,AMRN,1.33,$232.23M,232230000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
"A-Mark Precious Metals, Inc.",AMRK,10.1399,$70.6M,70600000,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
"Amazon.com, Inc.",AMZN,383.66,$178.17B,178170000000,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
"Ambac Financial Group, Inc.",AMBC,25.42,$1.14B,1140000000,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
"Ambac Financial Group, Inc.",AMBCW,13.71,n/a,0,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
"Ambarella, Inc.",AMBA,51.75,$1.57B,1570000000,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
"Ambassadors Group, Inc.",EPAX,2.41,$41.08M,41080000,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/epax
AMC Networks Inc.,AMCX,69.34,$5B,5000000000,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
Amdocs Limited,DOX,51.57,$8.01B,8010000000,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
Amedica Corporation,AMDA,0.8,$11.04M,11040000,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
Amedisys Inc,AMED,28.69,$957.68M,957680000,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
Amerco,UHAL,321.8,$6.31B,6310000000,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
Ameriana Bancorp,ASBI,15.831,$47.6M,47600000,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi
"America First Multifamily Investors, L.P.",ATAX,5.79,$348.86M,348860000,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
"America Movil, S.A.B. de C.V.",AMOV,21.58,$74.86B,74860000000,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
"American Airlines Group, Inc.",AAL,51.02,$36.59B,36590000000,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
American Capital Agency Corp.,AGNC,21.94,$7.74B,7740000000,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
American Capital Agency Corp.,AGNCB,25.1199,$8.86B,8860000000,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
American Capital Agency Corp.,AGNCP,26.6399,n/a,0,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
American Capital Mortgage Investment Corp.,MTGE,18.27,$934.37M,934370000,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge
American Capital Mortgage Investment Corp.,MTGEP,25.24,$50.48M,50480000,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtgep
"American Capital Senior Floating, Ltd.",ACSF,12.9,$129M,129000000,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf
"American Capital, Ltd.",ACAS,14.75,$3.98B,3980000000,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas
American Caresource Holdings Inc,ANCI,2.89,$19.4M,19400000,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/anci
"American Electric Technologies, Inc.",AETI,4.14,$33.89M,33890000,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
American Independence Corp.,AMIC,10.61,$85.72M,85720000,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic
"American National Bankshares, Inc.",AMNB,22.1,$173.41M,173410000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
American National Insurance Company,ANAT,105.61,$2.84B,2840000000,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
"American Public Education, Inc.",APEI,34.08,$588.38M,588380000,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
"American Railcar Industries, Inc.",ARII,56.08,$1.2B,1200000000,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
"American Realty Capital Properties, Inc.",ARCP,9.44,$8.57B,8570000000,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcp
"American Realty Capital Properties, Inc.",ARCPP,23.24,$999.32M,999320000,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcpp
American River Bankshares,AMRB,9.72,$78.63M,78630000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
"American Science and Engineering, Inc.",ASEI,51.52,$380.58M,380580000,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei
"American Software, Inc.",AMSWA,9.12,$257.55M,257550000,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
American Superconductor Corporation,AMSC,0.77,$73.71M,73710000,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
American Woodmark Corporation,AMWD,44.12,$698.38M,698380000,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
"America&#39;s Car-Mart, Inc.",CRMT,53.63,$462.44M,462440000,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
Ameris Bancorp,ABCB,26,$732.18M,732180000,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
"AMERISAFE, Inc.",AMSF,42.94,$808.25M,808250000,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
AmeriServ Financial Inc.,ASRV,2.95,$55.44M,55440000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
AmeriServ Financial Inc.,ASRVP,27.66,n/a,0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
Ames National Corporation,ATLO,24.74,$230.35M,230350000,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
Amgen Inc.,AMGN,157.66,$119.93B,119930000000,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
"Amicus Therapeutics, Inc.",FOLD,8.7,$828.67M,828670000,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
"Amkor Technology, Inc.",AMKR,9.16,$2.17B,2170000000,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
"Amphastar Pharmaceuticals, Inc.",AMPH,12.85,$573.74M,573740000,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
Amsurg Corp.,AMSG,55.96,$2.69B,2690000000,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg
Amsurg Corp.,AMSGP,116.19,$200.43M,200430000,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsgp
"Amtech Systems, Inc.",ASYS,10.49,$136.96M,136960000,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
"AmTrust Financial Services, Inc.",AFSI,55.76,$4.4B,4400000000,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
"Amyris, Inc.",AMRS,2,$158.15M,158150000,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
"Anacor Pharmaceuticals, Inc.",ANAC,43.49,$1.87B,1870000000,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac
"ANADIGICS, Inc.",ANAD,1.24,$107.36M,107360000,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad
"Analog Devices, Inc.",ADI,59.13,$18.43B,18430000000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
Analogic Corporation,ALOG,84.98,$1.05B,1050000000,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
Anchor Bancorp,ANCB,21.6101,$55.11M,55110000,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
Anchor BanCorp Wisconsin Inc.,ABCW,34.63,$320.16M,320160000,2014,Finance,Banks,http://www.nasdaq.com/symbol/abcw
Andatee China Marine Fuel Services Corporation,AMCF,1.51,$15.49M,15490000,2010,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/amcf
"Angie&#39;s List, Inc.",ANGI,6.73,$393.82M,393820000,2011,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
"AngioDynamics, Inc.",ANGO,19.03,$681.68M,681680000,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
"ANI Pharmaceuticals, Inc.",ANIP,68.66,$777.88M,777880000,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
Anika Therapeutics Inc.,ANIK,44.05,$638.9M,638900000,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
"ANSYS, Inc.",ANSS,87.25,$8.02B,8020000000,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
"Antares Pharma, Inc.",ATRS,2.59,$341.06M,341060000,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
"Anthera Pharmaceuticals, Inc.",ANTH,4.58,$105.06M,105060000,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
"Aoxin Tianli Group, Inc.",ABAC,1.61,$44.7M,44700000,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac
API Technologies Corp.,ATNY,1.8548,$102.75M,102750000,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny
"Apogee Enterprises, Inc.",APOG,45.21,$1.31B,1310000000,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
"Apollo Education Group, Inc.",APOL,26.755,$2.9B,2900000000,1994,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apol
Apollo Investment Corporation,AINV,7.81,$1.85B,1850000000,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
Apple Inc.,AAPL,129.495,$754.28B,754280000000,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
"Appliance Recycling Centers of America, Inc.",ARCI,2.82,$16.32M,16320000,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
Applied DNA Sciences Inc,APDN,3.73,$64.76M,64760000,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn
Applied DNA Sciences Inc,APDNW,1.44,n/a,0,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdnw
Applied Genetic Technologies Corporation,AGTC,22.73,$373.72M,373720000,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc
