RowNumber,Exited,P_Hat
8551,1,0.632828871
9720,1,0.632502282
9493,1,0.632428915
2761,0,0.632346645
5491,0,0.632190806
671,0,0.632179206
631,1,0.631278922
852,1,0.631204569
3611,1,0.630372795
1166,0,0.62951201
6507,1,0.629430395
7085,1,0.628966177
2439,1,0.628908511
6233,1,0.627828571
1449,1,0.627493936
7899,0,0.626887809
3640,1,0.626579939
6047,0,0.625824545
1612,1,0.625621292
3594,0,0.625155875
3390,1,0.624991546
7207,0,0.624974632
7766,0,0.624189752
4993,1,0.623972874
3284,0,0.623893344
7203,0,0.623760469
5515,1,0.623284035
5332,1,0.623202414
1071,1,0.622543251
8953,1,0.621656082
9895,0,0.621492441
3783,1,0.62149218
9735,0,0.621217364
3619,1,0.621157006
71,1,0.620806067
4002,1,0.620739718
3914,1,0.620259871
6892,1,0.620051114
4022,1,0.619053776
3957,0,0.618984958
7478,1,0.618104612
3362,0,0.617478271
5224,0,0.615828586
4668,1,0.614550704
1982,0,0.614463186
9737,0,0.614162988
8344,1,0.614107336
1374,1,0.61393011
6256,1,0.613411864
6275,1,0.612919085
5818,0,0.612728868
7317,1,0.610449406
5137,0,0.610119436
3410,1,0.610052017
6053,0,0.609874392
8305,0,0.608060753
793,0,0.606773769
8709,0,0.606415651
7227,0,0.606289763
9053,1,0.605940813
6290,1,0.605436391
8226,1,0.60531263
2262,0,0.60463652
735,1,0.60445251
970,0,0.604429833
4362,1,0.604356804
4281,1,0.604261189
7092,1,0.603864966
1390,1,0.603332341
9402,1,0.603246724
8020,0,0.603222325
7549,0,0.603059975
9022,0,0.602884229
4360,0,0.602622764
4598,1,0.602414596
9325,0,0.602085758
8695,0,0.601845356
5932,1,0.601215442
9983,1,0.601150764
9754,0,0.600820956
4439,0,0.600682702
8663,1,0.600416083
8735,1,0.599250422
539,1,0.597437941
7025,0,0.597086622
250,1,0.596227768
4500,0,0.596129996
9403,0,0.59612436
2718,0,0.59562747
2541,1,0.59539604
6893,1,0.594219275
7515,1,0.593030503
4670,1,0.592917495
2460,1,0.592124643
6900,1,0.591913023
5822,1,0.591873788
6100,1,0.591665483
752,0,0.591653713
9821,0,0.591412236
9322,1,0.590922809
1905,0,0.590539374
2540,1,0.590375414
7089,1,0.589292881
6358,0,0.587154589
9558,0,0.587043513
2269,1,0.58702663
5033,0,0.586761067
9411,0,0.586606854
7397,1,0.586297303
7774,1,0.585707366
9820,1,0.585681478
8563,1,0.585427508
7004,1,0.585315516
6568,1,0.585140468
4951,0,0.585060357
7254,1,0.584962481
9534,1,0.584783933
244,1,0.584686743
5100,1,0.583854995
4379,0,0.583532478
3539,1,0.58323349
9063,1,0.583086676
3652,0,0.582803573
3669,1,0.582609104
1126,0,0.582551047
4298,1,0.58223061
8018,0,0.582103353
1508,0,0.580998458
8196,0,0.580641615
1470,1,0.580280419
5314,0,0.579951916
4403,1,0.579722949
7765,1,0.579327291
2236,1,0.579070846
9202,0,0.57884245
8066,1,0.578558976
8966,0,0.577487158
7099,1,0.57707592
1056,0,0.576729777
730,1,0.576354318
5509,0,0.576179179
6309,1,0.576100855
5928,1,0.575999059
3075,1,0.575462772
3110,1,0.575193058
964,1,0.57519062
2081,1,0.574802251
9690,0,0.574401305
3551,0,0.574079168
9312,1,0.574007191
2824,0,0.573959807
7883,1,0.573890944
9224,0,0.573834507
4755,1,0.573515541
7895,1,0.573503848
4055,1,0.57283197
7396,1,0.572819933
7789,0,0.572585908
5705,1,0.572409439
688,1,0.572008355
7108,0,0.571956277
8587,0,0.571835717
5106,1,0.571780405
8992,1,0.571749607
3143,0,0.571647759
7059,1,0.571571953
3255,1,0.57140805
2273,1,0.571003674
1492,1,0.570877902
4871,1,0.5708019
4840,1,0.570659155
3734,0,0.570254188
8749,1,0.57023478
7696,1,0.570009896
3703,0,0.569546696
881,1,0.568976946
6818,1,0.568688596
4245,0,0.56867043
2594,0,0.568321665
8643,0,0.568081967
6554,1,0.567638312
3350,1,0.567424842
7694,0,0.567188454
1154,1,0.567041464
6302,0,0.566698892
1699,0,0.566610816
8104,1,0.565517669
2408,1,0.56547858
6454,0,0.565293931
7716,1,0.565264849
7627,0,0.564831995
9491,0,0.564704431
183,0,0.56460535
9427,1,0.56433708
9129,1,0.564243193
3634,0,0.563946635
9074,1,0.563896783
8009,0,0.563371176
2028,1,0.562811833
5130,0,0.562095404
4274,0,0.561706567
9698,1,0.56164323
6497,1,0.561571232
1006,1,0.561371556
818,1,0.561307435
9992,1,0.560910965
2370,1,0.560744723
9469,0,0.559806717
2856,0,0.559444278
8931,0,0.55937056
7934,0,0.55836866
2782,1,0.558362919
2656,0,0.558136895
9762,0,0.557348395
7489,0,0.55730278
2054,1,0.557250665
2373,1,0.557144594
1019,1,0.557111472
2482,0,0.557001656
9719,1,0.556865037
7376,0,0.556833186
7927,1,0.556795816
8011,1,0.556168891
8631,0,0.555775174
2165,0,0.555646923
8794,0,0.555051606
7553,0,0.554401516
7157,0,0.554256949
8578,1,0.553905427
2400,0,0.553847294
1352,1,0.553056348
1570,1,0.552991
6174,0,0.552880472
4138,0,0.552753334
5058,1,0.552653997
7823,1,0.552283989
8554,0,0.552145317
6099,0,0.552065786
5809,1,0.551829578
8073,1,0.551745622
4596,1,0.551580054
3590,0,0.551475937
4163,0,0.55116879
4913,1,0.550986134
698,1,0.550291433
3827,0,0.550134312
5456,1,0.54977224
9976,1,0.549643971
86,0,0.549500787
982,0,0.549369126
9577,0,0.549125677
1917,1,0.547484018
410,0,0.547454332
5759,1,0.546803844
1266,1,0.546746342
7970,1,0.546352472
1646,0,0.546150354
2749,1,0.545462094
5104,1,0.545202081
229,1,0.544470347
4478,0,0.543940449
7550,1,0.543900577
4785,1,0.543531932
824,1,0.543465287
4639,0,0.543265437
9187,0,0.542879236
5443,1,0.542179763
4725,0,0.541889898
8399,1,0.541411213
2361,0,0.541097063
7856,0,0.540879365
872,1,0.54077633
6168,0,0.540744452
5160,0,0.540599541
8423,1,0.540162517
7145,1,0.540080555
4885,1,0.5400639
1463,1,0.539954918
3804,1,0.53989916
8117,1,0.53980986
4072,0,0.538965576
5599,0,0.538730482
1460,1,0.538667056
4698,1,0.538657344
9235,1,0.538445111
6117,0,0.538386408
5426,0,0.538364721
596,0,0.537576478
9594,0,0.537542517
1306,1,0.537235385
4312,1,0.53715597
2720,1,0.536887551
6506,1,0.536625236
6904,0,0.536266151
1040,0,0.53619168
3263,1,0.536072678
9794,0,0.53567797
1236,0,0.535664558
6896,1,0.535485745
9537,1,0.535182349
5340,1,0.535095437
841,1,0.534896903
238,1,0.534717949
9429,0,0.533708172
5973,1,0.533678422
42,1,0.533675844
7963,1,0.533392794
1956,1,0.53336164
1202,1,0.53333857
3225,1,0.533327559
9150,0,0.533001315
3466,0,0.532732254
5115,1,0.532651606
860,1,0.5319209
4197,1,0.531836268
5135,1,0.531807064
4148,0,0.531671963
7094,1,0.531632295
6279,0,0.531355199
6360,1,0.530546695
4746,1,0.529886106
2902,0,0.529631613
8194,0,0.529202264
8494,1,0.529157598
567,1,0.528755193
4387,0,0.528272185
4157,0,0.528081194
5781,0,0.528008882
8266,1,0.527756131
1227,0,0.527720061
6471,0,0.527542763
1506,1,0.527098887
5990,1,0.527047342
5654,0,0.527039329
9208,1,0.526535298
2140,1,0.52634927
1206,0,0.52601349
3312,0,0.524666966
9416,0,0.52463971
3286,1,0.524161448
1963,1,0.523602532
1561,0,0.523583804
1918,1,0.523543924
9139,1,0.523462088
3829,0,0.523436296
6918,0,0.523389758
3430,1,0.52317326
3334,0,0.522790167
235,0,0.522754015
9902,0,0.522651316
503,1,0.52261877
8788,0,0.521780251
9317,1,0.521622058
7488,1,0.521225547
9937,0,0.521035885
6105,1,0.520687873
3167,1,0.520318865
3581,0,0.519905067
8206,0,0.519491109
9385,1,0.519146715
8052,1,0.519138553
5858,1,0.518936789
6212,0,0.518217452
8102,1,0.518090847
2435,1,0.517778071
5342,0,0.517659774
6704,1,0.517323646
9336,0,0.517309534
603,0,0.516985288
2313,1,0.516982206
3898,0,0.516886543
8901,0,0.516858583
838,0,0.516420681
4029,0,0.515604002
4681,0,0.515569227
4432,0,0.515567101
80,0,0.515535448
6613,0,0.515494471
7760,1,0.51506287
5086,1,0.514963277
4034,1,0.514427719
7518,1,0.514356406
367,0,0.514227044
2570,0,0.514143068
2912,0,0.513992188
8674,1,0.513910337
5672,0,0.513858268
6062,1,0.513728498
7957,0,0.513405424
1654,1,0.513251287
5019,1,0.513187322
6811,0,0.513136177
9426,0,0.513082737
1753,0,0.512913176
7398,1,0.512543274
4285,0,0.511940463
689,1,0.511498358
9107,1,0.51135293
6685,1,0.510876012
8059,0,0.510141831
7019,1,0.509892308
5215,1,0.509779185
5158,0,0.509776196
429,0,0.509257355
4649,1,0.509234848
2787,1,0.509206742
9344,0,0.508915196
1419,0,0.508105103
3684,1,0.507902275
7249,1,0.5075921
1520,1,0.507523936
775,1,0.507384776
3603,0,0.507292464
9834,0,0.507218289
3542,0,0.507069085
8785,1,0.507057435
9163,1,0.506997967
8171,1,0.506953255
2814,1,0.50658189
586,1,0.506322129
1345,1,0.505665658
3814,0,0.505338395
2347,1,0.504498677
4404,1,0.504191313
1824,1,0.504160185
7040,0,0.503658355
3576,0,0.503336556
5155,0,0.503022531
2560,0,0.502538252
9601,1,0.502490126
1001,0,0.502488646
1997,1,0.50246493
2704,1,0.502324946
1867,0,0.502260014
1607,0,0.50209727
613,0,0.501528383
7710,0,0.501273536
3157,1,0.501173827
1185,0,0.500657867
4458,0,0.500408464
2472,0,0.500262692
3820,1,0.500145443
2929,1,0.500143775
5722,1,0.500051
7524,0,0.499598257
3763,0,0.499493869
922,1,0.49937216
9352,0,0.499292663
6344,1,0.499184216
3268,0,0.499010521
6726,0,0.499002666
7966,1,0.498983611
770,1,0.498907706
3881,0,0.498893819
9649,0,0.498855302
4711,0,0.498777615
2160,0,0.498662701
1664,1,0.498499811
6608,0,0.498298366
3463,0,0.497651319
8970,0,0.497594551
8524,1,0.497212185
8993,0,0.496649359
1874,0,0.496525847
8293,0,0.496205262
2121,1,0.495985216
4491,0,0.495782535
933,0,0.495780705
7363,0,0.495244045
8831,1,0.494711381
9376,1,0.493912795
9117,0,0.49377144
7458,1,0.493737333
8659,0,0.493231853
2770,1,0.493223866
3496,0,0.493149586
3131,1,0.492973822
9297,0,0.49289773
7117,1,0.492889637
8687,0,0.492709452
508,0,0.492670446
1252,1,0.492315386
8624,0,0.49207037
8278,0,0.491607715
7472,0,0.491577342
5495,1,0.491228087
3598,0,0.491227188
9969,0,0.490831963
1235,0,0.490781515
5378,0,0.490738567
3144,0,0.490358601
3579,1,0.490255485
3995,0,0.490254189
9185,0,0.49006115
5868,0,0.489746621
6716,0,0.489719835
6268,1,0.489464782
2196,1,0.48916241
1895,0,0.489106029
8320,0,0.48874705
9072,0,0.488314434
3338,1,0.487941234
7333,0,0.487770313
658,0,0.487767182
1286,0,0.487486596
6429,1,0.487365822
7002,0,0.487152636
139,1,0.48712934
8688,0,0.486560252
2725,0,0.486407793
451,0,0.486246397
4630,1,0.486041493
5466,0,0.485903271
7069,1,0.48580651
8178,0,0.485257502
9590,0,0.485147122
2088,1,0.48512251
2779,0,0.485111235
6296,1,0.48505095
9142,0,0.484482625
8879,1,0.483577045
6119,0,0.483503109
1649,0,0.483075098
1565,0,0.483070465
6086,1,0.482898467
6858,1,0.482894268
5777,1,0.482657555
2013,0,0.482532555
4195,0,0.482436804
644,1,0.482411817
7038,1,0.482314343
407,1,0.482196586
5039,0,0.482010922
5997,0,0.481850991
7910,1,0.481645457
6280,1,0.481563652
490,0,0.481251376
6670,1,0.481244573
6814,0,0.481129569
7695,0,0.480852465
476,1,0.480812695
868,1,0.480674208
4782,1,0.480619175
2299,0,0.479964725
2350,1,0.479558204
5665,1,0.479039645
7239,1,0.478882822
6510,0,0.478363535
8548,0,0.478344685
9896,1,0.47820793
6708,1,0.477568737
3698,0,0.477464839
7244,0,0.47721218
6519,1,0.477167189
2815,0,0.477128811
6735,1,0.476859215
1061,0,0.476816464
2096,0,0.476779594
9381,0,0.476734255
7030,1,0.476381472
990,1,0.476280458
7669,0,0.476212326
3503,1,0.475350535
6413,1,0.475171729
3086,1,0.47489821
3277,0,0.474886061
9286,0,0.474803381
2640,1,0.474412484
6618,0,0.474364022
5660,1,0.474260826
851,0,0.474136281
568,0,0.473980923
7785,0,0.473918876
7301,0,0.473444898
8148,1,0.473166875
1233,1,0.472644932
1245,0,0.472509793
8762,1,0.472028145
1987,0,0.471935182
2062,0,0.471892901
679,0,0.471657554
4303,1,0.471436667
3787,1,0.471433186
9221,1,0.471186938
7652,0,0.471023598
4484,1,0.470919161
5094,1,0.470514177
242,0,0.470380184
2314,0,0.469833493
2282,0,0.469593748
1058,1,0.469353653
929,0,0.469303364
560,0,0.46908208
1334,0,0.469079016
8106,1,0.468843227
5776,0,0.468768922
7420,0,0.467951019
8459,0,0.467467193
5257,1,0.467402822
7339,1,0.466495405
8076,1,0.466130568
9319,0,0.465759841
8678,0,0.465746829
4546,0,0.465746505
3781,1,0.465527311
623,0,0.46549386
2010,1,0.46525866
9415,1,0.465008165
1273,0,0.464945512
3743,0,0.464934741
8847,0,0.464488846
8419,0,0.464486413
7796,0,0.464216656
3958,1,0.464150225
6516,0,0.463775473
7625,0,0.463650615
7096,1,0.463434829
536,1,0.463279592
8445,0,0.463080057
5458,0,0.462953704
2150,1,0.462952963
6852,0,0.462774573
8235,1,0.462013219
717,0,0.461747668
908,1,0.461010901
5338,1,0.460336417
748,0,0.460215498
5407,0,0.459644986
44,1,0.459573965
9683,0,0.459480591
7240,1,0.459403024
5198,0,0.459392691
4189,0,0.459334702
2506,0,0.459124016
2933,1,0.458912306
3775,1,0.458805062
2192,1,0.45873611
1838,1,0.458631198
950,1,0.458382919
7175,0,0.458101991
2792,0,0.458077606
7095,0,0.458020381
6078,0,0.457977626
1234,0,0.457953688
2502,0,0.457885385
6792,0,0.457759925
4109,0,0.457758469
1799,1,0.457732738
4492,0,0.457727418
348,0,0.457699209
8707,1,0.457692064
2075,1,0.457680515
9654,0,0.457493448
2919,1,0.457065706
3762,0,0.456814341
9339,0,0.456519799
2357,0,0.456471201
9674,0,0.456397505
7436,1,0.456087965
5485,1,0.455983798
3315,1,0.455805252
1225,0,0.455639925
36,1,0.455618297
9136,1,0.455478567
8598,1,0.455156249
9314,0,0.455061181
43,0,0.454691714
7689,1,0.454628983
1106,0,0.453574465
1216,1,0.453308802
4094,1,0.453135825
8126,0,0.45308282
3434,0,0.452633174
434,1,0.452488718
6929,1,0.452104664
340,1,0.45206571
9682,0,0.451957584
173,1,0.451899431
4687,1,0.451572633
4962,0,0.45078724
7220,1,0.450636694
8150,0,0.450622107
7901,1,0.450618642
8602,0,0.450481282
8919,1,0.450433776
7023,1,0.450429299
684,0,0.450411729
9909,0,0.450314784
2520,0,0.450273268
5413,1,0.449791073
4802,0,0.449530563
9949,0,0.449500555
9222,1,0.449443571
9711,0,0.449427366
5186,1,0.449329256
2909,0,0.449321957
4667,0,0.449281105
979,0,0.448500605
2846,1,0.448341869
1108,1,0.448166675
8389,1,0.44803906
8375,1,0.447727546
2968,1,0.44772568
4507,0,0.447209852
744,1,0.446874029
6179,0,0.446523593
9365,0,0.445772681
4936,0,0.445323413
1798,1,0.445203601
8098,1,0.445146986
1715,0,0.445074086
2415,1,0.444986141
5037,0,0.444877778
9624,0,0.444816286
5957,0,0.444808494
8470,0,0.444748177
7593,0,0.444215547
163,0,0.444138297
7441,0,0.443882826
5020,1,0.443872747
1826,1,0.443865053
9589,0,0.443801069
5114,0,0.443453047
7404,1,0.443237868
4613,1,0.443223051
485,1,0.443094402
117,0,0.442636622
262,0,0.441874815
6450,1,0.441454225
2225,0,0.441448822
4720,1,0.441060661
4510,0,0.441015526
5927,1,0.440809764
2003,0,0.44046582
2975,0,0.440464777
385,0,0.440351215
1408,0,0.440051041
5826,1,0.439972251
5425,1,0.439897698
3732,1,0.439822213
3921,0,0.439404111
3950,0,0.439300494
7508,1,0.439218629
4676,0,0.439091673
3931,1,0.439017697
6496,1,0.438835781
6603,0,0.43877616
8999,0,0.438751487
3922,1,0.438745496
7844,1,0.438723627
4056,0,0.438651675
1818,0,0.438623031
6026,0,0.438466809
590,1,0.438333692
1544,0,0.438265531
512,0,0.438220048
9409,0,0.43813837
7727,0,0.438086014
5521,0,0.438075592
8302,1,0.438056888
1908,0,0.437863581
4326,0,0.437525381
5090,0,0.437427369
3055,0,0.436750159
1615,0,0.436722459
2677,1,0.436390131
7950,1,0.436344785
1830,1,0.436097018
2064,1,0.43609693
2217,0,0.435472134
2696,1,0.435361729
7297,0,0.435072794
905,1,0.435028188
4743,0,0.434803475
6887,0,0.434642327
6138,1,0.434597462
6389,1,0.434334762
6337,0,0.434227664
7418,0,0.434012785
8937,1,0.433950426
8252,0,0.433814614
5949,0,0.433551301
1406,1,0.433177675
6373,0,0.433051556
2267,1,0.432841111
8386,0,0.432762119
5138,1,0.432723983
3595,0,0.432501654
9315,1,0.432474954
3939,1,0.432218539
5441,1,0.432212286
3638,1,0.432152431
2669,1,0.432009121
1112,1,0.431930548
2631,0,0.43157498
6602,1,0.431445207
3764,1,0.431338818
3936,1,0.431241112
4081,1,0.431230629
6184,0,0.431162676
7996,0,0.431074825
5240,0,0.430951312
4997,0,0.430658348
9065,0,0.430502347
8276,0,0.430454379
6969,0,0.430435701
5034,1,0.430172183
6153,0,0.430130584
7531,0,0.430078415
386,0,0.42990105
6326,1,0.429877857
5472,1,0.429777085
3587,0,0.429686822
2341,1,0.429551029
1567,0,0.429425844
55,1,0.429158481
3629,0,0.428585669
3841,1,0.428435214
7690,0,0.428350033
45,0,0.427746471
8756,1,0.427735421
4388,0,0.427107089
9526,1,0.427084698
5626,0,0.426676202
9881,0,0.426639685
2287,0,0.426578258
8067,0,0.426459451
5600,1,0.426431957
6145,0,0.426428891
1041,0,0.426418384
5092,0,0.426408625
6575,0,0.426082282
1989,1,0.42585128
2245,0,0.425736327
3599,0,0.425688884
4552,1,0.425628469
7123,0,0.425589994
7802,1,0.425510686
105,1,0.425041117
9029,0,0.425017945
4753,0,0.425016185
7805,0,0.424960809
9412,1,0.424847066
9116,0,0.424497864
431,1,0.424325011
2421,0,0.424253385
2727,0,0.424093007
4052,0,0.42364863
8397,1,0.423582341
9957,1,0.42357173
3672,0,0.423409664
9294,0,0.422526044
869,1,0.422396128
9256,1,0.422348483
8232,1,0.422272867
8230,0,0.422263776
2209,1,0.422164239
8885,1,0.422137629
3464,1,0.422133747
4077,1,0.421282231
3630,0,0.420964913
6366,1,0.420888389
2806,1,0.420877786
4550,1,0.420363006
9636,1,0.420264486
401,0,0.420125012
4927,0,0.420073263
6369,1,0.420053105
4394,0,0.419952072
763,1,0.419941542
5982,0,0.419902618
5590,1,0.419762087
8676,0,0.419422313
1385,1,0.419416232
67,0,0.419368339
7600,1,0.419215922
3404,0,0.418856828
7195,0,0.418446796
3976,1,0.41836997
1253,0,0.418339867
1656,0,0.418222458
2932,0,0.418221983
4419,0,0.417942572
1855,1,0.417538148
9545,0,0.417356858
5661,0,0.417355158
9925,1,0.41707643
3083,1,0.417054774
2317,1,0.416941552
1952,1,0.41693367
3928,0,0.416685579
8395,0,0.416365342
5647,1,0.41629179
3036,1,0.415977174
757,0,0.415748223
5349,1,0.415710029
8185,1,0.415688803
2987,0,0.415619152
5453,1,0.415601633
7536,0,0.415146866
7140,0,0.414934257
1468,0,0.41491423
7659,1,0.414767774
1986,1,0.414705643
6557,1,0.414549202
7714,0,0.414434244
2531,1,0.414279811
1602,0,0.414271501
984,1,0.414003414
2294,1,0.413942619
3999,1,0.413774754
50,0,0.413557985
4038,1,0.413438067
8115,0,0.413325379
2172,0,0.413315625
4995,1,0.413246953
8789,0,0.413134782
4852,0,0.413112812
8172,1,0.413100719
3882,0,0.413094663
3779,0,0.413018763
3317,1,0.412490122
5651,0,0.412309318
4521,1,0.411964511
4845,0,0.411774104
6712,0,0.411680411
6476,1,0.411612649
587,1,0.411502523
4453,1,0.411417185
9360,1,0.411252477
6724,0,0.411093816
433,0,0.410951188
6396,0,0.410877831
2491,0,0.410551684
1069,1,0.410377786
2838,0,0.410244592
1010,0,0.410105952
3352,0,0.410070303
6395,0,0.409820883
3849,0,0.409798837
949,0,0.409202017
4883,0,0.409180051
1811,0,0.408920236
3758,0,0.408854132
6943,0,0.408394455
5727,0,0.408134537
328,1,0.407928498
2309,0,0.407745039
9618,0,0.407589615
454,0,0.407390172
2726,0,0.407384063
9031,1,0.40717247
4843,1,0.407056703
3500,0,0.406826001
141,0,0.406729806
7369,0,0.406584025
9693,0,0.40646437
9035,1,0.406406874
2548,0,0.406366315
251,0,0.406177434
5612,0,0.406028269
3194,1,0.4057908
9263,0,0.405727742
3007,1,0.405622573
9394,1,0.40553291
3112,0,0.405481476
7062,0,0.405208299
1568,1,0.40516152
9505,0,0.404808688
1479,1,0.404706082
5687,1,0.404696872
6131,0,0.404620892
5244,1,0.404542493
8727,1,0.404412802
8690,0,0.404394536
785,1,0.404343089
884,1,0.404304192
6222,1,0.40430386
3930,0,0.404263326
8573,0,0.404180597
4448,1,0.403913391
6776,1,0.40387609
2461,1,0.403847086
4293,1,0.40383186
558,1,0.403748502
6998,0,0.403667726
6405,1,0.40359114
2881,1,0.403510385
9038,1,0.403419933
9541,1,0.403282347
136,0,0.403244092
3247,1,0.40321236
771,1,0.403166678
5308,1,0.403161377
5842,1,0.40302746
9859,1,0.403002563
3952,1,0.402997084
5370,1,0.402982642
8070,0,0.402836672
4806,0,0.402678938
4973,0,0.402671441
3648,0,0.402302988
7026,1,0.401998875
1881,0,0.401833546
1139,0,0.40149592
8111,0,0.401444771
973,0,0.401137793
7596,0,0.401082558
2237,1,0.400566288
3691,0,0.400366315
