Pclass,Sex,Age,SibSp,Parch,Family_Size,Embarked,Survived
1,1,45.5,0,0,0,0,0
1,1,38.0,0,1,1,0,0
1,1,29.0,1,0,1,0,0
1,0,41.0,0,0,0,1,1
1,1,45.0,0,0,0,0,0
2,1,2.0,1,1,2,0,1
1,0,24.0,3,2,5,0,1
2,0,24.0,0,0,0,0,1
1,0,22.0,0,1,1,0,1
1,0,60.0,1,0,1,1,1
1,0,24.0,0,0,0,1,1
1,1,25.0,1,0,1,1,1
1,1,27.0,0,2,2,1,0
1,1,36.0,1,2,3,0,1
1,0,23.0,1,0,1,1,1
3,0,24.0,0,2,2,0,1
1,0,33.0,1,0,1,2,1
3,1,32.0,0,0,0,0,1
1,1,28.0,0,0,0,0,1
1,1,50.0,1,0,1,0,0
1,0,14.0,1,2,3,0,1
1,1,64.0,1,4,5,0,0
1,1,4.0,0,2,2,0,1
1,1,52.0,0,0,0,0,1
1,1,30.0,0,0,0,1,0
1,1,49.0,1,0,1,1,1
1,1,65.0,0,0,0,0,0
1,1,48.0,0,0,0,0,1
1,1,47.0,0,0,0,0,0
2,0,23.0,0,0,0,1,1
1,1,25.0,1,0,1,1,1
1,0,35.0,1,0,1,0,1
1,1,58.0,0,0,0,1,0
1,1,55.0,0,0,0,0,0
1,0,54.0,1,0,1,1,1
1,0,25.0,1,2,3,0,0
1,0,16.0,0,0,0,0,1
1,1,18.0,1,0,1,1,0
1,1,36.0,0,0,0,0,1
1,1,47.0,0,0,0,0,0
2,0,34.0,0,0,0,0,1
1,0,30.0,0,0,0,0,1
1,0,44.0,0,1,1,1,1
1,1,45.0,0,0,0,0,0
1,0,22.0,0,2,2,1,1
1,0,36.0,0,2,2,0,1
1,1,50.0,1,0,1,1,0
1,1,17.0,0,2,2,1,1
1,0,48.0,1,0,1,1,1
1,0,39.0,1,1,2,0,1
1,0,53.0,2,0,2,0,1
1,1,36.0,0,0,0,0,1
1,0,39.0,1,0,1,0,1
1,0,39.0,1,1,2,1,1
1,1,36.0,0,0,0,1,0
1,0,18.0,0,2,2,0,1
1,1,60.0,1,1,2,1,1
1,0,52.0,1,0,1,1,1
1,1,49.0,1,0,1,1,1
1,0,40.0,0,0,0,0,1
2,0,4.0,2,1,3,0,1
1,1,42.0,1,0,1,0,1
1,1,61.0,0,0,0,0,0
1,0,21.0,0,0,0,0,1
1,1,80.0,0,0,0,0,1
1,1,32.0,0,0,0,1,1
1,0,24.0,0,0,0,1,1
1,1,48.0,1,0,1,1,1
1,1,56.0,0,0,0,1,1
1,1,58.0,0,2,2,1,0
1,1,47.0,0,0,0,0,0
1,1,31.0,1,0,1,0,0
1,1,36.0,0,1,1,1,1
1,1,27.0,0,0,0,1,1
1,0,15.0,0,1,1,0,1
1,1,31.0,1,0,1,0,1
1,1,49.0,1,1,2,1,0
3,1,42.0,0,0,0,0,0
1,0,18.0,1,0,1,1,1
1,1,35.0,0,0,0,0,1
1,1,42.0,0,0,0,0,1
1,0,24.0,0,0,0,1,1
1,1,48.0,1,0,1,0,1
3,1,19.0,0,0,0,0,0
1,0,38.0,0,0,0,1,1
2,0,27.0,0,0,0,0,1
1,1,27.0,1,0,1,0,1
1,0,29.0,0,0,0,0,1
1,1,35.0,0,0,0,1,1
1,1,36.0,1,0,1,0,0
1,0,21.0,2,2,4,1,1
1,1,70.0,1,1,2,0,0
1,1,19.0,1,0,1,0,0
3,1,6.0,0,1,1,0,1
1,0,33.0,0,0,0,0,1
1,0,36.0,1,2,3,0,1
1,0,51.0,1,0,1,0,1
2,0,57.0,0,0,0,0,0
1,0,43.0,0,1,1,0,1
1,0,17.0,1,0,1,0,1
1,1,29.0,0,0,0,0,0
1,1,46.0,0,0,0,1,0
1,0,49.0,0,0,0,0,1
1,1,11.0,1,2,3,0,1
1,1,39.0,0,0,0,0,0
1,0,33.0,1,0,1,0,1
1,0,52.0,1,1,2,0,1
3,0,27.0,0,1,1,0,1
1,0,39.0,1,1,2,1,1
1,0,16.0,0,1,1,0,1
1,1,51.0,0,0,0,0,1
1,0,48.0,0,0,0,0,1
1,1,31.0,0,0,0,0,0
1,0,47.0,1,1,2,0,1
1,1,33.0,0,0,0,0,0
1,0,56.0,0,1,1,1,1
1,0,19.0,0,0,0,0,1
1,1,26.0,0,0,0,1,1
