No.,Name,Date,Age,Expedition,Nationality,Cause of death,Location
37,Unknown ; deaf-mute Sherpa porter,Aug-75,,1975 British Mount Everest Southwest Face expedition,Nepal,Drowned,Below Base Camp
38,Mick Burke,"September 26, 1975",34,Bonington's 1975 Everest expedition,United Kingdom,Disappearance (likely accidental death during climb),Near Summit
39,Terry Thompson,"April 10, 1976",,British-Nepal Army Everest Expedition,United Kingdom,Fall into a crevasse,Camp II
40,Dawa Nuru,"April 18, 1978",,,Nepal,Fall into a crevasse,Icefall
41,Shi Ming-ji,"April 18, 1978",,Chinese Iranian Expedition,China,Fall into a crevasse,Icefall
42,Ang Phu,"May 16, 1979",,Yugoslavian Expedition,Nepal,Fall,Icefall
43,Ray Genet,"October 2, 1979",48,Gerhard Schmatz German Expedition or 1979 Swabian expedition,United States,"Exposure, exhaustion",8400m S.E. Ridge
44,Hannelore Schmatz,"October 2, 1979",39,Gerhard Schmatz German Expedition or 1979 Swabian expedition,Germany,"Exposure, exhaustion",8400m S.E. Ridge
45,Wang Hong-bao,"October 12, 1979",,Japanese Alpine Club reconnaissance expedition,China,Avalanche,Below North Col
46,Lou Lan,"October 12, 1979",,Japanese Alpine Club reconnaissance expedition,China,Avalanche,Below North Col
47,Nima Thaxi,"October 12, 1979",,Japanese Alpine Club reconnaissance expedition,China,Avalanche,Below North Col
48,Akira Ube,"May 2, 1980",31,Japanese Alpine Society Expedition,Japan,Avalanche,7900m North Face (Hornbein Couloir)
49,Nawang Kersang,"September 6, 1980",,Italian Expedition,Nepal,Fall,Icefall
50,Mario Piana,"September 22, 1980",,Italian Expedition,Italy,Crushed under serac,Lhotse Face
51,Noboru Takenaka,"January 12, 1981",28,Japanese Winter Expedition,Japan,Fall,6900m W. Cwm
52,Marty Hoey,"May 15, 1982",30,Whittaker American Expedition,United States,Fall,8000m
53,Peter Boardman,"May 17, 1982",31,British Mount Everest Expedition,United Kingdom,Disappearance (likely accidental death during climb),North-East Ridge (approx. 8200m)
54,Joe Tasker,"May 17, 1982",33,British Mount Everest Expedition,United Kingdom,Disappearance (likely accidental death during climb),North-East Ridge (approx. 8200m)
55,Ang Chuldim,"August 31, 1982",20,Bill March Canadian Expedition,Nepal,Avalanche,Icefall
56,Dawa Dorje,"August 31, 1982",42,Bill March Canadian Expedition,Nepal,Avalanche,Icefall
57,Pasang Sona,"August 31, 1982",38,Bill March Canadian Expedition,Nepal,Avalanche,Icefall
58,Blair Griffiths,"September 2, 1982",33,Bill March Canadian Expedition,Canada,Crushed under serac,Icefall
59,Lhakpa Tshering,"September 27, 1982",,Spanish Expedition,Nepal,Internal hemorrhage,6770m
60,Nima Dorje,"October 14, 1982",,Spanish Expedition,Nepal,Fall,8300m W ridge
61,Yasuo Kato,"December 28, 1982",33,Japanese Expedition,Japan,Disappearance (likely accidental death during climb),Near Summit
62,Toshiaki Kobayashi,"December 28, 1982",,Japanese Expedition,Japan,Disappearance (likely accidental death during climb),Near Summit
63,Hironobu Kamuro,"October 8, 1983",,Japanese Expedition,Japan,Fall,Near Summit
64,Pasang Temba,"October 8, 1983",,Japanese Expedition,Nepal,Fall,8600m SE Ridge
65,Hiroshi Yoshino,"October 9, 1983",,Japanese Expedition,Japan,Fall,Near Summit
66,Ang Rinji,"March 26, 1984",,Indian Expedition,Nepal,Avalanche,Icefall
67,Tony Swierzy,"April 3, 1984",27,Micheal Lane British North Face Expedition,United Kingdom,Avalanche,6238m
68,Hristo Ivanov Prodanov,"April 21, 1984",40,Bulgarian West Face Expedition,Bulgaria,Disappearance (likely accidental death during descent),8500m West Ridge
69,William (Fred) From,"October 9, 1984",28,Australian-New Zealand Expedition,Australia,"Fall, while searching for Craig Nottle",8000m
70,Craig Nottle,"October 9, 1984",23,Australian-New Zealand Expedition,Australia,Fall,8000m
71,Jozef Psotka,"October 16, 1984",50,Australian-New Zealand Expedition,Czechoslovakia,Fall,Near Summit
72,Ang Dorje,"October 24, 1984",35,Mission to recover body of Hannelore Schmatz,Nepal,Fall,8400m S.E. Ridge
73,Yogendra Bahadur Thapa,"October 24, 1984",36,Mission to recover body of Hannelore Schmatz,Nepal,Fall,8400m S.E. Ridge
74,Juanjo Navarro,"May 12, 1985",,Navarrese Expedition,Spain,Fall,7300m
75,Shinichi Ishii,"September 19, 1985",,Japanese Expedition,Japan,Avalanche,Below North Col
76,Kiran Inder Kumar,"October 7, 1985",40,Indian Expedition,India,Fall,7986m
77,Jai Bahugana,"October 11, 1985",,Indian Expedition,India,Exposure,South Col
78,Ranjeet Singh Bakshi,"October 11, 1985",,Indian Expedition,India,Exposure,South Col
79,Vijay Pal Singh Negi,"October 11, 1985",28,Indian Expedition,India,Exposure,South Col
80,M.U. Bhaskar Rao,"October 11, 1985",,Indian Expedition,India,Exposure,South Col
81,Víctor Hugo Trujillo,"August 16, 1986",22,,Chile,Avalanche,Below North Col
82,Simon Burkhardt,"September 28, 1986",52,Eiselin Sports Expedition,Switzerland,Avalanche,7315m
83,Gyalu,"October 4, 1986",,Eiselin Sports Expedition,Nepal,Crushed under serac,Icefall
84,Dawa Norbu,"October 17, 1986",,Eiselin Sports Expedition,Nepal,Avalanche,Below North Col
85,Tsuttin Dorje,"January 30, 1987",,,Nepal,Fall,7700m
86,Roger Marshall,"May 21, 1987",45,,Canada,Disappearance (likely accidental death during descent),"Hornbein Couloir, Near Summit"
87,Masao Yokoyama,"September 2, 1987",44,Japanese Expedition,Japan,Drowned,East Rongbuk Glacier
88,Mangal Singh,"October 20, 1987",,British Expedition,Nepal,Avalanche,Base camp
89,Hidetaka Mizukoshi,"April 21, 1988",,"35th Anniversary climb with Chinese, Japanese and Nepalese nationals",Japan,Heart attack (at Base camp),Base camp
90,Michel Parmentier,"September 20, 1988",,International,France,Exposure,7700m
91,Narayan Shrestha,"September 21, 1988",,,Nepal,Avalanche,7200m
92,Lhakpa Sonam,"October 13, 1988",,,Nepal,Fall,8200m
93,Pasang Temba,"October 13, 1988",,,Nepal,Fall,8200m
94,Dušan Becík,"October 17, 1988",34,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge
95,Peter Božík,"October 17, 1988",34,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge
96,Jaroslav Jaško,"October 17, 1988",26,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge
97,Jozef Just,"October 17, 1988",33,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge
98,Ang Lhakpa,"December 23, 1988",,,Nepal,Cerebral thrombosis,South Col
99,Dimitar Ilievski-Murato,"May 10, 1989",35,,Yugoslavia,Fall,Descending South Col Route
100,Phu Dorje,"May 16, 1989",,,Nepal,Fall,Descending South Col Route
101,Mirosław Dąsal,"May 27, 1989",37,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge
102,Mirosław Gardzielewski,"May 27, 1989",35,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge
103,Andrzej Heinrich,"May 27, 1989",51,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge
104,Wacław Otręba,"May 27, 1989",50,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge
105,Eugeniusz Chrobak,"May 28, 1989",30,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche injuries,Lhola camp
106,Ang Pinjo,"December 12, 1989",,South Korean expedition,Nepal,"Altitude sickness, heart attack",
107,Rafael Gómez-Menor,"September 14, 1990",,,Spain,Avalanche,
108,Ang Sona,"September 14, 1990",,,Nepal,Avalanche,
109,Badri Nath,"September 14, 1990",,,Nepal,Avalanche,
110,Ham Sang-hun,"October 7, 1990",,Japanese Korean expedition,South Korea,Disappearance (likely accidental death during climb),
111,Rüdiger Lang,"May 3, 1991",,Austrian solo expedition,Germany,Exposure,7850m N.E. Ridge
112,Junichi Futagami,"May 27, 1991",,Japanese solo expedition,Japan,Fall,8700m NE
113,Deepak Kulkarni,"May 2, 1992",,Indian expedition,India,Exposure,
114,Raymond Jacob,"May 2, 1992",,Indian expedition,India,Exposure,
115,Subba Singh,"May 11, 1992",43,,Nepal,Heart attack,
116,Sher Singh,"May 23, 1992",,Indian Expedition,India,Fall,Icefall
117,Manabu Hoshi,"May 23, 1992",,Japanese Expedition,Japan,Disappearance (likely accidental death during climb),8350m NE
118,Ang Tshering,"January 15, 1993",,Spanish Expedition,Nepal,Fall,
119,Pasang Lhamu Sherpa,"April 23, 1993",32,Nepalese Expedition,Nepal,Disappearance (likely accidental death during climb),8750m S.E. Ridge
120,Sonam Tshering,"April 23, 1993",,Nepalese Expedition,Nepal,,8750m S.E. Ridge
121,Lobsang Tshering Bhutia,"May 10, 1993",41,40th anniversary of Tenzing Norgay's climb,Nepal,Fall,8750m S.E. Ridge
122,Nam Won-woo,"May 16, 1993",,South Korean expedition,South Korea,Fall,8450m S.E. Ridge
123,A Jin-seob,"May 17, 1993",,South Korean expedition,South Korea,Fall,8450m S.E. Ridge
124,Karl Henize,"October 5, 1993",66,American expedition,United States,HAPE,6400m
125,Antonio Miranda,"October 7, 1993",,,Spain,Fall,
126,Prem Thapa,"April 6, 1994",,German Expedition,Nepal,Cerebral oedema,
127,Shih Fang-Fang 'Norman',"May 9, 1994",27,Taiwanese,Taiwan,Exhaustion and/or exposure,
128,Giuseppe Vigani,"May 18, 1994",43,Italian Expedition,Italy,Fall,North Face
129,Mike Rheinberger,"May 27, 1994",53,Australian Expedition,Australia,"150m fall. He showed signs of exhaustion, dehydration, cerebral oedema, retinal hemorrhages and possible blood clots in his upper legs.",8500m NE
130,Mingma Norbu,"September 12, 1994",,Norwegian Expedition,Nepal,Avalanche,
131,Kami Rita,"May 6, 1995",,American Expedition,Nepal,Fall,
132,Lhakpa Nuru,"September 10, 1995",,South Korean Expedition,Nepal,,6900m
133,Zangbu,"October 14, 1995",,South Korean Expedition,Nepal,Fall,Near Summit
134,Chen Yu-Nan,"May 9, 1996",36,"""Makalu"" Gau Ming-Ho Taiwanese expedition",Taiwan,Injuries from a fall,
135,Scott Fischer,"May 11, 1996",40,Mountain Madness,United States,"Suspected HACE (high-altitude cerebral edema), exhaustion, frostbite and exposure.",8300m S.E. Ridge
136,Rob Hall,"May 11, 1996",35,Adventure Consultants,New Zealand,Exposure,South Summit
137,Doug Hansen,"May 11, 1996",46,Adventure Consultants,United States,Exposure,South Summit
138,Andrew Harris,"May 11, 1996",31,Adventure Consultants,New Zealand,Disappearance (likely accidental death during climb),8700m S.E. Ridge
139,Yasuko Namba,"May 11, 1996",47,Adventure Consultants,Japan,Exposure,South Col
140,Dorje Morup,"May 11, 1996",47,Indo-Tibetan Border Police,India,Exposure,8600m N.E. Ridge
141,Tsewang Paljor,"May 11, 1996",28,Indo-Tibetan Border Police,India,Exposure,8600m N.E. Ridge
142,Tsewang Samanla,"May 11, 1996",38,Indo-Tibetan Border Police,India,Exposure,8600m N.E. Ridge
143,Reinhard Wlasich,"May 19, 1996",,Austrian,Austria,Altitude sickness,"8300m North Face, Great Couloir"
144,Bruce Herrod,"May 25, 1996",37,South African/British,United Kingdom,Rope accident,"S.E. Ridge, Hillary Step"
145,Ngawang Topche,"June 6, 1996",,American,Nepal,Lapsed into coma on 23 Apr 1996; later died in hospital,Camp II
146,Yves Bouchon,"September 25, 1996",,French/Belgian/Swiss,France,Avalanche,7400m Lhotse Face
147,Lopsang Jangbu,"September 25, 1996",24,Japanese,Nepal,Avalanche,7400m Lhotse Face
148,Dawa,"September 25, 1996",,South Korea,Nepal,Avalanche,7400m Lhotse Face
149,Malcolm Duff,"April 23, 1997",,British,United Kingdom,Heart attack (at Base camp),Base Camp
150,Nima Rinzi,"May 6, 1997",,Malaysian,United Kingdom,Fall,Lhotse Face
151,Aleksandr Torochin,"May 7, 1997",,Russian,Russia,Fall,8400m N.E. Ridge
152,Ivan Plotnikov,"May 7, 1997",,Russian,Russia,Exhaustion and/or exposure,8700m N.E. Ridge
153,Nikolai Shevtchenko,"May 7, 1997",,Russian,Russia,Exhaustion and/or exposure,8700m N.E. Ridge
154,Mingma,"May 7, 1997",,Russian,Nepal,Fall,N.E. Ridge
155,Peter Kowalzik,"May 8, 1997",,Polish,Germany,Disappearance (likely accidental death during climb),N.E. Ridge
156,Tenzing Nuru,"September 8, 1997",,American,Nepal,Disappearance (likely accidental death during climb),S.E. Ridge
157,Choi Byong-soo,"September 8, 1997",,South Korean,South Korea,Avalanche,North Col Flank
158,Sergei Arsentiev,"May 24, 1998",,Russian/French,United States,100m fall,N.E. Ridge
159,Francys Arsentiev,"May 24, 1998",40,Russian/French,United States,Exposure and/or cerebral oedema,N.E. Ridge
160,Mark Jennings,"May 25, 1998",,British,United Kingdom,Exhaustion,N.E. Ridge
161,Roger Buick,"May 26, 1998",,New Zealand,New Zealand,Exhaustion,N.E. Ridge
162,Shahid Abdul Khader,"July 24, 1998",21,,India,Died due to fall,North Col
163,Vasyl Kopytko,"May 8, 1999",,Ukrainian,Ukraine,Unknown cause,N.E. Ridge
164,Michael Matthews,"May 13, 1999",22,International,United Kingdom,,S.E. Ridge
165,Tadeusz Kudelski,"May 18, 1999",44,Polish International,Poland,Fall,N.E. Ridge
166,Pascal Debrouwer,"May 18, 1999",29,Belgian International,Belgium,Fall,N.E. Ridge
167,Jeppe Stoltz,"May 20, 2000",27,,Denmark,Fall,N.E. Ridge
168,Yan Genghua,"May 21, 2000",,Chinese,China,"Disappeared after reaching the north summit; body found on May 27, 2000; likely accidental death during descent",N.E. Ridge
169,Babu Chiri Sherpa,"April 29, 2001",35,Nepalese,Nepal,Fall,N.E. Ridge
170,Peter Ganner,"May 23, 2001",,Austrian,Austria,Fall,8500m S.E. Ridge
171,Mark Auricht,"May 24, 2001",,Australian,Australia,Cerebral oedema,N.E. Ridge
172,Aleksei Nikiforov,"May 24, 2001",,Russian,Russia,"Pre-existing illness exacerbated by freezing conditions, altitude",8500m N.E. Ridge
173,Sándor Gárdos,"October 17, 2001",,Hungarian,Hungary,Fall,7800m N.E. Ridge
174,Peter Legate,"April 30, 2002",38,British International,United Kingdom,Fall into a crevasse,Below Camp III
175,Zoran Miletić,"May 19, 2002",,Russian International,Yugoslavia,Exact cause and date of death unknown,7800m N.E. Ridge
176,Marco Siffredi,"September 8, 2002",23,International,France,Snowboarding accident,Hornbein Couloir
177,Bhim Bahadur Gurung,"May 27, 2003",,Indo-Nepal,Nepal,Fall into a crevasse,5900m Icefall
178,Jan Krzysztof Liszewski,"May 25, 2003",55,Independent,Poland,Fall,7900m N.E. Ridge
179,Arnaud Saulnier,"May 8, 2003",,French,France,Sickness in tent,5500m S.E. Ridge
180,Karma Gyalzen Sherpa,"May 24, 2003",,International,Nepal,Altitude sickness,6000m S.E. Ridge
181,Joon-ho Baek,"May 18, 2004",38,South Korean,South Korea,Exposure,8500m N.E. Ridge
182,Min Jang,"May 18, 2004",28,South Korean,South Korea,Exposure,8500m N.E. Ridge
183,Mu-taek Park,"May 18, 2004",36,South Korean,South Korea,Exposure,8500m N.E. Ridge
184,Nils Antezana,"May 18, 2004",69,International,United States,Exposure,8600m S.E. Ridge
185,Hristo Ganchev Hristov,"May 20, 2004",27,Bulgarian,Bulgaria,Exposure,8600m N.E. Ridge
186,Shoko Ota,"May 20, 2004",63,Japanese,Japan,Exposure,8600m N.E. Ridge
187,Mariana Prodanova Maslarova,"May 23, 2004",43,Bulgarian,Bulgaria,Exposure,8700m N.E. Ridge
188,Sean Egan,"April 28, 2005",63,Tim Redpath Expedition,Canada,Heart attack,4600m S.E. Ridge
189,Michael Corey O'Brien[118],"May 2, 2005",39,Charity run with brother,United States,Fall into a crevasse,5800m Icefall South
190,Marko Lihteneker,"May 21, 2005",45,,Slovenia,Oxygen problems,8600m N.E. Ridge
191,Sirigereshiva Shankarappa Chaitanya,"May 30, 2005",,India,India,Exposure,8700m N.E. Ridge
192,Dieter Kramer,"June 4, 2005",,German,Germany,Exposure,8000m N.E.
193,Robert William Milne,"June 5, 2005",49,,United Kingdom,Organ failure due to freezing conditions,8200m S.E. Ridge
194,Tuk Bahadur Thapa Magar Sherpa,"April 7, 2006",,American,Nepal,Altitude,5500m N.E. Ridge
195,Ang Phinjo Sherpa,"April 21, 2006",50,American,Nepal,Avalanche,5900m Icefall
196,Lhakpa Tseri,"April 21, 2006",,American,Nepal,Avalanche,5900m Icefall
197,Dawa Temba,"April 21, 2006",,American,Nepal,Avalanche,5900m Icefall
198,Jacques-Hugues Letrange,"May 6, 2006",,American,France,Exhaustion,N.E. Ridge
199,Srikrishna,"May 14, 2006",,Indian,India,Fall,8600m N.E. Ridge
200,David Sharp,"May 15, 2006",34,Asian Trekking,United Kingdom,Exposure and/or exhaustion,8600m N.E. Ridge
201,Tomas Olsson,"May 16, 2006",30,,Sweden,Fall,8700m Norton Couloir
202,Vitor Negrete,"May 19, 2006",38,Asian Trekking,Brazil,Exposure and/or exhaustion,"Camp III, 8200m N.E. Ridge"
203,Igor Plyushkin,"May 22, 2006",,Asian Trekking,Russia,Altitude sickness,7800m N.E. Ridge
204,Thomas Weber,"May 25, 2006",,Asian Trekking,Germany,Altitude sickness,8700m N.E. Ridge
205,Dawa Sherpa,"April 26, 2007",,,Nepal,,7200m South Col
206,Shinichi Ishii,"May 17, 2007",,,Japan,,8650m
207,Libor Kozak,"May 17, 2007",,,Czech,,8300m
208,Yoshitomi Okura,"May 16, 2007",62,Japanese,Japan,,N.E. Ridge
209,Maurizio Pierangelo,"May 17, 2007",46,Italian,Italy,,N.E. Ridge
210,Oh Hee-joon,"May 17, 2007",37,South Korean,South Korea,,S.W. Face
211,Lee Hyun-jo,"May 17, 2007",34,,South Korea,,S.W. Face
212,Uwe Gianni Goltz,"May 21, 2008",44,Sherpas documentary team,Switzerland,Exhaustion,8000m South Col
213,Lhakpa Nuru,"May 7, 2009",,Eco Everest Expedition,Nepal,Avalanche,Icefall
214,Věslav Chrzaszcz,"May 18, 2009",47,Eco Everest Expedition,Czech,Heart attack,
215,Wenhong Wu,"May 19, 2009",41,,China,Altitude sickness,8750m
216,Frank Ziebarth,"May 21, 2009",29,,Canada,Hypothermia and lack of oxygen,8700m North Summit
217,László Várkonyi,"April 26, 2010",54,,Hungary,Avalanche crevasse fall,North Col
218,Tom Jørgensen,"May 19, 2010",56,,Denmark,HACE,
219,Peter Kinloch,"May 26, 2010",28,International,United Kingdom,Exhaustion,8600m
220,Rick Hitch,"May 1, 2011",55,International,United States,Heart attack,7010m
221,Alston Mendonca,"May 4, 2011",55,International,India,Heart Break,7010m
222,Shailendra Kumar Upadhyaya,"May 9, 2011",82,Nepal,Nepal,Altitude sickness,Base Camp
223,Takashi Ozaki,"May 12, 2011",58,International,Japan,Altitude sickness,8400m The Balcony
224,John Delaney,"May 21, 2011",42,International,Ireland,Altitude sickness,8400m The Balcony
225,Hiroaki Kino,"September 15, 2011",48,,Japan,Cerebral apoplexy,Lower Icefall
226,Dawa Tenzing,"April 5, 2012",,Himex,Nepal,Stroke (CVA),Icefall
227,Karsang Namgyal Sherpa,"April 19, 2012",,Prestige Adventures,Nepal,Altitude sickness,Base Camp
228,Ramesh Gulve,"April 20, 2012",33,Pune team,India,Stroke,Base Camp
229,Namgyal Tshering Sherpa,"April 21, 2012",28,,Nepal,Fall into a crevasse,Camp I
230,Shriya Shah-Klorfine,"May 19, 2012",33,Utmost Adventures,Canada,Exhaustion,Below Balcony 8300m
231,Eberhard Schaaf,"May 19, 2012",61,Asian Trekking,Germany,Cerebral oedema,Hillary Step
232,Song Won-bin,"May 19, 2012",44,Korean Everest & Lhotse Expedition,South Korea,Fall,Balcony
233,Ha Wenyi,"May 20, 2012",55,Mountain Experience,China,Suspected altitude sickness,Balcony
234,Juan José Polo Carbayo,"May 20, 2012",43,Himalayan Guides,Spain,Exhaustion,8300m N.E. Ridge
235,Ralf D. Arnold,"May 20, 2012",43,Monterosa,Germany,Exhaustion and related complications after breaking leg at Second Step,8300m N.E. Ridge
236,Mingma Sherpa,"April 7, 2013",45,Destination Himalaya,Nepal,Falling into a crevasse,Between Camps I and II in the Western Cwm
237,DaRita Sherpa,"May 5, 2013",37,International Mountain Guides,Nepal,Suspected cardiac arrest,Camp III on south side
238,Sergey Ponomarev,"May 5, 2013",,7 Summits Club Everest expedition,Russia,Suspected cardiac arrest,At 100m above ABC on north side (at about 6500m)
239,Lobsang Sherpa,"May 7, 2013",22,Chinese expedition team,Nepal,Fall,Between Camp II and Camp III on descent from Camp IV (on south side)
240,Alexey Bolotov,"May 15, 2013",50,Russian South-West Face expedition,Russia,Fall,5600m Icefall
241,Namgyal Sherpa,"May 17, 2013",35,,Nepal,,8300m N.E. Ridge
242,Seo Sung-ho,"May 21, 2013",33,Zero to 8848 expedition,South Korea,Suspected altitude sickness,On descent (south side)
243,Sajal Khaled (Mohammed Khaled Hossain),"May 21, 2013",35,,Bangladesh,Suspected altitude sickness,South Col Camp
244,Unknown climber,"May 22, 2013",,,Nepal,Suspected altitude sickness,Camp IV (south side) in tent
245,Mingma Tenzing Sherpa,"April 2, 2014",,Peak Freaks Expedition,Nepal,HAPE,Everest Base Camp
246,Mingma Nuru Sherpa,"April 18, 2014",46,NBC Everest Expedition,Nepal,2014 Mount Everest Avalanche,Icefall
247,Dorji Sherpa,"April 18, 2014",,NBC Everest Expedition,Nepal,2014 Mount Everest Avalanche,Icefall
248,Ang Tshiri Sherpa,"April 18, 2014",,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
249,Nima Sherpa,"April 18, 2014",,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
250,Tenzing Chottar Sherpa,"April 18, 2014",,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
251,Phurba Ongyal Sherpa,"April 18, 2014",,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall
252,Lapka Tenjing Sherpa,"April 18, 2014",,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall
253,Chhiring Ongchu Sherpa,"April 18, 2014",,Adventure Consultants,Nepal,2014 Mount Everest Avalanche,Icefall
254,Dorjee Khatri,"April 18, 2014",,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
255,Then Dorjee Sherpa,"April 18, 2014",,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
256,Phur Temba Sherpa,"April 18, 2014",,Adventurist Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
257,Pasang Karma Sherpa,"April 18, 2014",,Jagged Globe Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
258,Ankaji Sherpa,"April 18, 2014",,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
259,PemTenji Sherpa,"April 18, 2014",,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
260,Aash Bahadur Gurung,"April 18, 2014",,Everest Chinese Dream Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall
261,Daniel Paul Fredinburg,"April 25, 2015",33,2015 Jagged Globe Everest Expedition,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
262,Marisa Eve Girawong,"April 25, 2015",28,H.G. Nuptse Expedition 2015,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
263,Thomas Ely Taplin,"April 25, 2015",61,TET Films & Photography,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
264,Pemba Sherpa,"April 25, 2015",19,Adventure Consultants,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Base Camp
