id,name,country,status,formed_in,genre,theme,active
46,Abducted,Hungary,Split-up,N/A,Death Metal,N/A,N/A
47,Abemal,Sweden,Split-up,1989,Death Metal,N/A,1989-1994
48,Aberrante,Panama,Active,2012,Death Metal,Death| Darkness| Annihilation| Disease,2012-present
49,Aberration,Poland,Changed name,1992,Death Metal,Gore| Violence| Blasphemy,1992-?| ?-present (as Hope Industry)
50,Abgabba,United States,Active,2007,Death Metal,N/A,2007-present
51,Abhira,Indonesia,Active,2013,Death Metal,Mahabharata legend| Goals of life,2009-2013 (as Gemeinschaft by Blood)| 2013-present
52,Abhor,Brazil,Split-up,1991,Death Metal,Chaotic Metaphoric Themes,1991-1993
53,Abhordium,Finland,Active,2005,Death Metal,Death| Society| Misanthropy| Occultism,2005-present
54,Abhorrance,United States,Split-up,1990,Death Metal,Gore| Homicidal Urges| Religion,1990-?
55,Abhorred,United Arab Emirates,Unknown,1999,Death Metal,Hate| Anti Society| Nature| Complex Thought,1999-?
56,Abhorrence,Finland,Unknown,1989,Death Metal,Death| Decay| Pain| Perversion,1989-1990| 2012-?
57,Abhorrence,Germany,Split-up,N/A,Death Metal,N/A,N/A
58,Abhorrence,South Africa,Split-up,1992,Death Metal,Christianity,1992-1994
59,Abhorrence,United States,Split-up,1989,Death Metal,N/A,1989-?
60,Abhorrent Aggression,United States,Split-up,2012,Death Metal,N/A,2012-2015
61,Abhorrent Decimation,United Kingdom,Active,2013,Death Metal,Anti-religion,2013-present
62,Abhorrent Life,Germany,Split-up,2000,Death Metal,N/A,? (as Morimentum)| 2000-?
63,Abhorrer,Brazil,Split-up,2001,Death Metal,War| Death| Disease,2001-?
64,Abhoth,Sweden,Split-up,1989,Death Metal,Death| Misery| Gore,1988-1989 (as Morbid Salvation Army)| 1989-1999| 1999 (as Chimera)
65,Abiosis,United Kingdom,Split-up,1990,Death Metal,Death| Cannibalism| Torture,1990| 1990-?
66,Abiosis,United States,Split-up,1991,Death Metal,N/A,1991-1994
67,Abiura,Italy,Split-up,1999,Death Metal,Death,1999-2000 (as Devoured by Vermin)| 2000-?
68,Abjekt,France,Changed name,2011,Death Metal,Ugliness| Death| War,2011-2013| 2013-present (as Pestkhlyst)
69,Abjury,Canada,Split-up,2007,Death Metal,N/A,2003-2007 (as Moonless Equinox)| 2007-?
70,Ablation,Canada,Split-up,1991,Death Metal,Death| Gore,1991-?
71,Ablepsia,Colombia,Active,1996,Death Metal,Pain| Fear| Evil,1996-2000| 2007-present
72,Abnorm,France,Split-up,2005,Death Metal,Monstrosity| Abnormity| Deformity,2005-?
73,Abnorma,Italy,Unknown,2004,Death Metal,Gore| Death,2004-?
74,Abnormal,Norway,Active,2000,Death Metal,Insanity| Death| Inner Struggles,2000-present
75,Abnormity,Italy,Split-up,N/A,Death Metal,N/A,N/A
76,Abnormity,Sweden,Split-up,1990,Death Metal,Gore| Death| Mutilation,1990-1992
77,Abolisher,United States,Active,1994,Death Metal,N/A,1994-present
78,Abolishment of Hate,Canada,Active,N/A,Death Metal,Instrumental,N/A
79,Abolition,Germany,Split-up,2003,Death Metal,White Pride| Violence| Racism| Hatred,2003-?
80,Abominal Mortus,Mexico,Active,2004,Death Metal,Death,2004-present
81,Abominat,Norway,On hold,2002,Death Metal,Death| Holocaust| Armageddon,2002-?
82,Abominatio,Chile,Active,2014,Death Metal,N/A,2014-2015 (as Legion)
83,Abomination,Finland,Changed name,2005,Death Metal,Killing| Gore,2005-2007| 2007-? (as Self-Murder Climax)| ?-present (as Shapeless Head)
84,Abomination,Panama,Split-up,1994,Death Metal,Blasphemy,1994 (as Psicosis)| 1995-?
85,Abominations,Germany,Active,2016,Death Metal,Horror| Death| Gore,2016-present
86,Abominator,United States,Split-up,N/A,Death Metal,N/A,N/A
87,Abominattion,Brazil,Split-up,1998,Death Metal,Evil| War| Death,1994-1998 (as Anesthesia)| 1998-?
88,Abominio,Brazil,Active,N/A,Death Metal,Christianity,N/A
89,Abominog,United States,Split-up,1987,Death Metal,Death| Gore| War,1987-1988 (as Usurper)| 1988-1997
90,Abominor,Mexico,Unknown,2001,Death Metal,Gnosis| Karma| Death,2001-?
91,Abominus,United States,Split-up,1994,Death Metal,Anti-Religious| Paranormality,1994-1997| 1997-1999 (as Pressure Point)| 2004-?
92,Abonation,Indonesia,Active,2009,Death Metal,N/A,2009-present
93,Aborted,Belgium,Active,1995,Death Metal,Death| Gore| Violence| Psychopathy,1995-present
94,Aborted Existence,United States,Active,2002,Death Metal,Horrors| Mutilation,2002-present
95,Aborticide,Poland,Split-up,2000,Death Metal,Death| Darwanism| Survival of the Fittest,2000-?
96,Abortification,Finland,Split-up,2007,Death Metal,N/A,2007-?
97,Abortion Holocaust,Philippines,Active,2009,Death Metal,Pain| Violence| Gore| Human Extinction,2009-present
98,Abortus,Australia,Changed name,1998,Death Metal,Corruption| Barratry| Hate,1998-2004| 2004-present (as Herratik)
99,Abortus,United States,Split-up,1993,Death Metal,N/A,1993-?
100,Abramelin,Australia,Split-up,1994,Death Metal,Gore| Death| Occultism| Necrophilia| Blasphemy| Child Molestation,1988-1994 (as Acheron)| 1994-2002
101,Abrasion,Australia,Active,1996,Death Metal,Violence,1996-present
102,Abraxas,United States,Split-up,2009,Death Metal,N/A,2009-2012
103,Abrupt Demise,Netherlands,Active,2010,Death Metal,Psyche| War| Murder,2010-present
104,Abscess,Brazil,Split-up,1991,Death Metal,Gore| Insanity| Violence,1991-1996| 2003 (as Kemöth)| 2003-?
105,Abscess,Netherlands,Split-up,1989,Death Metal,N/A,1989-?
106,Abscess Plague,Sweden,Split-up,2004,Death Metal,N/A,2004-?
107,Abscession,Sweden,Active,2009,Death Metal,Anti-Christian| Darkness| Death,2009-present
108,Abscission,United States,Active,2008,Death Metal,Death| Horror| Insanity| Manipulation,2008-present
109,Absconder,United States,Active,2009,Death Metal,N/A,2009-present
110,Absemia,Argentina,Split-up,1994,Death Metal,Gore| Mutilation| Death,1994-?
111,Absence,Brazil,Unknown,2002,Death Metal,Death| Violence,2002-?
112,Absent,Poland,Active,2001,Death Metal,Insanity| Murder| Society,2001-present
113,Absentation,Syria,Active,2003,Death Metal,Dark philosophy| Hate| Anger| Witchcraft,2003-present
114,Absession,Mexico,Changed name,1989,Death Metal,Gore| Intestines| etc.,1989-1990| 1990-? (as Bloodsoaked)
115,Absinth,Sweden,Split-up,N/A,Death Metal,N/A,N/A
116,Absinthium,Germany,Split-up,1994,Death Metal,N/A,1994-1996
117,Absinthius,Australia,Active,2016,Death Metal,N/A,2016-present
118,Absolute Zero,United States,Split-up,N/A,Death Metal,N/A,N/A
119,Absolution,United Kingdom,Active,1991,Death Metal,Serial killers| Murder| Crime,1991-1994| 2012-present
120,Absonant Cadence,Canada,Split-up,1993,Death Metal,N/A,1993-?
121,Absorb,Germany,Active,1989,Death Metal,N/A,1989-1994| 2007-present
122,Absorbcia,Ukraine,Split-up,2002,Death Metal,Death,2002-2003
123,Absorbed,Germany,Split-up,1992,Death Metal,N/A,1992-1994
124,Absorbed,Netherlands,Split-up,1997,Death Metal,N/A,1997-2003
125,Absorbing Silence,Poland,Active,2007,Death Metal,N/A,2007-present
126,Absorde,United States,Split-up,2003,Death Metal,Battle| Apocalypse,2003-?
127,Absorption,Sweden,Split-up,1990,Death Metal,Darkness| Evil,1990
128,Abstract Butchery,Hungary,Split-up,N/A,Death Metal,N/A,N/A
129,Abstract Dementia,France,Split-up,N/A,Death Metal,N/A,N/A
130,Absurd,Sweden,Split-up,1989,Death Metal,Abstract concepts,1989-1994
131,Absurd Conception,Italy,Split-up,1988,Death Metal,N/A,1988-?
132,Absurd Universe,Netherlands,Split-up,2010,Death Metal,Dutch Pirates,2010-?
133,Absurdium,Brazil,Active,2000,Death Metal,N/A,2000-2005| 2015-present
134,Absynt,Poland,Split-up,1997,Death Metal,N/A,1997-2003
135,Absynthium,Belgium,Split-up,1996,Death Metal,Darkness| Hate,1996-?
136,Abszess,Germany,Split-up,1993,Death Metal,Death| Gore,1993-?
137,Abuse Ritual,Australia,Split-up,2001,Death Metal,Human Suffering,2001-?
138,Abuso,Argentina,Active,2006,Death Metal,Gore| Death,2006-present
139,Abysal,Poland,Split-up,1998,Death Metal,Evil| Anti-Christianity| Existence,1998-?
140,Abysm,International,Active,N/A,Death Metal,N/A,N/A
141,Abysmal Dawn,United States,Active,2003,Death Metal,The Occult| Loss| Sci-Fi| Social Commentary,2003-present
142,Abysmal Hatred,Germany,Split-up,1998,Death Metal,N/A,1998-?
143,Abysme,United States,Active,2006,Death Metal,Darkness| Fantasy| Horror| Religion| Philosphy,2006-present
144,Abyss,Japan,Split-up,1991,Death Metal,N/A,1991-?
145,Abyss Inferno,Japan,Active,2010,Death Metal,N/A,2010-present
146,Abyss Lord,Germany,Changed name,1997,Death Metal,Death| War| Destruction,1997-2007| 2007-present (as Day of the Tentacle)
147,Abyss of Darkness,Brazil,Split-up,2001,Death Metal,War| Darkness| Death,2001-2006
148,Abyss of Perdition,Mexico,Active,N/A,Death Metal,N/A,N/A
149,Abyssal,France,Active,N/A,Death Metal,Humor,N/A
150,Abyssal Ascendant,France,Active,2012,Death Metal,N/A,2012-present
151,Abyssal Flames,Italy,On hold,2011,Death Metal,Physical and Mental Weakness| Self-Annihilation of the Human Race| Gore,2011-2015
152,Abyssal Throne,Canada,Split-up,2009,Death Metal,N/A,2009-2012
153,Abyssals,France,Split-up,1993,Death Metal,N/A,1993-?
154,Abyssous,Germany,Active,2011,Death Metal,Ancient Gods| Horror,2011-present
155,Abyssthrone,Germany,Active,N/A,Death Metal,N/A,N/A
156,Abyssus,Greece,Active,2011,Death Metal,Death| Pollution| Social oppression| War,2011-present
157,Abythic,Germany,Active,2015,Death Metal,N/A,2015-present
158,Abyz,Germany,Split-up,1990,Death Metal,N/A,? (as Eradicated)| ? (as Rotten Corps)| ? (as Necrophiliac)| 1990-1991
159,Acatalepsy,United Kingdom,Active,2007,Death Metal,Death| Surrealism,2007-present
160,Accursed Creation,Canada,Active,2009,Death Metal,Satan| Death,2009-present
161,Accursed Spawn,Canada,Active,2010,Death Metal,Violence| Gore,2010-present
162,Acefalia,Brazil,Active,2006,Death Metal,Manipulation| Drugs| Hate| Reality,2006-present
163,Aceldama,United States,Split-up,N/A,Death Metal,N/A,N/A
164,Aceldama,United States,Split-up,1990,Death Metal,Death| Afterlife,1990-?
165,Aceldama,United States,Split-up,1990,Death Metal,Society,? (as Ascalanax)| 1990-?
166,Acerbus,United States,Split-up,1999,Death Metal,Darkness| Evil| Corruption,1999-2003
167,Acheron,Australia,Changed name,1988,Death Metal,N/A,1988-1994| 1994-2002 (as Abramelin)
168,Acoasma,Slovakia,Split-up,1994,Death Metal,Definitiveness of Life| Death,1994-?
169,Acoustic Torment,Germany,Unknown,1999,Death Metal,Total Global Annihilation| The Return of Jesus,1999-?
170,Acrament,Chile,Split-up,N/A,Death Metal,N/A,N/A
171,Acrid,United States,Active,2008,Death Metal,N/A,2008-present
172,Acriminous,United States,Split-up,1994,Death Metal,N/A,1994-?
173,Acrimonium,United States,Split-up,1992,Death Metal,Anger| Violence| Demonism,1992-?
174,Acrimony,United States,Active,2006,Death Metal,Death| Darkness,2006-present
175,Acrobystia,Czech Republic,Active,2004,Death Metal,N/A,2004-present
176,Across,Brazil,Active,1999,Death Metal,N/A,1999-present
177,Across the Swarm,Italy,Active,2002,Death Metal,Misanthropy| Human Decadence,2002-2004 (as Lacerated)| 2004-2013 (as Lacerater)| 2013-present
178,Acrossanity,Turkey,Active,2006,Death Metal,Horror,2006-present
179,Acrostic,Mexico,Split-up,1991,Death Metal,Hate| Death,1991-1994
180,Acrostichon,Netherlands,Active,1989,Death Metal,Gore| Death| Mutilation| War,1989-1995| 2009-present
181,Act of Gods,France,Unknown,2001,Death Metal,Anti-God| Gore| Pain| Cannibalism,2001-?
182,Act of Grotesque,Bulgaria,Active,2001,Death Metal,Social,2001-present
183,Acts of Sorrow,United Kingdom,Split-up,2008,Death Metal,N/A,2008-2011
184,Acéldama,Costa Rica,Active,2005,Death Metal,Theism| Death| Philosophy,2005-present
185,Acétone,France,Split-up,2004,Death Metal,Death,2004-2009
186,Ad Infinitum,United States,Split-up,N/A,Death Metal,N/A,N/A
187,Ad Mortem Eternam,France,Active,2009,Death Metal,N/A,2009-present
188,Ad Nauseum,France,Active,N/A,Death Metal,N/A,N/A
189,Ad Noctum,Australia,Split-up,1999,Death Metal,Murder,1999-?
190,Ad Patres,France,Active,2008,Death Metal,N/A,2008-present
191,Ad This to Your Mind,Sweden,Unknown,2005,Death Metal,N/A,2005-?
192,Adapt,Germany,Split-up,N/A,Death Metal,N/A,N/A
193,Adaptor,Indonesia,Active,1991,Death Metal,Violence| Death| Inner Struggle,1991-2001| 2010-present
194,Adastrae,France,Active,2010,Death Metal,N/A,2010-present
195,Addicted,France,Unknown,2003,Death Metal,Alcohol| Drinking| Drugs,2003-?
196,Addiction,Germany,Active,2009,Death Metal,N/A,2009 (as Sudden Deafness)| 2009-present
197,Adetar,Netherlands,Split-up,1990,Death Metal,Darkness| Death,1990-?
198,Admortem,France,Split-up,1997,Death Metal,Death| Life| Gore,1997-?
199,Adnauseam,United States,Split-up,N/A,Death Metal,N/A,?-1995
200,Adnihil,Czech Republic,Active,2009,Death Metal,N/A,2009-present
201,Adornment,Finland,Split-up,1994,Death Metal,N/A,1994-?
202,Adramelech,Finland,On hold,1991,Death Metal,Ancient mythology,1991-present
203,Adversary,Sweden,Split-up,1990,Death Metal,N/A,1990-1993
204,Adversary,United States,Split-up,1989,Death Metal,N/A,1989-?
205,Adversary of Existence,United States,Split-up,2001,Death Metal,Anti-Christian| Blasphemy| Evil,2001-?
206,Aeon,Sweden,Active,1999,Death Metal,Anti-Christianity| Satanism,1999-present
207,Aeon of Disease,Germany,Active,2015,Death Metal,N/A,2015-present
208,Aeons of Eclipse,United States,Split-up,2004,Death Metal,Mythology| Humanity| Death| Violence,2004-2012
209,Aestees,Indonesia,Active,2010,Death Metal,Universe| Space| Nature,2010 (as Another Sword to Slain)| 2010-2013| 2014-present
210,Aeternus,Poland,Split-up,1991,Death Metal,N/A,1989-1991 (as Widmo)| 1991-1992
211,Aeternus Prophet,Ukraine,Active,2010,Death Metal,Hate,2010-present
212,Aeturnus,United States,Split-up,1995,Death Metal,Christianity,1995-?
213,Aeturnus Dominion,Australia,Active,2003,Death Metal,Gore| Violence| War| Solitude| Murder,2003-present
214,Affecti Veternus,Sweden,Split-up,2007,Death Metal,Gore| Death| Torture,2007-2009
215,Affliction,Denmark,Split-up,1992,Death Metal,N/A,1992-?
216,Affliction Gate,France,Active,2006,Death Metal,Dark Perspectives| Strength| Death,2006-present
217,After All Over,Indonesia,Active,2005,Death Metal,Life,2005-present
218,After Death,United States,Active,2000,Death Metal,Occult| Evil,1999-2000 (as Nocturnus AD)| 2000-present
219,After the Abduction,United Kingdom,Active,2015,Death Metal,N/A,2015-present
220,After the Fallout,United States,Active,2010,Death Metal,N/A,2010-present
221,Afterbirth,United States,Split-up,1989,Death Metal,N/A,1989-?
222,Afterburner,Russia,Active,2009,Death Metal,Anti-Christianity| Death| War| Gore,2009-present
223,Afterdeath,Brazil,Split-up,1992,Death Metal,Christianity,1992-?
224,Afterlife,Ireland,Split-up,1991,Death Metal,Society| Politics,1991-?
225,Afterlife,United States,Split-up,1990,Death Metal,Dark spiritualism| Infinity| Chaos,1990-?
226,Afterlife?,Sweden,Split-up,1991,Death Metal,N/A,1991-?
227,Aftermath,Australia,Split-up,1991,Death Metal,Gore| Death and Sickness,1991-1996| 2003-2006
228,Agalariept,Chile,Active,N/A,Death Metal,Violence| Hatred,N/A
229,Agamas,United States,Split-up,1991,Death Metal,N/A,1991-1993
230,Age of Aggression,Germany,Active,2002,Death Metal,Metal way of life,2002-present
231,Age of Agony,Hungary,Active,2002,Death Metal,Anti-Christian| Death| War| Hate,1995-2002 (as Silent Agony)| 2002-present
232,Age of Devastation,Germany,Active,2007,Death Metal,N/A,2007-present
233,Age of Pain,Italy,Split-up,1998,Death Metal,Hate| Rage| End| Death,1998-?
234,Age of Rage,United States,On hold,1992,Death Metal,N/A,1992-?
235,Age of War,Mexico,Split-up,2006,Death Metal,War,2006-2011
236,Aggregate Pain,Turkey,Split-up,2008,Death Metal,N/A,2008-?
237,Aggression,Russia,Changed name,1989,Death Metal,N/A,1989-1995| 1995-present (as MysticalGate)
238,Aggressive Intent,United States,Split-up,N/A,Death Metal,N/A,N/A
239,Aggressive Measures,United States,Changed name,2005,Death Metal,N/A,2005-2009| 2009-present (as Decimated Existence)
240,Aggressor,Poland,Active,1988,Death Metal,Apocalypse| Alcohol| War| Hate| Pain,1988-?| 2004-present
241,Aggrevated,Australia,Split-up,2006,Death Metal,Emotions| Inner Struggle,2006-?
242,Aghast,United States,On hold,2004,Death Metal,N/A,2004-?
243,Aglareth,Mexico,Split-up,1994,Death Metal,Horror| Gore| Fantasy,1994-?
244,Agnosia,United States,Split-up,1990,Death Metal,N/A,? (as Matricide)| 1990-?
245,Agnostic,India,Active,2009,Death Metal,Gore| Torture| Mutilation,2009-2015| 2016-present
246,Agon,France,Active,2002,Death Metal,N/A,2002-2011| 2014-present
247,Agone,France,Split-up,1993,Death Metal,N/A,1993-?
248,Agonised,Spain,Active,2009,Death Metal,N/A,2009-present
249,Agonize,Peru,Active,1997,Death Metal,War| Death,1997-present
250,Agonize Death,Brazil,Split-up,1993,Death Metal,N/A,1993-?
251,Agonized,Finland,Split-up,1990,Death Metal,Gore,1990-1991
252,Agonized,Portugal,Unknown,2001,Death Metal,Death| Destruction| Corruption,2001-?
253,Agonizer,Italy,Split-up,N/A,Death Metal,N/A,N/A
254,Agony,Czech Republic,Split-up,1995,Death Metal,N/A,1995-2011
255,Agony Conscience,Czech Republic,Split-up,1993,Death Metal,N/A,1993-?
256,Agony Divine,United States,Active,2001,Death Metal,N/A,2001-2005| 2011-present
257,Agony Lords,Mexico,Active,1993,Death Metal,Death| Pain| Apocalypse,1989-1993 (as Ripping Flesh)| 1993-1999| 2008-present
258,Agony Spawn,Canada,Active,2010,Death Metal,Death| Gore,2010-present
259,Agoraphobia,Germany,Changed name,1989,Death Metal,N/A,1989-1991| 2005-2010| 2010-present (as New Born Hate)
260,Agoraphobia,Germany,Split-up,N/A,Death Metal,N/A,N/A
261,Agression,Chile,Active,2004,Death Metal,Rebellion| Social Problems| Street Violence,2004-present
262,Agressor,Argentina,Unknown,N/A,Death Metal,Chaos| Life,N/A
263,Agressor,Colombia,Active,1986,Death Metal,Death| Violence,1986-present
264,Agressor,Hungary,Split-up,N/A,Death Metal,N/A,N/A
265,Agretator,Sweden,Split-up,1992,Death Metal,N/A,1990-1992 (as Demise)| 1992-1998
266,Agroth,Sweden,Split-up,N/A,Death Metal,N/A,N/A
267,Ahmasiah,France,Active,1996,Death Metal,N/A,1996-present
268,Ahnnias,France,Unknown,2006,Death Metal,N/A,2006-?
269,Ahrimah,Poland,Split-up,1992,Death Metal,Occultism,1992-1995
270,Ahriman,Brazil,Active,2004,Death Metal,N/A,2004-present
271,Ahura,France,Active,2005,Death Metal,N/A,2005-present
272,Aigéad,Ireland,Active,N/A,Death Metal,Existentialism| Modern society,N/A
273,Aimoptysi,Greece,Split-up,1995,Death Metal,Mythology,1995-?
274,Aiwaz,Italy,Split-up,1994,Death Metal,N/A,1994-?
275,Ajatus,Sweden,Active,2010,Death Metal,Metal life on streets,2010-present
276,Akagrish,Malaysia,Active,N/A,Death Metal,N/A,N/A
277,Akanatomb,Colombia,Split-up,2005,Death Metal,Evil| Death,2005-?
278,Akbal,Chile,Active,1997,Death Metal,Death| Infinite Power| Desperation,1997-present
279,Akeldama,United States,Split-up,2000,Death Metal,Christianity,2000-?
280,Akeldama,United States,Split-up,2003,Death Metal,Darkness| Death,2003-?
281,Akryal,United States,Split-up,2001,Death Metal,Life| Struggles| Christianity,2001-2002
282,Aktarma Suicide,Philippines,Active,2004,Death Metal,N/A,2004-present
283,Akuma,Australia,Active,2003,Death Metal,N/A,2003-present
284,Alabaster Morgue,United States,Active,2003,Death Metal,Death| Gore,2003-present
285,Alamogordo,Czech Republic,Active,2002,Death Metal,Destruction| War| Death,2002-present
286,Alarma,Finland,Active,N/A,Death Metal,N/A,N/A
287,Alastor,Chile,Active,2006,Death Metal,Anti-Religion,2006-present
288,Alcantagram,Morocco,Active,2006,Death Metal,Gore| Death,2006-present
289,Alchera,Germany,Active,1996,Death Metal,N/A,1996-present
290,Alcoholica,Poland,Changed name,1999,Death Metal,N/A,1999-2002| 2002-2006 (as Grave of Shadows)| 2006-? (as Decimated)
291,Alesthor,Portugal,Split-up,1993,Death Metal,N/A,1993-?
292,Alfa,Brazil,Split-up,N/A,Death Metal,Christianity,N/A
293,Alhazred,United States,Changed name,2011,Death Metal,N/A,2011-2012| 2012-present (as Existentium)
294,Alive Dissection,France,Active,2009,Death Metal,N/A,2009-present
295,All American Organ Grinder,United States,Active,2010,Death Metal,N/A,2010-present
296,All Creation Wept,United States,Unknown,N/A,Death Metal,N/A,N/A
297,All Falls Down,Austria,Active,2006,Death Metal,N/A,2006-present
298,All in Vain,Italy,Split-up,1997,Death Metal,N/A,1997-2004
299,All Shall Die,United States,Split-up,2007,Death Metal,Death| Hell,2007-?
300,All That Is Evil,United States,Split-up,1997,Death Metal,N/A,1997-?
301,All Will Fall,United States,Unknown,N/A,Death Metal,Conflict| Aggression,N/A
302,Allienatyon,Brazil,Active,2002,Death Metal,Gore| Death| Torture| Putrefaction,2002-present
303,Allusion,Mexico,Split-up,1993,Death Metal,N/A,1993-?
304,Allzheimer,Brazil,Split-up,1995,Death Metal,N/A,1995-?
305,Alma Persona,Slovakia,Active,2009,Death Metal,N/A,2009-present
306,Almagor,Venezuela,Active,2007,Death Metal,Christianity,2007-present
307,Almost Human,Germany,Active,2002,Death Metal,N/A,2002-present
308,Almost Human,Taiwan,Active,1997,Death Metal,Existentialism,1997-2002| 2003-2004| 2006-present
309,Altar,Netherlands,Active,1990,Death Metal,Atheism| Anti-Christianity,1990-2001| 2002-2007| 2014-present
310,Altar,Sweden,Split-up,1990,Death Metal,N/A,1988-1990 (as Wortox)| 1990-1995
311,Altar of Flesh,United States,Active,1999,Death Metal,Religion| Death,1999-present
312,Altar of Giallo,Spain,Active,2006,Death Metal,Zombies| Horror,2006-present
313,Altar of Pain,Portugal,Split-up,2010,Death Metal,Gore| Death| Myths| Anti-religion,2010-2013
314,Altar of Sacrifice,Sweden,On hold,2004,Death Metal,Death| Paranoia| Schizophrenia,2004-?
315,Altar Stomper,Finland,Unknown,N/A,Death Metal,N/A,N/A
316,Altars,Australia,Split-up,2005,Death Metal,History| Metaphysics,2005-2016
317,Altars of Suffering,United States,Active,2010,Death Metal,Horror films,2010-present
318,Alter Christus,Canada,Split-up,1998,Death Metal,Death| Suicide| Hell,? (as Elvix)| 1998-?
319,Altercated,Poland,Active,2003,Death Metal,N/A,2003-2012| 2015-present
320,Altered,Argentina,Split-up,1991,Death Metal,N/A,1991 (as Agressor)| 1991-1998
321,Altered Dead,Canada,Active,2013,Death Metal,N/A,2013-present
322,Altered Existence,United States,Active,1991,Death Metal,Death| Morbidity| Struggles,1991-present
323,Alterity,Argentina,Active,N/A,Death Metal,N/A,N/A
324,Amachine,New Zealand,Active,2009,Death Metal,Political| Social| Truth,2009-present
325,Amaduscias,Brazil,Active,2001,Death Metal,Honour| Truth,2001-present
326,Amaranhig,Philippines,Active,2012,Death Metal,Horror| Death| Zombies| Dark Supernatural Creatures,2012-present
327,Amaymon,France,Split-up,1992,Death Metal,Esotericism| Black Magic| Satan| Sacrifice,1989-1992 (as Deadly Dislocated)| 1992-?
328,Ambiguous,Switzerland,Unknown,N/A,Death Metal,N/A,N/A
