state,year,population
LA,1990,4221532.0
ME,1990,1231719.0
ME,1991,1237081.0
ME,1994,1242662.0
ME,1993,1242302.0
ME,1992,1238508.0
ME,1995,1243481.0
ME,1996,1249060.0
ME,1998,1259127.0
ME,1997,1254774.0
ME,1999,1266808.0
ME,2000,1277072.0
ME,2002,1295960.0
ME,2001,1285692.0
ME,2004,1313688.0
ME,2003,1306513.0
ME,2006,1323619.0
ME,2005,1318787.0
ME,2008,1330509.0
ME,2007,1327040.0
ME,2009,1329590.0
ME,2013,1328302.0
ME,2010,1327366.0
ME,2011,1327844.0
ME,2012,1328501.0
MD,2012,5884868.0
MD,2011,5840241.0
MD,2010,5787193.0
MD,2013,5928814.0
MD,2009,5730388.0
MD,2007,5653408.0
MD,2008,5684965.0
MD,2005,5592379.0
MD,2006,5627367.0
MD,2003,5496269.0
MD,2004,5546935.0
MD,2001,5374691.0
MD,2002,5440389.0
MD,2000,5311034.0
MD,1999,5254509.0
MD,1997,5157328.0
MD,1998,5204464.0
MD,1996,5111986.0
MD,1995,5070033.0
MD,1992,4923369.0
MD,1993,4971889.0
MD,1994,5023060.0
MD,1991,4867641.0
MD,1990,4799770.0
MA,1990,6022639.0
MA,1991,6018470.0
MA,1994,6095241.0
MA,1993,6060569.0
MA,1992,6028709.0
MA,1995,6141445.0
MA,1996,6179756.0
MA,1998,6271838.0
MA,1997,6226058.0
MA,1999,6317345.0
MA,2000,6361104.0
MA,2001,6397634.0
MA,2002,6417206.0
MA,2004,6412281.0
MA,2003,6422565.0
MA,2006,6410084.0
MA,2005,6403290.0
MA,2008,6468967.0
MA,2007,6431559.0
MA,2009,6517613.0
MA,2013,6692824.0
MA,2010,6563263.0
MA,2011,6606285.0
MA,2012,6645303.0
MI,2012,9882519.0
MI,2011,9874589.0
MI,2010,9876149.0
MI,2013,9895622.0
MI,2009,9901591.0
MI,2007,10001284.0
MI,2008,9946889.0
MI,2005,10051137.0
MI,2006,10036081.0
MI,2003,10041152.0
MI,2004,10055315.0
MI,2002,10015710.0
MI,2001,9991120.0
MI,2000,9952450.0
MI,1999,9897116.0
MI,1997,9809051.0
MI,1998,9847942.0
MI,1996,9758645.0
MI,1995,9676211.0
MI,1992,9479065.0
MI,1993,9540114.0
MI,1994,9597737.0
MI,1991,9400446.0
MI,1990,9311319.0
MN,1990,4389857.0
MN,1991,4440859.0
MN,1994,4610355.0
MN,1993,4555956.0
MN,1992,4495572.0
MN,1995,4660180.0
MN,1996,4712827.0
MN,1998,4813412.0
MN,1997,4763390.0
MN,1999,4873481.0
MN,2000,4933692.0
MN,2001,4982796.0
MN,2002,5018935.0
MN,2004,5087713.0
MN,2003,5053572.0
MN,2006,5163555.0
MN,2005,5119598.0
MN,2008,5247018.0
MN,2007,5207203.0
MN,2009,5281203.0
MN,2013,5420380.0
MN,2010,5310337.0
MN,2011,5347108.0
MN,2012,5379646.0
MS,2012,2986450.0
MS,2011,2977886.0
MS,2010,2970047.0
MS,2013,2991207.0
MS,2009,2958774.0
MS,2007,2928350.0
MS,2008,2947806.0
MS,2005,2905943.0
MS,2006,2904978.0
MS,2003,2868312.0
MS,2004,2889010.0
MS,2002,2858681.0
MS,2001,2852994.0
MS,2000,2848353.0
MS,1999,2828408.0
MS,1997,2777004.0
MS,1998,2804834.0
MS,1996,2748085.0
MS,1995,2722659.0
MS,1992,2623734.0
MS,1993,2655100.0
MS,1994,2688992.0
MS,1991,2598733.0
MS,1990,2578897.0
MO,1990,5128880.0
MO,1991,5170800.0
MO,1994,5324497.0
MO,1993,5271175.0
MO,1992,5217101.0
MO,1996,5431553.0
MO,1995,5378247.0
MO,1998,5521765.0
MO,1997,5481193.0
MO,1999,5561948.0
MO,2000,5607285.0
MO,2001,5641142.0
MO,2002,5674825.0
MO,2004,5747741.0
MO,2003,5709403.0
MO,2006,5842704.0
MO,2005,5790300.0
MO,2008,5923916.0
MO,2007,5887612.0
MO,2009,5961088.0
MO,2013,6044171.0
MO,2010,5996063.0
MO,2011,6010065.0
MO,2012,6024522.0
MT,2012,1005494.0
MT,2011,997600.0
MT,2010,990527.0
MT,2013,1015165.0
MT,2009,983982.0
MT,2007,964706.0
MT,2008,976415.0
MT,2005,940102.0
MT,2006,952692.0
MT,2003,919630.0
MT,2004,930009.0
MT,2002,911667.0
MT,2001,906961.0
MT,1999,897508.0
MT,2000,903773.0
MT,1997,889865.0
MT,1998,892431.0
MT,1995,876553.0
MT,1996,886254.0
MT,1992,825770.0
MT,1993,844761.0
MT,1994,861306.0
MT,1991,809680.0
MT,1990,800204.0
NE,1990,1581660.0
NE,1991,1595919.0
NE,1994,1639041.0
NE,1993,1625590.0
NE,1992,1611687.0
NE,1996,1673740.0
NE,1995,1656993.0
NE,1998,1695817.0
NE,1997,1686418.0
NE,1999,1704764.0
NE,2000,1713820.0
NE,2001,1719836.0
NE,2002,1728292.0
NE,2004,1749370.0
NE,2003,1738643.0
NE,2006,1772693.0
NE,2005,1761497.0
NE,2008,1796378.0
NE,2007,1783440.0
NE,2009,1812683.0
NE,2013,1868516.0
NE,2010,1829838.0
NE,2011,1841749.0
NE,2012,1855350.0
NV,2012,2754354.0
NV,2011,2717951.0
NV,2010,2703230.0
NV,2013,2790136.0
NV,2009,2684665.0
NV,2007,2601072.0
NV,2008,2653630.0
NV,2005,2432143.0
NV,2006,2522658.0
NV,2003,2248850.0
NV,2004,2346222.0
NV,2002,2173791.0
NV,2001,2098399.0
NV,1999,1934718.0
NV,2000,2018741.0
NV,1997,1764104.0
NV,1998,1853192.0
NV,1995,1581578.0
NV,1996,1666320.0
NV,1992,1351367.0
NV,1993,1411215.0
NV,1994,1499298.0
NV,1991,1296172.0
NV,1990,1220695.0
NH,1990,1112384.0
NH,1991,1109929.0
NH,1994,1142561.0
NH,1993,1129458.0
NH,1992,1117785.0
NH,1996,1174719.0
NH,1995,1157561.0
NH,1998,1205941.0
NH,1997,1189425.0
NH,2000,1239882.0
NH,1999,1222015.0
NH,2001,1255517.0
NH,2002,1269089.0
NH,2004,1290121.0
NH,2003,1279840.0
NH,2005,1298492.0
NH,2006,1308389.0
NH,2008,1315906.0
NH,2007,1312540.0
NH,2009,1316102.0
NH,2013,1323459.0
NH,2010,1316614.0
NH,2011,1318075.0
NH,2012,1321617.0
NJ,2012,8867749.0
NJ,2011,8836639.0
NJ,2010,8802707.0
NJ,2013,8899339.0
NJ,2009,8755602.0
NJ,2007,8677885.0
NJ,2008,8711090.0
NJ,2006,8661679.0
NJ,2005,8651974.0
NJ,2003,8601402.0
NJ,2004,8634561.0
NJ,2002,8552643.0
NJ,2001,8492671.0
NJ,1999,8359592.0
NJ,2000,8430621.0
NJ,1997,8218808.0
NJ,1998,8287418.0
NJ,1995,8083242.0
NJ,1996,8149596.0
NJ,1992,7880508.0
NJ,1993,7948915.0
NJ,1994,8014306.0
NJ,1991,7814676.0
NJ,1990,7762963.0
NM,1990,1521574.0
NM,1991,1555305.0
NM,1993,1636453.0
NM,1992,1595442.0
NM,1994,1682398.0
NM,1995,1720394.0
NM,1996,1752326.0
NM,1998,1793484.0
NM,1997,1774839.0
NM,1999,1808082.0
NM,2000,1821204.0
NM,2001,1831690.0
NM,2002,1855309.0
NM,2004,1903808.0
NM,2003,1877574.0
NM,2005,1932274.0
NM,2006,1962137.0
NM,2008,2010662.0
NM,2007,1990070.0
NM,2013,2085287.0
NM,2009,2036802.0
NM,2010,2064982.0
NM,2011,2077919.0
NM,2012,2083540.0
NY,2012,19576125.0
NY,2011,19502728.0
NY,2010,19398228.0
NY,2009,19307066.0
NY,2013,19651127.0
NY,2007,19132335.0
NY,2008,19212436.0
NY,2006,19104631.0
NY,2005,19132610.0
NY,2003,19175939.0
NY,2004,19171567.0
NY,2002,19137800.0
NY,2001,19082838.0
NY,1999,18882725.0
NY,2000,19001780.0
NY,1997,18656546.0
NY,1998,18755906.0
NY,1996,18588460.0
NY,1995,18524104.0
NY,1994,18459470.0
NY,1992,18246653.0
NY,1993,18374954.0
NY,1991,18122510.0
NY,1990,18020784.0
NC,1990,6664016.0
NC,1991,6784280.0
NC,1993,7042818.0
NC,1992,6897214.0
NC,1994,7187398.0
NC,1995,7344674.0
NC,1996,7500670.0
NC,1998,7809122.0
NC,1997,7656825.0
NC,2000,8081614.0
NC,1999,7949362.0
NC,2001,8210122.0
NC,2002,8326201.0
NC,2004,8553152.0
NC,2003,8422501.0
NC,2005,8705407.0
NC,2006,8917270.0
NC,2008,9309449.0
NC,2007,9118037.0
NC,2013,9848060.0
NC,2009,9449566.0
NC,2010,9559533.0
NC,2011,9651377.0
NC,2012,9748364.0
ND,2012,701345.0
ND,2011,684867.0
ND,2010,674344.0
ND,2009,664968.0
ND,2013,723393.0
ND,2007,652822.0
ND,2008,657569.0
ND,2006,649422.0
ND,2005,646089.0
ND,2003,638817.0
ND,2004,644705.0
ND,2002,638168.0
ND,2001,639062.0
ND,1999,644259.0
ND,2000,642023.0
ND,1997,649716.0
ND,1998,647532.0
ND,1996,650382.0
ND,1995,647832.0
ND,1994,644806.0
ND,1992,638223.0
ND,1993,641216.0
ND,1991,635753.0
ND,1990,637685.0
OH,1990,10864162.0
OH,1991,10945762.0
OH,1993,11101140.0
OH,1992,11029431.0
OH,1994,11152455.0
OH,1995,11202751.0
OH,1996,11242827.0
OH,1998,11311536.0
OH,1997,11277357.0
OH,2000,11363543.0
OH,1999,11335454.0
OH,2001,11387404.0
OH,2002,11407889.0
OH,2004,11452251.0
OH,2003,11434788.0
OH,2005,11463320.0
OH,2006,11481213.0
OH,2008,11515391.0
OH,2007,11500468.0
OH,2013,11570808.0
OH,2009,11528896.0
OH,2010,11545435.0
OH,2011,11549772.0
OH,2012,11553031.0
OK,2012,3815780.0
OK,2011,3785534.0
OK,2010,3759263.0
OK,2009,3717572.0
OK,2013,3850568.0
OK,2007,3634349.0
OK,2008,3668976.0
OK,2006,3594090.0
OK,2005,3548597.0
OK,2003,3504892.0
OK,2004,3525233.0
OK,2002,3489080.0
OK,2001,3467100.0
OK,1999,3437148.0
OK,2000,3454365.0
OK,1997,3372918.0
OK,1998,3405194.0
OK,1996,3340129.0
OK,1995,3308208.0
OK,1994,3280940.0
OK,1992,3220517.0
OK,1993,3252285.0
OK,1991,3175440.0
OK,1990,3148825.0
OR,1990,2860375.0
OR,1991,2928507.0
OR,1993,3060367.0
OR,1992,2991755.0
OR,1994,3121264.0
OR,1995,3184369.0
OR,1996,3247111.0
OR,1998,3352449.0
OR,1997,3304310.0
OR,2000,3429708.0
OR,1999,3393941.0
OR,2001,3467937.0
OR,2002,3513424.0
OR,2004,3569463.0
OR,2003,3547376.0
OR,2005,3613202.0
OR,2006,3670883.0
OR,2008,3768748.0
OR,2007,3722417.0
OR,2013,3930065.0
OR,2009,3808600.0
OR,2010,3837208.0
OR,2011,3867937.0
OR,2012,3899801.0
PA,2012,12764475.0
PA,2011,12741310.0
PA,2010,12710472.0
PA,2009,12666858.0
PA,2013,12773801.0
PA,2007,12563937.0
PA,2008,12612285.0
PA,2006,12510809.0
PA,2005,12449990.0
PA,2003,12374658.0
PA,2004,12410722.0
PA,2002,12331031.0
PA,2001,12298970.0
PA,1999,12263805.0
PA,2000,12284173.0
PA,1997,12227814.0
PA,1998,12245672.0
PA,1996,12220464.0
PA,1995,12198403.0
PA,1994,12166050.0
PA,1992,12049450.0
PA,1993,12119724.0
PA,1991,11982164.0
PA,1990,11903299.0
RI,1990,1005995.0
RI,1991,1010649.0
RI,1993,1015113.0
RI,1992,1012581.0
RI,1994,1015960.0
RI,1995,1017002.0
RI,1996,1020893.0
RI,1998,1031155.0
RI,1997,1025353.0
RI,2000,1050268.0
RI,1999,1040402.0
RI,2001,1057142.0
RI,2002,1065995.0
RI,2004,1074579.0
RI,2003,1071342.0
RI,2005,1067916.0
RI,2006,1063096.0
RI,2008,1055003.0
RI,2007,1057315.0
RI,2013,1051511.0
RI,2009,1053646.0
RI,2010,1052669.0
RI,2011,1050350.0
RI,2012,1050304.0
SC,2012,4723417.0
SC,2011,4673509.0
SC,2010,4636361.0
SC,2009,4589872.0
SC,2013,4774839.0
SC,2007,4444110.0
SC,2008,4528996.0
SC,2006,4357847.0
SC,2005,4270150.0
SC,2003,4150297.0
SC,2004,4210921.0
SC,2002,4107795.0
SC,2001,4064995.0
SC,1999,3974682.0
SC,2000,4024223.0
SC,1997,3859696.0
SC,1998,3919235.0
SC,1996,3796200.0
SC,1995,3748582.0
SC,1994,3705397.0
SC,1992,3620464.0
SC,1993,3663314.0
SC,1991,3570404.0
SC,1990,3501155.0
SD,1990,697101.0
SD,1991,703669.0
SD,1993,722160.0
SD,1992,712801.0
SD,1994,730790.0
SD,1995,737926.0
SD,1996,742214.0
SD,1998,746059.0
SD,1997,744223.0
SD,2000,755844.0
SD,1999,750413.0
SD,2001,757972.0
SD,2002,760020.0
SD,2004,770396.0
SD,2003,763729.0
SD,2005,775493.0
SD,2006,783033.0
SD,2008,799124.0
SD,2007,791623.0
SD,2013,844877.0
SD,2009,807067.0
SD,2010,816211.0
SD,2011,823772.0
SD,2012,834047.0
TN,2012,6454914.0
TN,2011,6398361.0
TN,2010,6356683.0
TN,2009,6306019.0
TN,2013,6495978.0
TN,2007,6175727.0
TN,2008,6247411.0
TN,2006,6088766.0
TN,2005,5991057.0
TN,2003,5847812.0
TN,2004,5910809.0
TN,2002,5795918.0
TN,2001,5750789.0
TN,1999,5638706.0
TN,2000,5703719.0
TN,1997,5499233.0
TN,1998,5570045.0
TN,1996,5416643.0
TN,1995,5326936.0
TN,1994,5231438.0
TN,1992,5049742.0
TN,1993,5137584.0
TN,1991,4966587.0
TN,1990,4894492.0
TX,1990,17056755.0
TX,1991,17398005.0
TX,1993,18161612.0
TX,1992,17759738.0
TX,1994,18564062.0
TX,1995,18958751.0
TX,1996,19340342.0
TX,1998,20157531.0
TX,1997,19740317.0
TX,2000,20944499.0
TX,1999,20558220.0
TX,2001,21319622.0
TX,2002,21690325.0
TX,2004,22394023.0
TX,2003,22030931.0
TX,2005,22778123.0
TX,2006,23359580.0
TX,2008,24309039.0
TX,2007,23831983.0
TX,2013,26448193.0
TX,2009,24801761.0
TX,2010,25245178.0
TX,2011,25640909.0
TX,2012,26060796.0
UT,2012,2854871.0
UT,2011,2814784.0
UT,2010,2774424.0
UT,2009,2723421.0
UT,2013,2900872.0
UT,2007,2597746.0
UT,2008,2663029.0
UT,2006,2525507.0
UT,2005,2457719.0
UT,2003,2360137.0
UT,2004,2401580.0
UT,2002,2324815.0
UT,2001,2283715.0
UT,1999,2203482.0
UT,2000,2244502.0
UT,1997,2119784.0
UT,1998,2165961.0
UT,1996,2067976.0
UT,1995,2014179.0
UT,1994,1960446.0
UT,1992,1836799.0
UT,1993,1898404.0
UT,1991,1779780.0
UT,1990,1731223.0
VT,1990,564798.0
VT,1991,568606.0
VT,1993,577748.0
VT,1992,572751.0
VT,1994,583836.0
VT,1995,589003.0
VT,1996,593701.0
VT,1998,600416.0
VT,1997,597239.0
VT,2000,609618.0
VT,1999,604683.0
VT,2001,612223.0
VT,2002,615442.0
VT,2004,619920.0
VT,2003,617858.0
VT,2005,621215.0
VT,2006,622892.0
VT,2008,624151.0
VT,2007,623481.0
VT,2013,626630.0
VT,2009,624817.0
VT,2010,625793.0
VT,2011,626320.0
VT,2012,625953.0
VA,2012,8186628.0
VA,2011,8105850.0
VA,2010,8024417.0
VA,2009,7925937.0
VA,2013,8260405.0
VA,2007,7751000.0
VA,2008,7833496.0
VA,2005,7577105.0
VA,2006,7673725.0
VA,2003,7366977.0
VA,2004,7475575.0
VA,2002,7286873.0
VA,2001,7198362.0
VA,1999,7000174.0
VA,2000,7105817.0
VA,1997,6829183.0
VA,1998,6900918.0
VA,1996,6750884.0
VA,1995,6670693.0
VA,1994,6593139.0
VA,1992,6414307.0
VA,1993,6509630.0
VA,1991,6301217.0
VA,1990,6216884.0
WA,1990,4903043.0
WA,1991,5025624.0
WA,1993,5278842.0
WA,1992,5160757.0
WA,1994,5375161.0
WA,1995,5481027.0
WA,1996,5569753.0
WA,1998,5769562.0
WA,1997,5674747.0
WA,2000,5910512.0
WA,1999,5842564.0
WA,2001,5985722.0
WA,2002,6052349.0
WA,2004,6178645.0
WA,2003,6104115.0
WA,2005,6257305.0
WA,2006,6370753.0
WA,2008,6562231.0
WA,2007,6461587.0
WA,2013,6971406.0
WA,2009,6667426.0
WA,2010,6742256.0
WA,2011,6821481.0
WA,2012,6895318.0
WV,2012,1856680.0
WV,2011,1855184.0
WV,2010,1854146.0
WV,2009,1847775.0
WV,2013,1854304.0
WV,2007,1834052.0
WV,2008,1840310.0
WV,2006,1827912.0
WV,2005,1820492.0
WV,2003,1812295.0
WV,2004,1816438.0
WV,2002,1805414.0
WV,2001,1801481.0
WV,1999,1811799.0
WV,2000,1807021.0
WV,1997,1819113.0
WV,1998,1815609.0
WV,1996,1822808.0
WV,1995,1823700.0
WV,1994,1820421.0
WV,1992,1806451.0
WV,1993,1817539.0
WV,1991,1798735.0
