Row Number,Exited,P_Hat_TestData
10889,0,0.091966948
10248,0,0.091966645
10638,0,0.091708196
10012,0,0.091462631
10663,0,0.091241919
10705,0,0.090856704
10167,0,0.090561023
10306,0,0.090523109
10235,0,0.090179346
10698,1,0.090094653
10055,1,0.090070493
10690,0,0.089824848
10090,0,0.089716315
10327,0,0.089146308
10157,0,0.088864755
10280,0,0.088671088
10184,0,0.0885991
10452,0,0.088551012
10487,1,0.088424939
10173,0,0.088410083
10972,0,0.08821863
10241,0,0.088209118
10063,0,0.087985031
10669,0,0.087984588
10435,1,0.08785323
10149,1,0.087710968
10323,0,0.087534232
10657,0,0.087433178
10290,0,0.086857401
10582,0,0.086735691
10828,1,0.086631794
10790,0,0.086445521
10629,0,0.086432017
10789,0,0.086414477
10587,0,0.086197414
10724,0,0.085784202
10274,0,0.085674138
10128,0,0.085490904
10649,0,0.085462328
10043,0,0.085110424
10551,1,0.084299372
10002,0,0.084126777
10030,0,0.084049357
10559,0,0.084047656
10338,0,0.084031579
10952,1,0.083600297
10036,1,0.083245873
10441,0,0.08308396
10788,0,0.083031169
10364,0,0.082985871
10906,0,0.082922951
10158,0,0.082148639
10133,0,0.082090489
10270,0,0.082024543
10580,0,0.081692835
10737,0,0.08139255
10130,0,0.081387034
10847,0,0.081111817
10829,0,0.080657672
10305,0,0.080594462
10058,0,0.080560956
10956,0,0.080473315
10486,0,0.080371927
10005,0,0.080128403
10905,0,0.079826534
10825,0,0.07948694
10179,0,0.079275239
10696,0,0.079079195
10713,0,0.07841452
10734,0,0.077935936
10884,0,0.077766674
10831,0,0.077764309
10757,0,0.077445074
10068,0,0.077277094
10680,0,0.077163494
10226,0,0.076906943
10119,1,0.076809293
10295,0,0.076754893
10769,0,0.076427292
10129,0,0.075988026
10619,0,0.075844497
10903,0,0.075670406
10024,0,0.075241068
10731,0,0.074651404
10592,0,0.074596286
10531,0,0.074399043
10730,0,0.074184599
10926,0,0.074126855
10727,0,0.074101497
10511,0,0.073485223
10230,0,0.073101485
10765,0,0.07296191
10732,0,0.072817528
10001,0,0.072760384
10021,0,0.072616385
10601,1,0.072615997
10237,0,0.072477585
10504,1,0.072234992
10162,0,0.072187468
10979,0,0.0721589
10318,0,0.072080329
10400,0,0.071903147
10355,0,0.0714496
10239,0,0.070726417
10450,0,0.070594475
10431,0,0.070318787
10082,0,0.069689272
10313,0,0.069535187
10372,0,0.069376257
10485,0,0.069337286
10907,0,0.069164398
10840,0,0.069159724
10529,0,0.069054382
10536,0,0.068881246
10535,0,0.068823385
10106,1,0.067973888
10214,0,0.067955892
10524,0,0.067286966
10362,0,0.067007617
10816,0,0.066476116
10303,0,0.066427527
10929,1,0.066071552
10718,0,0.066023428
10426,0,0.065753091
10007,0,0.065622551
10421,0,0.065389653
10399,1,0.06529559
10570,0,0.064706806
10089,0,0.063946898
10774,0,0.063574726
10614,0,0.063568273
10716,0,0.063563236
10042,0,0.063095921
10044,0,0.06303472
10764,0,0.062946968
10683,0,0.062495647
10045,0,0.062041681
10057,0,0.062017172
10144,0,0.061938228
10672,0,0.061736148
10927,1,0.061702192
10028,0,0.061599237
10651,0,0.061569712
10160,0,0.061436232
10022,0,0.061425006
10205,0,0.060774998
10191,1,0.060601385
10040,1,0.060329967
10701,0,0.060230984
10292,0,0.060074229
10493,0,0.059617031
10378,0,0.059553217
10509,0,0.059210749
10959,0,0.059083813
10626,0,0.05862671
10776,0,0.058593843
10225,0,0.058539091
10861,0,0.05841188
10812,0,0.058005451
10125,0,0.056768581
10291,0,0.056725032
10783,0,0.056676538
10123,0,0.056570663
10499,0,0.056360118
10515,0,0.056017224
10994,0,0.055786718
10711,0,0.055480649
10798,0,0.055222139
10808,1,0.054222214
10061,0,0.054025693
10335,0,0.053842087
10322,0,0.05378785
10630,0,0.053735936
10419,0,0.053544194
10990,0,0.053330184
10164,0,0.052030912
10283,0,0.051989254
10204,0,0.051916402
10053,0,0.051624882
10609,0,0.050609426
10555,0,0.050419034
10276,0,0.050202219
10581,0,0.050180573
10003,0,0.04947574
10978,0,0.049205095
10992,0,0.048550153
10006,0,0.048187976
10542,0,0.047807772
10772,0,0.04746228
10653,0,0.047369074
10387,0,0.045989306
10026,0,0.04518071
10093,0,0.044329917
10802,0,0.043572177
10605,0,0.043442821
10899,0,0.04335467
10112,0,0.041959075
10361,0,0.041865601
10944,0,0.041226674
10574,0,0.041125302
10232,0,0.040959001
10282,0,0.040272493
10750,0,0.040119345
10471,0,0.040071824
10252,0,0.039619978
10875,0,0.039587594
10010,0,0.039121983
10760,1,0.039045843
10522,0,0.038739534
10933,0,0.038337108
10654,0,0.037973442
10697,0,0.0376336
10848,0,0.036714228
10999,0,0.03486586
10265,0,0.032953875
10708,0,0.032634189
10394,0,0.032499349
10839,0,0.03042093
10631,0,0.028244283
