Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Age_clean,Embarked_clean,Fare_clean,Fare_clean_tr,Title,Cabin_ind,Family_cnt
2,1,34.0,0,0,13.0,147,2,34.0,3,13.0,1.6702776523348104,11,0,0
3,1,,0,0,7.2292,147,0,29.69911764705882,0,7.2292,1.4853132250847014,11,0,0
1,1,30.0,0,0,27.75,53,0,30.0,0,27.75,1.9438045639530088,11,1,0
3,1,30.0,1,0,16.1,147,2,30.0,3,16.1,1.7432720823741534,11,0,1
2,0,,0,0,12.35,116,1,29.69911764705882,2,12.35,1.6532304339717367,8,1,0
3,1,,0,0,7.775,147,2,29.69911764705882,3,7.775,1.5070930932320792,11,0,0
1,0,53.0,2,0,51.4792,48,2,53.0,3,51.4792,2.199512112045712,12,1,2
3,1,32.0,0,0,7.925,147,2,32.0,3,7.925,1.5128638802220769,11,0,0
2,1,52.0,0,0,13.0,147,2,52.0,3,13.0,1.6702776523348104,11,0,0
1,1,52.0,1,1,79.65,134,2,52.0,3,79.65,2.400143212074232,11,1,2
3,0,39.0,1,5,31.275,147,2,39.0,3,31.275,1.9908542366373856,12,0,6
1,0,2.0,1,2,151.55,62,2,2.0,3,151.55,2.7296765455688243,8,1,3
3,1,44.0,0,0,7.925,147,2,44.0,3,7.925,1.5128638802220769,11,0,0
2,1,51.0,0,0,12.525,147,2,51.0,3,12.525,1.6578893697963042,14,0,0
2,1,39.0,0,0,26.0,147,2,39.0,3,26.0,1.9186451916253064,11,0,0
1,1,46.0,0,0,79.2,44,0,46.0,0,79.2,2.397425036114708,11,1,0
1,1,17.0,0,2,110.8833,77,0,17.0,0,110.8833,2.5643259572237604,11,1,2
3,1,30.0,0,0,8.05,147,2,30.0,3,8.05,1.5176064932892266,11,0,0
3,0,9.0,2,2,34.375,147,2,9.0,3,34.375,2.028843469405813,8,0,4
3,1,27.0,0,0,7.7958,147,2,27.0,3,7.7958,1.5078985992178089,11,0,0
3,1,21.0,0,0,8.6625,147,2,21.0,3,8.6625,1.5400281152322484,11,0,0
3,1,,0,0,56.4958,147,2,29.69911764705882,3,56.4958,2.2408007055327177,11,0,0
3,1,26.0,0,0,7.8958,147,2,26.0,3,7.8958,1.5117473912278288,11,0,0
3,1,3.0,1,1,15.9,147,2,3.0,3,15.9,1.7389192887497669,7,0,2
2,1,48.0,0,0,13.0,147,2,48.0,3,13.0,1.6702776523348104,11,0,0
1,0,36.0,0,0,135.6333,65,0,36.0,0,135.6333,2.6697664164667194,8,1,0
3,0,,1,0,15.5,147,1,29.69911764705882,2,15.5,1.7300806134344884,12,0,1
2,0,32.5,0,0,13.0,116,2,32.5,3,13.0,1.6702776523348104,8,1,0
1,0,33.0,0,0,86.5,40,2,33.0,3,86.5,2.4400752592578163,16,1,0
2,0,22.0,1,2,41.5792,147,0,22.0,0,41.5792,2.1075370871655457,12,0,3
3,1,19.0,0,0,6.75,147,1,19.0,2,6.75,1.4650780257917608,11,0,0
3,1,74.0,0,0,7.775,147,2,65.0,3,7.775,1.5070930932320792,11,0,0
3,1,42.0,0,1,8.4042,147,2,42.0,3,8.4042,1.5307324038271908,11,0,1
1,0,40.0,0,0,153.4625,57,2,40.0,3,153.4625,2.7365315134405868,8,1,0
3,0,35.0,1,1,20.25,147,2,35.0,3,20.25,1.8250930256796167,12,0,2
3,0,24.0,0,0,8.85,147,2,24.0,3,8.85,1.5466379209489176,8,0,0
3,1,39.0,0,0,7.925,147,2,39.0,3,7.925,1.5128638802220769,11,0,0
2,1,32.5,1,0,30.0708,147,0,32.5,0,30.0708,1.975281500800348,11,0,1
2,1,1.0,2,1,39.0,144,2,1.0,3,39.0,2.080716549261844,7,1,3
3,1,34.0,0,0,6.4958,147,2,34.0,3,6.4958,1.4538731930737308,11,0,0
1,1,64.0,1,4,263.0,63,2,64.0,3,249.0062200000004,3.014685687666117,11,1,5
3,0,25.0,0,0,7.775,147,2,25.0,3,7.775,1.5070930932320792,8,0,0
3,0,,0,0,8.05,147,2,29.69911764705882,3,8.05,1.5176064932892266,12,0,0
3,1,1.0,1,2,20.575,147,2,1.0,3,20.575,1.8309140981238017,7,0,3
