ID,order_date,delivery_date
633,5/1/97,11/8/99
634,4/4/91,7/21/99
635,5/30/98,9/22/98
636,3/1/91,5/17/99
639,4/30/98,1/29/99
640,11/26/94,10/21/95
642,4/26/91,9/29/93
643,6/20/96,9/30/98
644,1/2/93,9/10/97
647,3/1/91,8/5/95
648,5/24/93,9/20/98
649,5/7/96,9/11/99
650,5/12/96,2/13/98
651,5/28/92,7/17/98
652,9/28/97,6/4/98
653,1/24/94,6/24/94
654,6/30/94,6/23/95
655,8/1/93,7/27/99
658,10/17/92,7/16/99
659,10/11/98,11/3/98
660,2/5/94,9/8/98
663,12/21/95,6/17/99
664,2/21/91,9/27/94
667,5/16/93,2/22/99
671,1/13/92,6/9/97
672,7/10/93,8/11/94
674,3/16/90,12/28/98
675,2/24/91,4/28/94
677,2/21/92,11/3/99
679,7/3/95,5/20/97
681,1/8/94,4/7/94
683,6/7/92,7/14/92
685,12/29/94,12/5/97
686,7/5/92,6/28/95
697,4/22/94,2/14/96
698,12/6/92,11/9/98
699,8/31/98,2/27/99
700,2/7/95,4/5/96
701,1/6/92,7/18/96
702,11/8/97,2/27/99
704,2/2/90,8/12/90
706,5/17/90,1/7/96
709,5/17/94,4/8/97
713,11/8/90,3/9/93
715,4/28/92,1/7/95
718,4/1/93,4/20/99
720,8/12/98,12/24/98
723,2/4/90,8/26/93
725,2/15/93,5/16/95
726,6/26/98,3/9/99
727,5/2/91,4/7/98
728,5/17/95,5/16/97
730,12/10/92,12/28/92
731,9/16/92,5/9/96
732,10/5/90,4/14/97
733,8/12/91,4/6/93
734,1/17/93,11/27/96
735,12/23/93,12/10/97
737,12/1/92,10/29/94
739,8/15/90,10/18/93
741,1/15/91,9/3/97
744,2/23/98,10/1/99
747,7/29/92,9/22/94
748,6/6/91,2/19/99
749,10/2/95,1/18/97
750,3/29/95,4/8/99
753,5/30/90,8/3/94
754,3/29/96,8/31/96
756,10/11/92,5/7/99
758,1/10/93,9/22/97
760,9/16/90,12/6/98
762,1/11/92,4/20/98
764,9/19/90,9/16/99
766,12/25/95,9/24/99
767,4/23/91,4/5/92
768,9/18/91,2/5/95
769,12/1/94,4/9/98
770,3/28/98,6/5/98
773,5/12/96,3/29/98
775,12/3/92,6/14/99
776,7/27/92,10/13/94
777,9/11/94,4/21/99
779,5/25/95,2/21/96
781,7/16/95,8/17/95
782,12/22/95,4/23/97
784,4/8/97,11/9/97
786,10/26/90,5/10/99
787,2/27/90,2/6/96
788,6/13/90,10/2/95
789,12/28/91,3/14/93
790,12/30/97,6/3/99
791,1/5/98,9/1/98
794,3/21/94,5/30/95
796,1/19/94,2/18/95
797,8/5/96,4/10/97
799,2/11/93,2/1/99
802,8/31/94,11/3/96
805,9/27/92,4/10/95
806,3/18/90,11/18/92
807,3/8/95,1/10/98
809,9/3/92,10/4/94
817,12/12/93,6/1/98
818,12/19/94,1/4/98
819,12/6/98,7/31/99
820,1/27/94,10/31/97
821,2/24/91,8/15/93
822,11/10/91,8/20/98
825,12/12/91,9/15/99
826,4/16/90,5/18/98
827,5/19/92,3/13/94
828,8/9/91,1/15/92
832,8/23/91,12/13/98
833,11/23/94,10/28/99
834,6/26/94,9/28/94
838,11/27/90,7/3/93
839,4/17/91,8/4/92
840,7/19/92,1/24/97
841,8/4/91,5/9/92
843,2/5/91,5/6/91
845,5/26/94,5/12/98
846,3/13/97,12/3/97
848,7/15/90,6/21/92
851,10/20/91,8/26/92
853,6/29/91,5/13/92
855,1/1/92,3/17/93
856,6/26/93,3/5/96
861,2/24/95,10/17/95
862,3/19/97,8/27/99
863,11/5/92,6/15/96
865,11/13/94,6/11/96
868,2/12/91,12/26/91
871,7/17/91,11/15/95
872,8/19/90,7/7/95
873,8/18/98,10/5/98
874,5/3/94,12/31/98
876,11/21/91,10/20/97
878,7/23/94,1/14/96
879,11/30/96,1/2/98
880,4/11/97,7/9/99
881,2/21/90,9/11/97
882,3/4/97,1/3/99
884,1/20/90,11/12/99
887,9/25/93,8/9/98
888,9/1/95,11/1/99
892,2/21/91,4/16/98
894,5/24/90,8/12/97
896,8/23/90,5/5/91
898,5/24/90,6/1/90
900,1/26/92,11/23/99
901,5/6/91,1/16/93
902,7/3/91,11/10/99
904,2/13/90,11/15/99
905,6/16/95,10/2/96
906,11/3/97,5/26/99
907,8/11/94,9/28/98
908,11/4/93,2/26/97
909,1/19/91,8/22/98
912,8/21/92,1/24/93
916,12/3/94,3/26/97
918,12/29/94,7/29/96
919,1/25/92,6/1/93
922,7/6/96,12/5/98
924,3/17/91,5/13/96
926,10/31/90,4/12/94
932,7/25/97,4/9/98
934,5/22/95,7/11/95
935,9/26/90,3/7/98
938,3/24/93,7/15/95
939,10/1/98,12/7/98
942,4/14/92,3/3/97
943,1/30/91,12/2/99
945,10/27/92,11/3/94
946,7/2/91,2/23/96
947,6/18/91,6/11/99
949,10/7/91,1/7/92
951,10/2/91,4/18/94
953,9/26/91,5/8/94
954,8/8/93,1/23/94
956,8/23/95,1/10/99
957,10/1/94,7/25/99
958,4/26/90,6/29/97
969,9/24/96,11/16/96
972,2/7/90,11/5/95
975,6/18/97,11/2/97
981,1/31/97,3/4/98
983,12/30/94,7/29/97
984,7/25/91,2/9/99
985,7/26/95,6/18/96
986,12/10/90,12/16/92
990,6/24/91,2/2/96
991,9/9/91,3/30/98
993,11/16/90,4/27/98
994,6/3/93,6/13/93
997,1/4/90,10/3/91
