Rank,Company,Sector,Industry,Location,Revenue,Profits,Employees
113,EMC,Technology,Computer Peripherals,"Hopkinton, MA",24704,1990,72000
114,USAA,Financials,Insurance: Property and Casualty (Stock),"San Antonio, TX",24361,2272,28681
115,Duke Energy,Energy,Utilities: Gas and Electric,"Charlotte, NC",24002,2816,29188
116,Time Warner Cable,Telecommunications,Telecommunications,"New York, NY",23697,1844,56430
117,Halliburton,Energy,"Oil and Gas Equipment, Services","Houston, TX",23633,-671,65000
118,Northrop Grumman,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",23526,1990,65000
119,Arrow Electronics,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, CO",23282,498,18500
120,Raytheon,Aerospace & Defense,Aerospace and Defense,"Waltham, MA",23247,2074,61000
121,Plains GP Holdings,Energy,Pipelines,"Houston, TX",23152,118,5400
122,US Foods Holding,Wholesalers,Wholesalers: Food and Grocery,"Rosemont, IL",23128,168,25000
123,AbbVie,Health Care,Pharmaceuticals,"North Chicago, IL",22859,5144,28000
124,Centene,Health Care,Health Care: Insurance and Managed Care,"St. Louis, MO",22795,355,18200
125,Community Health Systems,Health Care,Health Care: Medical Facilities,"Franklin, TN",22678,158,123000
126,Alcoa,Materials,Metals,"New York, NY",22534,-322,60000
127,International Paper,Materials,"Packaging, Containers","Memphis, TN",22365,938,56000
128,Emerson Electric,Industrials,"Electronics, Electrical Equip.","St. Louis, MO",22304,2710,110800
129,Union Pacific,Transportation,Railroads,"Omaha, NE",21813,4772,47457
130,Amgen,Health Care,Pharmaceuticals,"Thousand Oaks, CA",21662,6939,17900
131,U.S. Bancorp,Financials,Commercial Banks,"Minneapolis, MN",21494,5879,65433
132,Staples,Retailing,Specialty Retailers: Other,"Framingham, MA",21059,379,58963
133,Danaher,Technology,"Scientific,Photographic and Control Equipment","Washington, DC",20909,3357,81000
134,Whirlpool,Industrials,"Electronics, Electrical Equip.","Benton Harbor, MI",20891,783,97000
135,Aflac,Financials,"Insurance: Life, Health (stock)","Columbus, GA",20872,2533,9915
136,AutoNation,Retailing,"Automotive Retailing, Services","Fort Lauderdale, FL",20862,443,26000
137,Progressive,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, OH",20854,1268,28580
138,Abbott Laboratories,Health Care,Medical Products and Equipment,"Abbott Park, IL",20661,4423,74000
139,Dollar General,Retailing,General Merchandisers,"Goodlettsville, TN",20369,1165,113400
140,Tenet Healthcare,Health Care,Health Care: Medical Facilities,"Dallas, TX",20111,-140,119148
141,Eli Lilly,Health Care,Pharmaceuticals,"Indianapolis, IN",19959,2408,41275
142,Southwest Airlines,Transportation,Airlines,"Dallas, TX",19820,2181,49583
143,Penske Automotive Group,Retailing,"Automotive Retailing, Services","Bloomfield Hills, MI",19361,326,23000
144,ManpowerGroup,Business Services,Temporary Help,"Milwaukee, WI",19330,419,27000
145,Kohl’s,Retailing,General Merchandisers,"Menomonee Falls, WI",19204,673,86000
146,Starbucks,"Hotels, Resturants & Leisure",Food Services,"Seattle, WA",19163,2757,238000
147,Paccar,Motor Vehicles & Parts,Motor Vehicles and Parts,"Bellevue, WA",19115,1604,23000
148,Cummins,Industrials,Construction and Farm Machinery,"Columbus, IN",19110,1399,55200
149,Altria Group,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",18854,5241,8800
150,Xerox,Technology,Information Technology Services,"Norwalk, CT",18664,474,143600
151,Kimberly-Clark,Household Products,Household and Personal Products,"Irving, TX",18591,1013,43000
152,Hartford Financial Services Group,Financials,Insurance: Property and Casualty (Stock),"Hartford, CT",18377,1682,17400
153,Kraft Heinz,"Food, Beverages & Tobacco",Food Consumer Products,"Pittsburgh, PA",18338,634,42000
154,Lear,Motor Vehicles & Parts,Motor Vehicles and Parts,"Southfield, MI",18211,746,136200
155,Fluor,Engineering & Construction,"Engineering, Construction","Irving, TX",18114,413,38758
156,AECOM,Engineering & Construction,"Engineering, Construction","Los Angeles, CA",17990,-155,92000
157,Facebook,Technology,Internet Services and Retailing,"Menlo Park, CA",17928,3688,12691
158,Jabil Circuit,Technology,Semiconductors and Other Electronic Components,"St. Petersburg, FL",17914,284,161000
159,CenturyLink,Telecommunications,Telecommunications,"Monroe, LA",17900,878,43000
160,Supervalu,Food and Drug Stores,Food and Drug Stores,"Eden Prairie, MN",17820,192,38500
161,General Mills,"Food, Beverages & Tobacco",Food Consumer Products,"Minneapolis, MN",17630,1221,42000
162,Southern,Energy,Utilities: Gas and Electric,"Atlanta, GA",17489,2367,26703
163,NextEra Energy,Energy,Utilities: Gas and Electric,"Juno Beach, FL",17486,2752,14300
164,Thermo Fisher Scientific,Technology,"Scientific,Photographic and Control Equipment","Waltham, MA",16965,1975,52400
165,American Electric Power,Energy,Utilities: Gas and Electric,"Columbus, OH",16900,2047,17405
166,PG&E Corp.,Energy,Utilities: Gas and Electric,"San Francisco, CA",16833,874,23323
167,NGL Energy Partners,Wholesalers,Wholesalers: Diversified,"Tulsa, OK",16802,17,3100
168,Bristol-Myers Squibb,Health Care,Pharmaceuticals,"New York, NY",16560,1565,25000
169,Goodyear Tire & Rubber,Motor Vehicles & Parts,Motor Vehicles and Parts,"Akron, OH",16443,307,66000
170,Nucor,Materials,Metals,"Charlotte, NC",16439,358,23700
171,PNC Financial Services Group,Financials,Commercial Banks,"Pittsburgh, PA",16270,4106,50831
172,Health Net,Health Care,Health Care: Insurance and Managed Care,"Woodland Hills, CA",16244,186,8584
173,Micron Technology,Technology,Semiconductors and Other Electronic Components,"Boise, ID",16192,2899,31800
174,Colgate-Palmolive,Household Products,Household and Personal Products,"New York, NY",16034,1384,37900
175,Freeport-McMoRan,Energy,"Mining, Crude-Oil Production","Phoenix, AZ",15877,-12236,34500
176,ConAgra Foods,"Food, Beverages & Tobacco",Food Consumer Products,"Omaha, NE",15849,-253,32900
177,Gap,Retailing,Specialty Retailers: Apparel,"San Francisco, CA",15797,920,141000
178,Baker Hughes,Energy,"Oil and Gas Equipment, Services","Houston, TX",15742,-1967,43000
179,Bank of New York Mellon Corp.,Financials,Commercial Banks,"New York, NY",15523,3158,51200
180,Dollar Tree,Retailing,Specialty Retailers: Other,"Chesapeake, VA",15498,282,111550
181,Whole Foods Market,Food and Drug Stores,Food and Drug Stores,"Austin, TX",15389,536,76300
182,PPG Industries,Chemicals,Chemicals,"Pittsburgh, PA",15330,1406,46600
183,Genuine Parts,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",15280,706,39600
184,Icahn Enterprises,Financials,Diversified Financials,"New York, NY",15272,-1194,73807
185,Performance Food Group,Wholesalers,Wholesalers: Food and Grocery,"Richmond, VA",15270,57,12000
186,Omnicom Group,Business Services,"Advertising, marketing","New York, NY",15134,1094,74900
187,DISH Network,Telecommunications,Telecommunications,"Englewood, CO",15069,747,18000
188,FirstEnergy,Energy,Utilities: Gas and Electric,"Akron, OH",15026,578,15781
189,Monsanto,Chemicals,Chemicals,"St. Louis, MO",15001,2314,24000
190,AES,Energy,Utilities: Gas and Electric,"Arlington, VA",14963,306,21000
191,CarMax,Retailing,"Automotive Retailing, Services","Richmond, VA",14874,597,22064
192,National Oilwell Varco,Energy,"Oil and Gas Equipment, Services","Houston, TX",14757,-769,47262
193,NRG Energy,Energy,Energy,"Princeton, NJ",14674,-6382,10468
194,Western Digital,Technology,Computer Peripherals,"Irvine, CA",14572,1465,76449
195,Marriott International,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Bethesda, MD",14486,859,127500
196,Office Depot,Retailing,Specialty Retailers: Other,"Boca Raton, FL",14485,8,49000
197,Nordstrom,Retailing,General Merchandisers,"Seattle, WA",14437,600,72500
198,Kinder Morgan,Energy,Pipelines,"Houston, TX",14403,253,11290
199,Aramark,Business Services,Diversified Outsourcing Services,"Philadelphia, PA",14329,236,216500
200,DaVita HealthCare Partners,Health Care,Health Care: Medical Facilities,"Denver, CO",14210,270,60400
201,Molina Healthcare,Health Care,Health Care: Insurance and Managed Care,"Long Beach, CA",14178,143,21000
202,WellCare Health Plans,Health Care,Health Care: Insurance and Managed Care,"Tampa, FL",13890,119,6900
203,CBS,Media,Entertainment,"New York, NY",13886,1413,19080
204,Visa,Business Services,Financial Data Services,"Foster City, CA",13880,6328,11300
205,Lincoln National,Financials,"Insurance: Life, Health (stock)","Radnor, PA",13572,1154,9312
206,Ecolab,Chemicals,Chemicals,"St. Paul, MN",13545,1002,47145
207,Kellogg,"Food, Beverages & Tobacco",Food Consumer Products,"Battle Creek, MI",13525,614,33577
208,C.H. Robinson Worldwide,Transportation,Transportation and Logistics,"Eden Prairie, MN",13476,510,13159
209,Textron,Aerospace & Defense,Aerospace and Defense,"Providence, RI",13423,697,35000
210,Loews,Financials,Insurance: Property and Casualty (Stock),"New York, NY",13415,260,16700
211,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, IL",13405,1899,48000
212,Synnex,Wholesalers,Wholesalers: Electronics and Office Equipment,"Fremont, CA",13338,209,78500
213,Viacom,Media,Entertainment,"New York, NY",13268,1922,9445
214,HollyFrontier,Energy,Petroleum Refining,"Dallas, TX",13238,740,2704
215,Land O’Lakes,"Food, Beverages & Tobacco",Food Consumer Products,"Arden Hills, MN",13161,308,10000
216,Devon Energy,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",13145,-14454,5167
217,PBF Energy,Energy,Petroleum Refining,"Parsippany, NJ",13124,146,2270
218,Yum Brands,"Hotels, Resturants & Leisure",Food Services,"Louisville, KY",13105,1293,505000
219,Texas Instruments,Technology,Semiconductors and Other Electronic Components,"Dallas, TX",13000,2986,29977
220,CDW,Technology,Information Technology Services,"Lincolnshire, IL",12989,403,8465
221,Waste Management,Business Services,Waste Management,"Houston, TX",12961,753,40600
222,Marsh & McLennan,Financials,Diversified Financials,"New York, NY",12893,1599,60000
223,Chesapeake Energy,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",12764,-14685,4400
224,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, OH",12712,1012,54750
225,Occidental Petroleum,Energy,"Mining, Crude-Oil Production","Houston, TX",12699,-7829,11100
226,Guardian Life Ins. Co. of America,Financials,"Insurance: Life, Health (Mutual)","New York, NY",12628,411,8000
227,Farmers Insurance Exchange,Financials,Insurance: Property and Casualty (Mutual),"Woodland Hills, CA",12626,-114,13184
228,J.C. Penney,Retailing,General Merchandisers,"Plano, TX",12625,-513,105000
229,Consolidated Edison,Energy,Utilities: Gas and Electric,"New York, NY",12554,1193,14806
230,Cognizant Technology Solutions,Technology,Information Technology Services,"Teaneck, NJ",12416,1624,221700
231,VF,Apparel,Apparel,"Greensboro, NC",12377,1232,64000
232,Ameriprise Financial,Financials,Diversified Financials,"Minneapolis, MN",12200,1562,13000
233,Computer Sciences,Technology,Information Technology Services,"Falls Church, VA",12183,-8,70000
234,L Brands,Retailing,Specialty Retailers: Apparel,"Columbus, OH",12154,1253,55400
235,Jacobs Engineering Group,Engineering & Construction,"Engineering, Construction","Pasadena, CA",12115,303,56950
236,Principal Financial,Financials,"Insurance: Life, Health (stock)","Des Moines, IA",11964,1234,14895
237,Ross Stores,Retailing,Specialty Retailers: Apparel,"Dublin, CA",11940,1021,77800
238,Bed Bath & Beyond,Retailing,Specialty Retailers: Other,"Union, NJ",11881,958,60000
239,CSX,Transportation,Railroads,"Jacksonville, FL",11811,1968,29761
240,Toys “R” Us,Retailing,Specialty Retailers: Other,"Wayne, NJ",11802,-130,62000
241,Las Vegas Sands,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",11689,1966,46500
242,Leucadia National,"Food, Beverages & Tobacco",Food Production,"New York, NY",11684,284,13300
243,Dominion Resources,Energy,Utilities: Gas and Electric,"Richmond, VA",11683,1899,14700
244,United States Steel,Materials,Metals,"Pittsburgh, PA",11574,-1642,33200
245,L-3 Communications,Aerospace & Defense,Aerospace and Defense,"New York, NY",11554,-240,38000
246,Edison International,Energy,Utilities: Gas and Electric,"Rosemead, CA",11524,1020,12768
247,Entergy,Energy,Utilities: Gas and Electric,"New Orleans, LA",11513,-177,13579
248,ADP,Business Services,Diversified Outsourcing Services,"Roseland, NJ",11477,1453,55000
249,First Data,Business Services,Financial Data Services,"Atlanta, GA",11451,-1481,24000
250,BlackRock,Financials,Securities,"New York, NY",11401,3345,13000
251,WestRock,Materials,"Packaging, Containers","Richmond, VA",11381,507,41400
252,Voya Financial,Financials,Diversified Financials,"New York, NY",11341,408,7000
253,Sherwin-Williams,Chemicals,Chemicals,"Cleveland, OH",11339,1054,40706
254,Hilton Worldwide Holdings,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","McLean, VA",11272,1404,164000
255,R.R. Donnelley & Sons,Media,"Publishing, Printing","Chicago, IL",11257,151,68400
256,Stanley Black & Decker,Household Products,"Home Equipment, Furnishings","New Britain, CT",11211,884,51250
257,Xcel Energy,Energy,Utilities: Gas and Electric,"Minneapolis, MN",11025,985,11644
258,Murphy USA,Retailing,Specialty Retailers: Other,"El Dorado, AR",10885,176,7100
259,CBRE Group,Financials,Real estate,"Los Angeles, CA",10856,547,70000
260,D.R. Horton,Engineering & Construction,Homebuilders,"Fort Worth, TX",10824,751,6230
261,Estee Lauder,Household Products,Household and Personal Products,"New York, NY",10780,1089,44000
262,Praxair,Chemicals,Chemicals,"Danbury, CT",10776,1547,26657
263,Biogen,Health Care,Pharmaceuticals,"Cambridge, MA",10764,3547,7350
264,State Street Corp.,Financials,Commercial Banks,"Boston, MA",10760,1980,32356
265,Unum Group,Financials,"Insurance: Life, Health (stock)","Chattanooga, TN",10731,867,9400
266,Reynolds American,"Food, Beverages & Tobacco",Tobacco,"Winston-Salem, NC",10675,3253,5650
267,Group 1 Automotive,Retailing,"Automotive Retailing, Services","Houston, TX",10633,94,12886
268,Henry Schein,Health Care,Wholesalers: Health Care,"Melville, NY",10630,479,19000
269,Hertz Global Holdings,Retailing,"Automotive Retailing, Services","Estero, FL",10535,273,30000
270,Norfolk Southern,Transportation,Railroads,"Norfolk, VA",10511,1556,30456
271,Reinsurance Group of America,Financials,"Insurance: Life, Health (stock)","Chesterfield, MO",10418,502,2201
272,Public Service Enterprise Group,Energy,Utilities: Gas and Electric,"Newark, NJ",10415,1679,13025
273,BB&T Corp.,Financials,Commercial Banks,"Winston-Salem, NC",10346,2084,37200
274,DTE Energy,Energy,Utilities: Gas and Electric,"Detroit, MI",10337,727,10000
275,Assurant,Financials,Insurance: Property and Casualty (Stock),"New York, NY",10326,142,14861
276,Global Partners,Wholesalers,Wholesalers: Diversified,"Waltham, MA",10315,44,1890
277,Huntsman,Chemicals,Chemicals,"The Woodlands, TX",10299,93,15000
278,Becton Dickinson,Health Care,Medical Products and Equipment,"Franklin Lakes, NJ",10282,695,49517
279,Sempra Energy,Energy,Utilities: Gas and Electric,"San Diego, CA",10231,1349,17387
280,AutoZone,Retailing,Specialty Retailers: Other,"Memphis, TN",10187,1160,63990
281,Navistar International,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lisle, IL",10140,-184,13800
282,Precision Castparts,Aerospace & Defense,Aerospace and Defense,"Portland, OR",10056,1530,30106
283,Discover Financial Services,Financials,Commercial Banks,"Riverwoods, IL",10002,2297,15036
284,Liberty Interactive,Technology,Internet Services and Retailing,"Englewood, CO",9989,869,22080
285,W.W. Grainger,Wholesalers,Wholesalers: Diversified,"Lake Forest, IL",9973,769,25100
286,Baxter International,Health Care,Medical Products and Equipment,"Deerfield, IL",9968,968,49400
287,Stryker,Health Care,Medical Products and Equipment,"Kalamazoo, MI",9946,1439,27000
288,Air Products & Chemicals,Chemicals,Chemicals,"Allentown, PA",9895,1278,19550
289,Western Refining,Energy,Petroleum Refining,"El Paso, TX",9787,407,7347
290,Universal Health Services,Health Care,Health Care: Medical Facilities,"King of Prussia, PA",9785,681,64500
291,Owens & Minor,Health Care,Wholesalers: Health Care,"Mechanicsville, VA",9773,103,8100
292,Charter Communications,Telecommunications,Telecommunications,"Stamford, CT",9754,-271,23800
293,Advance Auto Parts,Retailing,Specialty Retailers: Other,"Roanoke, VA",9737,473,56500
294,MasterCard,Business Services,Financial Data Services,"Purchase, NY",9667,3808,11300
295,Applied Materials,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",9659,1377,15050
296,Eastman Chemical,Chemicals,Chemicals,"Kingsport, TN",9648,848,15000
297,Sonic Automotive,Retailing,"Automotive Retailing, Services","Charlotte, NC",9624,86,9800
298,Ally Financial,Financials,Diversified Financials,"Detroit, MI",9539,1289,7100
299,CST Brands,Retailing,Specialty Retailers: Other,"San Antonio, TX",9499,149,12761
300,eBay,Technology,Internet Services and Retailing,"San Jose, CA",9496,1725,11600
301,Lennar,Engineering & Construction,Homebuilders,"Miami, FL",9474,803,7749
302,GameStop,Retailing,Specialty Retailers: Other,"Grapevine, TX",9364,403,40600
303,Reliance Steel & Aluminum,Materials,Metals,"Los Angeles, CA",9351,312,13400
304,Hormel Foods,"Food, Beverages & Tobacco",Food Consumer Products,"Austin, MN",9264,686,20700
305,Celgene,Health Care,Pharmaceuticals,"Summit, NJ",9256,1602,6971
306,Genworth Financial,Financials,"Insurance: Life, Health (stock)","Richmond, VA",9249,-615,4100
307,PayPal Holdings,Business Services,Financial Data Services,"San Jose, CA",9248,1228,16800
308,Priceline Group,Technology,Internet Services and Retailing,"Norwalk, CT",9224,2551,15500
309,MGM Resorts International,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",9190,-448,57950
310,Autoliv,Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, MI",9170,457,59350
311,Fidelity National Financial,Financials,Insurance: Property and Casualty (Stock),"Jacksonville, FL",9132,527,54091
312,Republic Services,Business Services,Waste Management,"Phoenix, AZ",9115,750,33000
313,Corning,Technology,Network and Other Communications Equipment,"Corning, NY",9111,1339,35700
