First Name,Gender,City,Frequency,Item,Spend
Aaron,Male,Philadelphia,Weekly,Ice Cream,89.85
Catherine,Female,Stamford,Never,Chalupa,9.09
Joe,Male,Stamford,Yearly,Burger,76.6
Douglas,Male,Philadelphia,Never,Burger,15.6
Sean,Male,Stamford,Seldom,Burger,89.99
Kathy,Female,Stamford,Once,Sushi,18.19
Nancy,Female,New York,Monthly,Sushi,9.63
Sara,Female,Stamford,Seldom,Burrito,55.67
Judith,Female,Stamford,Once,Ice Cream,47.03
Ralph,Male,Stamford,Monthly,Burrito,71.85
Steven,Male,Philadelphia,Weekly,Burrito,78.95
Jane,Female,Philadelphia,Yearly,Chalupa,82.27
Walter,Male,New York,Seldom,Ice Cream,97.65
Gloria,Female,Stamford,Never,Burrito,11.78
Linda,Female,Stamford,Daily,Burger,30.55
Kevin,Male,Stamford,Once,Sushi,69.11
Janice,Female,Stamford,Once,Donut,88.14
Joshua,Male,Stamford,Monthly,Chalupa,93.25
Sarah,Female,Philadelphia,Weekly,Sushi,42.83
Judith,Female,Philadelphia,Often,Ice Cream,55.15
Jason,Male,Philadelphia,Weekly,Ice Cream,31.99
Antonio,Male,Philadelphia,Daily,Burger,40.04
Johnny,Male,New York,Monthly,Chalupa,28.56
Ronald,Male,Stamford,Weekly,Burrito,13.58
Theresa,Female,Stamford,Weekly,Donut,91.75
Janice,Female,New York,Once,Ice Cream,48.88
Wayne,Male,Stamford,Yearly,Burger,53.82
Irene,Female,New York,Monthly,Burger,30.74
Donald,Male,Philadelphia,Never,Sushi,41.77
Philip,Male,Stamford,Never,Donut,6.7
Louise,Female,Philadelphia,Weekly,Ice Cream,64.11
Chris,Male,Philadelphia,Once,Ice Cream,48.69
Donna,Female,Stamford,Daily,Sushi,37.18
Cynthia,Female,Philadelphia,Daily,Burrito,37.67
Louise,Female,Stamford,Seldom,Donut,18.28
Aaron,Male,New York,Never,Donut,48
Philip,Male,Philadelphia,Monthly,Sushi,97.12
Shawn,Male,Philadelphia,Yearly,Ice Cream,72.6
Ruby,Female,New York,Daily,Donut,74.6
Russell,Male,Stamford,Once,Donut,30.1
Dorothy,Female,Stamford,Seldom,Ice Cream,78.62
Chris,Male,Philadelphia,Often,Chalupa,1.94
Deborah,Female,Stamford,Yearly,Chalupa,82.11
Larry,Male,New York,Yearly,Sushi,21.99
Jennifer,Female,New York,Often,Chalupa,39.73
Juan,Male,Philadelphia,Seldom,Burrito,27.71
Ann,Female,Philadelphia,Yearly,Ice Cream,45.35
Jeremy,Male,Philadelphia,Weekly,Donut,30.19
Jane,Female,New York,Often,Sushi,95.07
Adam,Male,Stamford,Yearly,Burrito,46.17
Teresa,Female,Stamford,Monthly,Chalupa,93.08
Richard,Male,New York,Yearly,Burrito,64.63
Phillip,Male,Stamford,Seldom,Donut,12.81
Bonnie,Female,Philadelphia,Seldom,Donut,16.02
Kenneth,Male,Stamford,Seldom,Sushi,98.48
Carl,Male,New York,Once,Donut,65.49
Gary,Male,Philadelphia,Daily,Chalupa,85.87
Daniel,Male,Philadelphia,Seldom,Burger,32.11
Annie,Female,New York,Often,Sushi,82.09
Ryan,Male,New York,Seldom,Ice Cream,47.29
Judith,Female,Stamford,Often,Ice Cream,97.44
Patrick,Male,Philadelphia,Monthly,Ice Cream,31.62
Dorothy,Female,New York,Once,Sushi,29.05
Brian,Male,New York,Monthly,Ice Cream,55.21
Virginia,Female,Stamford,Weekly,Burrito,47.37
Frank,Male,Philadelphia,Never,Burger,1.71
Mark,Male,Philadelphia,Yearly,Ice Cream,4.89
Albert,Male,New York,Monthly,Sushi,93.85
Kathy,Female,New York,Often,Burger,5.01
Samuel,Male,Stamford,Once,Ice Cream,6.43
Aaron,Male,Philadelphia,Once,Chalupa,51.43
Howard,Male,Philadelphia,Once,Donut,41.27
Cynthia,Female,Philadelphia,Weekly,Donut,86.67
Joshua,Male,New York,Often,Donut,86.7
Jimmy,Male,Philadelphia,Weekly,Burrito,17.85
Diane,Female,New York,Daily,Sushi,6.35
Joe,Male,Stamford,Often,Burger,39.88
Mary,Female,Philadelphia,Often,Donut,68.03
Roger,Male,Stamford,Yearly,Ice Cream,68.28
Amy,Female,Philadelphia,Daily,Donut,25.19
Henry,Male,Philadelphia,Often,Donut,17.7
Tammy,Female,Stamford,Weekly,Sushi,31.21
Louis,Male,New York,Weekly,Ice Cream,14.06
Tammy,Female,Philadelphia,Daily,Sushi,32.23
Kathy,Female,Philadelphia,Never,Ice Cream,11.67
Jessica,Female,Philadelphia,Never,Burger,66.53
Paul,Male,Philadelphia,Monthly,Donut,77.5
Annie,Female,New York,Daily,Ice Cream,87.85
Andrea,Female,Philadelphia,Weekly,Burrito,1.26
Tammy,Female,Stamford,Daily,Ice Cream,14.64
Melissa,Female,Philadelphia,Daily,Donut,70.27
Juan,Male,Philadelphia,Once,Chalupa,36.54
Joshua,Male,Stamford,Seldom,Chalupa,40.69
Terry,Male,Stamford,Monthly,Chalupa,73.07
Marilyn,Female,New York,Yearly,Sushi,8.09
Sarah,Female,Stamford,Seldom,Burger,22.65
Walter,Male,New York,Never,Burrito,35.1
Bruce,Male,Stamford,Once,Ice Cream,43.8
Jose,Male,Philadelphia,Daily,Ice Cream,66.66
Diane,Female,New York,Yearly,Chalupa,98.43
Jean,Female,New York,Never,Chalupa,35.15
Ernest,Male,New York,Never,Donut,27.22
Carol,Female,Stamford,Often,Chalupa,63.19
Joshua,Male,New York,Seldom,Burrito,43.78
Mary,Female,Stamford,Weekly,Ice Cream,18.76
John,Male,Stamford,Seldom,Burrito,9.84
Sarah,Female,Philadelphia,Yearly,Chalupa,52.13
Julia,Female,New York,Daily,Donut,95.63
Rose,Female,Philadelphia,Yearly,Chalupa,27.72
Daniel,Male,Stamford,Weekly,Ice Cream,61.76
Sean,Male,New York,Weekly,Sushi,3.28
Clarence,Male,Philadelphia,Daily,Ice Cream,16.91
Willie,Male,Stamford,Weekly,Sushi,67.67
Kathleen,Female,New York,Seldom,Ice Cream,74.27
Joseph,Male,Philadelphia,Monthly,Burger,96.25
Benjamin,Male,Stamford,Daily,Chalupa,69.99
Aaron,Male,Stamford,Never,Burrito,95.07
Raymond,Male,New York,Monthly,Sushi,37.05
Mildred,Female,Philadelphia,Often,Ice Cream,33.1
Ashley,Female,Philadelphia,Often,Burger,13.26
Philip,Male,Philadelphia,Monthly,Burger,47.46
Carolyn,Female,New York,Daily,Donut,9.16
Ashley,Female,Philadelphia,Yearly,Ice Cream,63.62
Victor,Male,Stamford,Never,Sushi,88.56
Diane,Female,New York,Daily,Burger,34.51
Joan,Female,Philadelphia,Often,Burger,84.16
Roger,Male,New York,Once,Burger,50.61
Bonnie,Female,Philadelphia,Seldom,Chalupa,96.11
Jean,Female,New York,Often,Ice Cream,55.03
Katherine,Female,Stamford,Seldom,Ice Cream,39.11
Helen,Female,Stamford,Yearly,Sushi,8.2
Jean,Female,Philadelphia,Monthly,Chalupa,65.53
Louis,Male,Stamford,Yearly,Burrito,74.79
Martha,Female,New York,Yearly,Chalupa,1.96
Martha,Female,Philadelphia,Once,Donut,83.62
Johnny,Male,Philadelphia,Daily,Chalupa,92.25
Martin,Male,Philadelphia,Weekly,Sushi,72.87
Howard,Male,Philadelphia,Never,Donut,31.02
Shirley,Female,New York,Monthly,Donut,52.47
Billy,Male,Stamford,Yearly,Burger,78.79
Joan,Female,Philadelphia,Daily,Sushi,66.1
Todd,Male,Stamford,Monthly,Donut,57.29
Patricia,Female,New York,Weekly,Donut,73.75
Richard,Male,New York,Yearly,Donut,1.49
Ashley,Female,Stamford,Never,Burrito,41.23
Andrea,Female,Philadelphia,Yearly,Chalupa,85.36
Phillip,Male,Philadelphia,Weekly,Burrito,55.48
Juan,Male,Philadelphia,Once,Burrito,55.17
Juan,Male,Philadelphia,Never,Burrito,89.28
Bobby,Male,New York,Never,Chalupa,40.31
Gregory,Male,Stamford,Once,Burger,28.13
Jessica,Female,Stamford,Daily,Sushi,73.69
Ernest,Male,Philadelphia,Never,Chalupa,52.48
Ashley,Female,Stamford,Never,Burrito,44.49
Marie,Female,Stamford,Yearly,Burrito,54.06
Howard,Male,Philadelphia,Once,Sushi,23.78
Ruby,Female,New York,Monthly,Donut,70.03
Shirley,Female,Philadelphia,Often,Burrito,64.79
David,Male,Philadelphia,Daily,Burrito,27.39
William,Male,Stamford,Yearly,Burrito,28.83
Kenneth,Male,New York,Monthly,Ice Cream,37.3
Jonathan,Male,Philadelphia,Often,Ice Cream,38.02
Arthur,Male,Stamford,Weekly,Ice Cream,62.63
Russell,Male,New York,Monthly,Sushi,57.7
Joyce,Female,Philadelphia,Once,Donut,37.89
Anne,Female,New York,Seldom,Ice Cream,95.58
Jimmy,Male,Philadelphia,Often,Donut,29.91
Diane,Female,Stamford,Often,Ice Cream,72.78
Brian,Male,Philadelphia,Seldom,Donut,63.14
Lisa,Female,Philadelphia,Seldom,Ice Cream,66.25
Kathleen,Female,Philadelphia,Seldom,Burger,41.74
Marie,Female,New York,Yearly,Ice Cream,18.13
Walter,Male,Stamford,Never,Ice Cream,46.58
Jack,Male,Stamford,Monthly,Burrito,40.4
Billy,Male,Stamford,Once,Burger,24.1
Margaret,Female,Stamford,Often,Burrito,57.56
Kimberly,Female,Stamford,Once,Burger,72.69
Carol,Female,Philadelphia,Once,Chalupa,56.19
Theresa,Female,Stamford,Often,Burrito,97.48
Steve,Male,Stamford,Never,Burrito,91.27
Norma,Female,Philadelphia,Never,Chalupa,9.59
Craig,Male,Stamford,Often,Ice Cream,60.89
William,Male,New York,Daily,Sushi,49.18
Shawn,Male,Stamford,Seldom,Chalupa,51.63
Jessica,Female,Philadelphia,Once,Burrito,45.64
Peter,Male,New York,Once,Burger,77.03
Elizabeth,Female,New York,Daily,Burger,49.75
Gerald,Male,Stamford,Once,Burger,13.42
Sean,Male,New York,Weekly,Sushi,63.8
Keith,Male,Philadelphia,Daily,Donut,91.19
Dennis,Male,New York,Daily,Donut,4.39
Nancy,Female,New York,Once,Sushi,42.43
Henry,Male,New York,Daily,Chalupa,25.73
Brandon,Male,Stamford,Seldom,Chalupa,29
Shirley,Female,Philadelphia,Seldom,Burrito,83.33
Jimmy,Male,Stamford,Often,Ice Cream,3.43
Martha,Female,Stamford,Weekly,Burger,17.28
Catherine,Female,Stamford,Often,Burrito,71.03
Katherine,Female,Philadelphia,Seldom,Chalupa,10.16
Phyllis,Female,New York,Daily,Donut,42.13
Martin,Male,Stamford,Weekly,Ice Cream,34.85
Ryan,Male,Philadelphia,Never,Burrito,59.67
Lori,Female,New York,Never,Ice Cream,95.6
Robin,Female,Stamford,Never,Burger,57.3
Joyce,Female,New York,Weekly,Sushi,23.73
Timothy,Male,New York,Monthly,Donut,47.32
Howard,Male,Stamford,Seldom,Ice Cream,22.99
Marie,Female,Philadelphia,Seldom,Burger,83.76
Carlos,Male,Stamford,Daily,Burrito,48.21
Sharon,Female,Philadelphia,Yearly,Ice Cream,15.16
Fred,Male,Stamford,Weekly,Donut,16.49
Tina,Female,Stamford,Monthly,Sushi,52.61
Philip,Male,Philadelphia,Never,Ice Cream,62.14
Heather,Female,Stamford,Often,Burrito,46.69
Ruth,Female,New York,Yearly,Donut,62.95
Kelly,Female,New York,Daily,Ice Cream,54.01
Justin,Male,Stamford,Weekly,Burger,97.2
Jose,Male,Stamford,Often,Donut,68.4
Julia,Female,Philadelphia,Often,Chalupa,81.06
Debra,Female,Philadelphia,Yearly,Chalupa,62.66
Donna,Female,Philadelphia,Weekly,Sushi,26.42
Phillip,Male,Stamford,Yearly,Burger,10.21
Lillian,Female,Stamford,Weekly,Ice Cream,47.96
Mary,Female,Philadelphia,Seldom,Chalupa,24.97
Roy,Male,Philadelphia,Daily,Burrito,42.31
Willie,Male,New York,Monthly,Sushi,5.12
Norma,Female,New York,Daily,Donut,19.09
Arthur,Male,New York,Once,Burger,70.08
Jane,Female,New York,Yearly,Burger,20.79
Teresa,Female,New York,Daily,Donut,17.26
Deborah,Female,Philadelphia,Weekly,Chalupa,38.66
Katherine,Female,Philadelphia,Once,Sushi,12.19
Catherine,Female,Philadelphia,Once,Ice Cream,80.25
Margaret,Female,Stamford,Never,Donut,47.69
Kathy,Female,New York,Never,Ice Cream,18.86
Jimmy,Male,New York,Once,Burrito,59.11
Carolyn,Female,Stamford,Yearly,Sushi,19.18
Frank,Male,New York,Seldom,Burrito,73.88
Annie,Female,Philadelphia,Weekly,Sushi,74.56
Susan,Female,New York,Often,Sushi,26.11
Julie,Female,New York,Often,Burger,82
Mildred,Female,Stamford,Weekly,Sushi,40.14
Anna,Female,Philadelphia,Never,Burrito,65.36
Jason,Male,New York,Yearly,Burger,44.18
Brandon,Male,Stamford,Often,Sushi,44.22
Dennis,Male,Stamford,Monthly,Chalupa,34.8
Michelle,Female,New York,Once,Chalupa,62.4
Steve,Male,Stamford,Monthly,Chalupa,14.88
Johnny,Male,Philadelphia,Never,Burrito,23.93
Alice,Female,Stamford,Yearly,Sushi,83.28
Harry,Male,Stamford,Weekly,Burger,79.48
Emily,Female,Philadelphia,Once,Donut,2.13
Ruth,Female,Stamford,Yearly,Sushi,41.64
Eugene,Male,Philadelphia,Monthly,Ice Cream,72.67
Evelyn,Female,Stamford,Weekly,Sushi,25.76
Ronald,Male,New York,Often,Ice Cream,88.15
Lori,Female,New York,Often,Donut,29.38
Russell,Male,Philadelphia,Never,Sushi,19.2
Diane,Female,New York,Monthly,Donut,82.05
Sean,Male,Philadelphia,Seldom,Chalupa,98.4
George,Male,New York,Weekly,Donut,58.96
Susan,Female,Philadelphia,Weekly,Chalupa,36.4
Peter,Male,Stamford,Often,Ice Cream,58.25
Lori,Female,New York,Monthly,Chalupa,87.86
Frances,Female,Philadelphia,Weekly,Ice Cream,28.46
Kelly,Female,Stamford,Daily,Sushi,25.17
Terry,Male,New York,Often,Burrito,73.64
Joseph,Male,New York,Monthly,Burrito,30.27
Carl,Male,Stamford,Seldom,Chalupa,14.44
Debra,Female,Philadelphia,Never,Ice Cream,65.26
Jimmy,Male,Philadelphia,Once,Burrito,8.58
Richard,Male,Philadelphia,Often,Burger,73.84
Fred,Male,New York,Daily,Ice Cream,69.17
Louise,Female,Philadelphia,Yearly,Sushi,61.22
Benjamin,Male,Stamford,Seldom,Burger,2.83
Richard,Male,New York,Daily,Burger,68.83
Sean,Male,New York,Weekly,Burrito,91.48
Bobby,Male,Philadelphia,Weekly,Burrito,65.68
Jennifer,Female,Stamford,Yearly,Burger,85.06
Howard,Male,Stamford,Seldom,Sushi,32.15
Jonathan,Male,Stamford,Never,Chalupa,36.06
Ashley,Female,Philadelphia,Weekly,Ice Cream,46.98
Joan,Female,New York,Seldom,Donut,10.49
Dennis,Male,Stamford,Once,Donut,44.59
Nicole,Female,Stamford,Yearly,Burger,31.47
Diane,Female,Philadelphia,Monthly,Ice Cream,40.64
Phyllis,Female,Stamford,Monthly,Burrito,67.94
Justin,Male,New York,Never,Burrito,15.9
Jerry,Male,New York,Once,Sushi,86.86
Gloria,Female,Philadelphia,Once,Chalupa,99.29
Katherine,Female,Philadelphia,Seldom,Burger,97.79
Christopher,Male,Philadelphia,Once,Sushi,51.33
Joseph,Male,Stamford,Weekly,Chalupa,44.37
Paul,Male,New York,Once,Ice Cream,15.46
Bruce,Male,New York,Monthly,Sushi,93.82
Daniel,Male,Stamford,Daily,Donut,75.04
Ronald,Male,Philadelphia,Once,Ice Cream,86.66
Jack,Male,Stamford,Yearly,Donut,16.52
Benjamin,Male,New York,Once,Donut,45.91
Norma,Female,Philadelphia,Once,Chalupa,43.72
Sara,Female,Philadelphia,Daily,Burrito,52.58
Tammy,Female,Stamford,Weekly,Burger,57.29
Judith,Female,Philadelphia,Once,Burrito,52.38
John,Male,Philadelphia,Often,Donut,33.22
Alice,Female,New York,Weekly,Burger,91.1
Cheryl,Female,Philadelphia,Often,Donut,62.89
Gary,Male,Philadelphia,Never,Burrito,12.08
Joan,Female,Philadelphia,Seldom,Donut,32.62
Jeremy,Male,Philadelphia,Daily,Sushi,61.7
Mildred,Female,Stamford,Often,Donut,41.26
Debra,Female,Stamford,Daily,Burrito,39.2
Cheryl,Female,Philadelphia,Yearly,Burrito,44.6
Janice,Female,Stamford,Monthly,Burger,36.81
Earl,Male,New York,Once,Chalupa,35.07
Christine,Female,Stamford,Never,Burrito,82.37
Alan,Male,Philadelphia,Daily,Ice Cream,43.49
Irene,Female,New York,Once,Donut,3.79
Carlos,Male,Philadelphia,Daily,Burrito,28.86
Jose,Male,New York,Never,Ice Cream,23.25
Angela,Female,Stamford,Yearly,Sushi,47.46
Anne,Female,Stamford,Monthly,Ice Cream,23.4
Justin,Male,Philadelphia,Often,Donut,76.91
Todd,Male,Philadelphia,Once,Donut,4.77
Kathleen,Female,New York,Often,Burger,2.25
Walter,Male,Stamford,Monthly,Donut,21.09
Ruth,Female,Stamford,Often,Donut,58.51
Beverly,Female,Stamford,Yearly,Sushi,27.35
Clarence,Male,New York,Never,Ice Cream,34.29
Jerry,Male,Stamford,Yearly,Burrito,8.3
John,Male,Philadelphia,Weekly,Sushi,53.97
Robin,Female,New York,Never,Burrito,7.01
Craig,Male,New York,Yearly,Burger,5.43
Chris,Male,Philadelphia,Never,Sushi,63.22
Samuel,Male,Stamford,Often,Chalupa,67.92
Jesse,Male,Philadelphia,Once,Donut,89.62
Jean,Female,New York,Weekly,Chalupa,73.77
Wayne,Male,Philadelphia,Daily,Donut,21.72
Matthew,Male,New York,Never,Chalupa,45.41
Victor,Male,Stamford,Monthly,Burger,18.21
Lois,Female,Stamford,Seldom,Donut,73.84
Bonnie,Female,Philadelphia,Yearly,Burrito,21.76
Douglas,Male,New York,Seldom,Sushi,53.45
Steve,Male,Stamford,Never,Donut,94.14
Judy,Female,New York,Often,Ice Cream,42.36
Joe,Male,New York,Once,Donut,44.97
Victor,Male,New York,Seldom,Ice Cream,38.81
Janice,Female,Stamford,Weekly,Chalupa,98.69
Teresa,Female,Stamford,Seldom,Chalupa,81.63
Juan,Male,Stamford,Never,Donut,33.2
Craig,Male,New York,Once,Donut,66.17
Samuel,Male,New York,Once,Burger,52.19
Victor,Male,Philadelphia,Yearly,Donut,30.31
Daniel,Male,Philadelphia,Once,Ice Cream,35.73
Johnny,Male,Stamford,Daily,Burger,69.33
Lois,Female,Philadelphia,Never,Donut,66.09
Thomas,Male,New York,Daily,Donut,11.48
Jack,Male,Philadelphia,Often,Ice Cream,81.38
Mark,Male,Philadelphia,Weekly,Chalupa,8.77
Judith,Female,New York,Once,Burger,43.77
Julie,Female,New York,Once,Sushi,4.07
Linda,Female,Stamford,Monthly,Chalupa,68.9
Doris,Female,Stamford,Often,Donut,16.78
Christine,Female,Philadelphia,Never,Burrito,18.48
Susan,Female,Philadelphia,Weekly,Ice Cream,40.72
Beverly,Female,Stamford,Once,Ice Cream,79.12
Louise,Female,Stamford,Monthly,Donut,75.39
Alice,Female,New York,Yearly,Burger,94.23
Louis,Male,Philadelphia,Never,Donut,22.63
Willie,Male,Philadelphia,Daily,Sushi,17.26
Susan,Female,Stamford,Yearly,Chalupa,79.99
Diane,Female,Philadelphia,Daily,Donut,59.69
Bobby,Male,Philadelphia,Yearly,Burger,7.37
Jack,Male,Philadelphia,Weekly,Donut,8.46
Kathleen,Female,Stamford,Often,Ice Cream,28.09
Justin,Male,Stamford,Yearly,Burrito,32.07
Heather,Female,Stamford,Yearly,Sushi,81.48
Diane,Female,Philadelphia,Seldom,Burrito,48.46
Steven,Male,New York,Often,Burger,33.68
Katherine,Female,Philadelphia,Yearly,Burger,58.55
Ruby,Female,Stamford,Daily,Burrito,26.86
Karen,Female,Philadelphia,Never,Burrito,78.05
Jennifer,Female,Philadelphia,Weekly,Donut,26.81
Kathy,Female,Stamford,Once,Burger,16.12
Joshua,Male,Stamford,Yearly,Burrito,41.17
Diane,Female,Philadelphia,Monthly,Burrito,1.04
Ruth,Female,New York,Seldom,Burger,44.51
Ralph,Male,Stamford,Yearly,Burger,5.65
Sara,Female,Philadelphia,Daily,Burrito,43.82
Judy,Female,New York,Weekly,Chalupa,36.4
Charles,Male,New York,Yearly,Chalupa,77.3
Sharon,Female,Philadelphia,Yearly,Donut,68.97
Alan,Male,Stamford,Often,Ice Cream,68.9
Roger,Male,Philadelphia,Weekly,Sushi,95.7
Diane,Female,New York,Daily,Donut,36.57
Marie,Female,Philadelphia,Seldom,Ice Cream,79.52
Victor,Male,New York,Seldom,Donut,16.25
Karen,Female,Philadelphia,Daily,Sushi,50.73
Joshua,Male,New York,Often,Ice Cream,86.01
Andrew,Male,New York,Monthly,Burrito,43.69
Steven,Male,Philadelphia,Seldom,Ice Cream,88.51
